word	Malayalam-ml	emotion	emotion-intensity-score
heft	മോഷണം	anticipation	0.320
preservative	സംരക്ഷണം	anticipation	0.320
paddle	പാഡിൽ	anticipation	0.320
cove	മൂക്ക്	anticipation	0.320
denying	നിരസിക്കുന്നു	anticipation	0.312
bugle	ബ്യൂഗിൾ	anticipation	0.312
unpublished	പ്രസിദ്ധീകരിച്ചില്ല	anticipation	0.312
analyst	വിശകലനം	anticipation	0.312
grim	ഗംഭീരം	anticipation	0.312
church	പള്ളി	anticipation	0.312
priesthood	പൌരോഹിത്യം	anticipation	0.305
mill	മിൽ	anticipation	0.305
judicial	ജുഡീഷ്യല്	anticipation	0.305
broadside	ബ്രോഡ്സൈഡ്	anticipation	0.305
tributary	ഉപഹാരം	anticipation	0.297
cap	തൊപ്പി	anticipation	0.297
thermocouple	തെർമോഗോപ്പിൾ	anticipation	0.297
dismay	ശല്യപ്പെടുത്തുക	anticipation	0.297
instructor	പരിശീലകൻ	anticipation	0.297
saliva	ഉമിനീർ	anticipation	0.297
exhaustion	ക്ഷീണം	anticipation	0.297
bruise	മുറിവേറ്റ	anticipation	0.289
wont	NO TRANSLATION	anticipation	0.289
homeless	വീടില്ല	anticipation	0.289
visor	visor	anticipation	0.289
discreet	NO TRANSLATION	anticipation	0.289
network	നെറ്റ്വർക്ക്	anticipation	0.289
shackle	ഇളക്കിക്കൊല്ലുക	anticipation	0.289
addresses	വിലാസങ്ങൾ	anticipation	0.289
noncompliance	അനിയന്ത്രിതമായ	anticipation	0.289
cataract	തിമിരം	anticipation	0.289
skewed	വക്രത	anticipation	0.281
astronomer	ജ്യോതിശാസ്ത്രജ്ഞൻ	anticipation	0.281
neighbor	അയൽക്കാരൻ	anticipation	0.281
holiness	വിശുദ്ധി	anticipation	0.273
devil	പിശാച്	anticipation	0.273
cream	ക്രീം	anticipation	0.273
picket	പിക്ക്	anticipation	0.273
latent	മറച്ചുവച്ച	anticipation	0.273
immaturity	അപകത	anticipation	0.273
sentence	വാചകം	anticipation	0.273
neighborhood	അയല്പക്കം	anticipation	0.266
morals	ധാർമികത	anticipation	0.266
lull	പതുക്കെ	anticipation	0.266
habitual	സ്വഭാവം	anticipation	0.266
weight	ഭാരം	anticipation	0.258
bye	ബൈ	anticipation	0.258
forearm	കൈത്തണ്ട	anticipation	0.250
clown	ക്ലോണ്	anticipation	0.250
organ	ഓർഗാനിക്	anticipation	0.250
quote	ഉദ്ധരണി	anticipation	0.242
commonplace	പൊതു സ്ഥലം	anticipation	0.242
dictatorship	ഏകാധിപത്യം	anticipation	0.234
board	ബോർഡ്	anticipation	0.234
white	വെളുത്ത	anticipation	0.234
treadmill	ട്രെഡ്മിൽ	anticipation	0.234
rail	റെയിൽ	anticipation	0.234
sundial	സൺഡിയൽ	anticipation	0.227
tree	വൃക്ഷം	anticipation	0.227
paralysis	പക്ഷാഘാതം	anticipation	0.211
worm	പുഴു	anticipation	0.203
organization	സംഘടന	anticipation	0.203
cement	സിമന്റ്	anticipation	0.203
lagging	മന്ദഹസരം	anticipation	0.180
neutral	നിഷ്പക്ഷത	anticipation	0.148
cannibalism	നരകം	disgust	0.953
mutilation	മലിനീകരണം	disgust	0.930
molestation	പീഡനം	disgust	0.914
incest	അഗമ്യഗമനം	disgust	0.914
gonorrhea	ഗൊണോറിയ	disgust	0.906
rape	ബലാൽസംഗം	disgust	0.906
cannibal	കാൻബാബൽ	disgust	0.898
rot	ഞരങ്ങുക	disgust	0.891
corpse	ശവശരീരം	disgust	0.883
massacre	കൂട്ടക്കൊല	disgust	0.883
excrement	മൃതദേഹം	disgust	0.883
slaughter	അറുപ്പാനുള്ള ആടുകളെ തന്നേ	disgust	0.875
barf	ബാർഫ്	disgust	0.875
slaughterhouse	അടിമത്തം	disgust	0.867
rancid	പുഞ്ചിരി	disgust	0.859
sewerage	മാലിന്യം	disgust	0.859
incestuous	incestuous	disgust	0.859
filth	അഴുക്കു	disgust	0.859
bigot	വലിയ	disgust	0.859
infestation	രോഗം	disgust	0.852
plague	പ്ലേഗ്	disgust	0.852
bloodthirsty	രക്തസ്രാവം	disgust	0.852
holocaust	ഹോളോകോസ്റ്റ്	disgust	0.852
rotting	ചീഞ്ഞുപോകുന്നു	disgust	0.844
maggot	മാഗോഗി	disgust	0.844
feces	മലം	disgust	0.844
fecal	ഫെൽക്കൽ	disgust	0.844
murder	കൊലപാതകം	disgust	0.839
infanticide	കുപ്രസിദ്ധമായ	disgust	0.836
homicide	കൊലപാതകം	disgust	0.836
asshole	ആസ്ഹോൾ	disgust	0.836
enslaved	അടിമത്തത്തിലായിരുന്നു	disgust	0.836
gore	ഗോര	disgust	0.828
perverted	തെറ്റായി	disgust	0.828
torture	പീഡിപ്പിക്കാനും	disgust	0.828
slaughtering	അറുപ്പുകയാണ്	disgust	0.828
excretion	വിസർജ്ജനം	disgust	0.828
contaminate	മലിനമാക്കുക	disgust	0.821
murderer	കൊലപാതകം	disgust	0.820
gory	ഗോരി	disgust	0.820
repugnant	ശരിയല്ല	disgust	0.820
desecration	വൃത്തികെട്ട	disgust	0.820
grotesque	വിചിത്രമായ	disgust	0.820
revolting	കലാപം	disgust	0.820
diarrhoea	അതിസാരം	disgust	0.820
manure	വളം	disgust	0.820
terrorist	ഭീകരൻ	disgust	0.820
shit	ഷീറ്റ്	disgust	0.820
pervert	തെറ്റ്	disgust	0.820
slavery	അടിമത്തം	disgust	0.812
faeces	ഫ്യൂസുകൾ	disgust	0.812
sewer	വഴുതന	disgust	0.812
vomit	ഛർദ്ദി	disgust	0.812
manslaughter	മൃതദേഹം	disgust	0.812
dismemberment	ശരീരം വലിച്ചു കീറുക	disgust	0.812
cadaver	വഞ്ചകൻ	disgust	0.812
hemorrhage	രക്തക്കുഴൽ	disgust	0.805
repulsive	വെറുപ്പുളവാക്കുന്ന	disgust	0.805
perverse	വക്രതയുള്ള	disgust	0.805
filthy	മലിനമായത്	disgust	0.797
sewage	മാലിന്യങ്ങൾ	disgust	0.797
depravity	അധഃപതി	disgust	0.797
diseased	രോഗമുള്ള	disgust	0.797
carcass	മൃതദേഹം	disgust	0.795
decompose	വിഘടിപ്പിക്കുന്നു	disgust	0.789
vermin	പേര	disgust	0.789
puke	തട്ടുക	disgust	0.789
parasite	പരാന്നഭോജികൾ	disgust	0.789
horrific	ഭയങ്കര	disgust	0.789
gruesome	ഭയങ്കര	disgust	0.789
dung	NO TRANSLATION	disgust	0.789
mutilated	മലിനമായത്	disgust	0.789
murderous	കൊലയാളി	disgust	0.789
decayed	ക്ഷയിച്ചുപോയി	disgust	0.789
herpes	ഹെർപ്പസ്	disgust	0.789
slime	നീളം	disgust	0.781
flatulence	വായുവിൻറെ	disgust	0.781
monstrosity	മോൺസ്റ്റ്രോസിറ്റി	disgust	0.781
carnage	കൂട്ടക്കൊല	disgust	0.781
pestilence	മഹാമാരി;	disgust	0.781
malaria	മലേറിയ	disgust	0.781
crap	ക്രാപ്പ്	disgust	0.781
toxic	വിഷ	disgust	0.773
loathsome	വെറുക്കപ്പെട്ടവർ	disgust	0.773
insidious	വഞ്ചനാപരമായ	disgust	0.773
leprosy	കുഷ്ഠം	disgust	0.773
morgue	മൃതദേഹം	disgust	0.773
pus	പസ്	disgust	0.773
herpesvirus	ഹെർപ്പസ് വൈറസ്	disgust	0.773
whore	വേശ്യ	disgust	0.766
cruel	ക്രൂരത	disgust	0.766
repugnance	വിരസത	disgust	0.766
revulsion	വിദ്വേഷം	disgust	0.766
xenophobia	ജനാബോളിയ	disgust	0.766
regurgitation	രക്തചംക്രമണം	disgust	0.766
anthrax	ആന്ത്രാക്സ്	disgust	0.766
lynch	കഞ്ചാവ്	disgust	0.766
dissection	വിഭജനം	disgust	0.759
canker	കാൻസർ	disgust	0.758
cruelty	ക്രൂരത	disgust	0.758
perversion	വക്രത	disgust	0.758
evil	തിന്മ	disgust	0.758
slum	ചേരി	disgust	0.758
infectious	പകർച്ചവ്യാധി	disgust	0.758
mucous	കഫം	disgust	0.758
phlegm	വഞ്ചി	disgust	0.758
leeches	ലഞ്ചുകൾ	disgust	0.750
decomposition	സുഖം	disgust	0.750
sinister	ദുഷിച്ച	disgust	0.750
corrupting	ദുഷിപ്പിക്കുക	disgust	0.750
demon	ഭൂത	disgust	0.742
stinking	മയങ്ങി	disgust	0.742
septic	സെപ്റ്റിക്	disgust	0.742
deranged	മന്ദഹസിച്ചു	disgust	0.742
bile	പിത്തരസം	disgust	0.742
soiled	രോഗം	disgust	0.742
mucus	മ്യൂക്കസ്	disgust	0.742
abhorrence	അപമാനം	disgust	0.742
abomination	മ്ളേച്ഛത	disgust	0.742
sickening	വിരസത	disgust	0.742
demonic	ഭൂതാവിഷ്ടൻ	disgust	0.742
foul	കള്ളക്കളി	disgust	0.734
obese	പൊണ്ണത്തടി	disgust	0.734
sicken	sicken	disgust	0.734
degeneracy	ഡീജനനസി	disgust	0.734
crucifixion	കുരിശിലേറ്റൽ	disgust	0.734
despicable	നിന്ദ്യമാണ്	disgust	0.734
cancer	അർബുദം	disgust	0.734
atrocity	അതിക്രമം	disgust	0.734
terrorism	ഭീകരത	disgust	0.734
dirty	അഴുക്കായ	disgust	0.727
dysentery	അതിസാരം	disgust	0.727
adultery	വ്യഭിചാരം	disgust	0.727
contamination	മലിനീകരണം	disgust	0.727
bacterium	ബാക്ടീരിയ	disgust	0.727
diabolical	പൈശാചികമായ	disgust	0.727
morbidity	രോഗാവസ്ഥ	disgust	0.727
grisly	വൃത്തികെട്ട	disgust	0.727
repulsion	വിദ്വേഷം	disgust	0.727
enema	എരിമ	disgust	0.727
contagion	പകർച്ചവ്യാധി	disgust	0.719
disfigured	ചിരിച്ചു	disgust	0.719
muck	മുട്ടുകുത്തി	disgust	0.719
lewd	ലീവിഡ്	disgust	0.719
garbage	ചപ്പുചവറുകൾ	disgust	0.719
autopsy	പോസ്റ്റ്മോർട്ടം	disgust	0.719
bowels	കുടകൾ	disgust	0.719
gross	മൊത്തം	disgust	0.719
vulgar	അശ്ലീലമായ	disgust	0.719
barbaric	വൃത്തികെട്ട	disgust	0.719
disgust	വെറുപ്പ്	disgust	0.719
vicious	ദുഷിച്ച	disgust	0.719
entrails	ചെറുകുടൽ	disgust	0.719
deterioration	വൃത്തികെട്ട	disgust	0.719
pungent	തീർന്നിരിക്കുന്നു	disgust	0.719
bloodshed	രക്തച്ചൊരിച്ചിൽ	disgust	0.714
violent	അക്രമാസക്തൻ	disgust	0.711
tyrant	സ്വേച്ഛാധിപതി	disgust	0.711
poisoned	വിഷം	disgust	0.711
pollute	മാലിന്യം	disgust	0.711
wretched	നിരാശ	disgust	0.711
nausea	ഓക്കാനം	disgust	0.711
mortification	mortification	disgust	0.711
gag	ഉദ്വമിക്കുക	disgust	0.711
vulgarity	അശ്ലീലം	disgust	0.703
disgusting	മ്ളേച്ഛത	disgust	0.703
grope	തുടച്ചുനീക്കുക	disgust	0.703
slut	വൃത്തികെട്ട	disgust	0.703
poisoning	വിഷം	disgust	0.703
depraved	അപ്രതീക്ഷിതമായി	disgust	0.703
noxious	തീക്ഷ്ണമായ	disgust	0.703
porn	അശ്ലീലം	disgust	0.703
nasty	വഷളനാണ്	disgust	0.703
slimy	സ്ലിമ്മി	disgust	0.703
despotism	നിസ്സംഗത	disgust	0.703
nauseate	വിദ്വേഷം	disgust	0.703
secretion	സ്രവണം	disgust	0.703
constipation	മലബന്ധം	disgust	0.703
hateful	വെറുപ്പ്	disgust	0.703
grime	ഗരം	disgust	0.703
measles	മീസിൽസ്	disgust	0.696
contagious	പകരുന്ന	disgust	0.695
hellish	പാരിശ്	disgust	0.695
waste	മാലിന്യം	disgust	0.695
suicidal	ആത്മഹത്യ	disgust	0.695
abuse	ദുരുപയോഗം	disgust	0.695
hate	വെറുക്കുന്നു	disgust	0.695
wretch	ഉപദ്രവിക്കുക	disgust	0.695
intestinal	കുടൽ	disgust	0.695
wart	തക്കാളി	disgust	0.695
obesity	അമിതവണ്ണം	disgust	0.695
scum	ആക്ഷേപം	disgust	0.695
contaminated	മലിനമായത്	disgust	0.688
disease	രോഗം	disgust	0.688
rabid	കൊള്ളാം	disgust	0.688
ooze	സുഗന്ധം	disgust	0.688
treason	രാജ്യദ്രോഹം	disgust	0.688
heartworm	ഹൃദയാഘാതം	disgust	0.688
smut	പുഞ്ചിരി	disgust	0.688
cholera	കോളറ	disgust	0.680
deformed	രൂപഭേദം	disgust	0.680
detest	വെറുക്കുന്നു	disgust	0.680
bestial	മൃഗീയമായ	disgust	0.680
sickness	രോഗം	disgust	0.680
antichrist	ആന്റിക്രൈസ്റ്റ്	disgust	0.680
abhorrent	വെറുക്കുന്നു	disgust	0.680
soulless	സോൾസസ്	disgust	0.680
freakish	സ്വതന്ത്രമായ	disgust	0.680
grimy	വൃത്തികെട്ട	disgust	0.680
hatred	പക	disgust	0.680
pollution	അശുദ്ധമാക്കല്	disgust	0.680
germ	ബീജം	disgust	0.680
abominate	വെറുക്കുക	disgust	0.680
hell	നരകം	disgust	0.680
dilapidated	നശിപ്പിക്കപ്പെടുന്നു	disgust	0.672
dictatorship	ഏകാധിപത്യം	disgust	0.672
inhuman	മനുഷ്യത്വരഹിതമായ	disgust	0.672
greasy	വഴുവഴുപ്പുള്ള	disgust	0.672
hideous	ഭയാനകമായ	disgust	0.672
loathful	വെറുക്കപ്പെട്ട	disgust	0.672
obscene	അശ്ലീലമായ	disgust	0.672
loathing	വിലപേശൽ	disgust	0.672
cess	സെസ്സ്	disgust	0.670
devil	പിശാച്	disgust	0.664
heretic	പാഷൻ	disgust	0.664
nauseous	വിദ്വേഷം	disgust	0.664
abominable	വെറുപ്പുളവാക്കുന്നതാണ്	disgust	0.664
deformity	വൈകല്യം	disgust	0.664
deadly	മാരകമായ	disgust	0.664
swine	പന്നി	disgust	0.664
discrimination	വിവേചനം	disgust	0.664
masochism	മാസോയിസം	disgust	0.664
poisonous	വിഷം	disgust	0.656
prejudiced	മുൻവിധി	disgust	0.656
bacteria	ബാക്ടീരിയ	disgust	0.656
death	മരണം	disgust	0.656
poison	വിഷം	disgust	0.656
trash	ട്രാഷ്	disgust	0.656
abortion	ഗർഭഛിദ്രം	disgust	0.656
corruption	അഴിമതി	disgust	0.656
victimized	ഇരകളായി	disgust	0.656
oppression	പീഡനം	disgust	0.656
goo	ഗൂോ	disgust	0.656
latrines	കക്കകൾ	disgust	0.656
horror	ഭയങ്കരതം	disgust	0.656
horrible	ഭയങ്കര	disgust	0.656
nefarious	അശുഭകരമായ	disgust	0.656
mange	NO TRANSLATION	disgust	0.656
vindictive	വഞ്ചനാപരമായ	disgust	0.648
outhouse	outhouse	disgust	0.648
horrid	ഭയം	disgust	0.648
detestation	വെറുപ്പ്	disgust	0.648
sludge	മയക്കുമരുന്ന്	disgust	0.648
ugly	വൃത്തികെട്ട	disgust	0.648
trashy	ട്രാഷ് ആണ്	disgust	0.648
bitch	ബിച്ച്	disgust	0.648
immoral	അധാർമികത	disgust	0.648
malfeasance	തെറ്റിദ്ധാരണ	disgust	0.641
spew	തുളച്ച്	disgust	0.641
pimple	മുഖക്കുരു	disgust	0.641
indecency	നീചമായ	disgust	0.641
unsightly	മറക്കാനാവാത്ത	disgust	0.641
slop	NO TRANSLATION	disgust	0.641
villainous	വില്ലൻ	disgust	0.641
cystic	സിസിക്	disgust	0.641
horrifying	ഭയങ്കര	disgust	0.641
derogatory	അപമാനകരമായ	disgust	0.641
laxative	അടങ്ങിയിരിക്കുന്നു	disgust	0.641
criminality	കുറ്റകൃത്യം	disgust	0.641
oppressive	അടിച്ചമർത്തൽ	disgust	0.633
sinful	പാപമുണ്ട്	disgust	0.633
bigoted	വലുതാവുക	disgust	0.633
doomsday	ഡൂംസ്ഡേ	disgust	0.633
prostitution	വ്യഭിചാരം	disgust	0.633
ulcer	അൾസർ	disgust	0.633
secrete	സെക്രീറ്റ്	disgust	0.633
perpetrator	കുറ്റവാളി	disgust	0.633
rat	എലി	disgust	0.633
queasy	ക്യൂസി	disgust	0.633
mildew	വിഷമഞ്ഞു	disgust	0.633
dastardly	മടിയാ	disgust	0.625
disgraceful	ലജ്ജാകരമായ	disgust	0.625
ghastly	അഗാധമായി	disgust	0.625
persecution	ഉപദ്രവം	disgust	0.625
devilish	പിശാച്	disgust	0.625
degrading	അപകടം	disgust	0.625
obscenity	അസഭ്യം	disgust	0.625
fungus	ഫംഗസ്	disgust	0.625
sin	NO TRANSLATION	disgust	0.625
gluttony	അതിഭക്ഷകനാണ്	disgust	0.625
stools	തുണി	disgust	0.625
suffering	കഷ്ടത	disgust	0.625
contemptible	അപമാനം	disgust	0.625
cuckold	പാവം	disgust	0.625
bloated	വീര്യം	disgust	0.625
aghast	ആവേശത്തോടെ	disgust	0.625
betrayal	വഞ്ചന	disgust	0.617
guillotine	ഗില്ലറ്റിൻ	disgust	0.617
infect	ബാധിക്കുക	disgust	0.617
spoil	കൊള്ളുക	disgust	0.617
tetanus	ടെറ്റനസ്	disgust	0.617
fat	കൊഴുപ്പ്	disgust	0.617
louse	ലൗസ്	disgust	0.617
malicious	ക്ഷമാപണം	disgust	0.617
polygamy	ബഹുഭാര്യത്വം	disgust	0.617
crusty	പുറംതൊലി	disgust	0.617
atrocious	അതിക്രമം	disgust	0.617
deceit	വഞ്ചന	disgust	0.617
termite	കടൽ	disgust	0.617
loathe	വെറുക്കുക	disgust	0.617
wench	വെഞ്ച്	disgust	0.617
dying	മരിക്കുക	disgust	0.617
sickly	രോഗബാധിതനാണ്	disgust	0.617
diaper	ഡയപ്പർ	disgust	0.617
strangle	ഞെക്കുക	disgust	0.617
drool	ഡ്രോൾ	disgust	0.609
slander	ദൂഷണം	disgust	0.609
abhor	വെറുക്കുക	disgust	0.609
venomous	വിഷം	disgust	0.609
brothel	വേശ്യാലയം	disgust	0.609
ghetto	ഗെറ്റോ	disgust	0.609
violently	അക്രമപരമായി	disgust	0.609
hostile	ശത്രുതാപരമായ	disgust	0.609
sabotage	അട്ടിമറി	disgust	0.609
deform	വക്രമായ	disgust	0.609
bleeding	രക്തസ്രാവം	disgust	0.609
unwashed	കഴുകാതെ	disgust	0.602
lunacy	സൌമ്യ	disgust	0.602
imprisonment	തടവ്	disgust	0.602
infidel	അവിശ്വാസി	disgust	0.602
deprivation	നഷ്ടം	disgust	0.602
traitor	വഞ്ചകൻ	disgust	0.602
ugliness	വിദ്വേഷം	disgust	0.602
musty	മുഷിഞ്ഞ	disgust	0.602
illicit	കള്ളം പറയുക	disgust	0.602
swampy	സ്വാമ്പി	disgust	0.602
poaching	വേട്ടയാടുക	disgust	0.602
hag	ഹാഗുചെയ്യുക	disgust	0.602
butcher	കശാപ്പ്	disgust	0.594
lunatic	ഭ്രാന്തൻ	disgust	0.594
venom	വിഷം	disgust	0.594
repelling	വിരമിച്ച്	disgust	0.594
thug	തഗ്	disgust	0.594
misery	ദുരിതം	disgust	0.594
toilet	ടോയ്ലറ്റ്	disgust	0.594
slug	മയക്കുമരുന്ന്	disgust	0.594
catastrophe	ദുരന്തം	disgust	0.594
epidemic	പകർച്ചവ്യാധി	disgust	0.594
gut	ജീവൻ	disgust	0.594
intoxicated	ലഹരിചെയ്തു	disgust	0.594
blister	പൊള്ളൽ	disgust	0.594
deceitful	വഞ്ചനാപരമായ	disgust	0.594
hostility	ശത്രുത	disgust	0.594
queasiness	ക്വിസ്നിസ്	disgust	0.594
lurid	മദ്യം	disgust	0.594
sinner	പാപി	disgust	0.594
incubus	ഇൻകുബസ്	disgust	0.586
lavatory	ലഭ്യമാക്കൽ	disgust	0.586
harass	ശല്യപ്പെടുത്തൂ	disgust	0.586
unclean	അശുദ്ധൻ	disgust	0.586
prostitute	വേശ്യ	disgust	0.586
pornography	അശ്ലീലത	disgust	0.586
dreadful	ഭയങ്കര	disgust	0.586
deteriorated	മോശമായി	disgust	0.586
appalling	ശല്യപ്പെടുത്തൽ	disgust	0.586
unfaithful	അവിശ്വസ്തത	disgust	0.578
rash	ചൊറി	disgust	0.578
humiliating	അപമാനകരമായ	disgust	0.578
ruinous	നാശം	disgust	0.578
squeamish	അശ്ലീലം	disgust	0.578
offensive	കുറ്റകൃത്യം	disgust	0.578
conspirator	ഗൂഢാലോചന	disgust	0.578
larceny	ലാർസെൻ	disgust	0.578
debauchery	വഞ്ചന	disgust	0.578
mangle	മാംഗി	disgust	0.578
flea	ചെറുകുടൽ	disgust	0.578
hypocrite	കപടഭക്തൻ	disgust	0.578
retard	തുടരുക	disgust	0.578
fiend	കൂലി	disgust	0.578
sick	രോഗം	disgust	0.578
quagmire	ചതുർഭുജം	disgust	0.578
expulsion	പുറത്താക്കൽ	disgust	0.578
treacherous	വഞ്ചകൻ	disgust	0.570
dogsick	NO TRANSLATION	disgust	0.570
spit	തുളച്ച്	disgust	0.570
devastating	വിനാശകരമായ	disgust	0.570
bastard	തന്തയില്ലാത്തവൻ	disgust	0.570
messy	കുഴപ്പമില്ല	disgust	0.570
flog	മായ്ക്കുക	disgust	0.570
egregious	അതിശയകരമായ	disgust	0.570
swamp	ചതുപ്പുനിലം	disgust	0.570
oppress	അടിച്ചമർത്തുക	disgust	0.570
despise	തുച്ഛീകരിക്കുക	disgust	0.570
dank	NO TRANSLATION	disgust	0.570
serpent	സർപ്പം	disgust	0.570
snake	പാമ്പ്	disgust	0.562
terrible	ഭയങ്കര	disgust	0.562
awful	ഭീകരമായ	disgust	0.562
harmful	ഹാനികരമായ	disgust	0.562
insanity	ഭ്രാന്ത്	disgust	0.562
indecent	അശ്ലീലം	disgust	0.562
sordid	ദുർമ്മോഹം	disgust	0.562
loo	ലൂ	disgust	0.562
scoundrel	തെമ്മാടി	disgust	0.562
enemy	ശത്രു	disgust	0.562
stealing	മോഷ്ടിക്കുന്നു	disgust	0.562
alcoholism	മദ്യപാനം	disgust	0.562
humiliation	അപമാനം	disgust	0.562
ruthless	രസകരമെന്നു പറയാം	disgust	0.562
sloppy	അലസമായ	disgust	0.562
tyrannical	നിരപരാധിയായ	disgust	0.562
harlot	വേശ്യ	disgust	0.562
sinning	പാപം ചെയ്തു	disgust	0.562
robbery	കവർച്ച	disgust	0.555
insufferable	അശക്തമായ	disgust	0.555
arsenic	ആർസെനിക്	disgust	0.555
bloody	രക്തരൂക്ഷിതമായ	disgust	0.555
odious	അസാധാരണമാണ്	disgust	0.555
ridicule	പരിഹാസ്യമാണ്	disgust	0.555
atrophy	അണ്ഡോഫി	disgust	0.555
beastly	മൃഗീയമായി	disgust	0.555
collusion	കൂട്ടിയിടി	disgust	0.555
distaste	വിദൂരമായ	disgust	0.555
segregate	വേർതിരിക്കൽ	disgust	0.555
discriminating	വിവേചനാധികാരം	disgust	0.555
coward	ഭീരു	disgust	0.555
wickedness	ദുഷ്ടത	disgust	0.555
threatening	ഭീഷണിപ്പെടുത്തുന്നു	disgust	0.555
unattractive	ആകർഷണീയമല്ല	disgust	0.555
slayer	കുല	disgust	0.555
flabby	ഫ്ളാബി	disgust	0.555
varicella	varicella	disgust	0.555
miserable	ദുഖം	disgust	0.547
sty	ശൈലി	disgust	0.547
ogre	ഒഗ്ര	disgust	0.547
coercion	നിർബന്ധം	disgust	0.547
thief	മോഷ്ടാവ്	disgust	0.547
slur	മങ്ങിക്കുക	disgust	0.547
suffocating	ശ്വാസോച്ഛ്വാസം	disgust	0.547
anathema	അനത്വമ	disgust	0.547
purgatory	ശുദ്ധീകരണശാല	disgust	0.547
malevolent	വഞ്ചന	disgust	0.547
bitterly	കയ്പുള്ള	disgust	0.547
burglar	കവർച്ചക്കാരൻ	disgust	0.547
attacking	ആക്രമിക്കുന്നു	disgust	0.547
vesicular	വെസെക്യുലർ	disgust	0.547
condemnation	ശിക്ഷാവിധി	disgust	0.547
pillage	കവർച്ച	disgust	0.547
deleterious	വിഷാദം	disgust	0.547
thrash	തട്ടുക	disgust	0.539
repellant	repellant	disgust	0.539
repudiation	നിഷേധിക്കുക	disgust	0.539
infidelity	അവിശ്വസ്തത	disgust	0.539
liar	നുണയൻ	disgust	0.539
fatty	കൊഴുപ്പ്	disgust	0.539
gob	ഗോബി	disgust	0.539
sneer	സ്നെർ	disgust	0.539
drunken	മദ്യപാനം	disgust	0.539
disgrace	അപമാനം	disgust	0.539
shame	ലജ്ജ	disgust	0.539
jealous	അസൂയ	disgust	0.539
imprisoned	തടവിൽ	disgust	0.539
pig	പന്നി	disgust	0.539
greedy	കൊതിയന്മാർ	disgust	0.539
sloth	മന്ദബുദ്ധി	disgust	0.539
lethal	മാരകമായ	disgust	0.536
burnt	ചുട്ടുകളഞ്ഞു	disgust	0.531
aberration	അപരാധം	disgust	0.531
condescension	സാന്ത്വന സങ്കോചം	disgust	0.531
hydrocephalus	ഹൈഡ്രോസെഫാലസ്	disgust	0.531
hanging	തൂക്കിക്കൊല്ലൽ	disgust	0.531
destructive	വിനാശകരമായ	disgust	0.531
smuggler	കള്ളക്കടത്തുകാരൻ	disgust	0.531
intolerant	അസഹിഷ്ണുത	disgust	0.531
travesty	വഞ്ചന	disgust	0.531
intrusive	അത്യധികമായിരിക്കും	disgust	0.531
ruined	നശിപ്പിച്ചു	disgust	0.531
withered	ഉണങ്ങിപ്പോയി	disgust	0.531
disintegrate	ശിഥിലമായത്	disgust	0.531
brawl	കൊള്ളാം	disgust	0.531
blemish	കളങ്കം	disgust	0.531
neurotic	നർമ്മം	disgust	0.531
blasphemous	ദൈവനിന്ദ	disgust	0.531
lying	കിടക്കുന്നു	disgust	0.531
painful	വേദനാജനകമാണ്	disgust	0.531
avarice	അമിതമായി	disgust	0.523
disgraced	ലജ്ജാകരമായ	disgust	0.523
mistress	യജമാനത്തി	disgust	0.523
disparaging	ശോഭിക്കുന്നു	disgust	0.523
rubbish	കൊള്ളാം	disgust	0.523
derogation	നിർവ്വചനം	disgust	0.523
accusation	കുറ്റാരോപണം	disgust	0.523
intolerance	അസഹിഷ്ണുത	disgust	0.523
incarceration	തടവ്	disgust	0.523
blighted	നശിച്ചുപോയി	disgust	0.523
sump	സമ്പ്	disgust	0.516
deplorable	വല്ലാത്ത	disgust	0.516
daemon	ഡെമൻ	disgust	0.516
cringe	നിലം ഉഴുകില്ല	disgust	0.516
degrade	degrade	disgust	0.516
gutter	ഗട്ടർ	disgust	0.516
rob	കവര്ച്ച	disgust	0.516
grim	ഗംഭീരം	disgust	0.516
defraud	വഞ്ചന	disgust	0.516
tortious	ക്രൂരനായ	disgust	0.516
eradication	നശീകരണം	disgust	0.516
stink	നാറ്റം	disgust	0.516
convict	കുറ്റവാളി	disgust	0.516
dishonor	അനാദരവാണ്	disgust	0.516
vulture	കഴുകൻ	disgust	0.516
remains	അവശേഷിക്കുന്നു	disgust	0.516
mite	കാശുപോലും	disgust	0.516
betray	വഞ്ചന	disgust	0.516
sham	ഷാം	disgust	0.509
endemic	എൻഡെമിക്	disgust	0.508
bombed	ബോംബ് ചെയ്തു	disgust	0.508
distress	കഷ്ടത	disgust	0.508
pest	കീടങ്ങളെ	disgust	0.508
incurable	മാറാനാകാത്തത്	disgust	0.508
worthless	വിലകെട്ട	disgust	0.508
rejection	തിരസ്കരണം	disgust	0.508
distasteful	വികലമായ	disgust	0.508
schizophrenia	സ്കീസോഫ്രേനിയ	disgust	0.508
belittle	പുച്ഛം	disgust	0.508
smelling	മണം	disgust	0.508
cheat	ചതിക്കുക	disgust	0.508
blob	ബ്ളോബ്	disgust	0.508
prisoner	തടവുകാരൻ	disgust	0.508
idiocy	ഇടുങ്ങിയ	disgust	0.508
delirium	delirium	disgust	0.508
disaster	ദുരന്തം	disgust	0.508
crude	ക്രൂഡ്	disgust	0.508
resentment	നീരസം	disgust	0.508
dreadfully	ഭയമായി	disgust	0.508
glut	ഗ്ലാട്ട്	disgust	0.508
polemic	വിവാദം	disgust	0.500
