word	Luxembourgish-lb	emotion	emotion-intensity-score
shaky	wackelen	anticipation	0.469
dawn	Dämmerung	anticipation	0.469
creeping	verkrauchen	anticipation	0.469
cheerfulness	liewend	anticipation	0.461
soundness	Fräiraum	anticipation	0.461
mail	mail	anticipation	0.461
draft	Projet	anticipation	0.461
preliminary	Viraus	anticipation	0.461
friendly	frëndlech	anticipation	0.461
commemorative	Gedenkmënzen	anticipation	0.461
extricate	auszeschwätzen	anticipation	0.461
alive	lieweg	anticipation	0.461
untold	onendlech	anticipation	0.461
overture	Ouverturen	anticipation	0.461
excel	excel	anticipation	0.461
plight	Plëtz	anticipation	0.461
synchronize	synchroniséieren	anticipation	0.461
punt	Punkten	anticipation	0.461
sanctuary	geheescht	anticipation	0.461
brilliant	brilliant	anticipation	0.461
pay	bezuelt ginn	anticipation	0.461
shining	schéngt	anticipation	0.461
regatta	Regatta	anticipation	0.461
testament	Testament	anticipation	0.461
jeopardy	Geeschter	anticipation	0.461
perpetuity	ëmmerhalteg	anticipation	0.453
elegance	Eleganz	anticipation	0.453
career	Carrière	anticipation	0.453
basketball	Basketball	anticipation	0.453
intimately	intim	anticipation	0.453
renovate	renovéieren	anticipation	0.453
supremacy	Iwwerraschung	anticipation	0.453
infinity	Onendlechkeet	anticipation	0.453
unexpected	onerwaart	anticipation	0.453
flinch	derguerten	anticipation	0.453
complement	ergänzen	anticipation	0.453
prologue	Prolog	anticipation	0.453
compliment	NO TRANSLATION	anticipation	0.453
prevention	Verhënnerung	anticipation	0.453
improve	verbesseren	anticipation	0.453
sunset	Sonn ënnerhalen	anticipation	0.453
inaugural	Inauguratioun	anticipation	0.453
rehabilitation	Rehabilitatioun	anticipation	0.453
fitting	passen	anticipation	0.445
surround	ëmginn	anticipation	0.445
share	ze deelen	anticipation	0.445
epidemic	Epidemie	anticipation	0.445
sweet	séiss	anticipation	0.445
fain	NO TRANSLATION	anticipation	0.445
concealment	Verstoppt	anticipation	0.445
confidence	Vertrauen	anticipation	0.445
perfect	perfekt	anticipation	0.445
sun	Sonn	anticipation	0.445
veracity	Richtegkeet	anticipation	0.445
volunteer	Benevolen	anticipation	0.445
conjecture	Gewunnecht	anticipation	0.445
medical	medezinesch	anticipation	0.438
prepared	preparéiert	anticipation	0.438
superstitious	superstitiös	anticipation	0.438
reconstruction	Rekonstruktioun	anticipation	0.438
tickle	killen	anticipation	0.438
faith	Glawen	anticipation	0.438
passenger	Passagéier	anticipation	0.438
saint	saint	anticipation	0.438
respect	respektéieren	anticipation	0.438
rabid	roseg	anticipation	0.438
reconstruct	rekonstruéieren	anticipation	0.438
recombination	Rekombinatioun	anticipation	0.438
devout	verdeedegt	anticipation	0.438
goodness	Gutt	anticipation	0.438
angel	Engel	anticipation	0.438
ferment	ferment	anticipation	0.438
plea	Opruff	anticipation	0.438
aloha	fréier	anticipation	0.438
serial	serial	anticipation	0.438
conservation	Conservatioun	anticipation	0.438
serenity	Serenitéit	anticipation	0.430
tabulate	tabuléis	anticipation	0.430
install	installéieren	anticipation	0.430
labyrinth	Labberänt	anticipation	0.430
venerable	veronséchert	anticipation	0.430
perpetuate	ze preparéieren	anticipation	0.430
strategist	Sträitpist	anticipation	0.430
unverified	net verifizéiert	anticipation	0.430
tribunal	Tribunal	anticipation	0.430
charitable	Wëllkomm	anticipation	0.430
luscious	Luscious	anticipation	0.430
spa	Spa	anticipation	0.430
peace	Fridden	anticipation	0.430
clap	klatscht	anticipation	0.430
conspirator	Conspirator	anticipation	0.422
forestall	virgeet	anticipation	0.422
patience	Gedold	anticipation	0.422
oasis	Oasis	anticipation	0.422
grin	Grinsen	anticipation	0.422
revere	verleet	anticipation	0.422
worship	Kultplaz	anticipation	0.422
vista	Vista	anticipation	0.422
laughter	laacht	anticipation	0.422
volatility	Volatilitéit	anticipation	0.422
adrift	ofgëtt	anticipation	0.422
candid	Kandidat	anticipation	0.422
edification	Edukatioun	anticipation	0.422
unresolved	ongeléiste sinn	anticipation	0.422
peaceful	friddlech	anticipation	0.422
recognizable	erkennbar sinn	anticipation	0.422
calls	Uriff	anticipation	0.414
weigh	weien	anticipation	0.414
probation	Prouf	anticipation	0.414
proficiency	Kenntnis	anticipation	0.414
morn	muer	anticipation	0.414
craps	Craps	anticipation	0.414
detainee	Prisonnéier	anticipation	0.414
mediate	ze vermëttelen	anticipation	0.414
continue	weider	anticipation	0.414
astrologer	Astrolog ginn	anticipation	0.414
punctual	Pünktlech	anticipation	0.414
ordination	Koordinatioun	anticipation	0.414
pretty	flott	anticipation	0.414
thought	geduecht	anticipation	0.414
grant	Subventiounen	anticipation	0.414
withstand	bleiwen	anticipation	0.414
frisky	frësch	anticipation	0.414
ongoing	weider lafen	anticipation	0.414
sing	sangen	anticipation	0.411
long	laang	anticipation	0.406
confession	Beicht huet	anticipation	0.406
headlight	Scheinwerfer	anticipation	0.406
prophylactic	prophylaktesch	anticipation	0.406
mother	Mamm	anticipation	0.406
debenture	Akommes	anticipation	0.406
wizard	Assistent	anticipation	0.406
university	Uni	anticipation	0.406
proud	houfreg	anticipation	0.406
midwife	Héicht	anticipation	0.406
banquet	Bankett	anticipation	0.406
continuation	Fortsetzen	anticipation	0.406
navigable	transportéiert	anticipation	0.406
punished	bestrooft ginn	anticipation	0.406
chicane	chicane	anticipation	0.406
comfort	bequem	anticipation	0.406
opponent	Géigner	anticipation	0.406
subscribe	abonnéieren	anticipation	0.406
outdo	géigesäiteg	anticipation	0.406
nurture	ze loossen	anticipation	0.406
twinkle	z'entwéckelen	anticipation	0.406
deal	ze maachen	anticipation	0.402
efficient	effizient	anticipation	0.398
representing	representativ sinn	anticipation	0.398
simmer	ze liesen	anticipation	0.398
symphony	Symphonie	anticipation	0.398
judiciary	Justiz	anticipation	0.398
obliging	verpflicht	anticipation	0.398
saintly	saintly	anticipation	0.398
vigil	Ustrengung	anticipation	0.398
death	Doud	anticipation	0.398
distracting	ze distractéieren	anticipation	0.398
mortification	Mördung	anticipation	0.398
balm	Balm	anticipation	0.398
guillotine	Guillotine	anticipation	0.398
top	erop	anticipation	0.398
lettered	geschriwwen	anticipation	0.398
reliance	Reliance	anticipation	0.398
poke	Pabeier	anticipation	0.391
unfulfilled	net erfollegräich	anticipation	0.391
assurance	assurance	anticipation	0.391
condemnation	Veruerteelung	anticipation	0.391
undoubted	sécher	anticipation	0.391
diplomacy	Diplomatie	anticipation	0.391
familiarity	vertraut	anticipation	0.391
antidote	antidot	anticipation	0.391
chuckle	Guckel	anticipation	0.391
objective	Objektiv	anticipation	0.391
maternal	maternité	anticipation	0.391
abeyance	bliwwen	anticipation	0.391
art	Konscht	anticipation	0.391
linger	bleiwen	anticipation	0.391
trust	Vertrauen	anticipation	0.391
depraved	Schildkröt	anticipation	0.391
sanctify	geheescht	anticipation	0.391
inoculation	Ofkillung	anticipation	0.384
chant	chant	anticipation	0.383
banger	Bande	anticipation	0.383
playground	Spillplaz	anticipation	0.383
failing	net nokënnt	anticipation	0.383
ship	Schëff	anticipation	0.383
hymn	Hymn	anticipation	0.383
simplify	vereinfachen	anticipation	0.383
ram	Ram	anticipation	0.383
labor	Aarbecht	anticipation	0.383
discretion	Diskretioun	anticipation	0.383
hap	NO TRANSLATION	anticipation	0.383
good	gutt	anticipation	0.383
scientist	Wëssenschaftler	anticipation	0.383
undecided	net akzeptéiert	anticipation	0.383
humanitarian	humanitär	anticipation	0.383
depend	hänken	anticipation	0.383
dutiful	gehalllos	anticipation	0.383
clock	Auer	anticipation	0.375
sterling	Sterling	anticipation	0.375
mountain	Bierg	anticipation	0.375
savor	genéissen	anticipation	0.375
recurrent	Ëmlafbunn	anticipation	0.375
interim	zielen	anticipation	0.375
navigator	Navigatioun	anticipation	0.375
gradual	graduell	anticipation	0.375
interminable	ze verhënneren	anticipation	0.375
track	Streck	anticipation	0.375
public	der Ëffentlechkeet	anticipation	0.375
cradle	Wéiendénger	anticipation	0.375
concealed	versteet	anticipation	0.367
lesson	léieren	anticipation	0.367
instructions	Instruktiounen	anticipation	0.367
shiver	zitt	anticipation	0.367
musical	musikalesch	anticipation	0.367
towering	opgeriicht	anticipation	0.367
whim	schmaacht	anticipation	0.367
spear	Speer	anticipation	0.367
convince	iwwerzeegen	anticipation	0.367
sonar	Sonar	anticipation	0.367
abide	bleiwe kann	anticipation	0.367
biennial	biennial	anticipation	0.367
theology	Theologie	anticipation	0.359
offset	versetzt	anticipation	0.359
atone	eriwwer	anticipation	0.359
timidity	schief	anticipation	0.359
theory	Theorie	anticipation	0.359
undying	onverännert	anticipation	0.359
plump	plump	anticipation	0.359
audience	Publikum	anticipation	0.357
nobility	Adel huet	anticipation	0.352
paragon	Paragon	anticipation	0.352
dietary	Nahrung	anticipation	0.352
closure	zou	anticipation	0.352
store	gespäichert	anticipation	0.352
localize	lokaliséieren	anticipation	0.352
cramp	gekräizt	anticipation	0.352
daily	all Dag	anticipation	0.352
kindred	Räich	anticipation	0.352
farm	Haff	anticipation	0.352
edition	Editioun	anticipation	0.352
consecration	geweit	anticipation	0.352
archaeology	Archeologie	anticipation	0.344
mobile	mobil ass	anticipation	0.344
errand	komm sinn	anticipation	0.344
wireless	Funk	anticipation	0.344
mutable	Méiglëchkeet	anticipation	0.344
meditate	Meditatioun	anticipation	0.344
stripped	ergréifen	anticipation	0.344
lessen	manner maachen	anticipation	0.336
unaccountable	onverantwortlech sinn	anticipation	0.336
pare	NO TRANSLATION	anticipation	0.336
brotherly	Brudder	anticipation	0.336
buddy	Buddy	anticipation	0.336
unbeaten	onbeat	anticipation	0.336
germ	Keimstär	anticipation	0.336
dove	Dauf	anticipation	0.328
digress	loossen	anticipation	0.328
ribbon	Trikolorbas	anticipation	0.328
olfactory	Nues	anticipation	0.328
patient	Patient	anticipation	0.328
council	Gemengerot	anticipation	0.328
possess	besëtzen	anticipation	0.328
secular	weltlech	anticipation	0.328
chastity	Keelt	anticipation	0.328
disposed	entsuergt ginn	anticipation	0.320
regularity	Regularitéit	anticipation	0.320
mediator	Mediateur	anticipation	0.320
scrutinize	ze scrutéieren	anticipation	0.320
fancy	Loscht	anticipation	0.320
immature	ongerecht sinn	anticipation	0.320
infanticide	Infantit	anticipation	0.320
heft	Heft	anticipation	0.320
preservative	Konservativ	anticipation	0.320
paddle	Paddel	anticipation	0.320
cove	Bucht	anticipation	0.320
denying	ze verwalten	anticipation	0.312
bugle	bugle	anticipation	0.312
unpublished	onendlech verëffentlecht	anticipation	0.312
analyst	Analyst	anticipation	0.312
grim	verbonne sinn	anticipation	0.312
church	Kierch	anticipation	0.312
priesthood	Priister	anticipation	0.305
mill	Mëllech	anticipation	0.305
judicial	juristesch	anticipation	0.305
broadside	Broadview	anticipation	0.305
tributary	Niewefloss	anticipation	0.297
cap	cap	anticipation	0.297
thermocouple	Thermoelement	anticipation	0.297
dismay	net kadréiert	anticipation	0.297
instructor	Ausbilder	anticipation	0.297
saliva	Spaut	anticipation	0.297
exhaustion	erauszekréien	anticipation	0.297
bruise	bruise	anticipation	0.289
wont	NO TRANSLATION	anticipation	0.289
homeless	hiert Doheem	anticipation	0.289
visor	Visor	anticipation	0.289
discreet	NO TRANSLATION	anticipation	0.289
network	Netz	anticipation	0.289
shackle	gefuddelen	anticipation	0.289
addresses	Adressen	anticipation	0.289
noncompliance	Inkompetenz	anticipation	0.289
cataract	Katarakt	anticipation	0.289
skewed	Fändel geschnidden	anticipation	0.281
astronomer	Astronom	anticipation	0.281
neighbor	Noper	anticipation	0.281
holiness	Hellegkeet	anticipation	0.273
devil	Däiwel	anticipation	0.273
cream	Crème	anticipation	0.273
picket	Paus	anticipation	0.273
latent	latent	anticipation	0.273
immaturity	onméiglech	anticipation	0.273
sentence	Saz	anticipation	0.273
neighborhood	Noperschaft	anticipation	0.266
morals	Moral	anticipation	0.266
lull	opléisen	anticipation	0.266
habitual	gewéinlech	anticipation	0.266
weight	Gewiicht	anticipation	0.258
bye	Äddi	anticipation	0.258
forearm	Ënnerscheed	anticipation	0.250
clown	Clown	anticipation	0.250
organ	Uergel	anticipation	0.250
quote	Devis	anticipation	0.242
commonplace	allgemeng	anticipation	0.242
dictatorship	Diktatur	anticipation	0.234
board	Bord	anticipation	0.234
white	wäiss	anticipation	0.234
treadmill	Läffel	anticipation	0.234
rail	Schinnen	anticipation	0.234
sundial	Sonneliicht	anticipation	0.227
tree	Bam	anticipation	0.227
paralysis	Lähmung	anticipation	0.211
worm	Wuerm	anticipation	0.203
organization	Organisatioun	anticipation	0.203
cement	Zement	anticipation	0.203
lagging	zréckgezunn	anticipation	0.180
neutral	neutral war	anticipation	0.148
cannibalism	Kannibalismus	disgust	0.953
mutilation	Mutilatioun	disgust	0.930
molestation	molen	disgust	0.914
incest	Inzest	disgust	0.914
gonorrhea	gonorrhoa	disgust	0.906
rape	Geriicht	disgust	0.906
cannibal	Kanibahl	disgust	0.898
rot	verrot	disgust	0.891
corpse	Läich	disgust	0.883
massacre	Massaker	disgust	0.883
excrement	Späicher	disgust	0.883
slaughter	Schluechten	disgust	0.875
barf	Barf	disgust	0.875
slaughterhouse	Schluechthaus	disgust	0.867
rancid	Ranz	disgust	0.859
sewerage	Kanalisatioun	disgust	0.859
incestuous	Incente	disgust	0.859
filth	verdronk	disgust	0.859
bigot	Bigot	disgust	0.859
infestation	Stéierbefall	disgust	0.852
plague	Pescht	disgust	0.852
bloodthirsty	Bluttherberg	disgust	0.852
holocaust	der Holocaar	disgust	0.852
rotting	Rottung	disgust	0.844
maggot	maggot	disgust	0.844
feces	gewalzt	disgust	0.844
fecal	fecal	disgust	0.844
murder	Ermordung	disgust	0.839
infanticide	Infantit	disgust	0.836
homicide	ugeklot	disgust	0.836
asshole	gelauschtert	disgust	0.836
enslaved	versklavt	disgust	0.836
gore	Äerdbord	disgust	0.828
perverted	pervertéiert	disgust	0.828
torture	gefoltert	disgust	0.828
slaughtering	Schluechung	disgust	0.828
excretion	Ausbroch	disgust	0.828
contaminate	kontaminéieren	disgust	0.821
murderer	Mäerder	disgust	0.820
gory	gory	disgust	0.820
repugnant	zréckzeginn	disgust	0.820
desecration	bezeechent	disgust	0.820
grotesque	Grot	disgust	0.820
revolting	Revolting	disgust	0.820
diarrhoea	d`Toilette	disgust	0.820
manure	gefleegt	disgust	0.820
terrorist	Terrorist	disgust	0.820
shit	Scheiss	disgust	0.820
pervert	pervert	disgust	0.820
slavery	Sklaverei	disgust	0.812
faeces	gefleckt	disgust	0.812
sewer	Kanalisatioun	disgust	0.812
vomit	erof	disgust	0.812
manslaughter	Onschëlleg ugeet	disgust	0.812
dismemberment	zerklengert	disgust	0.812
cadaver	Kadaver	disgust	0.812
hemorrhage	Blutt	disgust	0.805
repulsive	repulsiv sinn	disgust	0.805
perverse	pervers	disgust	0.805
filthy	knaschteg	disgust	0.797
sewage	Kläranlag	disgust	0.797
depravity	Schiedlechkeet	disgust	0.797
diseased	Krankheet	disgust	0.797
carcass	Kaddos	disgust	0.795
decompose	Zalot	disgust	0.789
vermin	vermin	disgust	0.789
puke	Kéiseker	disgust	0.789
parasite	Parasit	disgust	0.789
horrific	schrecklech	disgust	0.789
gruesome	grausome	disgust	0.789
dung	NO TRANSLATION	disgust	0.789
mutilated	gekräizegt	disgust	0.789
murderous	mäerderesch	disgust	0.789
decayed	zerfält	disgust	0.789
herpes	Herpes	disgust	0.789
slime	Schong	disgust	0.781
flatulence	Planung	disgust	0.781
monstrosity	Monstrositéit	disgust	0.781
carnage	carnage	disgust	0.781
pestilence	Peschtepidemie	disgust	0.781
malaria	Malaria	disgust	0.781
crap	Schäiss	disgust	0.781
toxic	toxesch	disgust	0.773
loathsome	loosst	disgust	0.773
insidious	verseet	disgust	0.773
leprosy	Verhältnisser	disgust	0.773
morgue	Morgue	disgust	0.773
pus	Eeter	disgust	0.773
herpesvirus	Herpesvirus	disgust	0.773
whore	Schwämm	disgust	0.766
cruel	grausam	disgust	0.766
repugnance	Rehabilitatiouns	disgust	0.766
revulsion	verscheucht	disgust	0.766
xenophobia	Xenophobie	disgust	0.766
regurgitation	Regurgitatioun	disgust	0.766
anthrax	Anthrax	disgust	0.766
lynch	lynch	disgust	0.766
dissection	ofgeschnidden	disgust	0.759
canker	canker	disgust	0.758
cruelty	Grausamkeet	disgust	0.758
perversion	Perversioun	disgust	0.758
evil	béis	disgust	0.758
slum	schummt	disgust	0.758
infectious	infektiiv ass	disgust	0.758
mucous	mat Schleifen	disgust	0.758
phlegm	Phlegm	disgust	0.758
leeches	leeches	disgust	0.750
decomposition	Zerfall	disgust	0.750
sinister	onheemlech	disgust	0.750
corrupting	korrupt	disgust	0.750
demon	Demon	disgust	0.742
stinking	gewäsch	disgust	0.742
septic	Septik	disgust	0.742
deranged	verwiesselt huet	disgust	0.742
bile	Galle	disgust	0.742
soiled	verschmëselt	disgust	0.742
mucus	Mucus	disgust	0.742
abhorrence	Aborrence	disgust	0.742
abomination	Abominatioun	disgust	0.742
sickening	ze krank sinn	disgust	0.742
demonic	demonescher	disgust	0.742
foul	gaangen	disgust	0.734
obese	mueres	disgust	0.734
sicken	sicken	disgust	0.734
degeneracy	degeneréieren	disgust	0.734
crucifixion	Crucificatioun	disgust	0.734
despicable	ze feelen	disgust	0.734
cancer	Kriibs	disgust	0.734
atrocity	Grausamkeet	disgust	0.734
terrorism	Terrorismus	disgust	0.734
dirty	dreckeg	disgust	0.727
dysentery	Dysenterie	disgust	0.727
adultery	Eeghel	disgust	0.727
contamination	Kontaminatioun	disgust	0.727
bacterium	Bakterium	disgust	0.727
diabolical	diabolesch sinn	disgust	0.727
morbidity	morbid	disgust	0.727
grisly	grisly	disgust	0.727
repulsion	repulsioun	disgust	0.727
enema	enema	disgust	0.727
contagion	ze contradéieren	disgust	0.719
disfigured	z'entwéckelen	disgust	0.719
muck	geckeg	disgust	0.719
lewd	erhalen	disgust	0.719
garbage	Gerempels	disgust	0.719
autopsy	Autopsie	disgust	0.719
bowels	Dären	disgust	0.719
gross	Bruttoakommes	disgust	0.719
vulgar	vulgär	disgust	0.719
barbaric	barbaresch	disgust	0.719
disgust	Ekus	disgust	0.719
vicious	béiser	disgust	0.719
entrails	erlaabt	disgust	0.719
deterioration	Verschlechterung	disgust	0.719
pungent	ofsëtzen	disgust	0.719
bloodshed	Bluttzocker	disgust	0.714
violent	gewalteg	disgust	0.711
tyrant	Tyrann	disgust	0.711
poisoned	vergëft	disgust	0.711
pollute	verschmotzt	disgust	0.711
wretched	schwaach	disgust	0.711
nausea	entfouert	disgust	0.711
mortification	Mördung	disgust	0.711
gag	gag	disgust	0.711
vulgarity	Vulgaritéit	disgust	0.703
disgusting	ekbäi	disgust	0.703
grope	Tëschefäll	disgust	0.703
slut	Streech	disgust	0.703
poisoning	Vergëftung	disgust	0.703
depraved	Schildkröt	disgust	0.703
noxious	verspott	disgust	0.703
porn	Porno	disgust	0.703
nasty	béis	disgust	0.703
slimy	lues schlëmm	disgust	0.703
despotism	Despotismus	disgust	0.703
nauseate	néng Iwwerstëmmung	disgust	0.703
secretion	geheim	disgust	0.703
constipation	Verstippt	disgust	0.703
hateful	gaeren	disgust	0.703
grime	vermëschen	disgust	0.703
measles	Mëllech	disgust	0.696
contagious	ustiechend	disgust	0.695
hellish	hellish	disgust	0.695
waste	Offall	disgust	0.695
suicidal	Suizid	disgust	0.695
abuse	Mëssbrauch	disgust	0.695
hate	hate	disgust	0.695
wretch	den Trouscht	disgust	0.695
intestinal	den Intestin	disgust	0.695
wart	opgoen	disgust	0.695
obesity	Obesitéit	disgust	0.695
scum	scum	disgust	0.695
contaminated	kontaminéiert	disgust	0.688
disease	Krankheet	disgust	0.688
rabid	roseg	disgust	0.688
ooze	ooze maachen	disgust	0.688
treason	Verrot huet	disgust	0.688
heartworm	Perkussioun	disgust	0.688
smut	Schéiss	disgust	0.688
cholera	Cholera	disgust	0.680
deformed	deforméiert	disgust	0.680
detest	Onsécherheet	disgust	0.680
bestial	Bestial	disgust	0.680
sickness	Krankheet	disgust	0.680
antichrist	Antichrist	disgust	0.680
abhorrent	ongënschteg sinn	disgust	0.680
soulless	Onlosheet	disgust	0.680
freakish	freakesch	disgust	0.680
grimy	lasszeginn	disgust	0.680
hatred	Haass	disgust	0.680
pollution	Verschmotzung	disgust	0.680
germ	Keimstär	disgust	0.680
abominate	Abominat	disgust	0.680
hell	Hell	disgust	0.680
dilapidated	verfall gemaach	disgust	0.672
dictatorship	Diktatur	disgust	0.672
inhuman	onmënschlech	disgust	0.672
greasy	fett	disgust	0.672
hideous	Ahnung	disgust	0.672
loathful	logement	disgust	0.672
obscene	Obszönitéit	disgust	0.672
loathing	gehale ginn	disgust	0.672
cess	gitt	disgust	0.670
devil	Däiwel	disgust	0.664
heretic	Häerzer	disgust	0.664
nauseous	Nuddel	disgust	0.664
abominable	onberechenbar	disgust	0.664
deformity	Verformung	disgust	0.664
deadly	déidlech	disgust	0.664
swine	Schweinegänger	disgust	0.664
discrimination	Diskriminatioun	disgust	0.664
masochism	Maschismus	disgust	0.664
poisonous	gëfteg	disgust	0.656
prejudiced	präjudizéiert gëtt	disgust	0.656
bacteria	Bakterien	disgust	0.656
death	Doud	disgust	0.656
poison	Gëft	disgust	0.656
trash	Dreck	disgust	0.656
abortion	Ofdreiwung	disgust	0.656
corruption	Korruptioun	disgust	0.656
victimized	votéiert	disgust	0.656
oppression	Ënnerdréckung	disgust	0.656
goo	goo	disgust	0.656
latrines	Latrinen	disgust	0.656
horror	Horror	disgust	0.656
horrible	schrecklech	disgust	0.656
nefarious	neefariéis	disgust	0.656
mange	NO TRANSLATION	disgust	0.656
vindictive	vindictive	disgust	0.648
outhouse	Haus	disgust	0.648
horrid	schrecklech	disgust	0.648
detestation	ënnergoen	disgust	0.648
sludge	Schlamm	disgust	0.648
ugly	ellen	disgust	0.648
trashy	Trashy	disgust	0.648
bitch	gesouch	disgust	0.648
immoral	onmoralesch	disgust	0.648
malfeasance	geféierlech	disgust	0.641
spew	spannend	disgust	0.641
pimple	Péng	disgust	0.641
indecency	Onversécherung	disgust	0.641
unsightly	schrecklech	disgust	0.641
slop	NO TRANSLATION	disgust	0.641
villainous	villainous	disgust	0.641
cystic	zystesch	disgust	0.641
horrifying	schrecklech	disgust	0.641
derogatory	Ausname	disgust	0.641
laxative	loosst	disgust	0.641
criminality	Kriminalitéit	disgust	0.641
oppressive	oppressiv	disgust	0.633
sinful	sënnegt	disgust	0.633
bigoted	gefouert ginn	disgust	0.633
doomsday	doomsday	disgust	0.633
prostitution	Prostitution	disgust	0.633
ulcer	Ulzer	disgust	0.633
secrete	secrete	disgust	0.633
perpetrator	Veruechtung	disgust	0.633
rat	Rass	disgust	0.633
queasy	katzeg	disgust	0.633
mildew	Mëllech	disgust	0.633
dastardly	weeden	disgust	0.625
disgraceful	Onglécklech	disgust	0.625
ghastly	geckeg	disgust	0.625
persecution	Verfolgung	disgust	0.625
devilish	verzicht ginn	disgust	0.625
degrading	entwürdegend sinn	disgust	0.625
obscenity	Onsécherheet	disgust	0.625
fungus	Pilger fonnt	disgust	0.625
sin	NO TRANSLATION	disgust	0.625
gluttony	Gléck	disgust	0.625
stools	Hocker	disgust	0.625
suffering	Leed	disgust	0.625
contemptible	verwinnt sinn	disgust	0.625
cuckold	gehal	disgust	0.625
bloated	gebacken	disgust	0.625
aghast	aghast	disgust	0.625
betrayal	ze verréngeren	disgust	0.617
guillotine	Guillotine	disgust	0.617
infect	z'ënnersichen	disgust	0.617
spoil	verdéngen	disgust	0.617
tetanus	den Tetanus	disgust	0.617
fat	Fett	disgust	0.617
louse	louse	disgust	0.617
malicious	béiswëlleg	disgust	0.617
polygamy	Polygamie	disgust	0.617
crusty	kräfteg	disgust	0.617
atrocious	grausam sinn	disgust	0.617
deceit	Onwourechte	disgust	0.617
termite	Zäit	disgust	0.617
loathe	gehaasst	disgust	0.617
wench	decisioun gitt	disgust	0.617
dying	stierwen	disgust	0.617
sickly	krank	disgust	0.617
diaper	geet	disgust	0.617
strangle	ze erschloen	disgust	0.617
drool	drool	disgust	0.609
slander	verfloss	disgust	0.609
abhor	genug	disgust	0.609
venomous	gëeegent ass	disgust	0.609
brothel	Bord	disgust	0.609
ghetto	Ghetto	disgust	0.609
violently	gewalteg	disgust	0.609
hostile	feindlech war	disgust	0.609
sabotage	Sabotage	disgust	0.609
deform	verformt	disgust	0.609
bleeding	Blutungen	disgust	0.609
unwashed	gewiesselt	disgust	0.602
lunacy	Luna	disgust	0.602
imprisonment	Prisong	disgust	0.602
infidel	ongëlteg sinn	disgust	0.602
deprivation	Entzuch	disgust	0.602
traitor	Veräinsgeschicht	disgust	0.602
ugliness	ugluecht	disgust	0.602
musty	Moustique	disgust	0.602
illicit	illicit	disgust	0.602
swampy	séiss	disgust	0.602
poaching	Pochung	disgust	0.602
hag	hag	disgust	0.602
butcher	Metzler	disgust	0.594
lunatic	iwwerdriwwen	disgust	0.594
venom	Verdacht	disgust	0.594
repelling	repetéiert	disgust	0.594
thug	Thug	disgust	0.594
misery	Misère	disgust	0.594
toilet	Toilette	disgust	0.594
slug	Stoff	disgust	0.594
catastrophe	Katastrof	disgust	0.594
epidemic	Epidemie	disgust	0.594
gut	gutt	disgust	0.594
intoxicated	verbonnen	disgust	0.594
blister	ze gebrauchen	disgust	0.594
deceitful	traureg	disgust	0.594
hostility	Feindlechkeet	disgust	0.594
queasiness	verwéckelt	disgust	0.594
lurid	lästeg	disgust	0.594
sinner	Sënner	disgust	0.594
incubus	Inkubus	disgust	0.586
lavatory	Wäissrussin	disgust	0.586
harass	belästegt	disgust	0.586
unclean	reiwen	disgust	0.586
prostitute	Häre Prostituéiert	disgust	0.586
pornography	Pornographie	disgust	0.586
dreadful	schrecklech	disgust	0.586
deteriorated	verschlechtert	disgust	0.586
appalling	erschreckend	disgust	0.586
unfaithful	ontreien	disgust	0.578
rash	z'erspueren	disgust	0.578
humiliating	humiliirend	disgust	0.578
ruinous	verierwt	disgust	0.578
squeamish	lauschtert	disgust	0.578
offensive	offensiv	disgust	0.578
conspirator	Conspirator	disgust	0.578
larceny	Längt	disgust	0.578
debauchery	Aventure	disgust	0.578
mangle	kraachen	disgust	0.578
flea	Flou	disgust	0.578
hypocrite	hypokritesche Stil	disgust	0.578
retard	ze halen	disgust	0.578
fiend	fuerderen	disgust	0.578
sick	krank sinn	disgust	0.578
quagmire	ze vermessen	disgust	0.578
expulsion	ausgeschloen	disgust	0.578
treacherous	verrot	disgust	0.570
dogsick	NO TRANSLATION	disgust	0.570
spit	ze spéit	disgust	0.570
devastating	devastéiert	disgust	0.570
bastard	Bastard	disgust	0.570
messy	onuerdentlech	disgust	0.570
flog	Flog	disgust	0.570
egregious	onreegelméisslech	disgust	0.570
swamp	Sumpf	disgust	0.570
oppress	ze dréien	disgust	0.570
despise	veruerteelt	disgust	0.570
dank	NO TRANSLATION	disgust	0.570
serpent	Schlang	disgust	0.570
snake	Schlaang	disgust	0.562
terrible	schrecklech	disgust	0.562
awful	schrecklech	disgust	0.562
harmful	schiedlech sinn	disgust	0.562
insanity	Wahnsinn	disgust	0.562
indecent	Onsécherheet	disgust	0.562
sordid	sardid	disgust	0.562
loo	ëmsetze konnt	disgust	0.562
scoundrel	Haassel	disgust	0.562
enemy	Feind ass	disgust	0.562
stealing	klaut	disgust	0.562
alcoholism	Alkoholismus	disgust	0.562
humiliation	Humiliatioun	disgust	0.562
ruthless	Onrouen	disgust	0.562
sloppy	Schläift	disgust	0.562
tyrannical	tyrannesch	disgust	0.562
harlot	Hären	disgust	0.562
sinning	sënnegen	disgust	0.562
robbery	Raiber	disgust	0.555
insufferable	ongärbar sinn	disgust	0.555
arsenic	Arsen	disgust	0.555
bloody	bluddeger	disgust	0.555
odious	verseet	disgust	0.555
