word	Dutch-nl	emotion	emotion-intensity-score
complement	aanvulling	anticipation	0.453
prologue	proloog	anticipation	0.453
compliment	NO TRANSLATION	anticipation	0.453
prevention	het voorkomen	anticipation	0.453
improve	verbeteren	anticipation	0.453
sunset	zonsondergang	anticipation	0.453
inaugural	inaugureel	anticipation	0.453
rehabilitation	rehabilitatie	anticipation	0.453
fitting	fitting	anticipation	0.445
surround	omringen	anticipation	0.445
share	delen	anticipation	0.445
epidemic	epidemie	anticipation	0.445
sweet	zoet	anticipation	0.445
fain	NO TRANSLATION	anticipation	0.445
concealment	verborgenheid	anticipation	0.445
confidence	vertrouwen	anticipation	0.445
perfect	perfect	anticipation	0.445
sun	zon	anticipation	0.445
veracity	waarheidsgetrouwheid	anticipation	0.445
volunteer	vrijwilliger	anticipation	0.445
conjecture	vermoeden	anticipation	0.445
medical	medisch	anticipation	0.438
prepared	bereid	anticipation	0.438
superstitious	bijgelovig	anticipation	0.438
reconstruction	wederopbouw	anticipation	0.438
tickle	kietelen	anticipation	0.438
faith	geloof	anticipation	0.438
passenger	passagier	anticipation	0.438
saint	heilige	anticipation	0.438
respect	eerbied	anticipation	0.438
rabid	dol	anticipation	0.438
reconstruct	reconstrueren	anticipation	0.438
recombination	recombinatie	anticipation	0.438
devout	vroom	anticipation	0.438
goodness	goedheid	anticipation	0.438
angel	engel	anticipation	0.438
ferment	gisten	anticipation	0.438
plea	pleiten	anticipation	0.438
aloha	aloha	anticipation	0.438
serial	serie-	anticipation	0.438
conservation	gesprek	anticipation	0.438
serenity	kalmte	anticipation	0.430
tabulate	rangschikken in tabellen	anticipation	0.430
install	installeren	anticipation	0.430
labyrinth	labyrint	anticipation	0.430
venerable	eerbiedwaardig	anticipation	0.430
perpetuate	bestendigen	anticipation	0.430
strategist	strateeg	anticipation	0.430
unverified	unverified	anticipation	0.430
tribunal	tribunaal	anticipation	0.430
charitable	liefdadig	anticipation	0.430
luscious	heerlijk	anticipation	0.430
spa	spa	anticipation	0.430
peace	vrede	anticipation	0.430
clap	klap	anticipation	0.430
conspirator	samenzweerder	anticipation	0.422
forestall	voorkomen	anticipation	0.422
patience	geduld	anticipation	0.422
oasis	oase	anticipation	0.422
grin	grijns	anticipation	0.422
revere	Revere	anticipation	0.422
worship	aanbidden	anticipation	0.422
vista	uitzicht	anticipation	0.422
laughter	gelach	anticipation	0.422
volatility	volatiliteit	anticipation	0.422
adrift	drijvend	anticipation	0.422
candid	openhartig	anticipation	0.422
edification	stichting	anticipation	0.422
unresolved	onopgelost	anticipation	0.422
peaceful	vredig	anticipation	0.422
recognizable	herkenbaar	anticipation	0.422
calls	calls	anticipation	0.414
weigh	wegen	anticipation	0.414
probation	proeftijd	anticipation	0.414
proficiency	bekwaamheid	anticipation	0.414
morn	morgen	anticipation	0.414
craps	craps	anticipation	0.414
detainee	gedetineerde	anticipation	0.414
mediate	bemiddelen	anticipation	0.414
continue	doorgaan met	anticipation	0.414
astrologer	astroloog	anticipation	0.414
punctual	stipt	anticipation	0.414
ordination	ordening	anticipation	0.414
pretty	mooi	anticipation	0.414
thought	gedachte	anticipation	0.414
grant	verlenen	anticipation	0.414
withstand	weerstaan	anticipation	0.414
frisky	dartel	anticipation	0.414
ongoing	voortdurende	anticipation	0.414
sing	zingen	anticipation	0.411
long	lang	anticipation	0.406
confession	bekentenis	anticipation	0.406
headlight	koplamp	anticipation	0.406
prophylactic	profylactische	anticipation	0.406
mother	moeder	anticipation	0.406
debenture	obligatie	anticipation	0.406
wizard	tovenaar	anticipation	0.406
university	Universiteit	anticipation	0.406
proud	trots	anticipation	0.406
midwife	verloskundige	anticipation	0.406
banquet	banket	anticipation	0.406
continuation	voortzetting	anticipation	0.406
navigable	bevaarbaar	anticipation	0.406
punished	gestraft	anticipation	0.406
chicane	chicane	anticipation	0.406
comfort	comfort	anticipation	0.406
opponent	tegenstander	anticipation	0.406
subscribe	abonneren	anticipation	0.406
outdo	overtreffen	anticipation	0.406
nurture	koesteren	anticipation	0.406
twinkle	twinkelen	anticipation	0.406
deal	transactie	anticipation	0.402
efficient	doeltreffend	anticipation	0.398
representing	vertegenwoordigen	anticipation	0.398
simmer	sudderen	anticipation	0.398
symphony	symfonie	anticipation	0.398
judiciary	rechterlijke macht	anticipation	0.398
obliging	bereidwillig	anticipation	0.398
saintly	vroom	anticipation	0.398
vigil	waken	anticipation	0.398
death	dood	anticipation	0.398
distracting	afleidende	anticipation	0.398
mortification	versterving	anticipation	0.398
balm	balsem	anticipation	0.398
guillotine	guillotine	anticipation	0.398
top	top	anticipation	0.398
lettered	beletterd	anticipation	0.398
reliance	vertrouwen	anticipation	0.398
poke	por	anticipation	0.391
unfulfilled	niet vervuld	anticipation	0.391
assurance	zekerheid	anticipation	0.391
condemnation	veroordeling	anticipation	0.391
undoubted	ongetwijfeld	anticipation	0.391
diplomacy	diplomatie	anticipation	0.391
familiarity	vertrouwdheid	anticipation	0.391
antidote	tegengif	anticipation	0.391
chuckle	gniffel	anticipation	0.391
objective	doelstelling	anticipation	0.391
maternal	moederlijk	anticipation	0.391
abeyance	onbeheerdheid	anticipation	0.391
art	kunst	anticipation	0.391
linger	rondhangen	anticipation	0.391
trust	vertrouwen	anticipation	0.391
depraved	verdorven	anticipation	0.391
sanctify	heiligen	anticipation	0.391
inoculation	inenting	anticipation	0.384
chant	zingen	anticipation	0.383
banger	worstje	anticipation	0.383
playground	speelplaats	anticipation	0.383
failing	tekortkoming	anticipation	0.383
ship	schip	anticipation	0.383
hymn	hymne	anticipation	0.383
simplify	makkelijker maken	anticipation	0.383
ram	RAM	anticipation	0.383
labor	arbeid	anticipation	0.383
discretion	goeddunken	anticipation	0.383
hap	NO TRANSLATION	anticipation	0.383
good	goed	anticipation	0.383
scientist	wetenschapper	anticipation	0.383
undecided	onbeslist	anticipation	0.383
humanitarian	humanitaire	anticipation	0.383
depend	afhangen	anticipation	0.383
dutiful	plichtmatig	anticipation	0.383
clock	klok	anticipation	0.375
sterling	sterling	anticipation	0.375
mountain	berg-	anticipation	0.375
savor	genieten	anticipation	0.375
recurrent	terugkerend	anticipation	0.375
interim	tussentijd	anticipation	0.375
navigator	navigator	anticipation	0.375
gradual	geleidelijk	anticipation	0.375
interminable	eindeloos	anticipation	0.375
track	spoor	anticipation	0.375
public	openbaar	anticipation	0.375
cradle	wieg	anticipation	0.375
concealed	verborgen	anticipation	0.367
lesson	les	anticipation	0.367
instructions	instructies	anticipation	0.367
shiver	rilling	anticipation	0.367
musical	musical	anticipation	0.367
towering	torenhoge	anticipation	0.367
whim	gril	anticipation	0.367
spear	speer	anticipation	0.367
convince	overtuigen	anticipation	0.367
sonar	sonar	anticipation	0.367
abide	vertoeven	anticipation	0.367
biennial	tweejarig	anticipation	0.367
theology	theologie	anticipation	0.359
offset	compenseren	anticipation	0.359
atone	verzoenen	anticipation	0.359
timidity	schroom	anticipation	0.359
theory	theorie	anticipation	0.359
undying	overgankelijk	anticipation	0.359
plump	mollig	anticipation	0.359
audience	publiek	anticipation	0.357
nobility	adel	anticipation	0.352
paragon	toonbeeld	anticipation	0.352
dietary	dieet-	anticipation	0.352
closure	sluiting	anticipation	0.352
store	op te slaan	anticipation	0.352
localize	lokaliseren	anticipation	0.352
cramp	kramp	anticipation	0.352
daily	dagelijks	anticipation	0.352
kindred	verwanten	anticipation	0.352
farm	farm	anticipation	0.352
edition	editie	anticipation	0.352
consecration	wijding	anticipation	0.352
archaeology	oudheidkunde	anticipation	0.344
mobile	mobiel	anticipation	0.344
errand	boodschap	anticipation	0.344
wireless	draadloze	anticipation	0.344
mutable	veranderlijk	anticipation	0.344
meditate	mediteren	anticipation	0.344
stripped	gestript	anticipation	0.344
lessen	verminderen	anticipation	0.336
unaccountable	onverklaarbaar	anticipation	0.336
pare	NO TRANSLATION	anticipation	0.336
brotherly	broederlijk	anticipation	0.336
buddy	makker	anticipation	0.336
unbeaten	ongeslagen	anticipation	0.336
germ	kiem	anticipation	0.336
dove	duif	anticipation	0.328
digress	afdwalen	anticipation	0.328
ribbon	lint	anticipation	0.328
olfactory	reuk-	anticipation	0.328
patient	geduldig	anticipation	0.328
council	raad	anticipation	0.328
possess	bezitten	anticipation	0.328
secular	wereldlijk	anticipation	0.328
chastity	kuisheid	anticipation	0.328
disposed	geneigd	anticipation	0.320
regularity	regelmatigheid	anticipation	0.320
mediator	bemiddelaar	anticipation	0.320
scrutinize	onderzoeken	anticipation	0.320
fancy	zin in hebben	anticipation	0.320
immature	onvolwassen	anticipation	0.320
infanticide	kindermoord	anticipation	0.320
heft	gewicht	anticipation	0.320
preservative	conserverend	anticipation	0.320
paddle	peddelen	anticipation	0.320
cove	inham	anticipation	0.320
denying	ontkennen	anticipation	0.312
bugle	hoorn	anticipation	0.312
unpublished	onuitgegeven	anticipation	0.312
analyst	analyst	anticipation	0.312
grim	grimmig	anticipation	0.312
church	kerk	anticipation	0.312
priesthood	priesterschap	anticipation	0.305
mill	molen	anticipation	0.305
judicial	gerechtelijk	anticipation	0.305
broadside	volle laag	anticipation	0.305
tributary	zijrivier	anticipation	0.297
cap	pet	anticipation	0.297
thermocouple	thermoelement	anticipation	0.297
dismay	ontzetting	anticipation	0.297
instructor	instructeur	anticipation	0.297
saliva	speeksel	anticipation	0.297
exhaustion	uitputting	anticipation	0.297
bruise	blauwe plek	anticipation	0.289
wont	NO TRANSLATION	anticipation	0.289
homeless	dakloos	anticipation	0.289
visor	vizier	anticipation	0.289
discreet	NO TRANSLATION	anticipation	0.289
network	netwerk	anticipation	0.289
shackle	sluiting	anticipation	0.289
addresses	adressen	anticipation	0.289
noncompliance	niet-naleving	anticipation	0.289
cataract	staar	anticipation	0.289
skewed	scheef	anticipation	0.281
astronomer	astronoom	anticipation	0.281
neighbor	buurman	anticipation	0.281
holiness	heiligheid	anticipation	0.273
devil	duivel	anticipation	0.273
cream	room	anticipation	0.273
picket	piket	anticipation	0.273
latent	latent	anticipation	0.273
immaturity	onrijpheid	anticipation	0.273
sentence	zin	anticipation	0.273
neighborhood	buurt	anticipation	0.266
morals	moraal	anticipation	0.266
lull	wiegen	anticipation	0.266
habitual	gewoon	anticipation	0.266
weight	gewicht	anticipation	0.258
bye	doei	anticipation	0.258
forearm	onderarm	anticipation	0.250
clown	clown	anticipation	0.250
organ	orgaan	anticipation	0.250
quote	citaat	anticipation	0.242
commonplace	alledaags	anticipation	0.242
dictatorship	dictatuur	anticipation	0.234
board	boord	anticipation	0.234
white	wit	anticipation	0.234
treadmill	tredmolen	anticipation	0.234
rail	het spoor	anticipation	0.234
sundial	zonnewijzer	anticipation	0.227
tree	boom	anticipation	0.227
paralysis	verlamming	anticipation	0.211
worm	worm	anticipation	0.203
organization	organisatie	anticipation	0.203
cement	cement	anticipation	0.203
lagging	achterblijvende	anticipation	0.180
neutral	neutrale	anticipation	0.148
cannibalism	kannibalisme	disgust	0.953
mutilation	verminking	disgust	0.930
molestation	molestering	disgust	0.914
incest	incest	disgust	0.914
gonorrhea	gonorroe	disgust	0.906
rape	verkrachting	disgust	0.906
cannibal	kannibaal	disgust	0.898
rot	rot	disgust	0.891
corpse	lijk	disgust	0.883
massacre	bloedbad	disgust	0.883
excrement	uitwerpsel	disgust	0.883
slaughter	slachten	disgust	0.875
barf	barf	disgust	0.875
slaughterhouse	slachthuis	disgust	0.867
rancid	ranzig	disgust	0.859
sewerage	riolering	disgust	0.859
incestuous	bloedschendig	disgust	0.859
filth	vuiligheid	disgust	0.859
bigot	onverdraaglijke	disgust	0.859
infestation	plaag	disgust	0.852
plague	pest	disgust	0.852
bloodthirsty	bloeddorstig	disgust	0.852
holocaust	brandoffer	disgust	0.852
rotting	rottende	disgust	0.844
maggot	made	disgust	0.844
feces	ontlasting	disgust	0.844
fecal	fecal	disgust	0.844
murder	moord	disgust	0.839
infanticide	kindermoord	disgust	0.836
homicide	moordenaar	disgust	0.836
asshole	lul	disgust	0.836
enslaved	geknecht	disgust	0.836
gore	geronnen bloed	disgust	0.828
perverted	pervers	disgust	0.828
torture	martelen	disgust	0.828
slaughtering	slachten	disgust	0.828
excretion	afscheiding	disgust	0.828
contaminate	besmetten	disgust	0.821
murderer	moordenaar	disgust	0.820
gory	bloederig	disgust	0.820
repugnant	weerzinwekkend	disgust	0.820
desecration	ontheiliging	disgust	0.820
grotesque	grotesk	disgust	0.820
revolting	weerzinwekkend	disgust	0.820
diarrhoea	diarree	disgust	0.820
manure	mest	disgust	0.820
terrorist	terrorist	disgust	0.820
shit	stront	disgust	0.820
pervert	verdraaien	disgust	0.820
slavery	slavernij	disgust	0.812
faeces	faeces	disgust	0.812
sewer	riool	disgust	0.812
vomit	braken	disgust	0.812
manslaughter	doodslag	disgust	0.812
dismemberment	verbrokkeling	disgust	0.812
cadaver	kadaver	disgust	0.812
hemorrhage	bloeding	disgust	0.805
repulsive	weerzinwekkend	disgust	0.805
perverse	pervers	disgust	0.805
filthy	vies	disgust	0.797
sewage	rioolwater	disgust	0.797
depravity	verdorvenheid	disgust	0.797
diseased	ziek	disgust	0.797
carcass	karkas	disgust	0.795
decompose	ontleden	disgust	0.789
vermin	ongedierte	disgust	0.789
puke	braken	disgust	0.789
parasite	parasiet	disgust	0.789
horrific	gruwelijk	disgust	0.789
gruesome	ijzingwekkend	disgust	0.789
dung	NO TRANSLATION	disgust	0.789
mutilated	verminkt	disgust	0.789
murderous	moorddadig	disgust	0.789
decayed	vervald	disgust	0.789
herpes	herpes	disgust	0.789
slime	slijm	disgust	0.781
flatulence	winderigheid	disgust	0.781
monstrosity	wangedrocht	disgust	0.781
carnage	bloedbad	disgust	0.781
pestilence	pestilentie	disgust	0.781
malaria	malaria-	disgust	0.781
crap	onzin	disgust	0.781
toxic	giftig	disgust	0.773
loathsome	walgelijk	disgust	0.773
insidious	verraderlijk	disgust	0.773
leprosy	lepra	disgust	0.773
morgue	lijkenhuis	disgust	0.773
pus	pus	disgust	0.773
herpesvirus	herpesvirus	disgust	0.773
whore	hoer	disgust	0.766
cruel	wreed	disgust	0.766
repugnance	afkeer	disgust	0.766
revulsion	afkeer	disgust	0.766
xenophobia	xenofobie	disgust	0.766
regurgitation	oprispingen	disgust	0.766
anthrax	miltvuur	disgust	0.766
lynch	lynchen	disgust	0.766
dissection	ontleding	disgust	0.759
canker	kanker	disgust	0.758
cruelty	wreedheid	disgust	0.758
perversion	verdraaiing	disgust	0.758
evil	onheil	disgust	0.758
slum	achterbuurt	disgust	0.758
infectious	besmettelijk	disgust	0.758
mucous	slijm-	disgust	0.758
phlegm	slijm	disgust	0.758
leeches	bloedzuigers	disgust	0.750
decomposition	ontleding	disgust	0.750
sinister	sinister	disgust	0.750
corrupting	corrumperende	disgust	0.750
demon	demon	disgust	0.742
stinking	stinkend	disgust	0.742
septic	septisch	disgust	0.742
deranged	zinneloos	disgust	0.742
bile	gal	disgust	0.742
soiled	vuil	disgust	0.742
mucus	slijm	disgust	0.742
abhorrence	afschuw	disgust	0.742
abomination	gruwel	disgust	0.742
sickening	misselijk	disgust	0.742
demonic	demonisch	disgust	0.742
foul	vals	disgust	0.734
obese	zwaarlijvig	disgust	0.734
sicken	doen walgen	disgust	0.734
degeneracy	degeneratie	disgust	0.734
crucifixion	kruisiging	disgust	0.734
despicable	verachtelijk	disgust	0.734
cancer	kanker	disgust	0.734
atrocity	gruweldaad	disgust	0.734
terrorism	terrorisme	disgust	0.734
dirty	vuil	disgust	0.727
dysentery	dysenterie	disgust	0.727
adultery	overspel	disgust	0.727
contamination	besmetting	disgust	0.727
bacterium	bacterie	disgust	0.727
diabolical	duivels	disgust	0.727
morbidity	ziektecijfers	disgust	0.727
grisly	griezelig	disgust	0.727
repulsion	afstoting	disgust	0.727
enema	klisteer	disgust	0.727
contagion	besmetting	disgust	0.719
disfigured	bedorven	disgust	0.719
muck	mest	disgust	0.719
lewd	ontuchtig	disgust	0.719
garbage	vuilnis	disgust	0.719
autopsy	lijkschouwing	disgust	0.719
bowels	ingewanden	disgust	0.719
gross	bruto	disgust	0.719
vulgar	grof	disgust	0.719
barbaric	barbaars	disgust	0.719
disgust	walg	disgust	0.719
vicious	verdorven	disgust	0.719
entrails	ingewanden	disgust	0.719
deterioration	verslechtering	disgust	0.719
pungent	scherp	disgust	0.719
bloodshed	bloedvergieten	disgust	0.714
violent	gewelddadig	disgust	0.711
tyrant	tiran	disgust	0.711
poisoned	vergiftigd	disgust	0.711
pollute	verontreinigen	disgust	0.711
wretched	ellendig	disgust	0.711
nausea	misselijkheid	disgust	0.711
mortification	versterving	disgust	0.711
gag	prop	disgust	0.711
vulgarity	vulgariteit	disgust	0.703
disgusting	walgelijk	disgust	0.703
grope	tasten	disgust	0.703
slut	slet	disgust	0.703
poisoning	vergiftiging	disgust	0.703
depraved	verdorven	disgust	0.703
noxious	schadelijk	disgust	0.703
porn	porno	disgust	0.703
nasty	smerig	disgust	0.703
slimy	slijmerig	disgust	0.703
despotism	despotisme	disgust	0.703
nauseate	walgen	disgust	0.703
secretion	afscheiding	disgust	0.703
constipation	constipatie	disgust	0.703
hateful	hatelijk	disgust	0.703
grime	vuil	disgust	0.703
measles	mazelen	disgust	0.696
contagious	besmettelijk	disgust	0.695
hellish	hels	disgust	0.695
waste	verspilling	disgust	0.695
suicidal	suïcidaal	disgust	0.695
abuse	misbruik	disgust	0.695
hate	een hekel hebben aan	disgust	0.695
wretch	ellendeling	disgust	0.695
intestinal	darm	disgust	0.695
wart	wrat	disgust	0.695
obesity	zwaarlijvigheid	disgust	0.695
scum	uitschot	disgust	0.695
contaminated	vervuild	disgust	0.688
disease	ziekte	disgust	0.688
rabid	dol	disgust	0.688
ooze	slijk	disgust	0.688
treason	verraad	disgust	0.688
heartworm	hartworm	disgust	0.688
smut	roetvlek	disgust	0.688
cholera	cholera	disgust	0.680
deformed	misvormd	disgust	0.680
detest	verafschuwen	disgust	0.680
bestial	beestachtig	disgust	0.680
sickness	ziekte	disgust	0.680
antichrist	antichrist	disgust	0.680
abhorrent	weerzinwekkend	disgust	0.680
soulless	zielloos	disgust	0.680
freakish	grillig	disgust	0.680
grimy	vuil	disgust	0.680
hatred	haat	disgust	0.680
pollution	verontreiniging	disgust	0.680
germ	kiem	disgust	0.680
abominate	verfoeien	disgust	0.680
hell	hel	disgust	0.680
dilapidated	vervallen	disgust	0.672
dictatorship	dictatuur	disgust	0.672
inhuman	onmenselijk	disgust	0.672
greasy	vettig	disgust	0.672
hideous	afschuwelijk	disgust	0.672
loathful	walgelijk	disgust	0.672
obscene	obsceen	disgust	0.672
loathing	walging	disgust	0.672
cess	Cess	disgust	0.670
devil	duivel	disgust	0.664
heretic	ketter	disgust	0.664
nauseous	misselijk	disgust	0.664
abominable	afschuwelijk	disgust	0.664
deformity	mismaaktheid	disgust	0.664
deadly	dodelijk	disgust	0.664
swine	zwijn	disgust	0.664
discrimination	discriminatie	disgust	0.664
masochism	masochisme	disgust	0.664
poisonous	giftig	disgust	0.656
prejudiced	bevooroordeeld	disgust	0.656
bacteria	bacterie	disgust	0.656
death	dood	disgust	0.656
poison	vergiftigen	disgust	0.656
trash	uitschot	disgust	0.656
abortion	abortus	disgust	0.656
corruption	corruptie	disgust	0.656
victimized	slachtoffer	disgust	0.656
oppression	onderdrukking	disgust	0.656
goo	goo	disgust	0.656
latrines	latrines	disgust	0.656
horror	verschrikking	disgust	0.656
horrible	verschrikkelijk	disgust	0.656
nefarious	schandelijk	disgust	0.656
mange	NO TRANSLATION	disgust	0.656
vindictive	wraakzuchtig	disgust	0.648
outhouse	bijgebouw	disgust	0.648
horrid	afschuwelijk	disgust	0.648
detestation	verfoeiing	disgust	0.648
sludge	modder	disgust	0.648
ugly	lelijk	disgust	0.648
trashy	prullerig	disgust	0.648
bitch	teef	disgust	0.648
immoral	onzedelijk	disgust	0.648
malfeasance	misdadiger	disgust	0.641
spew	spuwen	disgust	0.641
pimple	puistje	disgust	0.641
indecency	onfatsoenlijkheid	disgust	0.641
unsightly	lelijk	disgust	0.641
slop	NO TRANSLATION	disgust	0.641
villainous	schurkachtig	disgust	0.641
cystic	cystic	disgust	0.641
horrifying	gruwelijke	disgust	0.641
derogatory	denigrerende	disgust	0.641
laxative	laxeermiddel	disgust	0.641
criminality	criminaliteit	disgust	0.641
oppressive	onderdrukkend	disgust	0.633
sinful	zondig	disgust	0.633
bigoted	kwezelachtig	disgust	0.633
doomsday	dag des oordeels	disgust	0.633
prostitution	prostitutie	disgust	0.633
ulcer	zweer	disgust	0.633
secrete	afscheiden	disgust	0.633
perpetrator	dader	disgust	0.633
rat	Rat	disgust	0.633
queasy	misselijk	disgust	0.633
mildew	meeldauw	disgust	0.633
dastardly	lafhartig	disgust	0.625
disgraceful	schandelijk	disgust	0.625
ghastly	afgrijselijk	disgust	0.625
persecution	vervolging	disgust	0.625
devilish	duivels	disgust	0.625
degrading	onterende	disgust	0.625
obscenity	obsceniteit	disgust	0.625
fungus	paddestoel	disgust	0.625
sin	NO TRANSLATION	disgust	0.625
gluttony	gulzigheid	disgust	0.625
stools	ontlasting	disgust	0.625
suffering	lijden	disgust	0.625
contemptible	verachtelijk	disgust	0.625
cuckold	hoorndrager	disgust	0.625
bloated	opgeblazen	disgust	0.625
aghast	ontzet	disgust	0.625
betrayal	verraad	disgust	0.617
guillotine	guillotine	disgust	0.617
infect	infecteren	disgust	0.617
spoil	Bederven	disgust	0.617
tetanus	tetanus	disgust	0.617
fat	dik	disgust	0.617
louse	luis	disgust	0.617
malicious	kwaadaardig	disgust	0.617
polygamy	veelwijverij	disgust	0.617
crusty	korstig	disgust	0.617
atrocious	afgrijselijk	disgust	0.617
deceit	bedrog	disgust	0.617
termite	termiet	disgust	0.617
loathe	verafschuwen	disgust	0.617
wench	deern	disgust	0.617
dying	stervende	disgust	0.617
sickly	ziekelijk	disgust	0.617
diaper	luier	disgust	0.617
strangle	wurgen	disgust	0.617
drool	kwijlen	disgust	0.609
slander	laster	disgust	0.609
abhor	verafschuwen	disgust	0.609
venomous	giftig	disgust	0.609
brothel	bordeel	disgust	0.609
ghetto	getto	disgust	0.609
violently	met geweld	disgust	0.609
hostile	vijandig	disgust	0.609
sabotage	sabotage	disgust	0.609
deform	vervormen	disgust	0.609
bleeding	bloeden	disgust	0.609
unwashed	ongewassen	disgust	0.602
lunacy	krankzinnigheid	disgust	0.602
imprisonment	gevangenisstraf	disgust	0.602
infidel	ongelovige	disgust	0.602
deprivation	beroving	disgust	0.602
traitor	verrader	disgust	0.602
ugliness	lelijkheid	disgust	0.602
musty	muf	disgust	0.602
illicit	ongeoorloofd	disgust	0.602
swampy	moerassig	disgust	0.602
poaching	stroperij	disgust	0.602
hag	heks	disgust	0.602
butcher	slager	disgust	0.594
lunatic	gek	disgust	0.594
venom	venijn	disgust	0.594
repelling	afstotende	disgust	0.594
thug	gangster	disgust	0.594
misery	ellende	disgust	0.594
toilet	toilet	disgust	0.594
slug	naaktslak	disgust	0.594
catastrophe	catastrofe	disgust	0.594
epidemic	epidemie	disgust	0.594
gut	darm	disgust	0.594
intoxicated	dronken	disgust	0.594
blister	blaar	disgust	0.594
deceitful	bedrieglijk	disgust	0.594
hostility	vijandigheid	disgust	0.594
queasiness	misselijkheid	disgust	0.594
lurid	luguber	disgust	0.594
sinner	zondaar	disgust	0.594
incubus	incubus	disgust	0.586
lavatory	toilet	disgust	0.586
harass	kwellen	disgust	0.586
unclean	onrein	disgust	0.586
prostitute	prostitueren	disgust	0.586
pornography	pornografie	disgust	0.586
dreadful	vreselijk	disgust	0.586
deteriorated	verslechterd	disgust	0.586
appalling	verschrikkelijk	disgust	0.586
unfaithful	ontrouw	disgust	0.578
rash	uitslag	disgust	0.578
humiliating	vernederend	disgust	0.578
ruinous	verderfelijk	disgust	0.578
squeamish	preuts	disgust	0.578
offensive	aanvallend	disgust	0.578
conspirator	samenzweerder	disgust	0.578
larceny	diefstal	disgust	0.578
debauchery	losbandigheid	disgust	0.578
mangle	mangel	disgust	0.578
flea	vlo	disgust	0.578
hypocrite	huichelaar	disgust	0.578
retard	vertragen	disgust	0.578
fiend	duivel	disgust	0.578
sick	ziek	disgust	0.578
quagmire	moeras	disgust	0.578
expulsion	verdrijving	disgust	0.578
treacherous	verraderlijk	disgust	0.570
dogsick	NO TRANSLATION	disgust	0.570
spit	spit	disgust	0.570
devastating	verwoestende	disgust	0.570
bastard	bastaard-	disgust	0.570
messy	rommelig	disgust	0.570
flog	geselen	disgust	0.570
egregious	flagrante	disgust	0.570
swamp	moeras	disgust	0.570
oppress	onderdrukken	disgust	0.570
despise	verachten	disgust	0.570
dank	NO TRANSLATION	disgust	0.570
serpent	slang	disgust	0.570
snake	slang	disgust	0.562
terrible	verschrikkelijk	disgust	0.562
awful	afschuwelijk	disgust	0.562
harmful	schadelijk	disgust	0.562
insanity	krankzinnigheid	disgust	0.562
indecent	onfatsoenlijk	disgust	0.562
sordid	gemeen	disgust	0.562
loo	toilet	disgust	0.562
scoundrel	schurk	disgust	0.562
enemy	vijand	disgust	0.562
stealing	diefstal	disgust	0.562
alcoholism	alcoholisme	disgust	0.562
humiliation	vernedering	disgust	0.562
ruthless	meedogenloos	disgust	0.562
sloppy	slordig	disgust	0.562
tyrannical	tiranniek	disgust	0.562
harlot	hoer	disgust	0.562
sinning	zondigen	disgust	0.562
robbery	diefstal	disgust	0.555
insufferable	onduldbaar	disgust	0.555
arsenic	arseen-	disgust	0.555
bloody	bloedig	disgust	0.555
odious	verfoeilijk	disgust	0.555
ridicule	belachelijk maken	disgust	0.555
atrophy	atrofie	disgust	0.555
beastly	beestachtig	disgust	0.555
collusion	geheime verstandhouding	disgust	0.555
distaste	afkeer	disgust	0.555
segregate	scheiden	disgust	0.555
discriminating	onderscheid	disgust	0.555
coward	lafaard	disgust	0.555
wickedness	slechtheid	disgust	0.555
threatening	dreigend	disgust	0.555
unattractive	onaantrekkelijk	disgust	0.555
slayer	moordenaar	disgust	0.555
flabby	slap	disgust	0.555
varicella	varicella	disgust	0.555
miserable	ellendig	disgust	0.547
sty	strontje	disgust	0.547
ogre	boeman	disgust	0.547
coercion	dwang	disgust	0.547
thief	dief	disgust	0.547
slur	smet	disgust	0.547
suffocating	verstikkende	disgust	0.547
anathema	anathema	disgust	0.547
purgatory	vagevuur	disgust	0.547
malevolent	kwaadwillig	disgust	0.547
bitterly	bitter	disgust	0.547
burglar	inbreker	disgust	0.547
attacking	aanvallende	disgust	0.547
vesicular	vesiculaire	disgust	0.547
condemnation	veroordeling	disgust	0.547
pillage	plundering	disgust	0.547
deleterious	schadelijk	disgust	0.547
thrash	slaan	disgust	0.539
repellant	afweermiddel	disgust	0.539
repudiation	verstoting	disgust	0.539
infidelity	ontrouw	disgust	0.539
liar	leugenaar	disgust	0.539
fatty	vet	disgust	0.539
gob	gob	disgust	0.539
sneer	grijns	disgust	0.539
drunken	dronken	disgust	0.539
disgrace	schande	disgust	0.539
shame	schaamte	disgust	0.539
jealous	jaloers	disgust	0.539
imprisoned	gevangen	disgust	0.539
pig	varken	disgust	0.539
greedy	gulzig	disgust	0.539
sloth	luiaard	disgust	0.539
lethal	dodelijk	disgust	0.536
burnt	verbrand	disgust	0.531
aberration	aberratie	disgust	0.531
condescension	genadigheid	disgust	0.531
hydrocephalus	waterhoofd	disgust	0.531
hanging	opknoping	disgust	0.531
destructive	vernietigend	disgust	0.531
smuggler	smokkelaar	disgust	0.531
intolerant	onverdraagzaam	disgust	0.531
travesty	travestie	disgust	0.531
intrusive	opdringerig	disgust	0.531
ruined	geruïneerd	disgust	0.531
withered	verschrompeld	disgust	0.531
disintegrate	uit elkaar vallen	disgust	0.531
brawl	ruzie	disgust	0.531
blemish	smet	disgust	0.531
neurotic	neurotisch	disgust	0.531
blasphemous	godslasterlijk	disgust	0.531
