word	Kyrgyz-ky	emotion	emotion-intensity-score
nonsense	келжиректик	anger	0.250
unfollow	токтотулсун	anger	0.250
noisy	ызы-чуулуу	anger	0.250
pouting	тултуйган	anger	0.250
cane	камыш	anger	0.250
attentionseeker	NO TRANSLATION	anger	0.250
rocket	ракета	anger	0.250
complicate	татаалдаштыруу	anger	0.250
socialist	социалист аял	anger	0.250
lawyer	юрист	anger	0.250
dontunderstand	NO TRANSLATION	anger	0.242
capslock	CapsLock	anger	0.242
fenced	чептүү	anger	0.242
obstacle	тоскоолдук	anger	0.242
halter	салышат	anger	0.242
witch	сыйкырчы аял	anger	0.242
vampire	Vampire	anger	0.242
detract	жатышат	anger	0.242
ringer	Үнсүз	anger	0.242
frowning	Кабагын бүркөгөн	anger	0.239
saber	NO TRANSLATION	anger	0.238
hunger	ачарчылык.	anger	0.235
recession	тереңдик	anger	0.234
lava	лава	anger	0.234
shell	жумуртканын кабыгы	anger	0.234
wokemeup	NO TRANSLATION	anger	0.234
dabbling	алектенүү	anger	0.234
tariff	бажы	anger	0.234
failing	албай	anger	0.234
imtryingtosleep	NO TRANSLATION	anger	0.234
rascal	бачагар	anger	0.234
politics	саясат	anger	0.234
undesirable	каалабаган	anger	0.231
darkness	караңгы	anger	0.227
versus	каршы	anger	0.227
resign	баш тартуу	anger	0.227
copycat	Copycat	anger	0.227
soaked	Шок кыздар	anger	0.226
unfulfilled	аткарылбаган	anger	0.225
abandoned	таштап кеткен	anger	0.222
bankruptcy	банкроттук	anger	0.221
owing	себебинен	anger	0.221
unattainable	кол жеткистей	anger	0.221
unhelpful	орундоо	anger	0.219
twitching	серпилип	anger	0.219
confusion	тартипсиздик	anger	0.219
mosquito	чиркей	anger	0.219
warden	кароолчу	anger	0.219
misconception	туура эмес	anger	0.219
compress	кысуу	anger	0.219
whiny	угузба	anger	0.219
somethingigetalot	NO TRANSLATION	anger	0.219
tool	курал	anger	0.219
nosey	кулак түргүч	anger	0.213
overpriced	кымбат	anger	0.212
harry	Гарри	anger	0.212
shortage	жетишпегендик	anger	0.212
adder	үрөйүн учурат	anger	0.212
melodrama	мелодрама	anger	0.212
overplayed	ашыра	anger	0.206
possession	ээлөө	anger	0.206
desert	ээн	anger	0.206
pout	капага	anger	0.203
uninvited	чакыруусуз	anger	0.203
arraignment	arraignment	anger	0.203
inefficient	кылалбагандык	anger	0.203
rook	Rook	anger	0.203
unlucky	ийгилик чыкпаган	anger	0.203
unpaid	төлөнбөгөн	anger	0.203
backbone	омуртка	anger	0.203
sentence	сүйлөм	anger	0.203
powerless	кубатсыз	anger	0.203
court	сот	anger	0.199
endless	чексиз	anger	0.198
adverts	Кулактандыруулар	anger	0.197
delay	кармоо	anger	0.197
misstatement	бурмалоолор	anger	0.197
distracted	алаксып	anger	0.197
misunderstanding	туура эмес түшүнүү	anger	0.195
excite	козгоо	anger	0.191
inadmissible	жол берилбейт	anger	0.191
lightning	чагылган	anger	0.189
incase	учурда	anger	0.188
preclude	тоскоолдук	anger	0.188
insecure	коопсуз эмес	anger	0.188
mournful	капалуу	anger	0.188
rating	рейтинг	anger	0.182
mistress	мырзайымы	anger	0.182
pare	NO TRANSLATION	anger	0.182
mutter	NO TRANSLATION	anger	0.182
claimant	талапкер аял	anger	0.182
insist	талап кылуу	anger	0.182
distracting	тоскоолдук	anger	0.182
opium	апийим	anger	0.180
willful	өжөр	anger	0.176
deserve	татыктуу болуу	anger	0.176
insists	талап кылууда	anger	0.175
treat	мамиле кылуу	anger	0.175
misplace	жоготпогонго	anger	0.172
indecisive	чечкинсиз	anger	0.172
gibberish	тарабар	anger	0.172
fleece	жүн	anger	0.172
fee	акы	anger	0.172
peice	NO TRANSLATION	anger	0.172
liberate	бошотуу	anger	0.172
excitation	козголгондо	anger	0.172
hormonal	гормоналдык	anger	0.172
mighty	күчтүү	anger	0.172
thanksalot	NO TRANSLATION	anger	0.172
yelp	Баскетбол	anger	0.168
unequal	бирдей эмес	anger	0.167
insufficiency	жетишсиздиги	anger	0.167
hamstring	тарамыштарын	anger	0.167
bargaining	соодалашуу	anger	0.167
mule	качыр	anger	0.167
insignificant	бир аз	anger	0.167
attentionseekers	NO TRANSLATION	anger	0.163
indifference	кайдыгерлик	anger	0.156
rheumatism	р = к ж =	anger	0.156
coop	кана	anger	0.156
forearm	билек	anger	0.156
uncertain	так белгилүү эмес	anger	0.152
bee	аары	anger	0.152
justthebeginning	NO TRANSLATION	anger	0.152
involvement	катышуу	anger	0.152
disinformation	далилсиз	anger	0.152
attorney	юрист аял	anger	0.152
underpaid	аз айлык	anger	0.152
pretending	кылымыш	anger	0.152
campaigning	алдындагы үгүт	anger	0.151
hopelessness	үмүтсүз	anger	0.149
feeling	сезим	anger	0.147
legalized	мыйзамдаштырылган	anger	0.145
caution	сактык	anger	0.145
subsidy	субсидия	anger	0.141
obliging	милдеттендирүүчү	anger	0.141
morals	адеп-ахлак	anger	0.141
sterling	стерлинг	anger	0.141
wimpy	сасыткы	anger	0.140
bummer	Bummer	anger	0.139
misspell	misspell	anger	0.136
saloon	салону	anger	0.136
repay	тиешесин	anger	0.136
blemish	кемчилик	anger	0.136
surcharge	ашыра жүктөө	anger	0.136
geez	Geez	anger	0.136
birch	кайын	anger	0.135
noob	Момун	anger	0.133
honk	Honk	anger	0.133
orchestra	оркестр	anger	0.132
competitive	атаандаштык	anger	0.125
wireless	зымсыз	anger	0.125
standstill	токтоп	anger	0.125
mosque	мечит	anger	0.122
reversal	өзгөрүү	anger	0.121
inattention	укпаганы	anger	0.121
lace	тартма	anger	0.118
elbow	чыканак	anger	0.117
instinctive	сезгичтүү	anger	0.112
chant	ырдоо	anger	0.111
lonely	жалгыз	anger	0.109
gnome	GNOME	anger	0.109
tolerate	чыдоо	anger	0.106
management	жетекчилик	anger	0.102
advocacy	укук коргоо	anger	0.100
moral	моралдык	anger	0.094
roadworks	жол иштери	anger	0.091
honest	чын	anger	0.087
forgetful	унутчаак	anger	0.076
gent	Гент	anger	0.076
liquor	суусундук	anger	0.075
money	акча	anger	0.074
hood	капот	anger	0.071
curriculum	окуу планы	anger	0.063
words	сөздөр	anger	0.062
smell	жыт	anger	0.061
elf	Elf	anger	0.061
playful	ойноок	anger	0.061
opera	опера	anger	0.061
nurture	тарбиялоо	anger	0.059
asleeep	NO TRANSLATION	anger	0.059
counsellor	кеңешчи	anger	0.059
trumpet	түтүк	anger	0.059
birthplace	туулган жер	anger	0.051
ribbon	лента	anger	0.047
youth	жаштар	anger	0.045
vote	добуш берүү	anger	0.045
cash	накталай акча	anger	0.039
wannasleep	NO TRANSLATION	anger	0.031
dame	леди	anger	0.030
waffle	waffle	anger	0.030
buffet	муштагылап	anger	0.029
celebrity	атактуулардан, жылдыз	anger	0.026
autocorrect	борбору	anger	0.015
sisterhood	Sisterhood	anger	0.015
musical	музыкалык	anger	0.011
tree	дарак	anger	0.000
anticipation	күтүү	anticipation	0.859
excited	козголгон	anticipation	0.859
anticipate	үмүттөнүп күтүү	anticipation	0.820
excitement	толкундануу	anticipation	0.820
eagerness	ынталуулукту	anticipation	0.812
exciting	кызыктуу	anticipation	0.797
expectant	кош	anticipation	0.789
thrilling	толкуткан	anticipation	0.781
hope	үмүт	anticipation	0.773
quest	изденүү	anticipation	0.766
expectance	expectance	anticipation	0.750
countdown	санак	anticipation	0.750
start	баштоо	anticipation	0.750
anticipatory	алдын ала	anticipation	0.750
adventure	тобокел	anticipation	0.750
eager	даяр	anticipation	0.742
climax	жогорку чекити	anticipation	0.742
excite	козгоо	anticipation	0.742
prophecy	пайгамбарлыгы	anticipation	0.742
arouse	ойготуу	anticipation	0.742
expect	күтүү	anticipation	0.742
birth	туулган	anticipation	0.734
ejaculation	кыйшаюу	anticipation	0.734
announcement	кулактандыруу	anticipation	0.734
liberation	бошотуу	anticipation	0.727
urgent	шашылыш	anticipation	0.727
expecting	күтүп жаткан	anticipation	0.727
expectancy	узактыгы	anticipation	0.727
imminent	шексиз	anticipation	0.727
aspire	умтулуп	anticipation	0.719
prospect	көрүнүш	anticipation	0.719
trepidation	түшүштү	anticipation	0.719
reunion	чогулуш	anticipation	0.719
prospection	шартта чалгындоо	anticipation	0.719
voyage	сүзүп жүрүү	anticipation	0.719
mystery	жашыруун сыр	anticipation	0.711
journey	саякат	anticipation	0.711
kiss	өбүү	anticipation	0.711
enthusiasm	чоң кубаныч	anticipation	0.711
suspense	белгисиздик	anticipation	0.711
ecstasy	махабаты	anticipation	0.711
rapture	чоң кубаныч	anticipation	0.711
yearning	каалоо	anticipation	0.711
urgency	шашылыш	anticipation	0.703
destination	көздөлгөн	anticipation	0.703
frantic	канап	anticipation	0.703
excitation	козголгондо	anticipation	0.703
thrill	жыргал	anticipation	0.703
prospective	болочок	anticipation	0.703
hopeful	үмүттөнгөн	anticipation	0.703
lottery	лотерея	anticipation	0.703
progress	прогресс	anticipation	0.703
tantalizing	тийерлик	anticipation	0.703
advance	жогору жылуу	anticipation	0.695
explore	изилдөө	anticipation	0.695
liberate	бошотуу	anticipation	0.695
readiness	даярдык	anticipation	0.695
hurry	шашуу	anticipation	0.695
arrival	келүү	anticipation	0.695
vacation	эс алуу	anticipation	0.695
expectation	күтүү	anticipation	0.695
sex	жыныс	anticipation	0.695
achievement	жетишкендик	anticipation	0.695
prediction	алдын ала	anticipation	0.695
allure	катыштыруу	anticipation	0.688
ecstatic	Дал ушул	anticipation	0.688
approaching	жакындап	anticipation	0.688
uprising	көтөрүлүш	anticipation	0.680
honeymoon	ысыкчылык айы	anticipation	0.680
roulette	рулетка	anticipation	0.680
crescendo	гайсыз	anticipation	0.672
holiday	майрам	anticipation	0.672
wishful	кыял	anticipation	0.672
celebrating	майрамдоодо	anticipation	0.672
waiting	күтүү	anticipation	0.664
winnings	утушу	anticipation	0.664
orgasm	Скайп	anticipation	0.664
winning	утуп	anticipation	0.664
impending	алдыда	anticipation	0.664
invitation	чакыруу	anticipation	0.664
rescue	куткаруу	anticipation	0.664
craving	каалоо	anticipation	0.664
triumph	үстөмдүк	anticipation	0.664
celebration	салтанат	anticipation	0.656
victory	жеңиш	anticipation	0.656
aspiring	түркчө	anticipation	0.656
gain	бекемдөө	anticipation	0.656
jackpot	Jackpot	anticipation	0.656
marriage	нике	anticipation	0.656
strive	аракет	anticipation	0.656
bridegroom	Үйлөнө турган жигит	anticipation	0.656
reward	сыйлык	anticipation	0.656
fortune	жолу болуу	anticipation	0.656
bridal	уктаган	anticipation	0.656
courtship	түгөй	anticipation	0.656
treasure	кенч	anticipation	0.648
opportunity	мүмкүнчүлүк	anticipation	0.648
intrigue	арамзалык	anticipation	0.648
delivery	жеткирүү	anticipation	0.648
alertness	баамчылдык	anticipation	0.648
aspiration	умтулуу	anticipation	0.648
inheritance	тукум куучулук	anticipation	0.648
rising	жогорулатуу	anticipation	0.648
tomorrow	эртең	anticipation	0.648
prescient	кийнки	anticipation	0.648
crowning	Анын Рухунун	anticipation	0.648
revolution	төңкөрүш	anticipation	0.641
erotic	эротика	anticipation	0.641
spectacular	таңкалтырган	anticipation	0.641
anxious	тынчсызданган	anticipation	0.641
expedition	экспедиция	anticipation	0.641
possibility	мүмкүнчүлүк	anticipation	0.641
launch	учуруу	anticipation	0.641
bride	колукту	anticipation	0.641
celebrated	атактуу	anticipation	0.641
prognosis	алдын ала айтуу	anticipation	0.641
engaged	жүргүзгөн	anticipation	0.641
reckoning	модул	anticipation	0.641
award	сыйлык	anticipation	0.641
happiness	бакыт	anticipation	0.641
hype	ошо	anticipation	0.641
receiving	кабыл алуучу	anticipation	0.641
curious	кулак түргөн	anticipation	0.633
succeed	ээрчүү	anticipation	0.633
birthday	туулган күн	anticipation	0.633
graduation	окуу жайын бүтүрүү	anticipation	0.633
beware	сактануу	anticipation	0.633
vision	көрүү	anticipation	0.633
passionate	дилгерлүү	anticipation	0.633
delight	кубаныч	anticipation	0.633
destiny	тагдыр	anticipation	0.633
ominous	суук	anticipation	0.633
coming	келе жаткан	anticipation	0.633
await	зарыга күтүү	anticipation	0.633
passion	дилгерленүү	anticipation	0.633
firstborn	тун	anticipation	0.633
captivate	туткун	anticipation	0.633
prepare	даярдоо	anticipation	0.633
miracle	керемет	anticipation	0.633
triumphant	өлөр	anticipation	0.625
lust	каалоо	anticipation	0.625
retirement	кетүү	anticipation	0.625
escape	качуу	anticipation	0.625
gift	белек	anticipation	0.625
inspiration	дем алуу	anticipation	0.625
optimism	оптимизм	anticipation	0.625
foresee	алдын ала	anticipation	0.625
ripen	бышкан	anticipation	0.625
revival	калыбына келтирүү	anticipation	0.625
embrace	кучактоо	anticipation	0.617
risky	тобокелдүү	anticipation	0.617
ambition	мансапкордук	anticipation	0.617
simmering	кандуу окуя	anticipation	0.617
surprisingly	Ошондуктан	anticipation	0.617
verge	жолдун	anticipation	0.617
enchanting	Кызыктырчу	anticipation	0.617
bloom	гүлдөө	anticipation	0.617
foresight	сактык	anticipation	0.617
foreboding	сестенүү	anticipation	0.617
destined	турган	anticipation	0.617
succeeding	кийинки	anticipation	0.609
magical	сыйкырдуу	anticipation	0.609
bonus	премия	anticipation	0.609
lookout	карап чыгып	anticipation	0.609
matrimony	узы	anticipation	0.609
alerts	эскертме	anticipation	0.609
anxiety	тынчсыздануу	anticipation	0.609
seductive	азгыруучу	anticipation	0.609
forecast	божомол	anticipation	0.609
intended	арналган	anticipation	0.602
inspire	дем алуу	anticipation	0.602
diagnosis	диагноз	anticipation	0.602
visionary	көрөгөч	anticipation	0.602
nervous	тынчсыздана	anticipation	0.602
deserve	татыктуу болуу	anticipation	0.602
fulfillment	аткаруу	anticipation	0.602
picnic	Пикник	anticipation	0.602
applicant	өтүнмө ээси	anticipation	0.602
foreseen	Ж¤Б тарабынан	anticipation	0.602
entertaining	кызыктуу	anticipation	0.602
revenge	өч	anticipation	0.602
success	ийгилик	anticipation	0.602
prophetic	пайгамбарлык	anticipation	0.602
winner	лауреаты	anticipation	0.602
longing	кайгы	anticipation	0.602
boomerang	бумеранг	anticipation	0.602
result	жыйынтык	anticipation	0.594
accelerate	тездетүү	anticipation	0.594
buzz	дырылдоо	anticipation	0.594
acquiring	сатып алуу	anticipation	0.594
marry	үйлөнүү	anticipation	0.594
illuminate	жарык берүү	anticipation	0.594
romance	романс	anticipation	0.594
rekindle	жандандырууга	anticipation	0.594
luck	тагдыр	anticipation	0.594
advent	келүү	anticipation	0.594
preparedness	даярдык	anticipation	0.594
momentum	моменти	anticipation	0.594
arrive	келүү	anticipation	0.594
predict	алдын ала айтуу	anticipation	0.589
sequel	поэманы	anticipation	0.586
money	акча	anticipation	0.586
endeavor	аракет	anticipation	0.586
auspices	ачылаарын	anticipation	0.586
fiesta	майрам	anticipation	0.586
raffle	ойнотууну	anticipation	0.586
preparation	даярдоо	anticipation	0.586
uplift	көтөрүлүүнүн	anticipation	0.586
investigation	изилдөө	anticipation	0.586
gambling	оюн-зоок	anticipation	0.586
delightful	таң калаарлык	anticipation	0.586
enjoying	кубаныч	anticipation	0.586
seek	издөө	anticipation	0.586
impatient	чыдабаган	anticipation	0.586
overdue	убактысынан өткөн	anticipation	0.586
crave	сурануу	anticipation	0.586
flirt	тийишүү	anticipation	0.586
enthusiast	жан	anticipation	0.586
presumption	божомолдоо	anticipation	0.586
immerse	чөктүрүү	anticipation	0.586
progression	Акылбек Жеменей	anticipation	0.586
experiment	тажрыйба	anticipation	0.580
inviting	кызыктуу	anticipation	0.578
precarious	опурталдуу	anticipation	0.578
blessing	батасы	anticipation	0.578
harvest	жыюу	anticipation	0.578
transcendence	Transcendence	anticipation	0.578
heavenly	асмандагы	anticipation	0.578
attainable	болуу	anticipation	0.578
enjoy	ыракаттануу	anticipation	0.578
divination	төлгө	anticipation	0.578
excavation	касылган оюук	anticipation	0.578
healing	айыктыруу	anticipation	0.578
majestic	улуу	anticipation	0.578
clamor	Ызы-чуу	anticipation	0.578
thirst	аңкоо	anticipation	0.578
remedy	чара	anticipation	0.578
prosper	жагымдуу мамиле кылуу	anticipation	0.578
risk	тобокел	anticipation	0.578
angling	Кайырмак	anticipation	0.578
completing	аяктоо	anticipation	0.578
thriving	гүлдөп	anticipation	0.578
zest	жагымдуу	anticipation	0.570
tease	чатакташуу	anticipation	0.570
matchmaker	суранбаса,	anticipation	0.570
prospectively	келечекте	anticipation	0.570
restlessness	тынчы жоктук	anticipation	0.570
sweetheart	Жылдыз	anticipation	0.570
emancipation	боштондукка чыгаруу	anticipation	0.570
ultimate	эң алыскы	anticipation	0.570
invite	чакыруу	anticipation	0.570
gambler	кумар оюнчу аял	anticipation	0.570
dare	кммн	anticipation	0.570
plan	план	anticipation	0.570
magnificence	сулуулук	anticipation	0.570
warned	эскертүү	anticipation	0.570
finally	акырында	anticipation	0.570
intimate	эскертүү	anticipation	0.570
omen	аялдары	anticipation	0.570
attempt	аракет	anticipation	0.562
forewarned	алдын ала	anticipation	0.562
fun	тамаша	anticipation	0.562
festival	майрам	anticipation	0.562
trophy	олжо	anticipation	0.562
rejoice	кубанат	anticipation	0.562
fanfare	дуу	anticipation	0.562
predilection	истеблишменттин	anticipation	0.562
exalt	чечүүчү	anticipation	0.562
parade	парад	anticipation	0.562
enchant	сыйкырлоо	anticipation	0.562
independence	көз карандысыздык	anticipation	0.562
expose	каратуу	anticipation	0.562
immortality	өлбөс	anticipation	0.562
expected	күтүлүүдө	anticipation	0.562
mysterious	сырдуу	anticipation	0.562
hypothesis	гипотеза	anticipation	0.562
accolade	ТААНУУ	anticipation	0.562
lover	сүйгөн	anticipation	0.562
quicken	тирилт	anticipation	0.562
champion	жеңүүчү аял	anticipation	0.562
lovely	жакшынакай	anticipation	0.555
rejoicing	кубаныч	anticipation	0.555
grasping	түшүнүү	anticipation	0.555
grow	өсүү	anticipation	0.555
curiosity	кулак	anticipation	0.555
splendor	көркү	anticipation	0.555
salvation	куткаруу	anticipation	0.555
happy	бактылуу	anticipation	0.555
oracle	Oracle	anticipation	0.555
amour	NO TRANSLATION	anticipation	0.555
unfold	жайуу	anticipation	0.555
boisterous	туйгу	anticipation	0.555
liberty	боштондук	anticipation	0.555
heroism	баатырдык	anticipation	0.555
feeling	сезим	anticipation	0.555
shopping	соода	anticipation	0.555
fate	тагдыр	anticipation	0.555
uneasiness	Сойер	anticipation	0.555
speculative	сатарлык	anticipation	0.555
changeable	туруксуз	anticipation	0.547
recreational	эс алуу	anticipation	0.547
pray	жалбаруу	anticipation	0.547
warn	эскертүү	anticipation	0.547
suspicious	шектүү	anticipation	0.547
convergence	жакындаштыруу	anticipation	0.547
incite	каалоо	anticipation	0.547
agape	агапи	anticipation	0.547
morrow	Кич	anticipation	0.547
abundance	кенч	anticipation	0.547
delighted	кубанычтабыз	anticipation	0.547
resultant	Түзүлгөн	anticipation	0.547
hungry	ачка	anticipation	0.547
monetary	акча-кредит	anticipation	0.547
vote	добуш берүү	anticipation	0.547
glory	даңк	anticipation	0.547
glimmer	бүлбүлдөгөн	anticipation	0.547
apprehensive	түшүнүүнүктүү	anticipation	0.547
sorcery	сыйкырчылык	anticipation	0.547
bountiful	эстетика	anticipation	0.547
leisure	эс алуу	anticipation	0.547
probability	мүмкүндүк	anticipation	0.547
auction	аукцион	anticipation	0.539
hunting	мергенчилик	anticipation	0.539
contingent	шарттуу	anticipation	0.539
hankering	атты	anticipation	0.539
sensual	сезгич	anticipation	0.539
blessings	баталар	anticipation	0.539
ballot	шайлоо	anticipation	0.539
grandchildren	неберелери	anticipation	0.539
entertainment	оюн-зоок	anticipation	0.539
vindication	акталышы	anticipation	0.539
worrying	кабатыр	anticipation	0.539
tempest	бороон	anticipation	0.539
inquiry	справка	anticipation	0.539
merge	кошулуу	anticipation	0.539
exceed	ашкан	anticipation	0.539
bounty	канимет	anticipation	0.539
glad	бактылуу	anticipation	0.536
magnificent	сонун	anticipation	0.531
feat	Кайрат Нуртас	anticipation	0.531
stealthy	этияттык	anticipation	0.531
cheer	жактоо	anticipation	0.531
spirits	рухтар	anticipation	0.531
visitor	келген аял	anticipation	0.531
appeal	даттануу	anticipation	0.531
forming	түзүү	anticipation	0.531
hurried	шашылыш	anticipation	0.531
responsive	сезгич	anticipation	0.531
virginity	кыздын	anticipation	0.531
deliverance	куткаруу	anticipation	0.531
betrothed	убадалашып койгон	anticipation	0.531
overthrow	түшүрүү	anticipation	0.531
harbinger	таризинде	anticipation	0.531
raving	тийиптир	anticipation	0.531
celestial	асман	anticipation	0.531
dread	корккон	anticipation	0.531
germination	өсүп	anticipation	0.523
preparatory	даярдоо	anticipation	0.523
pleasant	жагымдуу	anticipation	0.523
watch	байкоо	anticipation	0.523
prophet	пайгамбар	anticipation	0.523
prognostic	этээрин	anticipation	0.523
haste	шашкандык	anticipation	0.523
planning	пландаштыруу	anticipation	0.523
importance	мааниге ээ	anticipation	0.523
radiance	жаркыратып,	anticipation	0.523
prevail	үстөмдүк	anticipation	0.523
cheery	адатынча	anticipation	0.523
competition	мелдеш	anticipation	0.523
ultimately	акыры	anticipation	0.523
revive	эс-учуна келүү	anticipation	0.523
beaming	каректери	anticipation	0.523
wait	күтүү	anticipation	0.523
child	бала	anticipation	0.523
notification	билдирүү	anticipation	0.523
hunter	мерген эркек	anticipation	0.523
explosive	жарылма	anticipation	0.523
endanger	коркунучка жолуктуруу	anticipation	0.516
time	убакыт	anticipation	0.516
recreation	көңүл ачуу	anticipation	0.516
renovation	кайра тургузуу	anticipation	0.516
precious	баалуу	anticipation	0.516
begun	башталды	anticipation	0.516
loom	турбасын	anticipation	0.516
compensate	ордун толтуруу	anticipation	0.516
treat	мамиле кылуу	anticipation	0.516
uncontrollable	ээ бербеген	anticipation	0.516
present	азыркы	anticipation	0.516
salary	айлык	anticipation	0.516
celebrity	атактуулардан, жылдыз	anticipation	0.516
owing	себебинен	anticipation	0.516
chocolate	шоколад	anticipation	0.516
caution	сактык	anticipation	0.516
fermentation	ачытуу	anticipation	0.516
sensuality	турум	anticipation	0.516
wilderness	чөл	anticipation	0.508
signify	билдирүү	anticipation	0.508
transitional	өткөөл	anticipation	0.508
intermission	тыныгуу	anticipation	0.508
contemplation	үйрөнүү	anticipation	0.508
vigilance	сергек	anticipation	0.508
commemoration	эскерүү	anticipation	0.508
practise	практика	anticipation	0.508
cue	кал	anticipation	0.508
infant	наристе бала	anticipation	0.508
dreadful	коркунучтуу	anticipation	0.508
perfection	мыктылык	anticipation	0.508
elevation	бийик орун	anticipation	0.508
prerequisite	алдын ала шарт	anticipation	0.508
cultivate	өрчүтүүгө	anticipation	0.508
horizon	горизонт	anticipation	0.508
develop	иштеп чыгуу	anticipation	0.508
exigent	NO TRANSLATION	anticipation	0.508
swim	сүзүү	anticipation	0.500
attendance	катышуу	anticipation	0.500
nascent	пайда болгон	anticipation	0.500
favorable	жагымдуу	anticipation	0.500
peril	коркунучтун	anticipation	0.500
income	киреше	anticipation	0.500
ardent	жануу	anticipation	0.500
commemorate	белгилөө	anticipation	0.500
doomsday	Акыр заман	anticipation	0.500
reconciliation	элдештирүү	anticipation	0.500
utopian	утопиялык	anticipation	0.500
romantic	романтикалуу	anticipation	0.500
unbridled	ооздукталбаган	anticipation	0.500
sunny	ачык	anticipation	0.500
uphill	өйдөлүшкө	anticipation	0.500
intuitively	туюп-	anticipation	0.500
depart	кетүү	anticipation	0.500
eventuality	уурда-	anticipation	0.500
puppy	күчүк	anticipation	0.500
zeal	ынталуу	anticipation	0.500
sneaking	чочуп	anticipation	0.500
ready	даяр	anticipation	0.500
advocacy	укук коргоо	anticipation	0.500
airport	аэропорт	anticipation	0.500
litigate	соттошуу	anticipation	0.500
blindfold	көз таңуу	anticipation	0.500
undisclosed	жабык	anticipation	0.500
young	жаш	anticipation	0.500
horoscope	Жулдыз	anticipation	0.500
invocation	дубасы	anticipation	0.500
calculation	эсептөө	anticipation	0.500
hero	баатыр	anticipation	0.500
court	сот	anticipation	0.492
repay	тиешесин	anticipation	0.492
improvise	окшоштуруу	anticipation	0.492
parole	убада	anticipation	0.492
worry	тынчсыздануу	anticipation	0.492
inauguration	кызматка кирүү аземи	anticipation	0.492
gaping	тешиктен	anticipation	0.492
youth	жаштар	anticipation	0.492
bless	бата берүү	anticipation	0.492
defense	коргоо	anticipation	0.492
heyday	сүрөттөбөстөн	anticipation	0.492
consequent	ырааты менен	anticipation	0.492
proceeding	өндүрүш	anticipation	0.492
eventual	толугу менен	anticipation	0.492
perspective	келечек	anticipation	0.492
restorative	калыбына келтирүүчү	anticipation	0.492
undertaking	милдеттенме	anticipation	0.492
highest	жогорку	anticipation	0.491
duel	айтышуу	anticipation	0.484
unexplained	түшүнүксүз	anticipation	0.484
tremor	жер титирөөдөн	anticipation	0.484
sharpen	курчутуу	anticipation	0.484
generosity	айкөлдүк	anticipation	0.484
voluptuous	гүлдөгөн	anticipation	0.484
shortly	бир аздан кийин	anticipation	0.484
vow	ант	anticipation	0.484
contagion	дуушарлануу	anticipation	0.484
letter	кат	anticipation	0.484
happen	эмне	anticipation	0.484
threaten	коркутуу	anticipation	0.484
conjure	түшөт	anticipation	0.484
sparkle	Sparkle	anticipation	0.484
engulf	салгын	anticipation	0.484
god	Кудай	anticipation	0.484
correspondence	ылайык келүү	anticipation	0.484
auspicious	жакшылык	anticipation	0.484
princely	Анын	anticipation	0.484
adore	жакшы көрүү	anticipation	0.477
enroll	регистрациялоо	anticipation	0.477
determinate	тандалган	anticipation	0.477
predispose	генди жакын	anticipation	0.477
clue	сыры	anticipation	0.477
onset	баштоосу	anticipation	0.477
powerful	күчтүү	anticipation	0.477
glorify	даңктоо	anticipation	0.477
glow	жалындоо	anticipation	0.477
arbitration	третей соту	anticipation	0.477
torture	кыйноо	anticipation	0.477
gravitate	маянада-	anticipation	0.477
cherish	баалайбыз	anticipation	0.477
contemplate	ойлонуу	anticipation	0.477
submit	баш ийүү	anticipation	0.477
perilous	коркунучтуу	anticipation	0.477
unification	биригүү	anticipation	0.477
score	упай	anticipation	0.477
medal	медаль	anticipation	0.477
glide	жүгүргөн	anticipation	0.477
recipient	алуучу аял	anticipation	0.477
accompaniment	узатуу	anticipation	0.477
praiseworthy	мактоого татыктуу	anticipation	0.473
providing	камсыз кылуу	anticipation	0.469
motion	кыймыл	anticipation	0.469
fete	NO TRANSLATION	anticipation	0.469
cautious	сак	anticipation	0.469
cash	накталай акча	anticipation	0.469
precursor	прекурсорлордун	anticipation	0.469
opera	опера	anticipation	0.469
elite	элита	anticipation	0.469
pry	PRY	anticipation	0.469
hire	жалдоо	anticipation	0.469
sweets	таттуу	anticipation	0.469
star	жылдыз	anticipation	0.469
unsurpassed	бийик	anticipation	0.469
successful	ийгиликтүү	anticipation	0.469
unknown	белгисиз	anticipation	0.469
immediately	дароо	anticipation	0.469
starry	жылдыздуу	anticipation	0.469
production	продукция	anticipation	0.469
football	Жаныбарлар	anticipation	0.469
completion	айактоо	anticipation	0.469
scare	коркутуу	anticipation	0.469
invoke	чакыруу	anticipation	0.469
shaky	начар	anticipation	0.469
dawn	жарык боло баштоо	anticipation	0.469
creeping	сойлоп	anticipation	0.469
cheerfulness	жайдары	anticipation	0.461
soundness	эстүүлүк	anticipation	0.461
mail	почта	anticipation	0.461
draft	Долбоор	anticipation	0.461
preliminary	алдын ала	anticipation	0.461
friendly	достук	anticipation	0.461
commemorative	эстелик	anticipation	0.461
extricate	күчтү	anticipation	0.461
alive	жандуу	anticipation	0.461
untold	сансыз	anticipation	0.461
overture	П.у.	anticipation	0.461
excel	Excel	anticipation	0.461
plight	Салапаттын	anticipation	0.461
synchronize	синхрондоштуруу	anticipation	0.461
punt	жалпак түп кайык	anticipation	0.461
sanctuary	ыйык	anticipation	0.461
brilliant	жалтыраган	anticipation	0.461
pay	төлөө	anticipation	0.461
shining	жаркыраган	anticipation	0.461
