word	Khmer-km	emotion	emotion-intensity-score
unfaithful	មិនស្មោះត្រង់	disgust	0.578
rash	កន្ទុយ	disgust	0.578
humiliating	អាម៉ាស់	disgust	0.578
ruinous	ខូចខាត	disgust	0.578
squeamish	squeamish	disgust	0.578
offensive	ការវាយលុក	disgust	0.578
conspirator	អ្នកក្បត់	disgust	0.578
larceny	larceny	disgust	0.578
debauchery	អំពើអសីលធម៌	disgust	0.578
mangle	ធូប	disgust	0.578
flea	flea	disgust	0.578
hypocrite	លាក់ពុត	disgust	0.578
retard	ពន្យារ	disgust	0.578
fiend	ព្យុះ	disgust	0.578
sick	ឈឺ	disgust	0.578
quagmire	quagmire	disgust	0.578
expulsion	ការបណ្តេញ	disgust	0.578
treacherous	កខ្វក់	disgust	0.570
dogsick	NO TRANSLATION	disgust	0.570
spit	ស្ដោះទឹកមាត់	disgust	0.570
devastating	បំផ្លិចបំផ្លាញ	disgust	0.570
bastard	ឆ្កែ	disgust	0.570
messy	រញ៉េរញ៉ៃ	disgust	0.570
flog	ឆេះ	disgust	0.570
egregious	ឧទាន	disgust	0.570
swamp	swamp	disgust	0.570
oppress	សង្កត់សង្កិន	disgust	0.570
despise	មើលងាយ	disgust	0.570
dank	NO TRANSLATION	disgust	0.570
serpent	ពស់	disgust	0.570
snake	ពស់	disgust	0.562
terrible	គួរឱ្យខ្លាច	disgust	0.562
awful	អាក្រក់	disgust	0.562
harmful	មានះថាក់	disgust	0.562
insanity	វិកលចរិត	disgust	0.562
indecent	មិនសមរម្យ	disgust	0.562
sordid	សើច	disgust	0.562
loo	loo	disgust	0.562
scoundrel	scoundrel	disgust	0.562
enemy	សត្រូវ	disgust	0.562
stealing	លួច	disgust	0.562
alcoholism	ការញៀនស្រា	disgust	0.562
humiliation	ភាពអាម៉ាស់	disgust	0.562
ruthless	គ្មានមេត្តា	disgust	0.562
sloppy	សៅហ្មង	disgust	0.562
tyrannical	tyrannical	disgust	0.562
harlot	ស្រីពេស្យា	disgust	0.562
sinning	ធ្វើបាប	disgust	0.562
robbery	ប្លន់	disgust	0.555
insufferable	insufferable	disgust	0.555
arsenic	អាសនិក	disgust	0.555
bloody	បង្ហូរឈាម	disgust	0.555
odious	ជេរប្រមាថ	disgust	0.555
ridicule	គួរឱ្យអស់សំណើច	disgust	0.555
atrophy	ឈឺចាប់	disgust	0.555
beastly	សត្វ	disgust	0.555
collusion	ឃោសនា	disgust	0.555
distaste	បង្អាប់	disgust	0.555
segregate	segregate	disgust	0.555
discriminating	ការរើសអើង	disgust	0.555
coward	ឃាតករ	disgust	0.555
wickedness	អំពើអាក្រក់	disgust	0.555
threatening	គំរាមកំហែង	disgust	0.555
unattractive	មិនទាក់ទាញ	disgust	0.555
slayer	slayer	disgust	0.555
flabby	flabby	disgust	0.555
varicella	វ៉ាក់ស្យែល	disgust	0.555
miserable	វេទនា	disgust	0.547
sty	sty	disgust	0.547
ogre	ogre	disgust	0.547
coercion	ការបង្ខិតបង្ខំ	disgust	0.547
thief	ចោរ	disgust	0.547
slur	ខ្ជះខ្ជាយ	disgust	0.547
suffocating	suffocating	disgust	0.547
anathema	anathema	disgust	0.547
purgatory	purgatory	disgust	0.547
malevolent	មនុស្សប្រុស	disgust	0.547
bitterly	ជូរចត់	disgust	0.547
burglar	ចោរលួច	disgust	0.547
attacking	វាយប្រហារ	disgust	0.547
vesicular	vesicular	disgust	0.547
condemnation	ការផ្តន្ទាទោស	disgust	0.547
pillage	ប្លន់	disgust	0.547
deleterious	deleterious	disgust	0.547
thrash	វាយ	disgust	0.539
repellant	ថ្នាំងងុយដេក	disgust	0.539
repudiation	ការលះបង់	disgust	0.539
infidelity	ភាពមិនស្មោះត្រង់	disgust	0.539
liar	កុហក	disgust	0.539
fatty	ខ្លាញ់	disgust	0.539
gob	gob	disgust	0.539
sneer	sneer	disgust	0.539
drunken	ស្រវឹង	disgust	0.539
disgrace	អាម៉ាស់	disgust	0.539
shame	អាម៉ាស់	disgust	0.539
jealous	ច្រណែន	disgust	0.539
imprisoned	ដាក់ពន្ធនាគារ	disgust	0.539
pig	ជ្រូក	disgust	0.539
greedy	លោភលន់	disgust	0.539
sloth	ថើប	disgust	0.539
lethal	ដ៍សាហាវ	disgust	0.536
burnt	ដុត	disgust	0.531
aberration	កំហុសឆ្គង	disgust	0.531
condescension	condescension	disgust	0.531
hydrocephalus	hydrocephalus	disgust	0.531
hanging	ព្យួរ	disgust	0.531
destructive	បំផ្លាញ	disgust	0.531
smuggler	អ្នករត់ពន្ធ	disgust	0.531
intolerant	មិនអត់ឱន	disgust	0.531
travesty	ការកុហក	disgust	0.531
intrusive	ទុកចិត្ត	disgust	0.531
ruined	ខូច	disgust	0.531
withered	withered	disgust	0.531
disintegrate	បែកបាក់	disgust	0.531
brawl	វិវរណៈ	disgust	0.531
blemish	ជម្ងឺ	disgust	0.531
neurotic	neurotic	disgust	0.531
blasphemous	ប្រមាថព្រះ	disgust	0.531
lying	និយាយកុហក	disgust	0.531
painful	ឈឺចាប់	disgust	0.531
avarice	avarice	disgust	0.523
disgraced	ខកចិត្ត	disgust	0.523
mistress	ម្ចាស់បំណុល	disgust	0.523
disparaging	រំលោភបំពាន	disgust	0.523
rubbish	សំរាម	disgust	0.523
derogation	បដិប្បញ្ញត្តិ	disgust	0.523
accusation	ការចោទប្រកាន់	disgust	0.523
intolerance	មិនអត់ឱន	disgust	0.523
incarceration	ឃុំឃាំង	disgust	0.523
blighted	blighted	disgust	0.523
sump	បាស	disgust	0.516
deplorable	គួរឱ្យស្អប់ខ្ពើម	disgust	0.516
daemon	ដេមិន	disgust	0.516
cringe	cringe	disgust	0.516
degrade	រិះគន់	disgust	0.516
gutter	លាមក	disgust	0.516
rob	rob	disgust	0.516
grim	ក្រៀមក្រំ	disgust	0.516
defraud	បន្លំ	disgust	0.516
tortious	tortious	disgust	0.516
eradication	ការលុបបំបាត់	disgust	0.516
stink	ស្អុយរលួយ	disgust	0.516
convict	ផ្តន្ទាទោស	disgust	0.516
dishonor	អាម៉ាស់	disgust	0.516
vulture	សត្វត្មាត	disgust	0.516
remains	នៅសល់	disgust	0.516
mite	mite	disgust	0.516
betray	ក្បត់	disgust	0.516
sham	អាម៉ាស់	disgust	0.509
endemic	ជំងឺ	disgust	0.508
bombed	បំផ្ទុះគ្រាប់បែក	disgust	0.508
distress	ទុក្ខព្រួយ	disgust	0.508
pest	សត្វល្អិត	disgust	0.508
incurable	មិនអាចព្យាបាលបាន	disgust	0.508
worthless	គ្មានតំលៃ	disgust	0.508
rejection	ការបដិសេធ	disgust	0.508
distasteful	គួរឱ្យស្អប់ខ្ពើម	disgust	0.508
schizophrenia	ជម្ងឺវិកលចរិក	disgust	0.508
belittle	មើលងាយ	disgust	0.508
smelling	ក្លិន	disgust	0.508
cheat	ក្លែងបន្លំ	disgust	0.508
blob	blob	disgust	0.508
prisoner	អ្នកទោស	disgust	0.508
idiocy	idiocy	disgust	0.508
delirium	delirium	disgust	0.508
disaster	គ្រោះមហន្តរាយ	disgust	0.508
crude	ប្រេងឆៅ	disgust	0.508
resentment	អាក់អន់ចិត្ត	disgust	0.508
dreadfully	dreadfully	disgust	0.508
glut	ញាប់	disgust	0.508
polemic	អធិប្បាយ	disgust	0.500
derision	ការចំអក	disgust	0.500
idolatry	ការថ្វាយបង្គំរូបព្រះ	disgust	0.500
taboo	បម្រាម	disgust	0.500
screaming	ស្រែក	disgust	0.500
banish	banish	disgust	0.500
dirt	កខ្វក់	disgust	0.500
goblin	goblin	disgust	0.500
shackle	ចង្កេះ	disgust	0.500
bribery	ការសូកប៉ាន់	disgust	0.500
flagrant	ច្បាស់	disgust	0.500
jealousy	ការច្រណែន	disgust	0.500
impurity	កខ្វក់	disgust	0.500
theft	ចោរកម្ម	disgust	0.500
bitterness	ជូរចត់	disgust	0.500
offense	បទល្មើស	disgust	0.500
impeach	impeach	disgust	0.500
blight	blight	disgust	0.500
duress	ការបង្ខិតបង្ខំ	disgust	0.500
mire	NO TRANSLATION	disgust	0.500
greed	លោភលន់	disgust	0.500
tirade	tirade	disgust	0.500
squirm	squirm	disgust	0.492
robber	ចោរប្លន់	disgust	0.492
ill	ឈឺ	disgust	0.492
unconscionable	មិនដឹងខ្លួន	disgust	0.492
recession	វិបត្តិសេដ្ឋកិច្ច	disgust	0.492
gorge	gorge	disgust	0.492
wreck	ខូច	disgust	0.492
malign	អាក្រក់	disgust	0.492
boil	ឆ្អិន	disgust	0.492
leer	NO TRANSLATION	disgust	0.492
idiot	ឆ្កួត ៗ	disgust	0.492
disreputable	មិនអាចបដិសេធបាន	disgust	0.492
wasteful	ខ្ជះខ្ជាយ	disgust	0.484
affliction	ទុក្ខវេទនា	disgust	0.484
stain	ស្នាមប្រឡាក់	disgust	0.484
contempt	មើលងាយ	disgust	0.484
nappy	ខាត់ណា	disgust	0.484
mutiny	ការបះបោរ	disgust	0.484
occult	អាថ៌កំបាំង	disgust	0.484
tramp	ត្រាំ	disgust	0.484
unbearable	មិនអាចទទួលបាន	disgust	0.484
offender	ជនល្មើស	disgust	0.484
servile	servile	disgust	0.484
contraband	ឃាត់ខ្លួន	disgust	0.484
raging	raging	disgust	0.484
snarl	snarl	disgust	0.484
mad	ឆ្កួត	disgust	0.484
subjugation	subjugation	disgust	0.484
possessed	មាន	disgust	0.484
animosity	ស្អប់ខ្ពើម	disgust	0.484
aversation	NO TRANSLATION	disgust	0.484
defamation	ការបរិហារកេរ្តិ៍	disgust	0.484
disrespectful	មិនគោរព	disgust	0.484
mess	ស្មុគស្មាញ	disgust	0.484
nepotism	បក្ខពួកនិយម	disgust	0.484
inexcusable	inexcusable	disgust	0.484
pathetic	បៀតបៀន	disgust	0.477
unpleasant	មិនល្អ	disgust	0.477
suppression	ការបង្ក្រាប	disgust	0.477
mockery	ការចំអក	disgust	0.477
palsy	ពិការ	disgust	0.477
criminal	ឧក្រិដ្ឋជន	disgust	0.477
illegality	ខុសច្បាប់	disgust	0.477
uncaring	មិនខ្វល់	disgust	0.477
antagonistic	ប្រឆាំង	disgust	0.477
immorality	អសីលធម៌	disgust	0.477
dismal	គួរឱ្យសង្វេគ	disgust	0.477
angry	ខឹង	disgust	0.469
repellent	ជ្រាប	disgust	0.469
cough	ក្អក	disgust	0.469
arrogant	អំនួត	disgust	0.469
grating	សូមថ្លែងអំណរគុណយ៉ាងជ្រាលជ្រៅ	disgust	0.469
aggravation	aggravation	disgust	0.469
livid	livid	disgust	0.469
banishment	ហាមឃាត់	disgust	0.469
shoddy	ស្គម	disgust	0.469
banshee	banshee	disgust	0.469
poverty	ភាពក្រីក្រ	disgust	0.469
wallow	ជញ្ជាំង	disgust	0.469
outrage	កំហឹង	disgust	0.469
mocking	ចំអក	disgust	0.469
furious	ខឹងសម្បារ	disgust	0.469
perspiration	ញើស	disgust	0.469
prick	ចាក់	disgust	0.461
recklessness	មិនប្រុងប្រយ័ត្ន	disgust	0.461
distorted	បង្ខូចទ្រង់ទ្រាយ	disgust	0.461
fraudulent	ក្លែងបន្លំ	disgust	0.461
spider	ពីងពាង	disgust	0.461
quack	quack	disgust	0.461
perdition	perdition	disgust	0.461
muddy	ភក់	disgust	0.461
spurious	មិនពិត	disgust	0.461
insulting	ប្រមាថ	disgust	0.461
scar	ស្លាកស្នាម	disgust	0.461
deceive	បញ្ឆោត	disgust	0.461
unjustifiable	មិនសមហេតុផល	disgust	0.461
fool	ល្ងីល្ងើ	disgust	0.461
deplore	សោកស្តាយ	disgust	0.461
plunder	ប្លន់	disgust	0.461
aphid	aphid	disgust	0.453
bane	bane	disgust	0.453
indignation	កំហឹង	disgust	0.453
dire	NO TRANSLATION	disgust	0.453
selfish	អាត្មានិយម	disgust	0.453
disparage	disparage	disgust	0.453
cur	cur	disgust	0.453
dishonest	មិនស្មោះត្រង់	disgust	0.453
stigma	ការមាក់ងាយ	disgust	0.453
eschew	eschew	disgust	0.453
antipathy	អាក់អន់ចិត្ត	disgust	0.453
alienate	ឃ្លាតឆ្ងាយ	disgust	0.453
disingenuous	disingenuous	disgust	0.453
elimination	ការលុបបំបាត់	disgust	0.453
unthinkable	មិននឹកស្មានដល់	disgust	0.453
wasted	ខ្ជះខ្ជាយ	disgust	0.445
recalcitrant	recalcitrant	disgust	0.445
iniquity	អំពើទុច្ចរិត	disgust	0.445
mosquito	មូស	disgust	0.445
caries	caries	disgust	0.445
bankruptcy	ក្ស័យធន	disgust	0.445
egotistical	egotistical	disgust	0.445
piles	គំនរ	disgust	0.445
smell	ក្លិន	disgust	0.445
vacuous	ទទេ	disgust	0.445
despair	អស់សង្ឃឹម	disgust	0.445
opium	អាភៀន	disgust	0.445
garish	garish	disgust	0.445
lie	កុហក	disgust	0.445
pious	pious	disgust	0.445
aversion	ការជៀងវាង	disgust	0.438
sticky	ស្អិត	disgust	0.438
scream	ស្រែក	disgust	0.438
alien	ចម្លែក	disgust	0.438
shun	ជៀសវាង	disgust	0.438
abnormal	មិនធម្មតា	disgust	0.438
ashamed	ខ្មាស់	disgust	0.438
inmate	អ្នកទោស	disgust	0.438
abject	abject	disgust	0.438
hog	ជ្រូក	disgust	0.438
hopelessness	ភាពអស់សង្ឃឹម	disgust	0.438
homeless	គ្មានផ្ទះសម្បែង	disgust	0.438
obnoxious	obnoxious	disgust	0.438
curse	បណ្ដាសា	disgust	0.430
creature	សត្វ	disgust	0.430
cursing	cursing	disgust	0.430
illegal	ខុសច្បាប់	disgust	0.430
lusty	ឆោតល្ងង់	disgust	0.430
shameless	មិនចេះខ្មាស	disgust	0.430
debris	កំទេចកំទី	disgust	0.430
defiance	defiance	disgust	0.430
pall	ផេល	disgust	0.430
falsity	ភាពក្លែងក្លាយ	disgust	0.430
reflux	reflux	disgust	0.430
incredulous	មិនជឿ	disgust	0.430
adverse	អវិជ្ជមាន	disgust	0.430
trickery	ល្បិចកល	disgust	0.430
callous	callous	disgust	0.430
separatist	អ្នកបំបែកខ្លួន	disgust	0.430
undesirable	មិនចង់បាន	disgust	0.430
denounce	បរិហារ	disgust	0.430
witch	មេធ្មប់	disgust	0.430
bum	bum	disgust	0.422
bovine	bovine	disgust	0.422
denunciation	ការថ្កោលទោស	disgust	0.422
untidy	មិនធម្មតា	disgust	0.422
impure	មិនបរិសុទ្ធ	disgust	0.422
mistrust	ការមិនទុកចិត្ត	disgust	0.422
tarnish	ងងឹត	disgust	0.422
ferocious	កាចសាហាវ	disgust	0.422
gush	ស្រេកឃ្លាន	disgust	0.422
infantile	ទារក	disgust	0.422
ammonia	អាម៉ូញាក់	disgust	0.422
offend	ពិរុទ្ធករ	disgust	0.422
idiotic	រញ៉េរញ៉ៃ	disgust	0.422
hypertrophy	ការរីកធំ	disgust	0.422
nicotine	ជាតិនីកូទីន	disgust	0.422
tasteless	គ្មានរសជាតិ	disgust	0.422
pompous	pompous	disgust	0.422
socialist	សង្គមនិយម	disgust	0.422
delinquent	ជេរប្រមាថ	disgust	0.422
swarm	swarm	disgust	0.422
contentious	ចម្រូងចម្រាស	disgust	0.422
carelessness	ការធ្វេសប្រហែស	disgust	0.422
hairy	មានរោម	disgust	0.422
wasting	ការ​ខ្ជះខ្ជាយ	disgust	0.422
slush	រអិល	disgust	0.422
affront	ការប្រមាថ	disgust	0.422
collapse	ដួលរលំ	disgust	0.422
badness	អាក្រក់	disgust	0.422
dishonesty	មិនស្មោះត្រង់	disgust	0.414
vegetative	លូតលាស់	disgust	0.414
displacency	ភាពគ្មានលំនឹង	disgust	0.414
unfavorable	មិនអំណោយផល	disgust	0.414
disobey	មិនស្តាប់បង្គាប់	disgust	0.414
sour	ជូរ	disgust	0.414
socialism	សង្គមនិយម	disgust	0.414
murky	ក្រៀមក្រំ	disgust	0.414
neglected	មិនយកចិត្តទុកដាក់	disgust	0.414
drivel	drivel	disgust	0.414
vampire	បិសាច	disgust	0.414
litigious	វិវាទ	disgust	0.414
illegitimate	មិនស្របច្បាប់	disgust	0.414
disgruntled	មិនពេញចិត្ត	disgust	0.406
ignorant	ល្ងង់ខ្លៅ	disgust	0.406
outcast	ខាតបង់	disgust	0.406
unkind	មិនល្អ	disgust	0.406
repel	បណ្តេញ	disgust	0.406
displeasure	មិនពេញចិត្ត	disgust	0.406
phony	phony	disgust	0.406
shoplifting	ហាងលក់ទំនិញ	disgust	0.406
dislike	មិនចូលចិត្ត	disgust	0.406
unlawful	ខុសច្បាប់	disgust	0.406
bogus	ក្លែងក្លាយ	disgust	0.406
discontinuity	ឈប់	disgust	0.406
recidivism	វិវរណៈ	disgust	0.406
ungrateful	ungrateful	disgust	0.406
wrongdoing	ការធ្វើខុស	disgust	0.406
falsify	ក្លែងបន្លំ	disgust	0.406
prosecution	ការកាត់ទោស	disgust	0.406
failure	បរាជ័យ	disgust	0.398
loon	loon	disgust	0.398
lick	lick	disgust	0.398
subvert	បង្ក្រាប	disgust	0.398
rigor	តឹងរ៉ឹង	disgust	0.398
unruly	មិនរឹងរូស	disgust	0.398
paucity	ភាពទន់ខ្សោយ	disgust	0.398
unnatural	មិនធម្មតា	disgust	0.398
averse	មិនចូលចិត្ត	disgust	0.398
senseless	ល្ងង់ខ្លៅ	disgust	0.398
worsening	កាន់តែអាក្រក់	disgust	0.398
disdain	ប្រមាថ	disgust	0.398
woe	វេទនា	disgust	0.398
woefully	woefully	disgust	0.398
amphetamines	amphetamines	disgust	0.398
stingy	ខឹង	disgust	0.398
crushing	កំទេច	disgust	0.398
insult	ប្រមាថ	disgust	0.393
damage	ខូច	disgust	0.391
hardened	រឹង	disgust	0.391
diatribe	diatribe	disgust	0.391
averseness	ភាពច្របូកច្របល់	disgust	0.391
critter	critter	disgust	0.391
muff	muff	disgust	0.391
antisocial	ប្រឆាំងសង្គម	disgust	0.391
punishment	ការដាក់ទណ្ឌកម្ម	disgust	0.391
bad	អាក្រក់	disgust	0.391
punished	ពិន័យ	disgust	0.391
disrelish	មិនសប្បាយចិត្ត	disgust	0.391
expel	expel	disgust	0.391
farcical	ចំអក	disgust	0.391
scorpion	ខ្យាដំរី	disgust	0.391
sacrifices	ការបូជា	disgust	0.383
plagiarism	លួចចម្លង	disgust	0.383
hypocritical	លាក់ពុត	disgust	0.383
divorce	លែងលះ	disgust	0.383
presumptuous	ប្រមាថ	disgust	0.383
discord	វិវាទ	disgust	0.383
fugitive	រត់គេច	disgust	0.383
fulsome	fulsome	disgust	0.383
shabby	shabby	disgust	0.383
orc	orc	disgust	0.383
adder	បន្ថែម	disgust	0.383
anaconda	anaconda	disgust	0.383
surly	ខ្លាំង	disgust	0.383
irrational	មិនសមហេតុផល	disgust	0.383
disappoint	ខកចិត្ត	disgust	0.383
illiterate	អនក្ខរប់	disgust	0.383
lament	ត្អូញត្អែរ	disgust	0.383
eviction	ការបណ្តេញចេញ	disgust	0.383
teeming	teeming	disgust	0.383
guilt	កំហុស	disgust	0.383
misconduct	កំហុសវិជ្ជាជីវៈ	disgust	0.375
blame	ស្តី​បន្ទោស	disgust	0.375
alienation	alienation	disgust	0.375
depressing	ធ្លាក់ទឹកចិត្ត	disgust	0.375
irritating	ឆាប់ខឹង	disgust	0.375
plight	ស្ថានភាព	disgust	0.375
unworthy	សក្តិសម	disgust	0.375
dislocated	ភៀសខ្លួន	disgust	0.375
scoff	ប្រមាថ	disgust	0.375
irritation	ឆាប់ខឹង	disgust	0.375
defective	មានជម្ងឺ	disgust	0.375
shock	ឆក់	disgust	0.375
hoax	បោកបញ្ឆោត	disgust	0.367
coerce	បង្ខិតបង្ខំ	disgust	0.367
revoke	ដកហូតវិញ	disgust	0.367
stripped	ដកហូត	disgust	0.367
exclusion	ការបដិសេធ	disgust	0.367
blatant	ច្បាស់លាស់	disgust	0.367
disillusionment	ការបំភាន់	disgust	0.367
squelch	squelch	disgust	0.367
unhealthy	មិនល្អ	disgust	0.367
toad	toad	disgust	0.367
wimpy	wimpy	disgust	0.367
pitfall	ចៃដន្យ	disgust	0.367
vainly	ឥតប្រយោជន៍	disgust	0.367
powerless	គ្មានអំណាច	disgust	0.367
cad	cad	disgust	0.367
hurtful	ឈឺចាប់	disgust	0.367
shuddering	shuddering	disgust	0.367
wimp	wimp	disgust	0.367
oddity	ភាពចម្លែក	disgust	0.359
rebellion	ការបះបោរ	disgust	0.359
incompatible	មិនឆបគ្នា	disgust	0.359
ineptitude	អសមត្ថភាព	disgust	0.359
dispose	បោះចោល	disgust	0.359
disobedience	ការមិនស្តាប់បង្គាប់	disgust	0.359
damn	damn	disgust	0.359
bug	កំហុស	disgust	0.359
deserted	បោះបង់ចោល	disgust	0.359
litigate	ចោទប្រកាន់	disgust	0.352
ridiculous	គួរឱ្យអស់សំណើច	disgust	0.352
compost	ជីកំប៉ុស	disgust	0.352
obi	obi	disgust	0.352
untoward	មិនស្មោះត្រង់	disgust	0.352
censor	censor	disgust	0.352
uncertain	មិនប្រាកដ	disgust	0.352
lawyer	មេធាវី	disgust	0.352
flinch	flinch	disgust	0.352
flesh	សាច់	disgust	0.352
crushed	ផលប៉ះពាល់	disgust	0.352
displeased	មិនសប្បាយចិត្ត	disgust	0.352
inept	inept	disgust	0.352
wrongful	ខុស	disgust	0.352
cutting	កាត់	disgust	0.352
fierce	កាចសាហាវ	disgust	0.352
misbehavior	អាកប្បកិរិយាមិនត្រឹមត្រូវ	disgust	0.352
frustrate	ខកចិត្ត	disgust	0.352
dismissal	បណ្តេញចេញ	disgust	0.352
disapprove	មិនយល់ស្រប	disgust	0.344
depreciate	បញ្ចុះថ្លៃ	disgust	0.344
tearful	យំ	disgust	0.344
thoughtless	មិនគិត	disgust	0.336
unsettled	unsettled	disgust	0.336
lumpy	lumpy	disgust	0.336
discoloration	ការប្រែពណ៌	disgust	0.336
blunder	កំហុស	disgust	0.336
disinclination	disinclination	disgust	0.336
distrust	មិនទុកចិត្ត	disgust	0.336
annoy	រំខាន	disgust	0.336
lawsuit	បណ្តឹង	disgust	0.336
discontent	ការមិនសប្បាយចិត្ត	disgust	0.336
grumble	ក្រោកឡើង	disgust	0.336
exigent	NO TRANSLATION	disgust	0.336
daft	daft	disgust	0.336
heartsick	ចិត្ត	disgust	0.336
disliked	មិនចូលចិត្ត	disgust	0.336
bickering	ជម្លោះ	disgust	0.336
disallowed	មិនអនុញ្ញាត	disgust	0.336
unmanageable	មិនអាចគ្រប់គ្រងបាន	disgust	0.328
hydrophobia	hydrophobia	disgust	0.328
unsatisfactory	មិនពេញចិត្ត	disgust	0.328
whine	ឮ ៗ	disgust	0.328
exasperation	កំហឹង	disgust	0.328
instability	អស្ថិរភាព	disgust	0.328
provoking	ញុះញង់	disgust	0.328
disappointed	ខកចិត្ត	disgust	0.328
inhibit	រារាំង	disgust	0.328
sly	ឆ្កួត	disgust	0.328
grievance	ការប្តឹង	disgust	0.328
materialist	អ្នកសំភារៈនិយម	disgust	0.328
excluded	មិន​រាប់បញ្ចូល	disgust	0.328
cacophony	cacophony	disgust	0.328
misleading	ការយល់ច្រឡំ	disgust	0.321
disclaim	បដិសេធ	disgust	0.320
rags	កាកសំណល់	disgust	0.320
soot	soot	disgust	0.320
disservice	អាក្រក់	disgust	0.320
unequal	មិនស្មើភាព	disgust	0.320
humbug	humbug	disgust	0.320
reproach	ប្រមាថ	disgust	0.320
confined	បង្ខាំង	disgust	0.320
disapproving	មិនយល់ស្រប	disgust	0.320
annoyance	ការរំខាន	disgust	0.320
mishap	ខូច	disgust	0.320
groan	ថ្ងូរ	disgust	0.320
soil	ដី	disgust	0.312
depreciated	បានធ្លាក់ចុះ	disgust	0.312
disincline	disincline	disgust	0.312
inappropriate	មិនសមរម្យ	disgust	0.312
inconsiderate	មិនជឿ	disgust	0.312
burke	burke	disgust	0.312
overpriced	តម្លៃខ្ពស់	disgust	0.312
sneeze	កណ្តាស់	disgust	0.312
stomach	ក្រពះ	disgust	0.312
criticize	រិះគន់	disgust	0.312
theism	ទ្រឹស្ដី	disgust	0.312
disparity	ភាពខុសគ្នា	disgust	0.305
gall	gall	disgust	0.305
latent	មិនច្បាស់	disgust	0.305
grumpy	ក្រៀមក្រំ	disgust	0.305
bang	Bang	disgust	0.305
inadmissible	មិនទទួលខុសត្រូវ	disgust	0.305
unfriendly	មិនរាក់ទាក់	disgust	0.305
shack	shack	disgust	0.305
disliking	មិនចូលចិត្ត	disgust	0.305
unaccountable	មិនអាចរាប់បាន	disgust	0.305
coop	coop	disgust	0.304
scold	ប្រមាថ	disgust	0.297
growling	ស្រែកច្រៀង	disgust	0.297
lonely	ឯកកោ	disgust	0.297
delay	ពន្យាពេល	disgust	0.297
congress	សមាជ	disgust	0.297
disregarded	មិនគោរព	disgust	0.297
disappointment	ការខកចិត្ត	disgust	0.297
backwards	ថយក្រោយ	disgust	0.297
soreness	ឈឺចាប់	disgust	0.297
rogue	បញ្ឆោត	disgust	0.297
infamous	កខ្វក់	disgust	0.289
lesbian	ស្រីស្រលាញ់ស្រី	disgust	0.289
notoriety	ភាពល្បីល្បាញ	disgust	0.289
catechism	catechism	disgust	0.289
flop	flop	disgust	0.289
nettle	nettle	disgust	0.289
janitor	អ្នកបោសសំអាត	disgust	0.289
saturated	ឆ្អែត	disgust	0.281
gaby	gaby	disgust	0.281
prohibited	បាន​ហាមឃាត់	disgust	0.281
remiss	remiss	disgust	0.281
unfair	មិនយុត្តិធម៌	disgust	0.281
desist	លះបង់	disgust	0.281
wince	wince	disgust	0.281
aftermath	បន្ទាប់ពី	disgust	0.281
huff	ស្ទិល	disgust	0.273
discolored	ប្រែពណ៌	disgust	0.273
uneasy	មិនស្រួល	disgust	0.273
wrangling	wrangling	disgust	0.273
tribunal	តុលាការ	disgust	0.273
weird	ចម្លែក	disgust	0.266
bureaucrat	ការិយាធិបតេយ្យ	disgust	0.266
coldness	ត្រជាក់	disgust	0.266
impolite	អសមត្ថភាព	disgust	0.266
politic	នយោបាយ	disgust	0.266
unsatisfied	មិនពេញចិត្ត	disgust	0.266
swig	swig	disgust	0.266
inefficiency	អប្រសិទ្ធិភាព	disgust	0.266
frantic	ភ័យរន្ធត់	disgust	0.266
crawl	វារ	disgust	0.266
instinctive	សភាវគតិ	disgust	0.258
barrow	barrow	disgust	0.258
incase	ក្រែងលោ​រ	disgust	0.258
octopus	តោខៀវ	disgust	0.258
chagrin	អាក់អន់ចិត្ត	disgust	0.258
copycat	copycat	disgust	0.258
rascal	rascal	disgust	0.258
sarcasm	sarcasm	disgust	0.258
gruff	gruff	disgust	0.258
misconception	ការយល់ច្រឡំ	disgust	0.250
hulk	hulk	disgust	0.250
shanghai	សៀងហៃ	disgust	0.250
baboon	សាច់គោ	disgust	0.250
disinclined	មិនយល់ស្រប	disgust	0.250
lose	ចាញ់	disgust	0.250
john	ចន	disgust	0.250
cupping	វាយ	disgust	0.250
rook	rook	disgust	0.242
gratuitous	ដោយឥតគិតថ្លៃ	disgust	0.242
entangled	ជាប់គាំង	disgust	0.242
opponent	គូប្រជែង	disgust	0.242
tariff	ពន្ធ	disgust	0.242
scrub	កោស	disgust	0.242
resign	លាលែង	disgust	0.234
prolong	ពន្យារពេល	disgust	0.234
backwardness	ថយក្រោយ	disgust	0.234
reluctance	ស្ទាក់ស្ទើរ	disgust	0.234
questionable	សង្ស័យ	disgust	0.234
lagging	យឺតយ៉ាវ	disgust	0.234
unlucky	សំណាងអាក្រក់	disgust	0.234
misstatement	ខុសឆ្គង	disgust	0.234
reversal	ផ្ទុយស្រឡះ	disgust	0.227
disqualified	មិនមានសិទ្ធិ	disgust	0.227
subsidy	ការឧបត្ថម្ភ	disgust	0.227
ineffectual	គ្មានប្រសិទ្ធភាព	disgust	0.227
fussy	ស្ទាក់ស្ទើរ	disgust	0.227
unpopular	មិនមានប្រជាប្រិយភាព	disgust	0.227
default	លំនាំដើម	disgust	0.227
