word	Myanmar (Burmese)-my	emotion	emotion-intensity-score
feminism	အမျိုးသမီးတိုက်ပွဲ	anger	0.266
humbug	humbug	anger	0.266
interrupts	ကြားဖြတ်ခြင်း	anger	0.265
fluctuation	ပွောငျးခွငျး	anger	0.265
exaggerate	ချဲ့ထွင်	anger	0.263
lose	ပြောကျသှား	anger	0.261
patter	အီတလီတို့	anger	0.258
tease	ကျီစား	anger	0.258
furnace	မီးဖို	anger	0.258
stone	ကြောကျ	anger	0.258
shoplifting	shoplifting	anger	0.258
soldier	စစ်သား	anger	0.258
incompetent	မတတ်သော	anger	0.257
indoctrination	indoctrination	anger	0.255
skid	နှစ်စီးမတော်တဆဖြစ်	anger	0.250
notoriety	ကျော်ကြားမှု	anger	0.250
falsehood	မုသာ	anger	0.250
untrue	မမှန်သော	anger	0.250
mastery	ကျွမ်းကျင်ပိုင်နိုင်စွာ	anger	0.250
tripping	tripping	anger	0.250
nonsense	အဓိပ်ပါယျမရှိခွငျး	anger	0.250
unfollow	လိုက်အောင်	anger	0.250
noisy	အသံကျယ်သော	anger	0.250
pouting	pouting	anger	0.250
cane	ကြိမ်	anger	0.250
attentionseeker	NO TRANSLATION	anger	0.250
rocket	ဒုံးပျံ	anger	0.250
complicate	ရှုပျထှေးစေ	anger	0.250
socialist	ဆိုရှယ်လစ်ဝါဒီ	anger	0.250
lawyer	ရှေ့နေ	anger	0.250
dontunderstand	NO TRANSLATION	anger	0.242
capslock	စာလုံးအကြီးပြောင်းပေးသောခလုတ်	anger	0.242
fenced	ခိုင်ခံ့သော	anger	0.242
obstacle	အဆီးအတား	anger	0.242
halter	ဇက်	anger	0.242
witch	စုန်းမ	anger	0.242
vampire	သွေးစုပ်ဖုတ်ကောင်	anger	0.242
detract	detract	anger	0.242
ringer	ringer	anger	0.242
frowning	မှုန်ကုပ်ကုပ်	anger	0.239
saber	NO TRANSLATION	anger	0.238
hunger	အငတ်	anger	0.235
recession	ဆုတ်ခြင်း	anger	0.234
lava	ချြော	anger	0.234
shell	အခွံ	anger	0.234
wokemeup	NO TRANSLATION	anger	0.234
dabbling	dabbling	anger	0.234
tariff	အကောက်နှုန်းစာရင်း	anger	0.234
failing	ပျက်ကွက်	anger	0.234
imtryingtosleep	NO TRANSLATION	anger	0.234
rascal	rascal	anger	0.234
politics	နိုင်ငံရေး	anger	0.234
undesirable	မလိုလားသော	anger	0.231
darkness	အမှောငျ	anger	0.227
versus	နှင့်	anger	0.227
resign	ရာထူးလက်လွှတ်	anger	0.227
copycat	copycat	anger	0.227
soaked	စိမ့်ဝင်	anger	0.226
unfulfilled	ညျ့စုံ	anger	0.225
abandoned	စွန့်ပစ်	anger	0.222
bankruptcy	ခြှတျခွုံကမြှု	anger	0.221
owing	မရှိစေရန်	anger	0.221
unattainable	ကနျ့သ	anger	0.221
unhelpful	အကူအညီမရပါ	anger	0.219
twitching	အကွောဆှဲ	anger	0.219
confusion	ရှုပျထှေးခွငျး	anger	0.219
mosquito	ချင်ကောင်	anger	0.219
warden	အမှူး	anger	0.219
misconception	အထငျမှား	anger	0.219
compress	သိပ်	anger	0.219
whiny	whiny	anger	0.219
somethingigetalot	NO TRANSLATION	anger	0.219
tool	tool တစ်ခု	anger	0.219
nosey	နှာခေါင်းကြီးသော	anger	0.213
overpriced	အလွန်အမင်းကြီးလွန်း	anger	0.212
harry	Harry	anger	0.212
shortage	ပြတ်လပ်မှု	anger	0.212
adder	မြွေဆိုး	anger	0.212
melodrama	မဲလိုဒရမ်မာ	anger	0.212
overplayed	overplayed	anger	0.206
possession	အပိုင်	anger	0.206
desert	ကန္တာရ	anger	0.206
pout	pout	anger	0.203
uninvited	uninvited	anger	0.203
arraignment	arraignment	anger	0.203
inefficient	မတတ်နိုင်သော	anger	0.203
rook	Rook	anger	0.203
unlucky	မအောင်မြင်သော	anger	0.203
unpaid	မရတဲ့	anger	0.203
backbone	ကြောရိုး	anger	0.203
sentence	ဝါကျ	anger	0.203
powerless	တန်ခိုးမရှိသော	anger	0.203
court	ရုံး	anger	0.199
endless	အဆုံးမရှိသော	anger	0.198
adverts	ကြော်ငြာ	anger	0.197
delay	နှောငျ့နှေး	anger	0.197
misstatement	misstatement	anger	0.197
distracted	အာရုံ	anger	0.197
misunderstanding	အလှဲနားလညျခွငျး	anger	0.195
excite	နှိုးဆျော	anger	0.191
inadmissible	inadmissible	anger	0.191
lightning	လှပျြစစျ	anger	0.189
incase	အရေးကြုံလျှင်	anger	0.188
preclude	ထပ်မံလုပ်ဆောင်နိုင်ခြင်းမရှိပါ	anger	0.188
insecure	စိတ်မချသော	anger	0.188
mournful	စိတ်မသာညည်းတွား	anger	0.188
rating	အဆင့်သတ်မှတ်ချက်	anger	0.182
mistress	သခင်မ	anger	0.182
pare	NO TRANSLATION	anger	0.182
mutter	NO TRANSLATION	anger	0.182
claimant	တောင်းဆိုသူ	anger	0.182
insist	တိုကျတှနျးပွောဆို	anger	0.182
distracting	စိတ်အာရုံထွေပြား	anger	0.182
opium	ဘိန်း	anger	0.180
willful	ပွောရခကျသော	anger	0.176
deserve	ထိုက်	anger	0.176
insists	ရန်ကင်း	anger	0.175
treat	စားသောကျပှဲ	anger	0.175
misplace	အလဲနေရာချထား	anger	0.172
indecisive	ကွေ	anger	0.172
gibberish	gibberish	anger	0.172
fleece	မွေး	anger	0.172
fee	ကြေး	anger	0.172
peice	NO TRANSLATION	anger	0.172
liberate	လွှတ်	anger	0.172
excitation	စိတ်လှုပ်ရှားဖွယ်	anger	0.172
hormonal	ဟော်မုန်း	anger	0.172
mighty	အားကြီးသော	anger	0.172
thanksalot	NO TRANSLATION	anger	0.172
yelp	Yelp	anger	0.168
unequal	မညီမျှမှု	anger	0.167
insufficiency	မလုံလောက်	anger	0.167
hamstring	တံကောက်ကြောဒဏ်ရာ	anger	0.167
bargaining	ညှိနှိုင်း	anger	0.167
mule	လား	anger	0.167
insignificant	အရေးမကြီးသော	anger	0.167
attentionseekers	NO TRANSLATION	anger	0.163
indifference	လျစ်လျူ	anger	0.156
rheumatism	ဒူလာ	anger	0.156
coop	Coop	anger	0.156
forearm	လက်မောင်း	anger	0.156
uncertain	စိတ်မချရသော	anger	0.152
bee	ပျား	anger	0.152
justthebeginning	NO TRANSLATION	anger	0.152
involvement	ပါဝင်ပတ်သက်မှု	anger	0.152
disinformation	disinformation ဆိုတဲ့စကားလုံး	anger	0.152
attorney	ဉပဒေကိုယ်စားပြုမှူး	anger	0.152
underpaid	နညျးလှနျး	anger	0.152
pretending	ဟန်ဆောင်	anger	0.152
campaigning	စည်းရုံးလှုပ်ရှားမှု	anger	0.151
hopelessness	မျှော်လင့်ချက်မဲ့	anger	0.149
feeling	ခံစားချက်	anger	0.147
legalized	တရားဝင်	anger	0.145
caution	သတိ	anger	0.145
subsidy	ထောကျပံ့ငှေ	anger	0.141
obliging	သူတစ်ပါးကိုကူညီရိုင်းပင်း	anger	0.141
morals	ကိုယ်ကျင့်တရား	anger	0.141
sterling	အဲဒီအ	anger	0.141
wimpy	wimpy	anger	0.140
bummer	ကသိကအောက်ဖြစ်ရပ်	anger	0.139
misspell	စာလုံးပေါင်းအမှား	anger	0.136
saloon	Saloon	anger	0.136
repay	ပြန်ဆပ်	anger	0.136
blemish	အသွင်ပျက်ချက်	anger	0.136
surcharge	ဝန်ပို	anger	0.136
geez	Geez	anger	0.136
birch	ဘုစပတ်သစ်သား	anger	0.135
noob	လူဆိုးလေး	anger	0.133
honk	အသံဆူဆူညံညံ	anger	0.133
orchestra	တူရိယာသံစုံတီးဝိုငျးအဖှဲ့	anger	0.132
competitive	ယှဉ်ပြိုင်နိုင်စွမ်း	anger	0.125
wireless	ကြိုးမဲ့	anger	0.125
standstill	ရပ်တ	anger	0.125
mosque	ဗလီ	anger	0.122
reversal	အားလုံးပွောငျးလဲ	anger	0.121
inattention	inattention	anger	0.121
lace	ထိုးဇါ	anger	0.118
elbow	တတောင်	anger	0.117
instinctive	ပင်ကိုယ်သိအတိုင်းဖြစ်သော	anger	0.112
chant	ဓမ္မသီချင်း	anger	0.111
lonely	တယောက်တည်းသော	anger	0.109
gnome	gnome	anger	0.109
tolerate	သည်းခံနေ	anger	0.106
management	စီမံခန့်ခွဲမှု	anger	0.102
advocacy	စည်းရုံးလှုံ့ဆော်မှု	anger	0.100
moral	ကိုယ်ကျင့်တရား	anger	0.094
roadworks	လမ်းဖောက်ပေးလိုက်တာ	anger	0.091
honest	ရိုးသားသော	anger	0.087
forgetful	သတိမေ့တတ်သော	anger	0.076
gent	Genting	anger	0.076
liquor	လီးကားအရက်	anger	0.075
money	ပိုက်ဆံ	anger	0.074
hood	အမိုး	anger	0.071
curriculum	သင်ရိုးညွှန်းတမ်း	anger	0.063
words	စကားများ	anger	0.062
smell	အနံ့	anger	0.061
elf	elf	anger	0.061
playful	ပျြောတတျသော	anger	0.061
opera	တေးသံစုံကဇါတ်	anger	0.061
nurture	ပွား	anger	0.059
asleeep	NO TRANSLATION	anger	0.059
counsellor	အကြံပေးသူ	anger	0.059
trumpet	တံပိုး	anger	0.059
birthplace	မှေးဖှါးရာဒသေ	anger	0.051
ribbon	ကျပ်ကြိုး	anger	0.047
youth	လူငယ်	anger	0.045
vote	မဲပေး	anger	0.045
cash	ငွေသား	anger	0.039
wannasleep	NO TRANSLATION	anger	0.031
dame	Dame	anger	0.030
waffle	waffle	anger	0.030
buffet	ဘူဖေး	anger	0.029
celebrity	အနုပညာရှင်	anger	0.026
autocorrect	အော်တိုပြင်	anger	0.015
sisterhood	ညီအစ်မ	anger	0.015
musical	တေးဂီတ	anger	0.011
tree	သစ်ပင်	anger	0.000
anticipation	တင်ကူးသိမြင်မှု	anticipation	0.859
excited	ထကြွသော	anticipation	0.859
anticipate	တင်ကူးသိမြင်	anticipation	0.820
excitement	ထကြွခြင်း	anticipation	0.820
eagerness	စိတ်အားထက်သန်	anticipation	0.812
exciting	ထကြွဘွယ်ဖြစ်သော	anticipation	0.797
expectant	မျှော်	anticipation	0.789
thrilling	စိတျလှုပျရှားဖှယျ	anticipation	0.781
hope	မျှော်လင့်ချက်	anticipation	0.773
quest	ရှာဖှေခွငျး	anticipation	0.766
expectance	မြျှောလငျ့	anticipation	0.750
countdown	နှစ်သစ်ကြိုဆိုပွဲ	anticipation	0.750
start	စတင်	anticipation	0.750
anticipatory	anticipatory	anticipation	0.750
adventure	အဖြစ်အပျက်	anticipation	0.750
eager	စိတ်အားထက်သန်	anticipation	0.742
climax	အဆုံး	anticipation	0.742
excite	နှိုးဆျော	anticipation	0.742
prophecy	အနာဂတ္တိ	anticipation	0.742
arouse	ထကြွစေ	anticipation	0.742
expect	မျှော်လင့်ထား	anticipation	0.742
birth	ကလေးမွေးဖွား	anticipation	0.734
ejaculation	သုတ်ရည်လွှတ်	anticipation	0.734
announcement	ကြေညာချက်	anticipation	0.734
liberation	လွှတ်ခြင်း	anticipation	0.727
urgent	အမြန်လိုသော	anticipation	0.727
expecting	မျှော်လင့်	anticipation	0.727
expectancy	မျှော်မှန်း	anticipation	0.727
imminent	မလှဲနိုငျသော	anticipation	0.727
aspire	Aspire	anticipation	0.719
prospect	အမြင်	anticipation	0.719
trepidation	trepidation	anticipation	0.719
reunion	ပြန်လည်ပူးပေါင်းခြင်း	anticipation	0.719
prospection	အမြင်	anticipation	0.719
voyage	ရကွောငျးခရီး	anticipation	0.719
mystery	နက်နဲသောအရာ	anticipation	0.711
journey	ခရီးသွားခြင်း	anticipation	0.711
kiss	နမ်း	anticipation	0.711
enthusiasm	စိတ်အားထက်သန်ခြင်း	anticipation	0.711
suspense	ဆိုင်းထားခြင်း	anticipation	0.711
ecstasy	ecstasy	anticipation	0.711
rapture	စိတ်အားတက်ကြွခြင်း	anticipation	0.711
yearning	တောငျ့	anticipation	0.711
urgency	အရေးတကြီး	anticipation	0.703
destination	ခရီးလမ်းဆုံး	anticipation	0.703
frantic	လွန်မိပြီ	anticipation	0.703
excitation	စိတ်လှုပ်ရှားဖွယ်	anticipation	0.703
thrill	စိတ်လှုပ်ရှား	anticipation	0.703
prospective	အလားအလာ	anticipation	0.703
hopeful	အကောငျးဖွစျလာမညျဟုမြျှောလငျ့နသော	anticipation	0.703
lottery	ထီ	anticipation	0.703
progress	တိုးတက်ခြင်း	anticipation	0.703
tantalizing	tantalizing	anticipation	0.703
advance	ကြိုတင်မဲ	anticipation	0.695
explore	စူးစမ်းလေ့လာ	anticipation	0.695
liberate	လွှတ်	anticipation	0.695
readiness	အသငျ့	anticipation	0.695
hurry	အလျင်အမြန်လုပ်	anticipation	0.695
arrival	ရောက်လာခြင်း	anticipation	0.695
vacation	အားလပ်ရက်	anticipation	0.695
expectation	မျှော်လင့်	anticipation	0.695
sex	လိင်	anticipation	0.695
achievement	အောင်မြင်ချက်	anticipation	0.695
prediction	ခန့်မှန်း	anticipation	0.695
allure	သှေးဆောငျ	anticipation	0.688
ecstatic	ecstatic	anticipation	0.688
approaching	ချဉ်းကပ်	anticipation	0.688
uprising	တော်လှန်ရေး	anticipation	0.680
honeymoon	ပျားရည်ဆန်းလ	anticipation	0.680
roulette	ကစားတဲ့	anticipation	0.680
crescendo	မြည်ဟီးရိုက်ခတ်	anticipation	0.672
holiday	အားလပ်ရက်များ	anticipation	0.672
wishful	တာဟာစိတ်ကူးယဉ်	anticipation	0.672
celebrating	ကျင်းပနေ	anticipation	0.672
waiting	စောင့်ဆိုင်းနေ	anticipation	0.664
winnings	အနိုင်ရရှိတဲ့	anticipation	0.664
orgasm	အော်ဂဇင်	anticipation	0.664
winning	အနိုင်ရ	anticipation	0.664
impending	မကြာမီ	anticipation	0.664
invitation	ဖိတ်ခေါ်ချက်	anticipation	0.664
rescue	ကယ်ဆယ်	anticipation	0.664
craving	တဏှာ	anticipation	0.664
triumph	အောင်ပွဲ	anticipation	0.664
celebration	အခမ်းအနား	anticipation	0.656
victory	အောင်ပွဲ	anticipation	0.656
aspiring	aspiring	anticipation	0.656
gain	အကျိုး	anticipation	0.656
jackpot	ထီပေါက်	anticipation	0.656
marriage	လက်ထပ်ထိမ်းမြား	anticipation	0.656
strive	ကြိုးစား	anticipation	0.656
bridegroom	သတို့သား	anticipation	0.656
reward	ဆုလာဘ်	anticipation	0.656
fortune	ဉစ္စာဓန	anticipation	0.656
bridal	သတို့သမီး	anticipation	0.656
courtship	ပိုးပန်း	anticipation	0.656
treasure	ရတနာ	anticipation	0.648
opportunity	အခွင့်အရေး	anticipation	0.648
intrigue	ပယောဂ	anticipation	0.648
delivery	ပို့ခြင်း	anticipation	0.648
alertness	ရွှင်လန်း	anticipation	0.648
aspiration	ဆန္ဒ	anticipation	0.648
inheritance	အမွေကို	anticipation	0.648
rising	မြင့်တက်လာ	anticipation	0.648
tomorrow	နက်ဖြန်	anticipation	0.648
prescient	prescient	anticipation	0.648
crowning	လှည့်ခံရသော	anticipation	0.648
revolution	တော်လှန်ရေး	anticipation	0.641
erotic	ခေါ်ဆောင်သွား	anticipation	0.641
spectacular	စိတ်ဓါတ်ထိခိုက်သော	anticipation	0.641
anxious	စိုးရိမ်ခြင်းရှိသော	anticipation	0.641
expedition	လေ့လာရေးအဖှဲ့	anticipation	0.641
possibility	ဖြစ်နိုင်ခြေ	anticipation	0.641
launch	ပစ်လွှတ်	anticipation	0.641
bride	ဆောင်သတို့သမီး	anticipation	0.641
celebrated	ဂုဏျ	anticipation	0.641
prognosis	ဟောကိန်း	anticipation	0.641
engaged	စေ့စပ်	anticipation	0.641
reckoning	စာရင်း	anticipation	0.641
award	ချီးမြှင့်	anticipation	0.641
happiness	ပျြောရှငျမှု	anticipation	0.641
hype	ဖောင်းပွ	anticipation	0.641
receiving	လက်ခံရရှိ	anticipation	0.641
curious	သိချင်သော	anticipation	0.633
succeed	အောင်မြင်ဖို့	anticipation	0.633
birthday	မှေးနေ့	anticipation	0.633
graduation	တက်ဏသိုလျဘှဲ့ရခွငျး	anticipation	0.633
beware	သတိပြု	anticipation	0.633
vision	ရူပါရုံကို	anticipation	0.633
passionate	စိတ်ထွက်လွယ်သော	anticipation	0.633
delight	မွေ့လျော်	anticipation	0.633
destiny	ကြမ္မ	anticipation	0.633
ominous	နိမိတျဆိုး	anticipation	0.633
coming	လာမယ့်	anticipation	0.633
await	စောင့်ဆိုင်းနေ	anticipation	0.633
passion	စှဲလနျးခွငျး	anticipation	0.633
firstborn	သားဦး	anticipation	0.633
captivate	captivate	anticipation	0.633
prepare	ပြင်ဆင်ထား	anticipation	0.633
miracle	အံ့သြဘွယ်	anticipation	0.633
triumphant	အောင်ပွဲခံ	anticipation	0.625
lust	တဏှာ	anticipation	0.625
retirement	ဆုတ်ခွါခြင်း	anticipation	0.625
escape	ထှကျပွေး	anticipation	0.625
gift	ဆုကြေးဇူးကို	anticipation	0.625
inspiration	စိတ်ဝင်စားခြင်း	anticipation	0.625
optimism	အကောင်းမြင်	anticipation	0.625
foresee	ကာလတွင်	anticipation	0.625
ripen	တှငျရငျ့မှညျ့	anticipation	0.625
revival	ပြန်လည်ရှင်သန်မှု	anticipation	0.625
embrace	ဖက်	anticipation	0.617
risky	စွန့်စားရသော	anticipation	0.617
ambition	ကြီးသောအာသီသ	anticipation	0.617
simmering	တကျီကျီ	anticipation	0.617
surprisingly	အံ့သြစရာကောင်းလောက်အောင်	anticipation	0.617
verge	လုနီးနီး	anticipation	0.617
enchanting	ဝိဇ္ဇာအတတ်အား	anticipation	0.617
bloom	ပွင့်	anticipation	0.617
foresight	ကွိုတငျတှေ့မွငျ	anticipation	0.617
foreboding	foreboding	anticipation	0.617
destined	လတ်	anticipation	0.617
succeeding	ဆက်ခံ	anticipation	0.609
magical	မှော်	anticipation	0.609
bonus	ဆုငှေ	anticipation	0.609
lookout	သတိထားပါ	anticipation	0.609
matrimony	matrimony	anticipation	0.609
alerts	သတိပေးချက်	anticipation	0.609
anxiety	စိုးရိမ်ခြင်း	anticipation	0.609
seductive	သှေးဆောငျတတျသော	anticipation	0.609
forecast	ခန့်မှန်းချက်	anticipation	0.609
intended	ရည်ရွယ်	anticipation	0.602
inspire	စိတ်ဝင်စားစေ	anticipation	0.602
diagnosis	ရောဂါအမည်ဖေါ်ခြင်း	anticipation	0.602
visionary	အမြော်အမြင်	anticipation	0.602
nervous	ဦးနှောက်အာရုံကြော	anticipation	0.602
deserve	ထိုက်	anticipation	0.602
fulfillment	ပွညျ့စုံ	anticipation	0.602
picnic	ပျော်ပွဲစားထွက်ခြင်း	anticipation	0.602
applicant	လြှောကျသူ	anticipation	0.602
foreseen	ကြိုတင်သိမြင်နေသော်လည်း	anticipation	0.602
entertaining	ဖျော်ဖြေမှု	anticipation	0.602
revenge	လကျစားခခြွေငျး	anticipation	0.602
success	အောင်မြင်ခြင်း	anticipation	0.602
prophetic	ပရောဖကျ	anticipation	0.602
winner	အောင်သူ	anticipation	0.602
longing	တောင်းတခြင်း	anticipation	0.602
boomerang	ထိကပြန်	anticipation	0.602
result	ရလဒ်	anticipation	0.594
accelerate	တိုး။ မြန်စေ	anticipation	0.594
buzz	ဆူညံသံ	anticipation	0.594
acquiring	လေးလည်း	anticipation	0.594
marry	လက်ထပ်ထိမ်းမြား	anticipation	0.594
illuminate	ထွန်းလင်းတောက်ပစေ	anticipation	0.594
romance	စိတ်ကူးယဉ်သီချင်း	anticipation	0.594
rekindle	ပွနျလညျရှငျသ	anticipation	0.594
luck	ကံကောင်းခြင်း	anticipation	0.594
advent	ထွန်း	anticipation	0.594
preparedness	ကြိုတင်ပြင်ဆင်မှု	anticipation	0.594
momentum	အရှိန်အဟုန်	anticipation	0.594
arrive	ရောက်လာ	anticipation	0.594
predict	အနာဂတ်ဟော	anticipation	0.589
sequel	နောက်ဆက်တွဲ	anticipation	0.586
money	ပိုက်ဆံ	anticipation	0.586
endeavor	ကြိုးစားခြင်း	anticipation	0.586
auspices	auspices	anticipation	0.586
fiesta	fiesta	anticipation	0.586
raffle	Raffles	anticipation	0.586
preparation	ပြင်ဆင်မှု	anticipation	0.586
uplift	မြင့်မား	anticipation	0.586
investigation	စုံစမ်းစစ်ဆေးမှု	anticipation	0.586
gambling	လောင်းကစားဝိုင်း	anticipation	0.586
delightful	မြတ်နိုးလှသော	anticipation	0.586
enjoying	ခံစား	anticipation	0.586
seek	ရှာအံ့သောငှါ	anticipation	0.586
impatient	စိတ်မရှည်နိုင်သော	anticipation	0.586
overdue	မပွေကုနျနသော	anticipation	0.586
crave	တောင်းပန်	anticipation	0.586
flirt	ပရောပ	anticipation	0.586
enthusiast	ဝါသနာအိုး	anticipation	0.586
presumption	မှတ်ယူချက်	anticipation	0.586
immerse	နှစ်မြှုပ်	anticipation	0.586
progression	တိုးတက်မှု	anticipation	0.586
experiment	စမ်းသပ်မှု	anticipation	0.580
inviting	ဖိ	anticipation	0.578
precarious	မရေရာသော	anticipation	0.578
blessing	ကောင်းကြီးမင်္ဂလာ	anticipation	0.578
harvest	စပါးရိတ်ရာကာလ	anticipation	0.578
transcendence	TRANSCEND	anticipation	0.578
heavenly	ကောင်းကင်ဘုံရှင်	anticipation	0.578
attainable	မှီ	anticipation	0.578
enjoy	နှစ်သက်	anticipation	0.578
divination	ဗေဒင်တွက်ခြင်းငှါ	anticipation	0.578
excavation	တူးခြင်း	anticipation	0.578
healing	အနာရောဂါငြိမ်းစရာ	anticipation	0.578
majestic	ညား	anticipation	0.578
clamor	ဆူညံ	anticipation	0.578
thirst	ငတ်ခြင်း	anticipation	0.578
remedy	ဆေးဝါး	anticipation	0.578
prosper	အကြံထမြောက်ရသောအ	anticipation	0.578
risk	အန္တရာယ်	anticipation	0.578
angling	ထောင့်	anticipation	0.578
completing	ဖြည့်စွက်	anticipation	0.578
thriving	အောင်မြင်	anticipation	0.578
zest	zest	anticipation	0.570
tease	ကျီစား	anticipation	0.570
matchmaker	အောင်သွယ်	anticipation	0.570
prospectively	အမြင်	anticipation	0.570
restlessness	မငြိမ်မသက်သော	anticipation	0.570
sweetheart	ရည်းစား	anticipation	0.570
emancipation	လွတ်မြောက်ခြင်း	anticipation	0.570
ultimate	အဆုံးဖြစ်သော	anticipation	0.570
invite	ဖိတ်ခေါ်	anticipation	0.570
gambler	လောင်းကစားသူ	anticipation	0.570
dare	ဝံ့	anticipation	0.570
plan	စီမံကိန်း	anticipation	0.570
magnificence	ဘုနျး	anticipation	0.570
warned	သတိပေးခဲ့သည်	anticipation	0.570
finally	နောက်ဆုံး	anticipation	0.570
intimate	သဘာဝအတိုင်းဖြစ်သော	anticipation	0.570
omen	အတိတ်နိမိတ်	anticipation	0.570
attempt	ကြိုးပမ်းမှု	anticipation	0.562
forewarned	ကြိုတင်သတိပေးမှုမရှိ	anticipation	0.562
fun	ပျော်စရာ	anticipation	0.562
festival	ပွဲတော်	anticipation	0.562
trophy	စစ်အောင်နိုင်မှုအထိမ်းအမှတ်ပစ္စည်း	anticipation	0.562
rejoice	ရွှင်လန်း	anticipation	0.562
fanfare	ကြီးကျယ်ခမ်းနား	anticipation	0.562
predilection	predilection	anticipation	0.562
exalt	ချီးမြှောက်	anticipation	0.562
parade	ချင်းပျင်းပြသခြင်း	anticipation	0.562
enchant	ဝိဇ္ဇာအတတ်အား	anticipation	0.562
independence	လွတ်လပ်ရေး	anticipation	0.562
expose	ကျရောက်စေ	anticipation	0.562
immortality	မသေနိုင်ခြင်း	anticipation	0.562
expected	မျှော်လင့်ထားသည့်	anticipation	0.562
mysterious	နကျနဲသိမျမှေ့သော	anticipation	0.562
hypothesis	ယူဆချက်	anticipation	0.562
accolade	ဂုဏ်ပြုခံရခြင်းများ	anticipation	0.562
lover	ချစ်မြတ်နိုးတဲ့	anticipation	0.562
quicken	လွယ်ကူလျှင်မြန်စွာ	anticipation	0.562
champion	တံခွန်စိုက်သူ	anticipation	0.562
lovely	လှပသော	anticipation	0.555
rejoicing	ဝမ်းမြောက်သောသူ	anticipation	0.555
grasping	ကျက်	anticipation	0.555
grow	ကြီးထွား	anticipation	0.555
curiosity	သိချင်စိတ်	anticipation	0.555
splendor	ဘုန်း	anticipation	0.555
salvation	ကယျတငျတျောမူခွငျး	anticipation	0.555
happy	ပျြောရှငျသော	anticipation	0.555
oracle	ဗျာဒိတ်တော်	anticipation	0.555
amour	NO TRANSLATION	anticipation	0.555
unfold	ဖွင့်လှစ်	anticipation	0.555
boisterous	ဗလောင်ဆူလာတယ်	anticipation	0.555
liberty	လွတ်လပ်ခြင်း	anticipation	0.555
heroism	သူရဲကောင်းဝါဒ	anticipation	0.555
feeling	ခံစားချက်	anticipation	0.555
shopping	စျေးဝယ်	anticipation	0.555
fate	ကြမ္မာ	anticipation	0.555
uneasiness	ကွာဟတဲ့အတွက်	anticipation	0.555
speculative	မှန်းဆ	anticipation	0.555
changeable	ပွောငျးနိုငျသော	anticipation	0.547
recreational	အပန်းဖြေ	anticipation	0.547
pray	ဆုတောင်း	anticipation	0.547
warn	သတိပေး	anticipation	0.547
suspicious	သံသယဖြစ်ဖွယ်	anticipation	0.547
convergence	convergence	anticipation	0.547
incite	နှိုးဆျော	anticipation	0.547
agape	agape	anticipation	0.547
morrow	နက်ဖြန်နေ့	anticipation	0.547
abundance	ကြွယ်ဝခြင်း	anticipation	0.547
delighted	ဝမ်းသာပီတိဖြစ်	anticipation	0.547
resultant	ထွက်ပေါ်လာတဲ့	anticipation	0.547
hungry	ဆာလောင်မွတ်သိပ်	anticipation	0.547
monetary	ငွေကြေးဆိုင်ရာ	anticipation	0.547
vote	မဲပေး	anticipation	0.547
glory	ဂုဏ်	anticipation	0.547
glimmer	ရောင်ခြည်အနည်းငယ်	anticipation	0.547
apprehensive	စိုးရိမ်တတ်သော	anticipation	0.547
sorcery	တတ်	anticipation	0.547
bountiful	ကရုဏာ	anticipation	0.547
leisure	အချိန်အား	anticipation	0.547
probability	ဖြစ်နိုင်ဘွယ်ရှိခြင်း	anticipation	0.547
auction	လလေံပှဲ	anticipation	0.539
hunting	အမဲလိုက်	anticipation	0.539
contingent	ဆက်ပြောပါတယ်	anticipation	0.539
hankering	hankering	anticipation	0.539
sensual	အာရုံလိုက်စားတတ်သော	anticipation	0.539
blessings	ကောင်းကြီးမင်္ဂလာ	anticipation	0.539
ballot	မဲပြား	anticipation	0.539
grandchildren	မြေး	anticipation	0.539
entertainment	ဖျော်ဖြေရေး	anticipation	0.539
vindication	ဖြောင့်မတ်	anticipation	0.539
worrying	စိုးရိမ်ပူပန်	anticipation	0.539
tempest	မိုဃ်းသက်မုန်တိုင်း	anticipation	0.539
inquiry	မေးခြင်း	anticipation	0.539
merge	အဖှဲ့ပေါငျး	anticipation	0.539
exceed	ကျြောလှနျ	anticipation	0.539
bounty	ကျေးဇူး	anticipation	0.539
glad	ဝမျးသာ	anticipation	0.536
magnificent	ကြီးကျယ်သော	anticipation	0.531
feat	စွန်စားမှု	anticipation	0.531
stealthy	မသိမသာပါ	anticipation	0.531
cheer	ရွှင်လန်း	anticipation	0.531
spirits	ဝိညာဉျ	anticipation	0.531
visitor	ဧည့်သည်	anticipation	0.531
appeal	အယူခံဝင်	anticipation	0.531
forming	ဖွဲ့စည်း	anticipation	0.531
hurried	အလျင်အမြန်	anticipation	0.531
responsive	တုံ့ပြန်တတ်သော	anticipation	0.531
virginity	အပျိုစင်	anticipation	0.531
deliverance	လှတျမွောကျခွငျး	anticipation	0.531
betrothed	လက်ထပ်ပြီးသော်လည်း	anticipation	0.531
overthrow	ဖြိုဖျက်	anticipation	0.531
harbinger	harbinger	anticipation	0.531
raving	raving	anticipation	0.531
celestial	ကောငျးကငျ	anticipation	0.531
dread	ကွော	anticipation	0.531
germination	အပင်ပေါက်ရန်အတွက်	anticipation	0.523
preparatory	ကြိုတင်ပြင်ဆင်	anticipation	0.523
pleasant	သာယာသော	anticipation	0.523
