word	Catalan-ca	emotion	emotion-intensity-score
hypothesis	hipòtesi	anticipation	0.562
accolade	acolliment	anticipation	0.562
lover	amant	anticipation	0.562
quicken	acelerar	anticipation	0.562
champion	campió	anticipation	0.562
lovely	preciosa	anticipation	0.555
rejoicing	alegria	anticipation	0.555
grasping	agafant	anticipation	0.555
grow	créixer	anticipation	0.555
curiosity	curiositat	anticipation	0.555
splendor	esplendor	anticipation	0.555
salvation	salvació	anticipation	0.555
happy	feliç	anticipation	0.555
oracle	oracle	anticipation	0.555
amour	NO TRANSLATION	anticipation	0.555
unfold	desplegar	anticipation	0.555
boisterous	boig	anticipation	0.555
liberty	llibertat	anticipation	0.555
heroism	heroisme	anticipation	0.555
feeling	sensació	anticipation	0.555
shopping	compres	anticipation	0.555
fate	destí	anticipation	0.555
uneasiness	inquietud	anticipation	0.555
speculative	especulatiu	anticipation	0.555
changeable	canviable	anticipation	0.547
recreational	recreatiu	anticipation	0.547
pray	pregueu	anticipation	0.547
warn	avisar	anticipation	0.547
suspicious	sospitós	anticipation	0.547
convergence	convergència	anticipation	0.547
incite	incitar	anticipation	0.547
agape	Agape	anticipation	0.547
morrow	demà	anticipation	0.547
abundance	abundància	anticipation	0.547
delighted	encantat	anticipation	0.547
resultant	resultant	anticipation	0.547
hungry	famolenc	anticipation	0.547
monetary	monetari	anticipation	0.547
vote	votar	anticipation	0.547
glory	glòria	anticipation	0.547
glimmer	glimmer	anticipation	0.547
apprehensive	aprensiu	anticipation	0.547
sorcery	hechicería	anticipation	0.547
bountiful	abundant	anticipation	0.547
leisure	oci	anticipation	0.547
probability	probabilitat	anticipation	0.547
auction	subhasta	anticipation	0.539
hunting	cacera	anticipation	0.539
contingent	contingent	anticipation	0.539
hankering	anhelant	anticipation	0.539
sensual	sensual	anticipation	0.539
blessings	benediccions	anticipation	0.539
ballot	butlletí electoral	anticipation	0.539
grandchildren	néts	anticipation	0.539
entertainment	entreteniment	anticipation	0.539
vindication	reivindicació	anticipation	0.539
worrying	preocupant	anticipation	0.539
tempest	Tempesta	anticipation	0.539
inquiry	investigació	anticipation	0.539
merge	fusionar	anticipation	0.539
exceed	superar	anticipation	0.539
bounty	generositat	anticipation	0.539
glad	alegre	anticipation	0.536
magnificent	magnífic	anticipation	0.531
feat	feat	anticipation	0.531
stealthy	sigil	anticipation	0.531
cheer	alegria	anticipation	0.531
spirits	esperits	anticipation	0.531
visitor	visitant	anticipation	0.531
appeal	apel·lació	anticipation	0.531
forming	formant	anticipation	0.531
hurried	es va apressar	anticipation	0.531
responsive	sensible	anticipation	0.531
virginity	virginitat	anticipation	0.531
deliverance	alliberament	anticipation	0.531
betrothed	compromès	anticipation	0.531
overthrow	derrocar	anticipation	0.531
harbinger	presoner	anticipation	0.531
raving	fastigós	anticipation	0.531
celestial	celestial	anticipation	0.531
dread	temor	anticipation	0.531
germination	germinació	anticipation	0.523
preparatory	preparatòria	anticipation	0.523
pleasant	agradable	anticipation	0.523
watch	veure	anticipation	0.523
prophet	profeta	anticipation	0.523
prognostic	pronòstic	anticipation	0.523
haste	pressa	anticipation	0.523
planning	planificació	anticipation	0.523
importance	importància	anticipation	0.523
radiance	resplendor	anticipation	0.523
prevail	prevalgui	anticipation	0.523
cheery	alegre	anticipation	0.523
competition	competició	anticipation	0.523
ultimately	en definitiva	anticipation	0.523
revive	reviure	anticipation	0.523
beaming	beaming	anticipation	0.523
wait	espera	anticipation	0.523
child	nen	anticipation	0.523
notification	notificació	anticipation	0.523
hunter	caçador	anticipation	0.523
explosive	explosiu	anticipation	0.523
endanger	posa en perill	anticipation	0.516
time	temps	anticipation	0.516
recreation	recreació	anticipation	0.516
renovation	renovació	anticipation	0.516
precious	preciós	anticipation	0.516
begun	començat	anticipation	0.516
loom	teler	anticipation	0.516
compensate	compensar	anticipation	0.516
treat	tractar	anticipation	0.516
uncontrollable	incontrolable	anticipation	0.516
present	present	anticipation	0.516
salary	sou	anticipation	0.516
celebrity	celebritat	anticipation	0.516
owing	degut	anticipation	0.516
chocolate	xocolata	anticipation	0.516
caution	precaució	anticipation	0.516
fermentation	fermentació	anticipation	0.516
sensuality	sensualitat	anticipation	0.516
wilderness	desert	anticipation	0.508
signify	signifiquen	anticipation	0.508
transitional	transicional	anticipation	0.508
intermission	intermitja	anticipation	0.508
contemplation	contemplació	anticipation	0.508
vigilance	vigilància	anticipation	0.508
commemoration	commemoració	anticipation	0.508
practise	pràctica	anticipation	0.508
cue	cue	anticipation	0.508
infant	infant	anticipation	0.508
dreadful	terrible	anticipation	0.508
perfection	perfecció	anticipation	0.508
elevation	elevació	anticipation	0.508
prerequisite	requisit previ	anticipation	0.508
cultivate	conrear	anticipation	0.508
horizon	horitzó	anticipation	0.508
develop	desenvolupar	anticipation	0.508
exigent	NO TRANSLATION	anticipation	0.508
swim	nedar	anticipation	0.500
attendance	assistència	anticipation	0.500
nascent	principiant	anticipation	0.500
favorable	favorable	anticipation	0.500
peril	perill	anticipation	0.500
income	ingressos	anticipation	0.500
ardent	ardent	anticipation	0.500
commemorate	commemorar	anticipation	0.500
doomsday	dia del final del judici	anticipation	0.500
reconciliation	reconciliació	anticipation	0.500
utopian	utòpic	anticipation	0.500
romantic	romàntic	anticipation	0.500
unbridled	desenfrenat	anticipation	0.500
sunny	assolellat	anticipation	0.500
uphill	pujant	anticipation	0.500
intuitively	intuïtivament	anticipation	0.500
depart	sortir	anticipation	0.500
eventuality	eventualitat	anticipation	0.500
puppy	cadell	anticipation	0.500
zeal	zel	anticipation	0.500
sneaking	furtivament	anticipation	0.500
ready	llest	anticipation	0.500
advocacy	advocacia	anticipation	0.500
airport	aeroport	anticipation	0.500
litigate	litigar	anticipation	0.500
blindfold	amb els ulls embenats	anticipation	0.500
undisclosed	no revelat	anticipation	0.500
young	jove	anticipation	0.500
horoscope	horòscop	anticipation	0.500
invocation	invocació	anticipation	0.500
calculation	càlcul	anticipation	0.500
hero	heroi	anticipation	0.500
court	tribunal	anticipation	0.492
repay	pagar	anticipation	0.492
improvise	Improvisar	anticipation	0.492
parole	llibertat condicional	anticipation	0.492
worry	preocupació	anticipation	0.492
inauguration	inauguració	anticipation	0.492
gaping	boig	anticipation	0.492
youth	joves	anticipation	0.492
bless	beneeixi	anticipation	0.492
defense	defensa	anticipation	0.492
heyday	apogeu	anticipation	0.492
consequent	conseqüent	anticipation	0.492
proceeding	procedir	anticipation	0.492
eventual	eventual	anticipation	0.492
perspective	perspectiva	anticipation	0.492
restorative	restaurador	anticipation	0.492
undertaking	empresa	anticipation	0.492
highest	el més alt	anticipation	0.491
duel	duel	anticipation	0.484
unexplained	inexplicable	anticipation	0.484
tremor	tremolor	anticipation	0.484
sharpen	aguditzar	anticipation	0.484
generosity	generositat	anticipation	0.484
voluptuous	voluptuós	anticipation	0.484
shortly	en breu	anticipation	0.484
vow	vot	anticipation	0.484
contagion	contagi	anticipation	0.484
letter	carta	anticipation	0.484
happen	passar	anticipation	0.484
threaten	amenaça	anticipation	0.484
conjure	conjurar	anticipation	0.484
sparkle	espurna	anticipation	0.484
engulf	engolir	anticipation	0.484
god	Déu	anticipation	0.484
correspondence	correspondència	anticipation	0.484
auspicious	auspicis	anticipation	0.484
princely	princely	anticipation	0.484
adore	adorar	anticipation	0.477
enroll	inscriure's	anticipation	0.477
determinate	determinat	anticipation	0.477
predispose	predisposició	anticipation	0.477
clue	pista	anticipation	0.477
onset	inici	anticipation	0.477
powerful	potent	anticipation	0.477
glorify	glorificar	anticipation	0.477
glow	brillar	anticipation	0.477
arbitration	arbitratge	anticipation	0.477
torture	tortura	anticipation	0.477
gravitate	gravitar	anticipation	0.477
cherish	estimar	anticipation	0.477
contemplate	contemplar	anticipation	0.477
submit	Presentar	anticipation	0.477
perilous	perillós	anticipation	0.477
unification	unificació	anticipation	0.477
score	puntuació	anticipation	0.477
medal	medalla	anticipation	0.477
glide	lliscar	anticipation	0.477
recipient	destinatari	anticipation	0.477
accompaniment	acompanyament	anticipation	0.477
praiseworthy	lloable	anticipation	0.473
providing	proporcionant	anticipation	0.469
motion	moviment	anticipation	0.469
fete	NO TRANSLATION	anticipation	0.469
cautious	cautelós	anticipation	0.469
cash	efectiu	anticipation	0.469
precursor	precursor	anticipation	0.469
opera	òpera	anticipation	0.469
elite	elit	anticipation	0.469
pry	picar	anticipation	0.469
hire	llogar	anticipation	0.469
sweets	dolços	anticipation	0.469
star	estrella	anticipation	0.469
unsurpassed	sense igual	anticipation	0.469
successful	reeixit	anticipation	0.469
unknown	desconegut	anticipation	0.469
immediately	immediatament	anticipation	0.469
starry	estreny	anticipation	0.469
production	producció	anticipation	0.469
football	futbol	anticipation	0.469
completion	finalització	anticipation	0.469
scare	espantar	anticipation	0.469
invoke	invocar	anticipation	0.469
shaky	inestable	anticipation	0.469
dawn	alba	anticipation	0.469
creeping	rastrero	anticipation	0.469
cheerfulness	alegria	anticipation	0.461
soundness	solidesa	anticipation	0.461
mail	mail	anticipation	0.461
draft	esborrany	anticipation	0.461
preliminary	preliminar	anticipation	0.461
friendly	amable	anticipation	0.461
commemorative	commemoratiu	anticipation	0.461
extricate	extricate	anticipation	0.461
alive	viu	anticipation	0.461
untold	desconegut	anticipation	0.461
overture	obertura	anticipation	0.461
excel	sobresortir	anticipation	0.461
plight	malament	anticipation	0.461
synchronize	sincronitzar	anticipation	0.461
punt	Punt	anticipation	0.461
sanctuary	santuari	anticipation	0.461
brilliant	genial	anticipation	0.461
pay	pagar	anticipation	0.461
shining	brillant	anticipation	0.461
regatta	regata	anticipation	0.461
testament	testament	anticipation	0.461
jeopardy	perill	anticipation	0.461
perpetuity	perpetuïtat	anticipation	0.453
elegance	elegància	anticipation	0.453
career	carrera	anticipation	0.453
basketball	bàsquet	anticipation	0.453
intimately	íntimament	anticipation	0.453
renovate	renovar	anticipation	0.453
supremacy	supremacia	anticipation	0.453
infinity	infinit	anticipation	0.453
unexpected	inesperat	anticipation	0.453
flinch	flinch	anticipation	0.453
complement	complement	anticipation	0.453
prologue	pròleg	anticipation	0.453
compliment	NO TRANSLATION	anticipation	0.453
prevention	prevenció	anticipation	0.453
improve	millorar	anticipation	0.453
sunset	capvespre	anticipation	0.453
inaugural	inaugural	anticipation	0.453
rehabilitation	rehabilitació	anticipation	0.453
fitting	ajust	anticipation	0.445
surround	envoltant	anticipation	0.445
share	Compartir	anticipation	0.445
epidemic	epidèmia	anticipation	0.445
sweet	dolç	anticipation	0.445
fain	NO TRANSLATION	anticipation	0.445
concealment	ocultació	anticipation	0.445
confidence	confiança	anticipation	0.445
perfect	perfecte	anticipation	0.445
sun	sol	anticipation	0.445
veracity	veracitat	anticipation	0.445
volunteer	voluntari	anticipation	0.445
conjecture	conjectura	anticipation	0.445
medical	mèdic	anticipation	0.438
prepared	preparat	anticipation	0.438
superstitious	supersticiosos	anticipation	0.438
reconstruction	reconstrucció	anticipation	0.438
tickle	pessigolles	anticipation	0.438
faith	fe	anticipation	0.438
passenger	passatgers	anticipation	0.438
saint	Sant	anticipation	0.438
respect	respecte	anticipation	0.438
rabid	rabiós	anticipation	0.438
reconstruct	reconstruir	anticipation	0.438
recombination	recombinació	anticipation	0.438
devout	devot	anticipation	0.438
goodness	bondat	anticipation	0.438
angel	àngel	anticipation	0.438
ferment	Ferment	anticipation	0.438
plea	súplica	anticipation	0.438
aloha	aloha	anticipation	0.438
serial	sèrie	anticipation	0.438
conservation	conservació	anticipation	0.438
serenity	serenitat	anticipation	0.430
tabulate	tabular	anticipation	0.430
install	instal·lar	anticipation	0.430
labyrinth	laberint	anticipation	0.430
venerable	venerable	anticipation	0.430
perpetuate	perpetuar	anticipation	0.430
strategist	estrateg	anticipation	0.430
unverified	no verificat	anticipation	0.430
tribunal	tribunal	anticipation	0.430
charitable	caritatiu	anticipation	0.430
luscious	luscious	anticipation	0.430
spa	spa	anticipation	0.430
peace	pau	anticipation	0.430
clap	aplaudir	anticipation	0.430
conspirator	conspirador	anticipation	0.422
forestall	prevenir	anticipation	0.422
patience	paciència	anticipation	0.422
oasis	oasi	anticipation	0.422
grin	sonrisa	anticipation	0.422
revere	revere	anticipation	0.422
worship	adoració	anticipation	0.422
vista	vista	anticipation	0.422
laughter	riure	anticipation	0.422
volatility	volatilitat	anticipation	0.422
adrift	a la deriva	anticipation	0.422
candid	sincer	anticipation	0.422
edification	edificació	anticipation	0.422
unresolved	sense resoldre	anticipation	0.422
peaceful	Pacífic	anticipation	0.422
recognizable	reconegut	anticipation	0.422
calls	trucades	anticipation	0.414
weigh	pesar	anticipation	0.414
probation	llibertat condicional	anticipation	0.414
proficiency	competència	anticipation	0.414
morn	matí	anticipation	0.414
craps	dits	anticipation	0.414
detainee	detingut	anticipation	0.414
mediate	mediteu	anticipation	0.414
continue	continueu	anticipation	0.414
astrologer	astròleg	anticipation	0.414
punctual	puntual	anticipation	0.414
ordination	ordenació	anticipation	0.414
pretty	bonic	anticipation	0.414
thought	pensament	anticipation	0.414
grant	subvenció	anticipation	0.414
withstand	suportar	anticipation	0.414
frisky	frisky	anticipation	0.414
ongoing	en marxa	anticipation	0.414
sing	cantar	anticipation	0.411
long	llarg	anticipation	0.406
confession	confessió	anticipation	0.406
headlight	faro	anticipation	0.406
prophylactic	profilàctic	anticipation	0.406
mother	mare	anticipation	0.406
debenture	obligació	anticipation	0.406
wizard	mag	anticipation	0.406
university	universitat	anticipation	0.406
proud	orgullós	anticipation	0.406
midwife	llevadora	anticipation	0.406
banquet	banquet	anticipation	0.406
continuation	continuació	anticipation	0.406
navigable	navegable	anticipation	0.406
punished	castigat	anticipation	0.406
chicane	xicana	anticipation	0.406
comfort	confort	anticipation	0.406
opponent	oponent	anticipation	0.406
subscribe	subscriure's	anticipation	0.406
outdo	outdo	anticipation	0.406
nurture	nodrir	anticipation	0.406
twinkle	parpellejar	anticipation	0.406
deal	acord	anticipation	0.402
efficient	eficient	anticipation	0.398
representing	representant	anticipation	0.398
simmer	cuinar a foc lent	anticipation	0.398
symphony	simfonia	anticipation	0.398
judiciary	judiciari	anticipation	0.398
obliging	obligant	anticipation	0.398
saintly	sant	anticipation	0.398
vigil	vigília	anticipation	0.398
death	mort	anticipation	0.398
distracting	distreure	anticipation	0.398
mortification	mortificació	anticipation	0.398
balm	bàlsam	anticipation	0.398
guillotine	guillotina	anticipation	0.398
top	superior	anticipation	0.398
lettered	lletrats	anticipation	0.398
reliance	confiança	anticipation	0.398
poke	picar	anticipation	0.391
unfulfilled	incomplert	anticipation	0.391
assurance	garantia	anticipation	0.391
condemnation	condemna	anticipation	0.391
undoubted	indubtable	anticipation	0.391
diplomacy	diplomàcia	anticipation	0.391
familiarity	familiaritat	anticipation	0.391
antidote	antídot	anticipation	0.391
chuckle	riure	anticipation	0.391
objective	objectiu	anticipation	0.391
maternal	maternal	anticipation	0.391
abeyance	suspensió	anticipation	0.391
art	art	anticipation	0.391
linger	demora	anticipation	0.391
trust	confiança	anticipation	0.391
depraved	depravat	anticipation	0.391
sanctify	santificar	anticipation	0.391
inoculation	inoculació	anticipation	0.384
chant	chant	anticipation	0.383
banger	banger	anticipation	0.383
playground	parc infantil	anticipation	0.383
failing	fallant	anticipation	0.383
ship	vaixell	anticipation	0.383
hymn	himne	anticipation	0.383
simplify	simplificar	anticipation	0.383
ram	Ram	anticipation	0.383
labor	treball	anticipation	0.383
discretion	discreció	anticipation	0.383
hap	NO TRANSLATION	anticipation	0.383
good	bo	anticipation	0.383
scientist	científic	anticipation	0.383
undecided	indecisos	anticipation	0.383
humanitarian	humanitari	anticipation	0.383
depend	depenen	anticipation	0.383
dutiful	obedient	anticipation	0.383
clock	rellotge	anticipation	0.375
sterling	esterlina	anticipation	0.375
mountain	muntanya	anticipation	0.375
savor	assaborir	anticipation	0.375
recurrent	recurrent	anticipation	0.375
interim	interí	anticipation	0.375
navigator	navegador	anticipation	0.375
gradual	gradual	anticipation	0.375
interminable	interminable	anticipation	0.375
track	seguiment	anticipation	0.375
public	públic	anticipation	0.375
cradle	bressol	anticipation	0.375
concealed	amagat	anticipation	0.367
lesson	lliçó	anticipation	0.367
instructions	instruccions	anticipation	0.367
shiver	estremiment	anticipation	0.367
musical	musical	anticipation	0.367
towering	elevat	anticipation	0.367
whim	caprici	anticipation	0.367
spear	llança	anticipation	0.367
convince	convencer	anticipation	0.367
sonar	sonar	anticipation	0.367
abide	acatar	anticipation	0.367
biennial	biennal	anticipation	0.367
theology	teologia	anticipation	0.359
offset	compensació	anticipation	0.359
atone	atone	anticipation	0.359
timidity	timidesa	anticipation	0.359
theory	teoria	anticipation	0.359
undying	imparell	anticipation	0.359
plump	rabassut	anticipation	0.359
audience	audiència	anticipation	0.357
nobility	noblesa	anticipation	0.352
paragon	paragon	anticipation	0.352
dietary	dietètic	anticipation	0.352
closure	tancament	anticipation	0.352
store	botiga	anticipation	0.352
localize	localitzar	anticipation	0.352
cramp	rampa	anticipation	0.352
daily	diàriament	anticipation	0.352
kindred	familiar	anticipation	0.352
farm	granja	anticipation	0.352
edition	edició	anticipation	0.352
consecration	consagració	anticipation	0.352
archaeology	arqueologia	anticipation	0.344
mobile	mòbil	anticipation	0.344
errand	encàrrec	anticipation	0.344
wireless	sense fils	anticipation	0.344
mutable	mutable	anticipation	0.344
meditate	meditar	anticipation	0.344
stripped	despullat	anticipation	0.344
lessen	disminuir	anticipation	0.336
unaccountable	inexplicable	anticipation	0.336
pare	NO TRANSLATION	anticipation	0.336
brotherly	fraternal	anticipation	0.336
buddy	amic	anticipation	0.336
unbeaten	invicte	anticipation	0.336
germ	germen	anticipation	0.336
dove	colom	anticipation	0.328
digress	digress	anticipation	0.328
ribbon	cinta	anticipation	0.328
olfactory	olfactiu	anticipation	0.328
patient	pacient	anticipation	0.328
council	consell	anticipation	0.328
possess	posseir	anticipation	0.328
secular	secular	anticipation	0.328
chastity	castedat	anticipation	0.328
disposed	disposat	anticipation	0.320
regularity	regularitat	anticipation	0.320
mediator	mediador	anticipation	0.320
scrutinize	escrutini	anticipation	0.320
fancy	luxós	anticipation	0.320
immature	immadur	anticipation	0.320
infanticide	infanticidi	anticipation	0.320
heft	heft	anticipation	0.320
preservative	conservant	anticipation	0.320
paddle	paleta	anticipation	0.320
cove	Cala	anticipation	0.320
denying	negant	anticipation	0.312
bugle	corneta	anticipation	0.312
unpublished	inèdit	anticipation	0.312
analyst	analista	anticipation	0.312
grim	tèrmic	anticipation	0.312
church	Església	anticipation	0.312
priesthood	sacerdoci	anticipation	0.305
mill	molí	anticipation	0.305
judicial	judicial	anticipation	0.305
broadside	broadside	anticipation	0.305
tributary	tributari	anticipation	0.297
cap	cap	anticipation	0.297
thermocouple	termoparell	anticipation	0.297
dismay	consternació	anticipation	0.297
instructor	instructor	anticipation	0.297
saliva	saliva	anticipation	0.297
exhaustion	esgotament	anticipation	0.297
bruise	Moretones	anticipation	0.289
wont	NO TRANSLATION	anticipation	0.289
homeless	sense llar	anticipation	0.289
visor	visera	anticipation	0.289
discreet	NO TRANSLATION	anticipation	0.289
network	xarxa	anticipation	0.289
shackle	grillons	anticipation	0.289
addresses	adreces	anticipation	0.289
noncompliance	incompliment	anticipation	0.289
cataract	cataracta	anticipation	0.289
skewed	esbiaixat	anticipation	0.281
astronomer	astrònom	anticipation	0.281
neighbor	veí	anticipation	0.281
holiness	santedat	anticipation	0.273
devil	diable	anticipation	0.273
cream	crema	anticipation	0.273
picket	piquet	anticipation	0.273
latent	latent	anticipation	0.273
immaturity	immaduresa	anticipation	0.273
sentence	frase	anticipation	0.273
neighborhood	barri	anticipation	0.266
morals	moral	anticipation	0.266
lull	calma	anticipation	0.266
habitual	habitual	anticipation	0.266
weight	pes	anticipation	0.258
bye	adéu	anticipation	0.258
forearm	avantbraç	anticipation	0.250
clown	pallasso	anticipation	0.250
organ	òrgan	anticipation	0.250
quote	cita	anticipation	0.242
commonplace	lloc comú	anticipation	0.242
dictatorship	dictadura	anticipation	0.234
board	pissarra	anticipation	0.234
white	blanc	anticipation	0.234
treadmill	cinta de córrer	anticipation	0.234
rail	ferrocarril	anticipation	0.234
sundial	rellotge de sol	anticipation	0.227
tree	arbre	anticipation	0.227
paralysis	paràlisi	anticipation	0.211
worm	cuc	anticipation	0.203
organization	organització	anticipation	0.203
cement	ciment	anticipation	0.203
lagging	retardat	anticipation	0.180
neutral	neutral	anticipation	0.148
cannibalism	canibalisme	disgust	0.953
mutilation	mutilació	disgust	0.930
molestation	molestation	disgust	0.914
incest	incest	disgust	0.914
gonorrhea	gonorrea	disgust	0.906
rape	violació	disgust	0.906
cannibal	caníbal	disgust	0.898
rot	podridura	disgust	0.891
corpse	cadàver	disgust	0.883
massacre	massacre	disgust	0.883
excrement	excrements	disgust	0.883
slaughter	matança	disgust	0.875
barf	barf	disgust	0.875
slaughterhouse	escorxador	disgust	0.867
rancid	ranci	disgust	0.859
sewerage	clavegueram	disgust	0.859
incestuous	incestuós	disgust	0.859
filth	brutícia	disgust	0.859
bigot	bigot	disgust	0.859
infestation	infestació	disgust	0.852
plague	plaga	disgust	0.852
bloodthirsty	sanguinari	disgust	0.852
holocaust	holocaust	disgust	0.852
rotting	podrida	disgust	0.844
maggot	maggot	disgust	0.844
feces	excrements	disgust	0.844
fecal	fecal	disgust	0.844
murder	assassinat	disgust	0.839
infanticide	infanticidi	disgust	0.836
homicide	homicidi	disgust	0.836
asshole	asshole	disgust	0.836
enslaved	esclau	disgust	0.836
gore	gore	disgust	0.828
perverted	pervertit	disgust	0.828
torture	tortura	disgust	0.828
slaughtering	matança	disgust	0.828
excretion	excreció	disgust	0.828
contaminate	contaminar	disgust	0.821
murderer	assassí	disgust	0.820
gory	gory	disgust	0.820
repugnant	repugnant	disgust	0.820
desecration	profanació	disgust	0.820
grotesque	grotesc	disgust	0.820
revolting	revoltant	disgust	0.820
diarrhoea	diarrea	disgust	0.820
manure	fems	disgust	0.820
terrorist	terrorista	disgust	0.820
shit	merda	disgust	0.820
pervert	pervertit	disgust	0.820
slavery	esclavitud	disgust	0.812
faeces	femta	disgust	0.812
sewer	clavegueram	disgust	0.812
vomit	vòmit	disgust	0.812
manslaughter	homicidi	disgust	0.812
dismemberment	desmembrament	disgust	0.812
cadaver	Cadaver	disgust	0.812
hemorrhage	hemorràgia	disgust	0.805
repulsive	repulsiu	disgust	0.805
perverse	pervers	disgust	0.805
filthy	brut	disgust	0.797
sewage	aigües residuals	disgust	0.797
depravity	depravació	disgust	0.797
diseased	malalt	disgust	0.797
carcass	carcassa	disgust	0.795
decompose	descompondre	disgust	0.789
vermin	vermí	disgust	0.789
puke	puke	disgust	0.789
parasite	paràsit	disgust	0.789
horrific	horrible	disgust	0.789
gruesome	horrible	disgust	0.789
dung	NO TRANSLATION	disgust	0.789
mutilated	mutilat	disgust	0.789
murderous	assassí	disgust	0.789
decayed	decadent	disgust	0.789
herpes	herpes	disgust	0.789
slime	llot	disgust	0.781
flatulence	flatulència	disgust	0.781
monstrosity	monstruositat	disgust	0.781
carnage	carnisseria	disgust	0.781
pestilence	pesta	disgust	0.781
malaria	malària	disgust	0.781
crap	merda	disgust	0.781
toxic	tòxic	disgust	0.773
loathsome	desconcertant	disgust	0.773
insidious	insidiosa	disgust	0.773
leprosy	lepra	disgust	0.773
morgue	morgue	disgust	0.773
pus	pus	disgust	0.773
herpesvirus	herpesvirus	disgust	0.773
whore	puta	disgust	0.766
cruel	cruel	disgust	0.766
repugnance	repugnància	disgust	0.766
revulsion	repulsió	disgust	0.766
xenophobia	xenofòbia	disgust	0.766
regurgitation	regurgitació	disgust	0.766
anthrax	antrax	disgust	0.766
lynch	linxar	disgust	0.766
dissection	dissecció	disgust	0.759
canker	canker	disgust	0.758
cruelty	crueltat	disgust	0.758
perversion	perversió	disgust	0.758
evil	dolent	disgust	0.758
slum	barri baix	disgust	0.758
infectious	infeccioses	disgust	0.758
mucous	mucoses	disgust	0.758
phlegm	catarro	disgust	0.758
leeches	flors	disgust	0.750
decomposition	descomposició	disgust	0.750
sinister	sinistre	disgust	0.750
corrupting	corrompido	disgust	0.750
demon	dimoni	disgust	0.742
stinking	apestant	disgust	0.742
septic	sèptic	disgust	0.742
deranged	deranged	disgust	0.742
bile	bilis	disgust	0.742
soiled	embrutit	disgust	0.742
mucus	moc	disgust	0.742
abhorrence	aversió	disgust	0.742
abomination	abominació	disgust	0.742
sickening	malestar	disgust	0.742
demonic	demoníac	disgust	0.742
foul	falta	disgust	0.734
obese	obesitat	disgust	0.734
sicken	fer mal	disgust	0.734
degeneracy	degeneració	disgust	0.734
crucifixion	crucifixió	disgust	0.734
despicable	despreciable	disgust	0.734
cancer	càncer	disgust	0.734
atrocity	atrocitat	disgust	0.734
terrorism	terrorisme	disgust	0.734
dirty	brut	disgust	0.727
dysentery	disenteria	disgust	0.727
adultery	adulteri	disgust	0.727
contamination	contaminació	disgust	0.727
bacterium	bacteri	disgust	0.727
diabolical	diabòlic	disgust	0.727
morbidity	morbiditat	disgust	0.727
grisly	grisamente	disgust	0.727
repulsion	repulsió	disgust	0.727
enema	enema	disgust	0.727
contagion	contagi	disgust	0.719
disfigured	desfigurada	disgust	0.719
muck	muck	disgust	0.719
lewd	lewd	disgust	0.719
garbage	escombraries	disgust	0.719
autopsy	autòpsia	disgust	0.719
bowels	intestins	disgust	0.719
gross	brut	disgust	0.719
vulgar	vulgar	disgust	0.719
barbaric	bàrbar	disgust	0.719
disgust	disgustat	disgust	0.719
vicious	cruel	disgust	0.719
entrails	entranyes	disgust	0.719
deterioration	deteriorament	disgust	0.719
pungent	picant	disgust	0.719
bloodshed	vessament de sang	disgust	0.714
violent	violent	disgust	0.711
tyrant	tirà	disgust	0.711
poisoned	enverinat	disgust	0.711
pollute	contamina	disgust	0.711
wretched	miserable	disgust	0.711
nausea	nàusees	disgust	0.711
mortification	mortificació	disgust	0.711
gag	mordassa	disgust	0.711
vulgarity	vulgaritat	disgust	0.703
disgusting	desagradable	disgust	0.703
grope	estirar-se	disgust	0.703
slut	puta	disgust	0.703
poisoning	intoxicació	disgust	0.703
depraved	depravat	disgust	0.703
noxious	nocius	disgust	0.703
porn	porno	disgust	0.703
nasty	desagradable	disgust	0.703
slimy	baboso	disgust	0.703
despotism	despotisme	disgust	0.703
nauseate	nauseat	disgust	0.703
secretion	secreció	disgust	0.703
constipation	constipació	disgust	0.703
hateful	odiós	disgust	0.703
grime	mugre	disgust	0.703
measles	xarampió	disgust	0.696
contagious	contagiosa	disgust	0.695
hellish	infernal	disgust	0.695
waste	malbaratament	disgust	0.695
suicidal	suïcida	disgust	0.695
abuse	abús	disgust	0.695
hate	odi	disgust	0.695
wretch	desgraciat	disgust	0.695
intestinal	intestinal	disgust	0.695
wart	verruga	disgust	0.695
obesity	obesitat	disgust	0.695
scum	escòria	disgust	0.695
contaminated	contaminat	disgust	0.688
disease	malaltia	disgust	0.688
rabid	rabiós	disgust	0.688
ooze	ooze	disgust	0.688
treason	traïció	disgust	0.688
heartworm	cuc del cor	disgust	0.688
smut	smut	disgust	0.688
cholera	còlera	disgust	0.680
deformed	deformat	disgust	0.680
detest	detest	disgust	0.680
bestial	bestial	disgust	0.680
sickness	malaltia	disgust	0.680
antichrist	anticristo	disgust	0.680
abhorrent	abominable	disgust	0.680
soulless	sense ànima	disgust	0.680
freakish	freakish	disgust	0.680
grimy	grimy	disgust	0.680
hatred	odi	disgust	0.680
pollution	Pol · lució	disgust	0.680
germ	germen	disgust	0.680
abominate	abominar	disgust	0.680
hell	infern	disgust	0.680
dilapidated	en ruïnes	disgust	0.672
dictatorship	dictadura	disgust	0.672
inhuman	inhumans	disgust	0.672
greasy	greixós	disgust	0.672
hideous	horrible	disgust	0.672
loathful	repugnant	disgust	0.672
obscene	obscè	disgust	0.672
loathing	aversió	disgust	0.672
