word	Hebrew-iw	emotion	emotion-intensity-score
revive	לְהַחִיוֹת	anticipation	0.523
beaming	קורן	anticipation	0.523
wait	לַחֲכוֹת	anticipation	0.523
child	יֶלֶד	anticipation	0.523
notification	הוֹדָעָה	anticipation	0.523
hunter	צַיָד	anticipation	0.523
explosive	חומר נפץ	anticipation	0.523
endanger	לְסַכֵּן	anticipation	0.516
time	זְמַן	anticipation	0.516
recreation	נוֹפֶשׁ	anticipation	0.516
renovation	שיפוץ	anticipation	0.516
precious	יָקָר	anticipation	0.516
begun	התחיל	anticipation	0.516
loom	נוֹל	anticipation	0.516
compensate	לפצות	anticipation	0.516
treat	טיפול	anticipation	0.516
uncontrollable	בלתי נשלט	anticipation	0.516
present	מתנה	anticipation	0.516
salary	שכר	anticipation	0.516
celebrity	סלבריטאי	anticipation	0.516
owing	חַיָב	anticipation	0.516
chocolate	שוקולד	anticipation	0.516
caution	זְהִירוּת	anticipation	0.516
fermentation	תְסִיסָה	anticipation	0.516
sensuality	חוּשָׁנִיוּת	anticipation	0.516
wilderness	מִדבָּר	anticipation	0.508
signify	לְסַמֵן	anticipation	0.508
transitional	מָעֳבָר	anticipation	0.508
intermission	הַפסָקָה	anticipation	0.508
contemplation	הִתבּוֹנְנוּת	anticipation	0.508
vigilance	עֵרָנוּת	anticipation	0.508
commemoration	אַזכָּרָה	anticipation	0.508
practise	תרגול	anticipation	0.508
cue	רְמִיזָה	anticipation	0.508
infant	תִינוֹק	anticipation	0.508
dreadful	אָיוֹם	anticipation	0.508
perfection	שְׁלֵמוּת	anticipation	0.508
elevation	גוֹבַה	anticipation	0.508
prerequisite	תְנַאִי מוּקדָם	anticipation	0.508
cultivate	לְטַפֵּחַ	anticipation	0.508
horizon	האופק	anticipation	0.508
develop	לְפַתֵחַ	anticipation	0.508
exigent	NO TRANSLATION	anticipation	0.508
swim	לשחות	anticipation	0.500
attendance	נוֹכְחוּת	anticipation	0.500
nascent	המתהווה	anticipation	0.500
favorable	חִיוּבִי	anticipation	0.500
peril	סַכָּנָה	anticipation	0.500
income	הַכנָסָה	anticipation	0.500
ardent	נִלהָב	anticipation	0.500
commemorate	לְהַזכִּיר	anticipation	0.500
doomsday	יום הדין	anticipation	0.500
reconciliation	פִּיוּס	anticipation	0.500
utopian	אוּטוֹפִּי	anticipation	0.500
romantic	רוֹמַנטִי	anticipation	0.500
unbridled	לֹא מְרוּסָן	anticipation	0.500
sunny	שִׁמשִׁי	anticipation	0.500
uphill	בְּמַעֲלֶה הַהַר	anticipation	0.500
intuitively	באופן אינטואיטיבי	anticipation	0.500
depart	לַעֲזוֹב	anticipation	0.500
eventuality	אירוע	anticipation	0.500
puppy	גור כלבים	anticipation	0.500
zeal	קַנָאוּת	anticipation	0.500
sneaking	מתגנבת	anticipation	0.500
ready	מוּכָן	anticipation	0.500
advocacy	פְּרַקְלִיטוּת	anticipation	0.500
airport	נמל תעופה	anticipation	0.500
litigate	Lit מצ	anticipation	0.500
blindfold	כיסוי עיניים	anticipation	0.500
undisclosed	לא ידוע	anticipation	0.500
young	צָעִיר	anticipation	0.500
horoscope	הוֹרוֹסקוֹפּ	anticipation	0.500
invocation	קְרִיאָה	anticipation	0.500
calculation	תַחשִׁיב	anticipation	0.500
hero	גיבור	anticipation	0.500
court	בית משפט	anticipation	0.492
repay	לְהַחזִיר	anticipation	0.492
improvise	לְאַלתֵר	anticipation	0.492
parole	שוחרר	anticipation	0.492
worry	דאגה	anticipation	0.492
inauguration	חֲנוּכָּה	anticipation	0.492
gaping	פַּהֶקֶת	anticipation	0.492
youth	נוֹעַר	anticipation	0.492
bless	לברך	anticipation	0.492
defense	הֲגָנָה	anticipation	0.492
heyday	תְקוּפַת הַשִׂיא	anticipation	0.492
consequent	עוֹקֵב	anticipation	0.492
proceeding	המשך	anticipation	0.492
eventual	בסופו של דבר	anticipation	0.492
perspective	פֶּרספֶּקטִיבָה	anticipation	0.492
restorative	מַברִיא	anticipation	0.492
undertaking	מְשִׁימָה	anticipation	0.492
highest	הֲכִי גָבוֹהַ	anticipation	0.491
duel	דוּ קְרָב	anticipation	0.484
unexplained	בלתי מוסברת	anticipation	0.484
tremor	רַעַד	anticipation	0.484
sharpen	לְחַדֵד	anticipation	0.484
generosity	נדיבות	anticipation	0.484
voluptuous	חוּשָׁנִי	anticipation	0.484
shortly	בְּקָרוּב	anticipation	0.484
vow	נדר	anticipation	0.484
contagion	הַדבָּקָה	anticipation	0.484
letter	מִכְתָב	anticipation	0.484
happen	לִקְרוֹת	anticipation	0.484
threaten	מאיים	anticipation	0.484
conjure	לְהַעֲלוֹת	anticipation	0.484
sparkle	נִצנוּץ	anticipation	0.484
engulf	לִבלוֹעַ	anticipation	0.484
god	אלוהים	anticipation	0.484
correspondence	הִתכַּתְבוּת	anticipation	0.484
auspicious	מְבַשֵׂר טוֹב	anticipation	0.484
princely	נְסִיכִי	anticipation	0.484
adore	לְהַעֲרִיץ	anticipation	0.477
enroll	לְהִרָשֵׁם	anticipation	0.477
determinate	קבעו	anticipation	0.477
predispose	לְהַטוֹת מְרֹאשׁ	anticipation	0.477
clue	רֶמֶז	anticipation	0.477
onset	הַתקָפָה	anticipation	0.477
powerful	חָזָק	anticipation	0.477
glorify	לְפַאֵר	anticipation	0.477
glow	לַהַט	anticipation	0.477
arbitration	בוררות	anticipation	0.477
torture	לַעֲנוֹת	anticipation	0.477
gravitate	נמשכים	anticipation	0.477
cherish	לְהוֹקִיר	anticipation	0.477
contemplate	לְהַרהֵר	anticipation	0.477
submit	שלח	anticipation	0.477
perilous	מְסוּכָּן	anticipation	0.477
unification	הַאֲחָדָה	anticipation	0.477
score	ציון	anticipation	0.477
medal	מֵדַלִיָה	anticipation	0.477
glide	לִדאוֹת	anticipation	0.477
recipient	מקבל	anticipation	0.477
accompaniment	לִוּוּי	anticipation	0.477
praiseworthy	רָאוּי לְשֶׁבַח	anticipation	0.473
providing	מתן	anticipation	0.469
motion	תְנוּעָה	anticipation	0.469
fete	NO TRANSLATION	anticipation	0.469
cautious	זָהִיר	anticipation	0.469
cash	כסף מזומן	anticipation	0.469
precursor	מבשר	anticipation	0.469
opera	אוֹפֵּרָה	anticipation	0.469
elite	עִלִית	anticipation	0.469
pry	לְחַטֵט	anticipation	0.469
hire	לִשְׂכּוֹר	anticipation	0.469
sweets	דִברֵי מְתִיקָה	anticipation	0.469
star	כוכב	anticipation	0.469
unsurpassed	ללא תחרות	anticipation	0.469
successful	מוּצלָח	anticipation	0.469
unknown	לא ידוע	anticipation	0.469
immediately	מיד	anticipation	0.469
starry	זָרוּעַ כּוֹכָבִים	anticipation	0.469
production	הפקה	anticipation	0.469
football	כדורגל	anticipation	0.469
completion	סִיוּם	anticipation	0.469
scare	לְהַפחִיד	anticipation	0.469
invoke	לעורר	anticipation	0.469
shaky	רָעוּעַ	anticipation	0.469
dawn	שַׁחַר	anticipation	0.469
creeping	זְחִילָה	anticipation	0.469
cheerfulness	עֲלִיזוּת	anticipation	0.461
soundness	תְקֵפוּת	anticipation	0.461
mail	דוֹאַר	anticipation	0.461
draft	טְיוּטָה	anticipation	0.461
preliminary	מקדים	anticipation	0.461
friendly	יְדִידוּתִי	anticipation	0.461
commemorative	הנצחה	anticipation	0.461
extricate	לְחַלֵץ	anticipation	0.461
alive	בחיים	anticipation	0.461
untold	ללא שם: untold	anticipation	0.461
overture	פְּתִיחָה	anticipation	0.461
excel	לְהִצטַיֵן	anticipation	0.461
plight	מַצָב	anticipation	0.461
synchronize	לְסַנכְרֵן	anticipation	0.461
punt	סִירָה שְׁטוּחָה	anticipation	0.461
sanctuary	מִקְלָט	anticipation	0.461
brilliant	מַברִיק	anticipation	0.461
pay	לְשַׁלֵם	anticipation	0.461
shining	קוֹרֵן	anticipation	0.461
regatta	תַחֲרוּת שַׂיִט	anticipation	0.461
testament	בְּרִית	anticipation	0.461
jeopardy	סַכָּנָה	anticipation	0.461
perpetuity	נִצחִיוּת	anticipation	0.453
elegance	אֵלֶגַנטִיוּת	anticipation	0.453
career	קריירה	anticipation	0.453
basketball	כדורסל	anticipation	0.453
intimately	באופן אינטימי	anticipation	0.453
renovate	לְשַׁפֵּץ	anticipation	0.453
supremacy	עֶליוֹנוּת	anticipation	0.453
infinity	אינסוף	anticipation	0.453
unexpected	בלתי צפוי	anticipation	0.453
flinch	לְהֵרָתַע	anticipation	0.453
complement	מַשׁלִים	anticipation	0.453
prologue	פּרוֹלוֹג	anticipation	0.453
compliment	NO TRANSLATION	anticipation	0.453
prevention	מְנִיעָה	anticipation	0.453
improve	לְשַׁפֵּר	anticipation	0.453
sunset	שקיעת החמה	anticipation	0.453
inaugural	הפתיחה	anticipation	0.453
rehabilitation	שיקום	anticipation	0.453
fitting	הוֹלֵם	anticipation	0.445
surround	לְהַקִיף	anticipation	0.445
share	לַחֲלוֹק	anticipation	0.445
epidemic	מַגֵפָה	anticipation	0.445
sweet	מתוק	anticipation	0.445
fain	NO TRANSLATION	anticipation	0.445
concealment	הַסתָרָה	anticipation	0.445
confidence	אֵמוּן	anticipation	0.445
perfect	מושלם	anticipation	0.445
sun	שמש	anticipation	0.445
veracity	אֲמִתוּת	anticipation	0.445
volunteer	לְהִתְנַדֵב	anticipation	0.445
conjecture	לְשַׁעֵר	anticipation	0.445
medical	רְפוּאִי	anticipation	0.438
prepared	מוּכָן	anticipation	0.438
superstitious	אמונות תפלות	anticipation	0.438
reconstruction	שִׁחזוּר	anticipation	0.438
tickle	לְדַגדֵג	anticipation	0.438
faith	אֱמוּנָה	anticipation	0.438
passenger	נוֹסֵעַ	anticipation	0.438
saint	קָדוֹשׁ	anticipation	0.438
respect	כבוד	anticipation	0.438
rabid	קַנָאִי	anticipation	0.438
reconstruct	לְשַׁחְזֵר	anticipation	0.438
recombination	רקומבינציה	anticipation	0.438
devout	אָדוּק	anticipation	0.438
goodness	טוּב לֵב	anticipation	0.438
angel	מַלְאָך	anticipation	0.438
ferment	תְסִיסָה	anticipation	0.438
plea	טַעֲנָה	anticipation	0.438
aloha	שלום	anticipation	0.438
serial	סידורי	anticipation	0.438
conservation	שימור	anticipation	0.438
serenity	רוֹגַע	anticipation	0.430
tabulate	לְלַווֵחַ	anticipation	0.430
install	להתקין	anticipation	0.430
labyrinth	מָבוֹך	anticipation	0.430
venerable	נִכבָּד	anticipation	0.430
perpetuate	לְהַנצִיחַ	anticipation	0.430
strategist	תַכסִיסָן	anticipation	0.430
unverified	לא מאומת	anticipation	0.430
tribunal	בֵּית דִין	anticipation	0.430
charitable	צדקה	anticipation	0.430
luscious	טָעִים מְאוֹד	anticipation	0.430
spa	ספָּא	anticipation	0.430
peace	שָׁלוֹם	anticipation	0.430
clap	לִטפּוֹחַ	anticipation	0.430
conspirator	קוֹשֵׁר	anticipation	0.422
forestall	לִמְנוֹעַ	anticipation	0.422
patience	סבלנות	anticipation	0.422
oasis	אואזיס	anticipation	0.422
grin	לְגַחֵך	anticipation	0.422
revere	לְהַעֲרִיץ	anticipation	0.422
worship	פולחן	anticipation	0.422
vista	נוֹף	anticipation	0.422
laughter	צחוק	anticipation	0.422
volatility	תנודתיות	anticipation	0.422
adrift	נִסחָף	anticipation	0.422
candid	גָלוּי לֵב	anticipation	0.422
edification	הַבהָרָה	anticipation	0.422
unresolved	לא פתורה	anticipation	0.422
peaceful	שָׁקֶט	anticipation	0.422
recognizable	ניתן לזיהוי	anticipation	0.422
calls	שיחות	anticipation	0.414
weigh	לשקול	anticipation	0.414
probation	על תנאי	anticipation	0.414
proficiency	מְיוּמָנוּת	anticipation	0.414
morn	בוקר	anticipation	0.414
craps	craps	anticipation	0.414
detainee	עָצִיר	anticipation	0.414
mediate	לפשר	anticipation	0.414
continue	לְהַמשִׁיך	anticipation	0.414
astrologer	אַסטרוֹלוֹג	anticipation	0.414
punctual	דייקן	anticipation	0.414
ordination	הַסמָכָה	anticipation	0.414
pretty	יפה	anticipation	0.414
thought	מַחֲשָׁבָה	anticipation	0.414
grant	מענק	anticipation	0.414
withstand	לעמוד	anticipation	0.414
frisky	עַלִיז	anticipation	0.414
ongoing	מתמשך	anticipation	0.414
sing	לָשִׁיר	anticipation	0.411
long	ארוך	anticipation	0.406
confession	הוֹדָאָה	anticipation	0.406
headlight	פָּנָס קִדמִי	anticipation	0.406
prophylactic	מוֹנֵעַ	anticipation	0.406
mother	אִמָא	anticipation	0.406
debenture	אִגֶרֶת חוֹב	anticipation	0.406
wizard	אַשָׁף	anticipation	0.406
university	אוּנִיבֶרְסִיטָה	anticipation	0.406
proud	גאה	anticipation	0.406
midwife	מְיַלֶדֶת	anticipation	0.406
banquet	סְעוּדָה	anticipation	0.406
continuation	הֶמְשֵׁך	anticipation	0.406
navigable	עָבִיר	anticipation	0.406
punished	נענשו	anticipation	0.406
chicane	צ'יקן	anticipation	0.406
comfort	נוחות	anticipation	0.406
opponent	יָרִיב	anticipation	0.406
subscribe	מנוי	anticipation	0.406
outdo	לַעֲלוֹת עַל	anticipation	0.406
nurture	לְטַפֵּחַ	anticipation	0.406
twinkle	נִצנוּץ	anticipation	0.406
deal	עִסקָה	anticipation	0.402
efficient	יָעִיל	anticipation	0.398
representing	המייצג	anticipation	0.398
simmer	רְתִיחָה	anticipation	0.398
symphony	סִימפוֹנִיָה	anticipation	0.398
judiciary	מַעֲרֶכֶת מִשׁפָּטִית	anticipation	0.398
obliging	אָדִיב	anticipation	0.398
saintly	קָדוֹשׁ	anticipation	0.398
vigil	עֵרוּת	anticipation	0.398
death	מוות	anticipation	0.398
distracting	מסיח דעת	anticipation	0.398
mortification	הַשׁפָּלָה	anticipation	0.398
balm	צֳרִי	anticipation	0.398
guillotine	מַעֲרֶפֶת	anticipation	0.398
top	חלק עליון	anticipation	0.398
lettered	מְלוּמָד	anticipation	0.398
reliance	הסתמכות	anticipation	0.398
poke	לִתְקוֹעַ	anticipation	0.391
unfulfilled	לא מילא	anticipation	0.391
assurance	הַבטָחָה	anticipation	0.391
condemnation	הוֹקָעָה	anticipation	0.391
undoubted	ללא ספק	anticipation	0.391
diplomacy	דִיפּלוֹמָטִיָה	anticipation	0.391
familiarity	בְּקִיאוּת	anticipation	0.391
antidote	נוגדן	anticipation	0.391
chuckle	צחקוק	anticipation	0.391
objective	מַטָרָה	anticipation	0.391
maternal	אִמָהִי	anticipation	0.391
abeyance	העמידה	anticipation	0.391
art	אומנות	anticipation	0.391
linger	לְהִשְׁתַהוֹת	anticipation	0.391
trust	אמון	anticipation	0.391
depraved	מושחת	anticipation	0.391
sanctify	לְקַדֵשׁ	anticipation	0.391
inoculation	הַרכָּבָה	anticipation	0.384
chant	לָשִׁיר	anticipation	0.383
banger	באנגר	anticipation	0.383
playground	גן שעשועים	anticipation	0.383
failing	כושל	anticipation	0.383
ship	ספינה	anticipation	0.383
hymn	הִמנוֹן	anticipation	0.383
simplify	לפשט	anticipation	0.383
ram	RAM	anticipation	0.383
labor	עבודה	anticipation	0.383
discretion	שיקול דעת	anticipation	0.383
hap	NO TRANSLATION	anticipation	0.383
good	טוֹב	anticipation	0.383
scientist	מַדְעָן	anticipation	0.383
undecided	לֹא הֶחלֵטִי	anticipation	0.383
humanitarian	הוּמָנִיטָרִי	anticipation	0.383
depend	לִסְמוֹך	anticipation	0.383
dutiful	צַיְתָן	anticipation	0.383
clock	שָׁעוֹן	anticipation	0.375
sterling	שׁטֶרלִינג	anticipation	0.375
mountain	הַר	anticipation	0.375
savor	טַעַם	anticipation	0.375
recurrent	חוזר ונשנה	anticipation	0.375
interim	זְמַנִי	anticipation	0.375
navigator	נווט	anticipation	0.375
gradual	הַדרָגָתִי	anticipation	0.375
interminable	נִמשָׁך לְלֹא סוֹף	anticipation	0.375
track	מַסלוּל	anticipation	0.375
public	פּוּמְבֵּי	anticipation	0.375
cradle	עֶרֶשׂ	anticipation	0.375
concealed	הסתיר	anticipation	0.367
lesson	שיעור	anticipation	0.367
instructions	הוראות	anticipation	0.367
shiver	לִרְעוֹד	anticipation	0.367
musical	מוּסִיקָלִי	anticipation	0.367
towering	מִתנַשֵׂא	anticipation	0.367
whim	גַחְמָה	anticipation	0.367
spear	חנית	anticipation	0.367
convince	לְשַׁכְנֵעַ	anticipation	0.367
sonar	סוֹנָר	anticipation	0.367
abide	לציית	anticipation	0.367
biennial	דוּ שְׁנָתִי	anticipation	0.367
theology	תֵאוֹלוֹגִיָה	anticipation	0.359
offset	לְקַזֵז	anticipation	0.359
atone	לְכַפֵּר	anticipation	0.359
timidity	הַסְסָנוּת	anticipation	0.359
theory	תֵאוֹרִיָה	anticipation	0.359
undying	נִצחִי	anticipation	0.359
plump	שְׁמַנמַן	anticipation	0.359
audience	קהל	anticipation	0.357
nobility	אֲצוּלָה	anticipation	0.352
paragon	דוּגמָה וְמוֹפֵת	anticipation	0.352
dietary	שֶׁל דִיאֵטָה	anticipation	0.352
closure	סגירת מעגל	anticipation	0.352
store	חֲנוּת	anticipation	0.352
localize	לְמַקֵם	anticipation	0.352
cramp	לְהַגבִּיל	anticipation	0.352
daily	יום יומי	anticipation	0.352
kindred	בָּשָׂר	anticipation	0.352
farm	חווה חקלאית	anticipation	0.352
edition	מַהֲדוּרָה	anticipation	0.352
consecration	הַקדָשָׁה	anticipation	0.352
archaeology	אַרכֵיאוֹלוֹגִיָה	anticipation	0.344
mobile	נייד	anticipation	0.344
errand	שְׁלִיחוּת	anticipation	0.344
wireless	אַלחוּט	anticipation	0.344
mutable	מִשְׁתַנֶה	anticipation	0.344
meditate	לְהַרהֵר	anticipation	0.344
stripped	חָשׂוּף	anticipation	0.344
lessen	לְהַקְטִין	anticipation	0.336
unaccountable	בלתי מוסבר	anticipation	0.336
pare	NO TRANSLATION	anticipation	0.336
brotherly	אחים	anticipation	0.336
buddy	חבר	anticipation	0.336
unbeaten	בִּלתִי מְנוּצָח	anticipation	0.336
germ	נֶבֶט	anticipation	0.336
dove	יוֹנָה	anticipation	0.328
digress	לִסְטוֹת	anticipation	0.328
ribbon	סֶרֶט	anticipation	0.328
olfactory	הריח	anticipation	0.328
patient	סבלני	anticipation	0.328
council	המועצה	anticipation	0.328
possess	לְהַחזִיק	anticipation	0.328
secular	חילוני	anticipation	0.328
chastity	צְנִיעוּת	anticipation	0.328
disposed	מסולקת	anticipation	0.320
regularity	סְדִירוּת	anticipation	0.320
mediator	מתווך	anticipation	0.320
scrutinize	לִבחוֹן	anticipation	0.320
fancy	לְחַבֵּב	anticipation	0.320
immature	לֹא מְפוּתָח	anticipation	0.320
infanticide	רצח תינוקות	anticipation	0.320
heft	ממשקלן	anticipation	0.320
preservative	מְשַׁמֵר	anticipation	0.320
paddle	מָשׁוֹט	anticipation	0.320
cove	מִפרָץ	anticipation	0.320
denying	מכחישה	anticipation	0.312
bugle	חֲצוֹצְרָה	anticipation	0.312
unpublished	לא פורסם	anticipation	0.312
analyst	מְנַתֵחַ	anticipation	0.312
grim	זוֹעֵף	anticipation	0.312
church	כְּנֵסִיָה	anticipation	0.312
priesthood	כּמוּרָה	anticipation	0.305
mill	טחנה	anticipation	0.305
judicial	מִשׁפָּטִי	anticipation	0.305
broadside	הַתקָפָה מְרוּכֶּזֶת	anticipation	0.305
tributary	יוּבַל	anticipation	0.297
cap	כובע	anticipation	0.297
thermocouple	תרמי	anticipation	0.297
dismay	תַדְהֵמָה	anticipation	0.297
instructor	מַדְרִיך	anticipation	0.297
saliva	רוֹק	anticipation	0.297
exhaustion	תְשִׁישׁוּת	anticipation	0.297
bruise	חבורה	anticipation	0.289
wont	NO TRANSLATION	anticipation	0.289
homeless	חֲסַר בַּיִת	anticipation	0.289
visor	מִצחִיָה	anticipation	0.289
discreet	NO TRANSLATION	anticipation	0.289
network	רֶשֶׁת	anticipation	0.289
shackle	לִכבּוֹל	anticipation	0.289
addresses	כתובות	anticipation	0.289
noncompliance	אי - ציות	anticipation	0.289
cataract	קָטָרַקט	anticipation	0.289
skewed	מוטה	anticipation	0.281
astronomer	אַסטרוֹנוֹם	anticipation	0.281
neighbor	שָׁכֵן	anticipation	0.281
holiness	קְדוּשָׁה	anticipation	0.273
devil	שָׂטָן	anticipation	0.273
cream	קרם	anticipation	0.273
picket	משמרת	anticipation	0.273
latent	חָבוּי	anticipation	0.273
immaturity	חוֹסֶר בַּגרוּת	anticipation	0.273
sentence	משפט	anticipation	0.273
neighborhood	שְׁכוּנָה	anticipation	0.266
morals	מוֹרָל	anticipation	0.266
lull	לְהַרְגִיעַ	anticipation	0.266
habitual	רָגִיל	anticipation	0.266
weight	מִשׁקָל	anticipation	0.258
bye	להתראות	anticipation	0.258
forearm	אַמָה	anticipation	0.250
clown	לֵיצָן	anticipation	0.250
organ	אֵיבָר	anticipation	0.250
quote	ציטוט	anticipation	0.242
commonplace	דָבָר רָגִיל	anticipation	0.242
dictatorship	רוֹדָנוּת	anticipation	0.234
board	לוּחַ	anticipation	0.234
white	לבן	anticipation	0.234
treadmill	הליכון	anticipation	0.234
rail	רכבת	anticipation	0.234
sundial	שָׁעוֹן שֶׁמֶשׁ	anticipation	0.227
tree	עֵץ	anticipation	0.227
paralysis	שיתוק	anticipation	0.211
worm	תוֹלַעַת	anticipation	0.203
organization	אִרגוּן	anticipation	0.203
cement	בטון	anticipation	0.203
lagging	הַשׁהָיָה	anticipation	0.180
neutral	ניטראלי	anticipation	0.148
cannibalism	קָנִיבָּלִיוּת	disgust	0.953
mutilation	הַטָלַת מוּם	disgust	0.930
molestation	הַצָקָה	disgust	0.914
incest	גילוי עריות	disgust	0.914
gonorrhea	זִיבָה	disgust	0.906
rape	לֶאֱנוֹס	disgust	0.906
cannibal	קָנִיבָּל	disgust	0.898
rot	רָקָב	disgust	0.891
corpse	גוּפָה	disgust	0.883
massacre	טֶבַח	disgust	0.883
excrement	צוֹאָה	disgust	0.883
slaughter	לִשְׁחוֹט	disgust	0.875
barf	ברף	disgust	0.875
slaughterhouse	מִטבָּחַיִם	disgust	0.867
rancid	מְעוּפָּשׁ	disgust	0.859
sewerage	בִּיוּב	disgust	0.859
incestuous	עריות	disgust	0.859
filth	זוּהֲמָה	disgust	0.859
bigot	גדול	disgust	0.859
infestation	שְׁרִיצָה	disgust	0.852
plague	מַגֵפָה	disgust	0.852
bloodthirsty	צמא דם	disgust	0.852
holocaust	שׁוֹאָה	disgust	0.852
rotting	נרקב	disgust	0.844
maggot	תוֹלַעַת	disgust	0.844
feces	צוֹאָה	disgust	0.844
fecal	צואה	disgust	0.844
murder	רֶצַח	disgust	0.839
infanticide	רצח תינוקות	disgust	0.836
homicide	רצח	disgust	0.836
asshole	מְטוּמטָם	disgust	0.836
enslaved	מְשׁוּעֲבָּד	disgust	0.836
gore	לִנְגוֹחַ	disgust	0.828
perverted	מְסוּלָף	disgust	0.828
torture	לַעֲנוֹת	disgust	0.828
slaughtering	שחיטה	disgust	0.828
excretion	הַפרָשָׁה	disgust	0.828
contaminate	לְזַהֵם	disgust	0.821
murderer	רוֹצֵחַ	disgust	0.820
gory	מְכוּסֶה בָּדָם	disgust	0.820
repugnant	דוֹחֶה	disgust	0.820
desecration	חילול	disgust	0.820
grotesque	גרוֹטֶסקִי	disgust	0.820
revolting	מַגְעִיל	disgust	0.820
diarrhoea	שִׁלשׁוּל	disgust	0.820
manure	זֶבֶל	disgust	0.820
terrorist	מְחַבֵּל	disgust	0.820
shit	לְחַרְבֵּן	disgust	0.820
pervert	סוטה	disgust	0.820
slavery	עַבדוּת	disgust	0.812
faeces	צוֹאָה	disgust	0.812
sewer	בִּיב	disgust	0.812
vomit	לְהַקִיא	disgust	0.812
manslaughter	הריגה	disgust	0.812
dismemberment	פירוק	disgust	0.812
cadaver	פֶּגֶר	disgust	0.812
hemorrhage	שטף דם	disgust	0.805
repulsive	דוֹחֶה	disgust	0.805
perverse	סוֹטֶה	disgust	0.805
filthy	מלוכלך	disgust	0.797
sewage	שְׁפָכִים	disgust	0.797
depravity	שְׁחִיתוּת	disgust	0.797
diseased	נָגוּעַ	disgust	0.797
carcass	פֶּגֶר	disgust	0.795
decompose	לְפַרֵק	disgust	0.789
vermin	שְׁרָצִים	disgust	0.789
puke	לְהַקִיא	disgust	0.789
parasite	טַפִּיל	disgust	0.789
horrific	מַחרִיד	disgust	0.789
gruesome	מַבעִית	disgust	0.789
dung	NO TRANSLATION	disgust	0.789
mutilated	מושחת	disgust	0.789
murderous	רַצחָנִי	disgust	0.789
decayed	רָקוּב	disgust	0.789
herpes	הֶרפֵּס	disgust	0.789
slime	רֶפֶשׁ	disgust	0.781
flatulence	הֲפָחָה	disgust	0.781
monstrosity	מִפלֶצֶת	disgust	0.781
carnage	טֶבַח	disgust	0.781
pestilence	מַגֵפָה	disgust	0.781
malaria	מָלַרִיָה	disgust	0.781
crap	שְׁטוּיוֹת	disgust	0.781
toxic	רַעִיל	disgust	0.773
loathsome	נִתעָב	disgust	0.773
insidious	חַתרָנִי	disgust	0.773
leprosy	צָרַעַת	disgust	0.773
morgue	חֲדַר מֵתִים	disgust	0.773
pus	מוּגלָה	disgust	0.773
herpesvirus	וירוס הרפס	disgust	0.773
whore	זוֹנָה	disgust	0.766
cruel	אַכְזָרִי	disgust	0.766
repugnance	סְלִידָה	disgust	0.766
revulsion	סְלִידָה	disgust	0.766
xenophobia	שנאת זרים	disgust	0.766
regurgitation	רגורגיטציה	disgust	0.766
anthrax	גַחֶלֶת	disgust	0.766
lynch	לִינץ'	disgust	0.766
dissection	דיסקציה	disgust	0.759
canker	כִּיב	disgust	0.758
cruelty	אַכְזָרִיוּת	disgust	0.758
perversion	סְטִיָה	disgust	0.758
evil	רוע	disgust	0.758
slum	שְׁכוּנַת עוֹנִי	disgust	0.758
infectious	מִדַבֵּק	disgust	0.758
mucous	רִירִי	disgust	0.758
phlegm	כִּיחַ	disgust	0.758
leeches	עלוקות	disgust	0.750
decomposition	הִתפָּרְקוּת	disgust	0.750
sinister	מְרוּשָׁע	disgust	0.750
corrupting	משחית	disgust	0.750
demon	שֵׁד	disgust	0.742
stinking	מַסרִיחַ	disgust	0.742
septic	רָקוּב	disgust	0.742
deranged	נחרד	disgust	0.742
bile	מָרָה	disgust	0.742
soiled	מְלוּכלָך	disgust	0.742
mucus	רִיר	disgust	0.742
abhorrence	התיעוב	disgust	0.742
abomination	תוֹעֵבָה	disgust	0.742
sickening	מַבְחִיל	disgust	0.742
demonic	שֵׁדִי	disgust	0.742
foul	מְגוּנֶה	disgust	0.734
obese	שָׁמֵן מְאֹד	disgust	0.734
sicken	לַחֲלוֹת	disgust	0.734
degeneracy	ניוון	disgust	0.734
crucifixion	צְלִיבָה	disgust	0.734
despicable	בזוי	disgust	0.734
cancer	מחלת הסרטן	disgust	0.734
atrocity	זוועה	disgust	0.734
terrorism	טֵרוֹר	disgust	0.734
dirty	מְלוּכלָך	disgust	0.727
dysentery	דִיזֶנטֶריָה	disgust	0.727
adultery	ניאוף	disgust	0.727
contamination	נְגִיעוּת	disgust	0.727
bacterium	חיידק	disgust	0.727
diabolical	שטני	disgust	0.727
morbidity	תַחֲלוּאָה	disgust	0.727
grisly	מַחרִיד	disgust	0.727
repulsion	דְחִיָה	disgust	0.727
enema	חוֹקֶן	disgust	0.727
contagion	הַדבָּקָה	disgust	0.719
disfigured	מעוות	disgust	0.719
muck	לְלַכְלֵך	disgust	0.719
lewd	זִמָתִי	disgust	0.719
garbage	אַשׁפָּה	disgust	0.719
autopsy	נתיחה שלאחר המוות	disgust	0.719
bowels	מעיים	disgust	0.719
gross	בְּרוּטוֹ	disgust	0.719
vulgar	ווּלגָרִי	disgust	0.719
barbaric	בַּרבָּרִי	disgust	0.719
disgust	גועל	disgust	0.719
vicious	מרושע	disgust	0.719
entrails	קְרָבַיִם	disgust	0.719
deterioration	הְתדַרדְרוּת	disgust	0.719
