word	Amharic-am	emotion	emotion-intensity-score
excitation	መነቃቃት	anticipation	0.703
thrill	ደስተኛ	anticipation	0.703
prospective	የወደፊት	anticipation	0.703
hopeful	ተስፋ	anticipation	0.703
lottery	ሎተሪ	anticipation	0.703
progress	እድገት	anticipation	0.703
tantalizing	እኩይ ምግባር	anticipation	0.703
advance	እድገት	anticipation	0.695
explore	አስስ	anticipation	0.695
liberate	ነጻ አውጣ	anticipation	0.695
readiness	ዝግጁነት	anticipation	0.695
hurry	ፈጠሪ	anticipation	0.695
arrival	መድረሻ	anticipation	0.695
vacation	ለዕረፍት	anticipation	0.695
expectation	ተስፋ	anticipation	0.695
sex	ወሲብ	anticipation	0.695
achievement	ስኬት	anticipation	0.695
prediction	ትንበያ	anticipation	0.695
allure	ልምምድ	anticipation	0.688
ecstatic	ደስ የማይል	anticipation	0.688
approaching	እየቀረበ ነው	anticipation	0.688
uprising	መነሳሳት	anticipation	0.680
honeymoon	የጫጉላ ሽርሽር	anticipation	0.680
roulette	roulette	anticipation	0.680
crescendo	crescendo	anticipation	0.672
holiday	የበዓል ቀን	anticipation	0.672
wishful	ምኞት	anticipation	0.672
celebrating	ማክበር	anticipation	0.672
waiting	በመጠበቅ ላይ	anticipation	0.664
winnings	አሸናፊዎች	anticipation	0.664
orgasm	መድረክ	anticipation	0.664
winning	አሸናፊ	anticipation	0.664
impending	ሊመጣ ይችላል	anticipation	0.664
invitation	ግብዣ	anticipation	0.664
rescue	ማዳን	anticipation	0.664
craving	ምኞት	anticipation	0.664
triumph	ድል	anticipation	0.664
celebration	በዓላት	anticipation	0.656
victory	ድል	anticipation	0.656
aspiring	ምኞት	anticipation	0.656
gain	ትርፍ	anticipation	0.656
jackpot	እሽቅድምድም	anticipation	0.656
marriage	ጋብቻ	anticipation	0.656
strive	ጥረት አድርግ	anticipation	0.656
bridegroom	ሙሽራ	anticipation	0.656
reward	ሽልማት	anticipation	0.656
fortune	ሀብት	anticipation	0.656
bridal	ሙሽራ	anticipation	0.656
courtship	የፍቅር ግንኙነት	anticipation	0.656
treasure	ሀብት	anticipation	0.648
opportunity	ዕድል	anticipation	0.648
intrigue	ድብቅነት	anticipation	0.648
delivery	ማድረስ	anticipation	0.648
alertness	ጥንቃቄ	anticipation	0.648
aspiration	ምኞት	anticipation	0.648
inheritance	ውርስ	anticipation	0.648
rising	እየመጣ ነው	anticipation	0.648
tomorrow	ነገ	anticipation	0.648
prescient	መድሃኒት	anticipation	0.648
crowning	መከበር	anticipation	0.648
revolution	አብዮት	anticipation	0.641
erotic	ወሲባዊ ስሜት	anticipation	0.641
spectacular	አስደናቂ	anticipation	0.641
anxious	ጭንቀት	anticipation	0.641
expedition	ጉዞ	anticipation	0.641
possibility	ዕድል	anticipation	0.641
launch	ይጀምራል	anticipation	0.641
bride	ሙሽራ	anticipation	0.641
celebrated	ተከበረ	anticipation	0.641
prognosis	የበለፀገ	anticipation	0.641
engaged	ተሳታፊ	anticipation	0.641
reckoning	ግምት	anticipation	0.641
award	ሽልማት	anticipation	0.641
happiness	ደስታ	anticipation	0.641
hype	ትልቅነት	anticipation	0.641
receiving	መቀበል	anticipation	0.641
curious	ጉጉት	anticipation	0.633
succeed	ተሳክቷል	anticipation	0.633
birthday	የልደት ቀን	anticipation	0.633
graduation	ምረቃ	anticipation	0.633
beware	ተጠንቀቅ	anticipation	0.633
vision	ራዕይ	anticipation	0.633
passionate	ሞቅ ያለ	anticipation	0.633
delight	ደስታ	anticipation	0.633
destiny	ዕድል	anticipation	0.633
ominous	አስጸያፊ	anticipation	0.633
coming	እየመጣ ነው	anticipation	0.633
await	ይጠብቀዋል	anticipation	0.633
passion	ፍቅር	anticipation	0.633
firstborn	በኩር	anticipation	0.633
captivate	ማራኪ	anticipation	0.633
prepare	ዝግጅት	anticipation	0.633
miracle	ተአምር	anticipation	0.633
triumphant	ድል ​​አድራጊ	anticipation	0.625
lust	ግፊት	anticipation	0.625
retirement	ጡረታ	anticipation	0.625
escape	ማምለጥ	anticipation	0.625
gift	ስጦታ	anticipation	0.625
inspiration	ተመስጦ	anticipation	0.625
optimism	ብሩህ ተስፋ	anticipation	0.625
foresee	አስቀድሞ ይታየኛል	anticipation	0.625
ripen	ሙጫ	anticipation	0.625
revival	መነቃቃት	anticipation	0.625
embrace	እቅፍ	anticipation	0.617
risky	አደገኛ	anticipation	0.617
ambition	ትልቅ ምኞት	anticipation	0.617
simmering	ማምረት	anticipation	0.617
surprisingly	የሚያስደንቅ	anticipation	0.617
verge	ግባ	anticipation	0.617
enchanting	የሚያስደስት	anticipation	0.617
bloom	እብጠት	anticipation	0.617
foresight	አርቆ ማስተዋል	anticipation	0.617
foreboding	አስደንጋጭነት	anticipation	0.617
destined	የተቀደሰ	anticipation	0.617
succeeding	በተሳካ ሁኔታ	anticipation	0.609
magical	አስማታዊ	anticipation	0.609
bonus	ጉርሻ	anticipation	0.609
lookout	ተመልከት	anticipation	0.609
matrimony	ጋብቻ	anticipation	0.609
alerts	ማንቂያዎች	anticipation	0.609
anxiety	ጭንቀት	anticipation	0.609
seductive	አስቂኝ	anticipation	0.609
forecast	ትንበያ	anticipation	0.609
intended	የታሰበ	anticipation	0.602
inspire	ማነሳሳት	anticipation	0.602
diagnosis	ምርመራ	anticipation	0.602
visionary	ባለራዕይ	anticipation	0.602
nervous	ፍርሃት	anticipation	0.602
deserve	የሚገባቸው	anticipation	0.602
fulfillment	መሟላት	anticipation	0.602
picnic	ሽርሽር	anticipation	0.602
applicant	አመልካች	anticipation	0.602
foreseen	ተንብዮ ነበር	anticipation	0.602
entertaining	መዝናኛ	anticipation	0.602
revenge	በቀል	anticipation	0.602
success	ስኬት	anticipation	0.602
prophetic	ትንቢታዊ	anticipation	0.602
winner	አሸናፊ	anticipation	0.602
longing	መጓዝ	anticipation	0.602
boomerang	boomerang	anticipation	0.602
result	ውጤት	anticipation	0.594
accelerate	ፍጥነት	anticipation	0.594
buzz	buzz	anticipation	0.594
acquiring	በማግኘት ላይ	anticipation	0.594
marry	ጋብቻ	anticipation	0.594
illuminate	ብርሃን	anticipation	0.594
romance	የፍቅር	anticipation	0.594
rekindle	ድጋሜ	anticipation	0.594
luck	ዕድል	anticipation	0.594
advent	የመጣ	anticipation	0.594
preparedness	ዝግጁነት	anticipation	0.594
momentum	ፍጥነት	anticipation	0.594
arrive	ደርድር	anticipation	0.594
predict	ገምቱ	anticipation	0.589
sequel	ተከታይ	anticipation	0.586
money	ገንዘብ	anticipation	0.586
endeavor	ጥረት አድርግ	anticipation	0.586
auspices	ማራኪዎች	anticipation	0.586
fiesta	Fiesta	anticipation	0.586
raffle	ዘፍ	anticipation	0.586
preparation	አዘገጃጀት	anticipation	0.586
uplift	መነሳት	anticipation	0.586
investigation	ምርመራ	anticipation	0.586
gambling	ቁማር	anticipation	0.586
delightful	አስደሳች	anticipation	0.586
enjoying	እየተደሰቱ	anticipation	0.586
seek	ፈልጉ	anticipation	0.586
impatient	ትዕግስት የሌለባቸው	anticipation	0.586
overdue	ጊዜው ያለፈበት	anticipation	0.586
crave	ይመኛሉ	anticipation	0.586
flirt	ማሽኮርመም	anticipation	0.586
enthusiast	ተጫዋች	anticipation	0.586
presumption	ግምቶች	anticipation	0.586
immerse	ሞልቶ	anticipation	0.586
progression	እድገት	anticipation	0.586
experiment	ሙከራ	anticipation	0.580
inviting	መጋበዝ	anticipation	0.578
precarious	የማይታወቅ	anticipation	0.578
blessing	በረከት	anticipation	0.578
harvest	አዝመራ	anticipation	0.578
transcendence	ድንቁርናን	anticipation	0.578
heavenly	ሰማያዊ	anticipation	0.578
attainable	ሊደረስበት የሚችል	anticipation	0.578
enjoy	ይደሰቱ	anticipation	0.578
divination	ጥንቆላ	anticipation	0.578
excavation	ቁፋሮ	anticipation	0.578
healing	ፈውስ	anticipation	0.578
majestic	ግርማ ሞገስ ያለው	anticipation	0.578
clamor	መናወጥ	anticipation	0.578
thirst	ጥማት	anticipation	0.578
remedy	መፍትሔ	anticipation	0.578
prosper	ባለጸጋ	anticipation	0.578
risk	አደጋ	anticipation	0.578
angling	የማጥመድ	anticipation	0.578
completing	በማጠናቀቅ ላይ	anticipation	0.578
thriving	እድገት	anticipation	0.578
zest	zest	anticipation	0.570
tease	ያፌዛ	anticipation	0.570
matchmaker	ግጥሚያ ሰሪ	anticipation	0.570
prospectively	ወደፊት	anticipation	0.570
restlessness	መረጋጋት	anticipation	0.570
sweetheart	ውዴም	anticipation	0.570
emancipation	ነፃ ማውጣት	anticipation	0.570
ultimate	የመጨረሻው	anticipation	0.570
invite	ይጋብዙ	anticipation	0.570
gambler	ቁማርተኛ	anticipation	0.570
dare	ደፋር	anticipation	0.570
plan	ዕቅድ	anticipation	0.570
magnificence	ድንቅነት	anticipation	0.570
warned	አስጠነቀቀ	anticipation	0.570
finally	በመጨረሻ	anticipation	0.570
intimate	የቅርብ ወዳጃዊ	anticipation	0.570
omen	እመቤት	anticipation	0.570
attempt	ሙከራ	anticipation	0.562
forewarned	አስቀድሞ የተነገረው	anticipation	0.562
fun	አዝናኝ	anticipation	0.562
festival	በዓል	anticipation	0.562
trophy	ሽልማት	anticipation	0.562
rejoice	ደስ ይበላችሁ	anticipation	0.562
fanfare	ድብደባ	anticipation	0.562
predilection	ቅድመ-ቅጥያ	anticipation	0.562
exalt	ከፍ ከፍ አለ	anticipation	0.562
parade	ሰልፍ	anticipation	0.562
enchant	አስቂኝ	anticipation	0.562
independence	ነጻነት	anticipation	0.562
expose	ያቅርቡ	anticipation	0.562
immortality	ያለመሞት	anticipation	0.562
expected	ይጠበቃል	anticipation	0.562
mysterious	ምስጢራዊ	anticipation	0.562
hypothesis	መላምት	anticipation	0.562
accolade	ሞገስ	anticipation	0.562
lover	ወዳጆች	anticipation	0.562
quicken	ፈጣን	anticipation	0.562
champion	ሻምፒዮን	anticipation	0.562
lovely	ቆንጆ	anticipation	0.555
rejoicing	ደስ ብሎ	anticipation	0.555
grasping	መጨበጥ	anticipation	0.555
grow	አሳድግ	anticipation	0.555
curiosity	የማወቅ ጉጉት	anticipation	0.555
splendor	ግርማ ሞገስ	anticipation	0.555
salvation	ደህንነት	anticipation	0.555
happy	ደስተኛ	anticipation	0.555
oracle	oracle	anticipation	0.555
amour	NO TRANSLATION	anticipation	0.555
unfold	ተዘርቷል	anticipation	0.555
boisterous	ብርቱ	anticipation	0.555
liberty	ነፃነት	anticipation	0.555
heroism	ጀግንነት	anticipation	0.555
feeling	ስሜት	anticipation	0.555
shopping	ግዢ	anticipation	0.555
fate	ዕድል	anticipation	0.555
uneasiness	ጭንቀት	anticipation	0.555
speculative	ግምታዊ	anticipation	0.555
changeable	ሊለወጥ የሚችል	anticipation	0.547
recreational	መዝናኛ	anticipation	0.547
pray	ጸልዩ	anticipation	0.547
warn	ማስጠንቀቂያ	anticipation	0.547
suspicious	ተጠራጣሪ	anticipation	0.547
convergence	ድብልቅነት	anticipation	0.547
incite	ማነቅ	anticipation	0.547
agape	አጋፔ	anticipation	0.547
morrow	ነገ	anticipation	0.547
abundance	ብልጽግና	anticipation	0.547
delighted	ተደስቷል	anticipation	0.547
resultant	ውጤት	anticipation	0.547
hungry	ረሃብ	anticipation	0.547
monetary	የገንዘብ	anticipation	0.547
vote	ድምጽ መስጠት	anticipation	0.547
glory	ክብር	anticipation	0.547
glimmer	ብረርሽር	anticipation	0.547
apprehensive	አስፈሪ	anticipation	0.547
sorcery	አስማተኛ	anticipation	0.547
bountiful	የተትረፈረፈ	anticipation	0.547
leisure	የመዝናኛ	anticipation	0.547
probability	ይሁንታ	anticipation	0.547
auction	ጨረታ	anticipation	0.539
hunting	አደን	anticipation	0.539
contingent	ወጤት	anticipation	0.539
hankering	መጮህ	anticipation	0.539
sensual	ስሜታዊ	anticipation	0.539
blessings	በረከቶች	anticipation	0.539
ballot	ድምፅ መስጫ	anticipation	0.539
grandchildren	የልጅ ልጆች	anticipation	0.539
entertainment	መዝናኛ	anticipation	0.539
vindication	ማረጋገጥ	anticipation	0.539
worrying	የሚያስጨንቅ	anticipation	0.539
tempest	አውሎ ነፋስ	anticipation	0.539
inquiry	ጥያቄ	anticipation	0.539
merge	ማዋሃድ	anticipation	0.539
exceed	ይሻላል	anticipation	0.539
bounty	በረከት	anticipation	0.539
glad	ደስተኛ	anticipation	0.536
magnificent	ድንቅ	anticipation	0.531
feat	ጉልበት	anticipation	0.531
stealthy	ስጋት	anticipation	0.531
cheer	በደስታ	anticipation	0.531
spirits	መናፍስት	anticipation	0.531
visitor	ጉብኝት	anticipation	0.531
appeal	ይግባኝ	anticipation	0.531
forming	በመፍጠር	anticipation	0.531
hurried	በፍጥነት	anticipation	0.531
responsive	ምላሽ ሰጪ	anticipation	0.531
virginity	ድንግልነት	anticipation	0.531
deliverance	ነፃነት	anticipation	0.531
betrothed	ያገባ	anticipation	0.531
overthrow	ጎደፈ	anticipation	0.531
harbinger	አርቢንጀር	anticipation	0.531
raving	እራት	anticipation	0.531
celestial	ሰማያዊ	anticipation	0.531
dread	ፍርሃት	anticipation	0.531
germination	መራባት	anticipation	0.523
preparatory	ዝግጅት	anticipation	0.523
pleasant	ደስ ይላል	anticipation	0.523
watch	ይመልከቱ	anticipation	0.523
prophet	ነቢይ	anticipation	0.523
prognostic	ትንበያ	anticipation	0.523
haste	ፈጣን	anticipation	0.523
planning	እቅድ	anticipation	0.523
importance	አስፈላጊነት	anticipation	0.523
radiance	ብርሀን	anticipation	0.523
prevail	አሸናፊ	anticipation	0.523
cheery	ማረፊያ	anticipation	0.523
competition	ውድድር	anticipation	0.523
ultimately	በመጨረሻም	anticipation	0.523
revive	አነሺኝ	anticipation	0.523
beaming	ድብልቅ	anticipation	0.523
wait	ጠብቅ	anticipation	0.523
child	ልጅ	anticipation	0.523
notification	ማሳወቂያ	anticipation	0.523
hunter	አዳኝ	anticipation	0.523
explosive	ፈንጂ	anticipation	0.523
endanger	አደጋ ላይ ጣለ	anticipation	0.516
time	ጊዜ	anticipation	0.516
recreation	መዝናኛ	anticipation	0.516
renovation	ማደስ	anticipation	0.516
precious	ውድ	anticipation	0.516
begun	ጀምሯል	anticipation	0.516
loom	መያዣ	anticipation	0.516
compensate	ካሳ መክፈል	anticipation	0.516
treat	ተመገብን	anticipation	0.516
uncontrollable	መቆጣጠር የማይቻል	anticipation	0.516
present	አለ	anticipation	0.516
salary	ደመወዝ	anticipation	0.516
celebrity	ታዋቂ	anticipation	0.516
owing	እዳ	anticipation	0.516
chocolate	ቸኮሌት	anticipation	0.516
caution	ጥንቃቄ	anticipation	0.516
fermentation	ማፍሰስ	anticipation	0.516
sensuality	ስሜታዊነት	anticipation	0.516
wilderness	ምድረ በዳ	anticipation	0.508
signify	ምልክት	anticipation	0.508
transitional	ሽግግር	anticipation	0.508
intermission	የመተላለፍ	anticipation	0.508
contemplation	ማሰላሰል	anticipation	0.508
vigilance	ጥንቃቄ	anticipation	0.508
commemoration	መታሰቢያ	anticipation	0.508
practise	ልምምድ	anticipation	0.508
cue	ምልክት	anticipation	0.508
infant	ሕፃን	anticipation	0.508
dreadful	አስፈሪ	anticipation	0.508
perfection	ፍጽምና	anticipation	0.508
elevation	ከፍታ	anticipation	0.508
prerequisite	ቅድመ-ሁኔታ	anticipation	0.508
cultivate	ማልማት	anticipation	0.508
horizon	ዳሮስ	anticipation	0.508
develop	ማዳበር	anticipation	0.508
exigent	NO TRANSLATION	anticipation	0.508
swim	ዋኛ	anticipation	0.500
attendance	መገኘት	anticipation	0.500
nascent	ገና ያልቃል	anticipation	0.500
favorable	ምቹ	anticipation	0.500
peril	አደጋ	anticipation	0.500
income	ገቢ	anticipation	0.500
ardent	ኃይለኛ	anticipation	0.500
commemorate	መከበር	anticipation	0.500
doomsday	የዓለም መጨረሻ	anticipation	0.500
reconciliation	እርቅ	anticipation	0.500
utopian	ተምኔታዊ	anticipation	0.500
romantic	የፍቅር	anticipation	0.500
unbridled	ያልተደባለቀ	anticipation	0.500
sunny	ጸሐይ	anticipation	0.500
uphill	ወደ ላይ የሚወጣ	anticipation	0.500
intuitively	በስውር	anticipation	0.500
depart	ውጣ	anticipation	0.500
eventuality	ወቅታዊነት	anticipation	0.500
puppy	ቡችላ	anticipation	0.500
zeal	ቅንነት	anticipation	0.500
sneaking	የማጭበርበር	anticipation	0.500
ready	ዝግጁ	anticipation	0.500
advocacy	ጠበቃ	anticipation	0.500
airport	አየር ማረፊያ	anticipation	0.500
litigate	ሙግት	anticipation	0.500
blindfold	ዓይነ ስውር	anticipation	0.500
undisclosed	አልተገለፀም	anticipation	0.500
young	ወጣት	anticipation	0.500
horoscope	ሆሮስኮፕ	anticipation	0.500
invocation	የመጠየቅ	anticipation	0.500
calculation	ስሌት	anticipation	0.500
hero	ጀግና	anticipation	0.500
court	ፍርድ ቤት	anticipation	0.492
repay	ብድር	anticipation	0.492
improvise	ፈጠራ	anticipation	0.492
parole	ምስጥር	anticipation	0.492
worry	ጭንቀት	anticipation	0.492
inauguration	የምረቃ	anticipation	0.492
gaping	ልዩነት	anticipation	0.492
youth	ወጣት	anticipation	0.492
bless	በረከት	anticipation	0.492
defense	መከላከያ	anticipation	0.492
heyday	የሰላም ቀን	anticipation	0.492
consequent	ቀጣይ	anticipation	0.492
proceeding	መቀጠል	anticipation	0.492
eventual	በመጨረሻም	anticipation	0.492
perspective	አመለካከት	anticipation	0.492
restorative	መመለሻ	anticipation	0.492
undertaking	ሥራ	anticipation	0.492
highest	ከፍተኛ	anticipation	0.491
duel	ዱቤ	anticipation	0.484
unexplained	ያልታወቀ	anticipation	0.484
tremor	ተንቀጠቀጠ	anticipation	0.484
sharpen	ፈገግታ	anticipation	0.484
generosity	ልግስና	anticipation	0.484
voluptuous	ፈንጠዝያ	anticipation	0.484
shortly	በአጭር ጊዜ ውስጥ	anticipation	0.484
vow	ስእለት	anticipation	0.484
contagion	ወረርሽኝ	anticipation	0.484
letter	ደብዳቤ	anticipation	0.484
happen	ተፈጸመ	anticipation	0.484
threaten	ማስፈራራት	anticipation	0.484
conjure	ተንኮል	anticipation	0.484
sparkle	ብልጭታ	anticipation	0.484
engulf	ሞተ	anticipation	0.484
god	አምላክ	anticipation	0.484
correspondence	ደብዳቤ መጻፍ	anticipation	0.484
auspicious	የሚያምር	anticipation	0.484
princely	በዋነኝነት	anticipation	0.484
adore	አጥብቆ ይወዳል	anticipation	0.477
enroll	ይመዝገቡ	anticipation	0.477
determinate	ይወሰናል	anticipation	0.477
predispose	አደገኛ	anticipation	0.477
clue	ፍንጭ	anticipation	0.477
onset	ጀማሪ	anticipation	0.477
powerful	ኃይለኛ	anticipation	0.477
glorify	አክብሩ	anticipation	0.477
glow	ብርሃን	anticipation	0.477
arbitration	ግጥሚያ	anticipation	0.477
torture	ማሰቃየት	anticipation	0.477
gravitate	ግፊት	anticipation	0.477
cherish	ተወዳጅ	anticipation	0.477
contemplate	ማሰላሰል	anticipation	0.477
submit	አስገባ	anticipation	0.477
perilous	አደገኛ	anticipation	0.477
unification	አንድነት	anticipation	0.477
score	ውጤት	anticipation	0.477
medal	ሜዳል	anticipation	0.477
glide	ተንሸራታች	anticipation	0.477
recipient	ተቀባይ	anticipation	0.477
accompaniment	አጃቢ	anticipation	0.477
praiseworthy	ሊመሰገኑ ይገባቸዋል	anticipation	0.473
providing	በማቅረብ ላይ	anticipation	0.469
motion	እንቅስቃሴ	anticipation	0.469
fete	NO TRANSLATION	anticipation	0.469
cautious	ጥንቃቄ	anticipation	0.469
cash	ጥሬ ገንዘብ	anticipation	0.469
precursor	ቅድመ ቀለም	anticipation	0.469
opera	ኦፔራ	anticipation	0.469
elite	ምሁር	anticipation	0.469
pry	ፕሪዬ	anticipation	0.469
hire	ቅጥር	anticipation	0.469
sweets	ጣፋጭ	anticipation	0.469
star	ኮከብ	anticipation	0.469
unsurpassed	ያልተገደበ	anticipation	0.469
successful	ተሳክቷል	anticipation	0.469
unknown	ያልታወቀ	anticipation	0.469
immediately	ወድያው	anticipation	0.469
starry	ኮከብ	anticipation	0.469
production	ምርት	anticipation	0.469
football	እግር ኳስ	anticipation	0.469
completion	ማጠናቀቅ	anticipation	0.469
scare	አስፈራራ	anticipation	0.469
invoke	ጥሪ	anticipation	0.469
shaky	ተንቀጠቀጠ	anticipation	0.469
dawn	ንጋት	anticipation	0.469
creeping	የሚንሳፈፍ	anticipation	0.469
cheerfulness	ደስታ	anticipation	0.461
soundness	ጤናማነት	anticipation	0.461
mail	ደብዳቤ	anticipation	0.461
draft	ረቂቅ	anticipation	0.461
preliminary	የመጀመሪያ ደረጃ	anticipation	0.461
friendly	ወዳጃዊ	anticipation	0.461
commemorative	ታዛቢ	anticipation	0.461
extricate	አስፊ	anticipation	0.461
alive	በሕይወት ያለ	anticipation	0.461
untold	የማይነገር	anticipation	0.461
overture	መከበር	anticipation	0.461
excel	ብልጫ	anticipation	0.461
plight	አስከፊ ሁኔታ	anticipation	0.461
synchronize	ማመሳሰል	anticipation	0.461
punt	ምጥ	anticipation	0.461
sanctuary	መቅደሱ	anticipation	0.461
brilliant	ድንቅ	anticipation	0.461
pay	መክፈል	anticipation	0.461
shining	ብሩህ	anticipation	0.461
regatta	ሪታታ	anticipation	0.461
testament	ምስክር	anticipation	0.461
jeopardy	አደጋ	anticipation	0.461
perpetuity	ዘላቂነት	anticipation	0.453
elegance	ውበት	anticipation	0.453
career	ሥራ	anticipation	0.453
basketball	ቅርጫት ኳስ	anticipation	0.453
intimately	በቅርበት	anticipation	0.453
renovate	ማደስ	anticipation	0.453
supremacy	የበላይነት	anticipation	0.453
infinity	ያለበቂ ምክንያት	anticipation	0.453
unexpected	ያልተጠበቀ	anticipation	0.453
flinch	ፍላጭ	anticipation	0.453
complement	ማሟያ	anticipation	0.453
prologue	ፕሮግለስ	anticipation	0.453
compliment	NO TRANSLATION	anticipation	0.453
prevention	መከላከል	anticipation	0.453
improve	አሻሽል	anticipation	0.453
sunset	ጀንበር ስትጠልቅ	anticipation	0.453
inaugural	መጀመርያ ላይ	anticipation	0.453
rehabilitation	የማገገሚያ	anticipation	0.453
fitting	ተስማሚ	anticipation	0.445
surround	በዙሪያው	anticipation	0.445
share	ማጋራት	anticipation	0.445
epidemic	ወረርሽኝ	anticipation	0.445
sweet	ጣፋጭ	anticipation	0.445
fain	NO TRANSLATION	anticipation	0.445
concealment	መደበቅ	anticipation	0.445
confidence	በራስ መተማመን	anticipation	0.445
perfect	ፍጹም	anticipation	0.445
sun	ፀሐይ	anticipation	0.445
veracity	ትክክለኛነት	anticipation	0.445
volunteer	በፈቃደኝነት	anticipation	0.445
conjecture	ትንበያ	anticipation	0.445
medical	ሕክምና	anticipation	0.438
prepared	ተዘጋጅቷል	anticipation	0.438
superstitious	አጉል እምነት	anticipation	0.438
reconstruction	ግንባታ	anticipation	0.438
tickle	መኮረጅ	anticipation	0.438
faith	እምነት	anticipation	0.438
passenger	መንገደኛ	anticipation	0.438
saint	ቅዱስ	anticipation	0.438
respect	አክብሮት	anticipation	0.438
rabid	አጥንት	anticipation	0.438
reconstruct	በድጋሚ መገንባት	anticipation	0.438
recombination	ድብደባ	anticipation	0.438
devout	ታማኝ	anticipation	0.438
goodness	ጥሩነት	anticipation	0.438
angel	መልአክ	anticipation	0.438
ferment	ፍላት	anticipation	0.438
plea	ልመና	anticipation	0.438
aloha	aloha	anticipation	0.438
serial	ተከታታይ	anticipation	0.438
conservation	ጥበቃ	anticipation	0.438
serenity	መረጋጋት	anticipation	0.430
tabulate	የታዘዘ	anticipation	0.430
install	ጫን	anticipation	0.430
labyrinth	እንቆቅልሽ	anticipation	0.430
venerable	የሚከበር	anticipation	0.430
perpetuate	ዘልቋል	anticipation	0.430
strategist	ስትራቴጂስት	anticipation	0.430
unverified	ያልተረጋገጠ	anticipation	0.430
tribunal	ፍርድ ቤት	anticipation	0.430
charitable	ልግስና	anticipation	0.430
luscious	የሚስብ	anticipation	0.430
spa	ስፓርት	anticipation	0.430
peace	ሰላም	anticipation	0.430
clap	ጭብጨባ	anticipation	0.430
conspirator	አስደንጋጭ	anticipation	0.422
forestall	ጫካ	anticipation	0.422
patience	ትዕግስት	anticipation	0.422
oasis	ኦስፔስ	anticipation	0.422
grin	ፈገግታ	anticipation	0.422
revere	አክብሩ	anticipation	0.422
worship	አምልኮ	anticipation	0.422
vista	vista	anticipation	0.422
laughter	ሳቅ	anticipation	0.422
volatility	መበታተን	anticipation	0.422
adrift	ወደፊትም	anticipation	0.422
candid	ግልጽ	anticipation	0.422
edification	ማነጽ	anticipation	0.422
unresolved	ያልተፈታ	anticipation	0.422
peaceful	ሰላማዊ	anticipation	0.422
recognizable	ሊታወቅ የሚችል	anticipation	0.422
calls	ጥሪዎች	anticipation	0.414
weigh	ሚዛን	anticipation	0.414
probation	የሙከራ ጊዜ	anticipation	0.414
proficiency	ችሎታ	anticipation	0.414
morn	ምሽት	anticipation	0.414
craps	craps	anticipation	0.414
detainee	ታራሚ	anticipation	0.414
mediate	መካከለኛ	anticipation	0.414
continue	ቀጥል	anticipation	0.414
astrologer	ኮከብ ቆጣሪ	anticipation	0.414
punctual	በትክክለኛ ጊዜ	anticipation	0.414
ordination	ሹመት	anticipation	0.414
pretty	ቆንጆ	anticipation	0.414
thought	ሐሳብ	anticipation	0.414
grant	ስጦታ	anticipation	0.414
withstand	መቋቋም	anticipation	0.414
frisky	ፍራፍሬ	anticipation	0.414
ongoing	በመካሄድ ላይ ያለ	anticipation	0.414
sing	ዘፈን	anticipation	0.411
long	ረጅም	anticipation	0.406
confession	መናዘዝ	anticipation	0.406
headlight	የፊት መብራት	anticipation	0.406
prophylactic	ፕሮፊለአክቲክ	anticipation	0.406
mother	እናት	anticipation	0.406
debenture	መክፈል	anticipation	0.406
wizard	ጠንቋይ	anticipation	0.406
university	ዩኒቨርሲቲ	anticipation	0.406
proud	ኩራት	anticipation	0.406
midwife	አዋላጅ	anticipation	0.406
banquet	ግብዣ	anticipation	0.406
continuation	ቀጣይነት	anticipation	0.406
navigable	መራመጃ	anticipation	0.406
punished	ተቀጣጠለ	anticipation	0.406
chicane	ጫካ	anticipation	0.406
comfort	ማጽናኛ	anticipation	0.406
opponent	ተቃዋሚ	anticipation	0.406
subscribe	ይመዝገቡ	anticipation	0.406
outdo	ውጭ	anticipation	0.406
nurture	መንከባከብ	anticipation	0.406
twinkle	ያኮጠጠ	anticipation	0.406
deal	ስምምነት	anticipation	0.402
efficient	ውጤታማ	anticipation	0.398
representing	በመወከል ላይ	anticipation	0.398
simmer	ፈንጠዝ	anticipation	0.398
symphony	ተለዋዋጭ	anticipation	0.398
judiciary	የፍትህ ስርዓት	anticipation	0.398
obliging	ግዴታ	anticipation	0.398
saintly	ቅዱስ	anticipation	0.398
vigil	ጥንቁቅ	anticipation	0.398
death	ሞት	anticipation	0.398
distracting	ትኩረትን የሚስብ	anticipation	0.398
mortification	ድብደባ	anticipation	0.398
balm	ሹል	anticipation	0.398
guillotine	ተጋሪ	anticipation	0.398
top	ከላይ	anticipation	0.398
lettered	ምልክት የተደረገባቸው	anticipation	0.398
reliance	መተማመን	anticipation	0.398
poke	ተኮሰ	anticipation	0.391
unfulfilled	ያልተሟሉ	anticipation	0.391
assurance	ማረጋገጫ	anticipation	0.391
condemnation	ኩነኔ	anticipation	0.391
undoubted	ያለ ጥርጥር	anticipation	0.391
diplomacy	ዲፕሎማሲ	anticipation	0.391
familiarity	ማወቅ	anticipation	0.391
antidote	መድኃኒት	anticipation	0.391
chuckle	ጩኸት	anticipation	0.391
objective	ዓላማዊ	anticipation	0.391
maternal	የእናቶች	anticipation	0.391
abeyance	ድንገተኛ	anticipation	0.391
art	ሥነ ጥበብ	anticipation	0.391
linger	ቆንጆ	anticipation	0.391
