word	Telugu-te	emotion	emotion-intensity-score
apprehensive	ఆందోళన	anticipation	0.547
sorcery	వశీకరణం	anticipation	0.547
bountiful	ఔదార్యాన్ని	anticipation	0.547
leisure	విశ్రాంతి	anticipation	0.547
probability	సంభావ్యత	anticipation	0.547
auction	వేలంలో	anticipation	0.539
hunting	వేటాడు	anticipation	0.539
contingent	ఆగంతుక	anticipation	0.539
hankering	కాంక్ష	anticipation	0.539
sensual	ఇంద్రియాలకు	anticipation	0.539
blessings	దీవెనలు	anticipation	0.539
ballot	బ్యాలెట్	anticipation	0.539
grandchildren	మునుమనవళ్లను	anticipation	0.539
entertainment	వినోదం	anticipation	0.539
vindication	నిర్మూలన	anticipation	0.539
worrying	చింతిస్తూ	anticipation	0.539
tempest	టెంపెస్ట్	anticipation	0.539
inquiry	విచారణ	anticipation	0.539
merge	విలీనం	anticipation	0.539
exceed	అధిగమించకూడదు	anticipation	0.539
bounty	నేరస్థుల	anticipation	0.539
glad	ఆనందంగా	anticipation	0.536
magnificent	అద్భుతమైన	anticipation	0.531
feat	ఫీట్	anticipation	0.531
stealthy	stealthy	anticipation	0.531
cheer	ఉల్లాసమైన	anticipation	0.531
spirits	ఆత్మలు	anticipation	0.531
visitor	సందర్శకుడు	anticipation	0.531
appeal	అప్పీల్	anticipation	0.531
forming	ఏర్పాటు	anticipation	0.531
hurried	hurried	anticipation	0.531
responsive	బాధ్యతాయుతంగా	anticipation	0.531
virginity	కన్యత్వం	anticipation	0.531
deliverance	విమోచన	anticipation	0.531
betrothed	నిశ్చితార్దం	anticipation	0.531
overthrow	దెబ్బతీసిన	anticipation	0.531
harbinger	దూత	anticipation	0.531
raving	రావింగ్	anticipation	0.531
celestial	ఖగోళ	anticipation	0.531
dread	భయపడటం	anticipation	0.531
germination	అంకురోత్పత్తి	anticipation	0.523
preparatory	సన్నాహక	anticipation	0.523
pleasant	ఆహ్లాదకరమైన	anticipation	0.523
watch	చూడటానికి	anticipation	0.523
prophet	ప్రవక్త	anticipation	0.523
prognostic	ప్రోగ్నోస్టిక్	anticipation	0.523
haste	త్వర	anticipation	0.523
planning	ప్రణాళిక	anticipation	0.523
importance	ప్రాముఖ్యతను	anticipation	0.523
radiance	ప్రకాశించే	anticipation	0.523
prevail	వ్యాప్తి చెందడం	anticipation	0.523
cheery	ముచ్చటైన	anticipation	0.523
competition	పోటీ	anticipation	0.523
ultimately	చివరికి	anticipation	0.523
revive	పునరుద్ధరించాలని	anticipation	0.523
beaming	ప్రసారం	anticipation	0.523
wait	వేచి	anticipation	0.523
child	పిల్లల	anticipation	0.523
notification	నోటిఫికేషన్	anticipation	0.523
hunter	వేటగాడు	anticipation	0.523
explosive	పేలుడు	anticipation	0.523
endanger	ప్రమాదమే	anticipation	0.516
time	సమయం	anticipation	0.516
recreation	వినోదం	anticipation	0.516
renovation	పునరద్ధరణ	anticipation	0.516
precious	విలువైన	anticipation	0.516
begun	ప్రారంభమైన	anticipation	0.516
loom	మగ్గాలు	anticipation	0.516
compensate	భర్తీ	anticipation	0.516
treat	చికిత్స	anticipation	0.516
uncontrollable	అనియంత్ర	anticipation	0.516
present	ప్రస్తుతం	anticipation	0.516
salary	జీతం	anticipation	0.516
celebrity	ప్రముఖ	anticipation	0.516
owing	ఇయ్యవలసిన	anticipation	0.516
chocolate	చాక్లెట్	anticipation	0.516
caution	జాగ్రత్త	anticipation	0.516
fermentation	కిణ్వనం	anticipation	0.516
sensuality	శృంగారం	anticipation	0.516
wilderness	నిర్జన	anticipation	0.508
signify	అర్థంతో	anticipation	0.508
transitional	పరివర్తన	anticipation	0.508
intermission	విరామంతో	anticipation	0.508
contemplation	చింతన	anticipation	0.508
vigilance	విజిలెన్స్	anticipation	0.508
commemoration	సంస్మరణ	anticipation	0.508
practise	ఆచరణలో	anticipation	0.508
cue	క్యూ	anticipation	0.508
infant	శిశు	anticipation	0.508
dreadful	భయంకరంగా	anticipation	0.508
perfection	పరిపూర్ణత	anticipation	0.508
elevation	ఎత్తు	anticipation	0.508
prerequisite	అంత అవసరం	anticipation	0.508
cultivate	పండించడం	anticipation	0.508
horizon	హోరిజోన్	anticipation	0.508
develop	అభివృద్ధి	anticipation	0.508
exigent	NO TRANSLATION	anticipation	0.508
swim	ఈత	anticipation	0.500
attendance	హాజరైన	anticipation	0.500
nascent	నవజాత	anticipation	0.500
favorable	అనుకూలమైన	anticipation	0.500
peril	ప్రమాదము	anticipation	0.500
income	ఆదాయం	anticipation	0.500
ardent	ఉత్సాహవంతుడు	anticipation	0.500
commemorate	జ్ఞాపకార్ధం	anticipation	0.500
doomsday	డూమ్స్డే	anticipation	0.500
reconciliation	సయోధ్య	anticipation	0.500
utopian	ఆదర్శధామ	anticipation	0.500
romantic	శృంగార	anticipation	0.500
unbridled	హద్దులేని	anticipation	0.500
sunny	ఎండ	anticipation	0.500
uphill	ఎత్తుపైకి	anticipation	0.500
intuitively	అకారణంగా	anticipation	0.500
depart	తిరిగి వెళ్ళు	anticipation	0.500
eventuality	పరిస్థితులనైనా	anticipation	0.500
puppy	కుక్కపిల్ల	anticipation	0.500
zeal	ఉత్సాహాన్ని	anticipation	0.500
sneaking	దొంగతనంగా	anticipation	0.500
ready	సిద్ధంగా	anticipation	0.500
advocacy	న్యాయవాద	anticipation	0.500
airport	విమానాశ్రయం	anticipation	0.500
litigate	న్యాయస్థానాలను	anticipation	0.500
blindfold	అజాగ్రత్తగా	anticipation	0.500
undisclosed	గుర్తుతెలియని	anticipation	0.500
young	యువ	anticipation	0.500
horoscope	జాతకం	anticipation	0.500
invocation	పిలుపుతో	anticipation	0.500
calculation	లెక్కింపు	anticipation	0.500
hero	హీరో	anticipation	0.500
court	కోర్టు	anticipation	0.492
repay	చెల్లింపులో	anticipation	0.492
improvise	మనోధర్మం	anticipation	0.492
parole	పెరోల్	anticipation	0.492
worry	ఆందోళన	anticipation	0.492
inauguration	ప్రారంభోత్సవం	anticipation	0.492
gaping	ఆవలింత	anticipation	0.492
youth	యువత	anticipation	0.492
bless	దీవించమని	anticipation	0.492
defense	రక్షణ	anticipation	0.492
heyday	దాస	anticipation	0.492
consequent	పర్యవసాన	anticipation	0.492
proceeding	కొనసాగే	anticipation	0.492
eventual	చివరకు	anticipation	0.492
perspective	దృష్టికోణం	anticipation	0.492
restorative	పునరుద్ధరణ	anticipation	0.492
undertaking	ప్రయత్నంగా	anticipation	0.492
highest	అత్యధిక	anticipation	0.491
duel	ద్వంద్వ	anticipation	0.484
unexplained	చెప్పలేని	anticipation	0.484
tremor	ప్రకంపనం	anticipation	0.484
sharpen	పదునుపెట్టు	anticipation	0.484
generosity	దాతృత్వం	anticipation	0.484
voluptuous	విలాసవంతమైన	anticipation	0.484
shortly	త్వరలో	anticipation	0.484
vow	ప్రతిజ్ఞ	anticipation	0.484
contagion	అంటువ్యాధి	anticipation	0.484
letter	లేఖ	anticipation	0.484
happen	జరిగే	anticipation	0.484
threaten	బెదిరించే	anticipation	0.484
conjure	మాయాజాలం	anticipation	0.484
sparkle	మరుపు	anticipation	0.484
engulf	కుప్పకూలడం	anticipation	0.484
god	దేవుడు	anticipation	0.484
correspondence	సుదూర	anticipation	0.484
auspicious	పవిత్రమైన	anticipation	0.484
princely	రాచరిక	anticipation	0.484
adore	ఆరాధించు	anticipation	0.477
enroll	నమోదు	anticipation	0.477
determinate	నిశ్చయం	anticipation	0.477
predispose	దారి	anticipation	0.477
clue	క్లూ	anticipation	0.477
onset	ఆగమనం	anticipation	0.477
powerful	శక్తివంతమైన	anticipation	0.477
glorify	కీర్తిస్తూ	anticipation	0.477
glow	మిణుగురు	anticipation	0.477
arbitration	మధ్యవర్తిత్వ	anticipation	0.477
torture	హింస	anticipation	0.477
gravitate	అభిముఖముగా	anticipation	0.477
cherish	రక్షిస్తున్న	anticipation	0.477
contemplate	ఆలోచించు	anticipation	0.477
submit	submit	anticipation	0.477
perilous	కదిలిస్తుంది	anticipation	0.477
unification	ఏకీకరణ	anticipation	0.477
score	స్కోరు	anticipation	0.477
medal	పతకాన్ని	anticipation	0.477
glide	గ్లైడ్	anticipation	0.477
recipient	గ్రహీత	anticipation	0.477
accompaniment	సహవాయిద్యం	anticipation	0.477
praiseworthy	praiseworthy	anticipation	0.473
providing	అందించడం	anticipation	0.469
motion	మోషన్	anticipation	0.469
fete	NO TRANSLATION	anticipation	0.469
cautious	జాగ్రత్తగా	anticipation	0.469
cash	నగదు	anticipation	0.469
precursor	పూర్వగామి	anticipation	0.469
opera	ఒపేరా	anticipation	0.469
elite	ఉన్నత	anticipation	0.469
pry	రహస్యంగా గమనించు	anticipation	0.469
hire	నియామకం	anticipation	0.469
sweets	స్వీట్లు	anticipation	0.469
star	స్టార్	anticipation	0.469
unsurpassed	ఇవ్వలేదు	anticipation	0.469
successful	విజయవంతమైన	anticipation	0.469
unknown	తెలియని	anticipation	0.469
immediately	తక్షణమే	anticipation	0.469
starry	నక్షత్రాలతో	anticipation	0.469
production	ఉత్పత్తి	anticipation	0.469
football	ఫుట్బాల్	anticipation	0.469
completion	పూర్తి	anticipation	0.469
scare	భయ పెట్టు	anticipation	0.469
invoke	ఇన్వోక్	anticipation	0.469
shaky	కదులుతోంది	anticipation	0.469
dawn	డాన్	anticipation	0.469
creeping	చర్మము	anticipation	0.469
cheerfulness	ఉల్లాసం	anticipation	0.461
soundness	సుస్థిరత	anticipation	0.461
mail	మెయిల్	anticipation	0.461
draft	డ్రాఫ్ట్	anticipation	0.461
preliminary	ప్రాథమిక	anticipation	0.461
friendly	స్నేహపూర్వక	anticipation	0.461
commemorative	స్మారక	anticipation	0.461
extricate	ముగించేందుకు	anticipation	0.461
alive	సజీవంగా	anticipation	0.461
untold	అన్టోల్డ్	anticipation	0.461
overture	తెలుపుట	anticipation	0.461
excel	Excel	anticipation	0.461
plight	దురవస్థ	anticipation	0.461
synchronize	సింక్రనైజ్	anticipation	0.461
punt	రౌడీ	anticipation	0.461
sanctuary	అభయారణ్యం	anticipation	0.461
brilliant	తెలివైన	anticipation	0.461
pay	చెల్లించటానికి	anticipation	0.461
shining	మెరుస్తూ	anticipation	0.461
regatta	రెగట్ట	anticipation	0.461
testament	నిబంధన	anticipation	0.461
jeopardy	పోటీలకు	anticipation	0.461
perpetuity	శాశ్వితంగా	anticipation	0.453
elegance	చక్కదనం	anticipation	0.453
career	వృత్తి	anticipation	0.453
basketball	బాస్కెట్బాల్	anticipation	0.453
intimately	రాధతో	anticipation	0.453
renovate	పునరుద్ధరించేందుకు	anticipation	0.453
supremacy	ఆధిపత్యం	anticipation	0.453
infinity	అనంతం	anticipation	0.453
unexpected	ఊహించని	anticipation	0.453
flinch	జేంకు	anticipation	0.453
complement	పూరక	anticipation	0.453
prologue	నాంది	anticipation	0.453
compliment	NO TRANSLATION	anticipation	0.453
prevention	నివారణ	anticipation	0.453
improve	మెరుగు	anticipation	0.453
sunset	సూర్యాస్తమయం	anticipation	0.453
inaugural	ప్రారంభ	anticipation	0.453
rehabilitation	పునరావాస	anticipation	0.453
fitting	యుక్తమైనది	anticipation	0.445
surround	సరౌండ్	anticipation	0.445
share	వాటా	anticipation	0.445
epidemic	అంటువ్యాధి	anticipation	0.445
sweet	తీపి	anticipation	0.445
fain	NO TRANSLATION	anticipation	0.445
concealment	దాగి	anticipation	0.445
confidence	విశ్వాసం	anticipation	0.445
perfect	పరిపూర్ణ	anticipation	0.445
sun	సూర్యుడు	anticipation	0.445
veracity	కచ్చితత్వాన్ని	anticipation	0.445
volunteer	స్వచ్ఛంద	anticipation	0.445
conjecture	ప్రతిపాదనను	anticipation	0.445
medical	వైద్య	anticipation	0.438
prepared	తయారు	anticipation	0.438
superstitious	మూఢ	anticipation	0.438
reconstruction	పునర్నిర్మాణం	anticipation	0.438
tickle	చక్కిలిగింత	anticipation	0.438
faith	విశ్వాసం	anticipation	0.438
passenger	ప్రయాణీకుల	anticipation	0.438
saint	సెయింట్	anticipation	0.438
respect	గౌరవం	anticipation	0.438
rabid	అత్యధికమైన	anticipation	0.438
reconstruct	పునర్నిర్మాణానికి	anticipation	0.438
recombination	పునఃసంయోగం	anticipation	0.438
devout	భక్తి	anticipation	0.438
goodness	మంచితనం	anticipation	0.438
angel	దూత	anticipation	0.438
ferment	కిణ్వ	anticipation	0.438
plea	హేతువు	anticipation	0.438
aloha	Aloha	anticipation	0.438
serial	క్రమ	anticipation	0.438
conservation	పరిరక్షణ	anticipation	0.438
serenity	ప్రశాంతత	anticipation	0.430
tabulate	పట్టికగా	anticipation	0.430
install	ఇన్స్టాల్	anticipation	0.430
labyrinth	చిక్కైన	anticipation	0.430
venerable	గౌరవనీయులైన	anticipation	0.430
perpetuate	శాశ్వతం	anticipation	0.430
strategist	వ్యూహాకర్త	anticipation	0.430
unverified	ధృవీకరించని	anticipation	0.430
tribunal	ట్రిబ్యునల్	anticipation	0.430
charitable	స్వచ్ఛంద	anticipation	0.430
luscious	తియ్యని	anticipation	0.430
spa	స్పా	anticipation	0.430
peace	శాంతి	anticipation	0.430
clap	క్లాప్	anticipation	0.430
conspirator	కుట్రదారుగా	anticipation	0.422
forestall	దుస్సాధ్యం	anticipation	0.422
patience	సహనం	anticipation	0.422
oasis	ఒయాసిస్	anticipation	0.422
grin	నవ్వు	anticipation	0.422
revere	గౌరవిస్తారు	anticipation	0.422
worship	ఆరాధన	anticipation	0.422
vista	విస్టా	anticipation	0.422
laughter	నవ్వు	anticipation	0.422
volatility	అస్థిరత	anticipation	0.422
adrift	తేలిపోవు	anticipation	0.422
candid	దాపరికం	anticipation	0.422
edification	నిష్ఠ	anticipation	0.422
unresolved	పరిష్కరించని	anticipation	0.422
peaceful	శాంతియుత	anticipation	0.422
recognizable	గుర్తించదగిన	anticipation	0.422
calls	కాల్స్	anticipation	0.414
weigh	బరువు	anticipation	0.414
probation	పరిశీలన	anticipation	0.414
proficiency	నైపుణ్యత	anticipation	0.414
morn	morn	anticipation	0.414
craps	craps	anticipation	0.414
detainee	నిర్బంధించబడిన	anticipation	0.414
mediate	మధ్యవర్తిత్వం	anticipation	0.414
continue	కొనసాగించడానికి	anticipation	0.414
astrologer	జ్యోతిష్కుడు	anticipation	0.414
punctual	కానట్టి	anticipation	0.414
ordination	సమన్వయ	anticipation	0.414
pretty	చక్కని	anticipation	0.414
thought	భావించాను	anticipation	0.414
grant	మంజూరు	anticipation	0.414
withstand	తట్టుకోలేని	anticipation	0.414
frisky	తుళ్లే	anticipation	0.414
ongoing	కొనసాగుతున్న	anticipation	0.414
sing	పాడే	anticipation	0.411
long	దీర్ఘ	anticipation	0.406
confession	ఒప్పుకోలు	anticipation	0.406
headlight	వైపు	anticipation	0.406
prophylactic	రక్షణాత్మకమైన	anticipation	0.406
mother	తల్లి	anticipation	0.406
debenture	పెట్టుబడిదారులు	anticipation	0.406
wizard	విజర్డ్	anticipation	0.406
university	విశ్వవిద్యాలయ	anticipation	0.406
proud	గర్వంగా	anticipation	0.406
midwife	మంత్రసాని	anticipation	0.406
banquet	బాంకెట్	anticipation	0.406
continuation	కొనసాగింపు	anticipation	0.406
navigable	నౌకాయాన	anticipation	0.406
punished	శిక్ష	anticipation	0.406
chicane	చికేన్	anticipation	0.406
comfort	సౌకర్యం	anticipation	0.406
opponent	ప్రత్యర్థి	anticipation	0.406
subscribe	చందా	anticipation	0.406
outdo	అధిగమించాలని	anticipation	0.406
nurture	పెంపకం	anticipation	0.406
twinkle	ట్వింకిల్	anticipation	0.406
deal	ఒప్పందం	anticipation	0.402
efficient	సమర్థవంతమైన	anticipation	0.398
representing	ప్రాతినిధ్యం	anticipation	0.398
simmer	ఆవేశమును	anticipation	0.398
symphony	సింఫనీ	anticipation	0.398
judiciary	న్యాయవ్యవస్థ	anticipation	0.398
obliging	ఉపకారబుద్ధి	anticipation	0.398
saintly	పావన	anticipation	0.398
vigil	జాగరణ	anticipation	0.398
death	మరణం	anticipation	0.398
distracting	అపసవ్య	anticipation	0.398
mortification	mortification	anticipation	0.398
balm	ఔషధతైలం	anticipation	0.398
guillotine	గిలెటిన్	anticipation	0.398
top	టాప్	anticipation	0.398
lettered	అక్షర	anticipation	0.398
reliance	రిలయన్స్	anticipation	0.398
poke	వెక్కిరింపులను	anticipation	0.391
unfulfilled	నెరవేరని	anticipation	0.391
assurance	హామీ	anticipation	0.391
condemnation	ఖండించారు	anticipation	0.391
undoubted	నిస్సందేహమైన	anticipation	0.391
diplomacy	దౌత్యం	anticipation	0.391
familiarity	పరిచయాన్ని	anticipation	0.391
antidote	విరుగుడు	anticipation	0.391
chuckle	లోలోపల నవ్వుకొను	anticipation	0.391
objective	లక్ష్యం	anticipation	0.391
maternal	మాతృసంబంధమైనవారు	anticipation	0.391
abeyance	నిలుపుదల	anticipation	0.391
art	ఆర్ట్	anticipation	0.391
linger	ఆలస్యము	anticipation	0.391
trust	ట్రస్ట్	anticipation	0.391
depraved	నైతికంగా హీనమైన	anticipation	0.391
sanctify	ప్రతిష్ఠించుటకై	anticipation	0.391
inoculation	టీకాలలో	anticipation	0.384
chant	శ్లోకం	anticipation	0.383
banger	డొక్కు కారు	anticipation	0.383
playground	ప్లేగ్రౌండ్	anticipation	0.383
failing	విఫలమైనందుకు	anticipation	0.383
ship	నౌక	anticipation	0.383
hymn	శ్లోకం	anticipation	0.383
simplify	సరళీకృతం	anticipation	0.383
ram	రామ్	anticipation	0.383
labor	కార్మిక	anticipation	0.383
discretion	విచక్షణతో	anticipation	0.383
hap	NO TRANSLATION	anticipation	0.383
good	మంచి	anticipation	0.383
scientist	శాస్త్రవేత్త	anticipation	0.383
undecided	తీర్మానించని	anticipation	0.383
humanitarian	మానవతా	anticipation	0.383
depend	ఆధారపడి	anticipation	0.383
dutiful	విధేయ	anticipation	0.383
clock	గడియారం	anticipation	0.375
sterling	స్టెర్లింగ్	anticipation	0.375
mountain	పర్వత	anticipation	0.375
savor	సువాసన కలుగునట్లు	anticipation	0.375
recurrent	పునరావృత	anticipation	0.375
interim	మధ్యంతర	anticipation	0.375
navigator	నావికుడు	anticipation	0.375
gradual	క్రమంగా	anticipation	0.375
interminable	అంతంలేని	anticipation	0.375
track	ట్రాక్	anticipation	0.375
public	ప్రజా	anticipation	0.375
cradle	ఊయల	anticipation	0.375
concealed	దాగి	anticipation	0.367
lesson	పాఠం	anticipation	0.367
instructions	సూచనలను	anticipation	0.367
shiver	వణుకు	anticipation	0.367
musical	సంగీత	anticipation	0.367
towering	మహోన్నత	anticipation	0.367
whim	యుక్తి	anticipation	0.367
spear	ఈటె	anticipation	0.367
convince	ఒప్పించేందుకు	anticipation	0.367
sonar	సోనార్	anticipation	0.367
abide	కట్టుబడి	anticipation	0.367
biennial	ద్వైవార్షిక	anticipation	0.367
theology	వేదాంత	anticipation	0.359
offset	ఆఫ్సెట్	anticipation	0.359
atone	ప్రాయశ్చిత్తం	anticipation	0.359
timidity	పిరికితనం	anticipation	0.359
theory	సిద్ధాంతం	anticipation	0.359
undying	తీరని	anticipation	0.359
plump	బొద్దుగా	anticipation	0.359
audience	ప్రేక్షకుల	anticipation	0.357
nobility	ప్రభువులకు	anticipation	0.352
paragon	పారగాన్	anticipation	0.352
dietary	ఆహార	anticipation	0.352
closure	మూసివేత	anticipation	0.352
store	స్టోర్	anticipation	0.352
localize	స్థానీకరణ	anticipation	0.352
cramp	స్నాయువుల ఈడ్పు	anticipation	0.352
daily	రోజువారీ	anticipation	0.352
kindred	కిండ్రెడ్	anticipation	0.352
farm	వ్యవసాయ	anticipation	0.352
edition	ఎడిషన్	anticipation	0.352
consecration	ప్రతిష్ఠితమైన	anticipation	0.352
archaeology	పురావస్తు	anticipation	0.344
mobile	మొబైల్	anticipation	0.344
errand	చిన్న	anticipation	0.344
wireless	వైర్లెస్	anticipation	0.344
mutable	మ్యూట్ చేయగల	anticipation	0.344
meditate	ధ్యానం	anticipation	0.344
stripped	కొల్లగొట్టిన	anticipation	0.344
lessen	తగ్గించటానికి	anticipation	0.336
unaccountable	లెక్కచేయని	anticipation	0.336
pare	NO TRANSLATION	anticipation	0.336
brotherly	సోదర	anticipation	0.336
buddy	స్నేహితుని	anticipation	0.336
unbeaten	అజేయంగా	anticipation	0.336
germ	బీజ	anticipation	0.336
dove	పావురం	anticipation	0.328
digress	బౌద్దడను	anticipation	0.328
ribbon	రిబ్బన్	anticipation	0.328
olfactory	ఘ్రాణ	anticipation	0.328
patient	రోగి	anticipation	0.328
council	కౌన్సిల్	anticipation	0.328
possess	కలిగి	anticipation	0.328
secular	లౌకిక	anticipation	0.328
chastity	పవిత్రత	anticipation	0.328
disposed	పారవేయాల్సి	anticipation	0.320
regularity	క్రమ	anticipation	0.320
mediator	సంధానకర్తగా	anticipation	0.320
scrutinize	పరీక్షించేవారు	anticipation	0.320
fancy	ఫాన్సీ	anticipation	0.320
immature	అపరిపక్వ	anticipation	0.320
infanticide	శిశుహత్య	anticipation	0.320
heft	heft	anticipation	0.320
preservative	సంరక్షక	anticipation	0.320
paddle	తెడ్డు	anticipation	0.320
cove	జాలం	anticipation	0.320
denying	కొట్టిపారేసిన	anticipation	0.312
bugle	Bugle	anticipation	0.312
unpublished	ప్రచురింపబడని	anticipation	0.312
analyst	విశ్లేషకుడు	anticipation	0.312
grim	భయంకరమైన	anticipation	0.312
church	చర్చి	anticipation	0.312
priesthood	అర్చకత్వం	anticipation	0.305
mill	మిల్లు	anticipation	0.305
judicial	న్యాయ	anticipation	0.305
broadside	పార్శం	anticipation	0.305
tributary	ఉపనది	anticipation	0.297
cap	క్యాప్	anticipation	0.297
thermocouple	థర్మోకపుల్ను	anticipation	0.297
dismay	బెదిరిస్తూ	anticipation	0.297
instructor	బోధకుడు	anticipation	0.297
saliva	లాలాజలం	anticipation	0.297
exhaustion	అలసట	anticipation	0.297
bruise	చర్మ గాయము	anticipation	0.289
wont	NO TRANSLATION	anticipation	0.289
homeless	నిరాశ్రయులకు	anticipation	0.289
visor	కవచము	anticipation	0.289
discreet	NO TRANSLATION	anticipation	0.289
network	నెట్వర్క్	anticipation	0.289
shackle	సంకెలతో	anticipation	0.289
addresses	చిరునామాలు	anticipation	0.289
noncompliance	ధిక్కరించినందుకు	anticipation	0.289
cataract	కేటరాక్ట్	anticipation	0.289
skewed	వక్రంగా	anticipation	0.281
astronomer	ఖగోళ శాస్త్రవేత్త	anticipation	0.281
neighbor	పొరుగు	anticipation	0.281
holiness	పవిత్రమైన	anticipation	0.273
devil	డెవిల్	anticipation	0.273
cream	క్రీమ్	anticipation	0.273
picket	పికెట్	anticipation	0.273
latent	గుప్త	anticipation	0.273
immaturity	అపరిపక్వత	anticipation	0.273
sentence	వాక్యం	anticipation	0.273
neighborhood	పొరుగు	anticipation	0.266
morals	నీతులు	anticipation	0.266
lull	విరామాన్ని	anticipation	0.266
habitual	అలవాటుగా	anticipation	0.266
weight	బరువు	anticipation	0.258
bye	బై	anticipation	0.258
forearm	ముంజేయి	anticipation	0.250
clown	విదూషకుడు	anticipation	0.250
organ	అవయవ	anticipation	0.250
quote	కోట్	anticipation	0.242
commonplace	సర్వసాధారణంగా	anticipation	0.242
dictatorship	నియంతృత్వాన్ని	anticipation	0.234
board	బోర్డ్	anticipation	0.234
white	తెలుపు	anticipation	0.234
treadmill	ట్రెడ్మిల్	anticipation	0.234
rail	రైలు	anticipation	0.234
sundial	నీటిగడియారం	anticipation	0.227
tree	చెట్టు	anticipation	0.227
paralysis	పక్షవాతం	anticipation	0.211
worm	వార్మ్	anticipation	0.203
organization	సంస్థ	anticipation	0.203
cement	సిమెంట్	anticipation	0.203
lagging	వెనుకబడి	anticipation	0.180
neutral	తటస్థ	anticipation	0.148
cannibalism	నరమాంస	disgust	0.953
mutilation	వైకల్యం	disgust	0.930
molestation	వేధింపుల	disgust	0.914
incest	వావి	disgust	0.914
gonorrhea	గోనేరియాతో	disgust	0.906
rape	రేప్	disgust	0.906
cannibal	కానిబాల్	disgust	0.898
rot	తెగులు	disgust	0.891
corpse	శవం	disgust	0.883
massacre	నరమేధం	disgust	0.883
excrement	పేడ	disgust	0.883
slaughter	స్లాటర్	disgust	0.875
barf	NO TRANSLATION	disgust	0.875
slaughterhouse	కబేళా	disgust	0.867
rancid	పులిసిపోయిన	disgust	0.859
sewerage	మురుగునీటి	disgust	0.859
incestuous	దేశద్రోహమైన	disgust	0.859
filth	రోత	disgust	0.859
bigot	దురభిమాని	disgust	0.859
infestation	ముట్టడి	disgust	0.852
plague	ప్లేగు	disgust	0.852
bloodthirsty	రక్తపిపాసి	disgust	0.852
holocaust	హోలోకాస్ట్	disgust	0.852
rotting	కుళ్ళిపోయిన	disgust	0.844
maggot	ఈగ గుడ్డు	disgust	0.844
feces	మలం	disgust	0.844
fecal	మల	disgust	0.844
murder	హత్య	disgust	0.839
infanticide	శిశుహత్య	disgust	0.836
homicide	నరహత్య	disgust	0.836
asshole	గాడిద	disgust	0.836
enslaved	బానిసలుగా	disgust	0.836
gore	గోరే	disgust	0.828
perverted	అపసవ్యం అయిందని చెపుతారు	disgust	0.828
torture	హింస	disgust	0.828
slaughtering	ఖుర్బానీ	disgust	0.828
excretion	విసర్జన	disgust	0.828
contaminate	కలుషితం	disgust	0.821
murderer	హంతకుడు	disgust	0.820
gory	నెత్తురు	disgust	0.820
repugnant	repugnant	disgust	0.820
desecration	అపవిత్రం	disgust	0.820
grotesque	వింతైన	disgust	0.820
revolting	విప్లవాన్ని	disgust	0.820
diarrhoea	అతిసారం	disgust	0.820
manure	పేడ	disgust	0.820
terrorist	తీవ్రవాద	disgust	0.820
shit	ఒంటి	disgust	0.820
pervert	తప్పు దారి	disgust	0.820
slavery	బానిసత్వం	disgust	0.812
faeces	మలం	disgust	0.812
sewer	మురుగు	disgust	0.812
vomit	వాంతి	disgust	0.812
manslaughter	మారణకాండ	disgust	0.812
dismemberment	ముక్కలవ్వడం	disgust	0.812
cadaver	శవము	disgust	0.812
hemorrhage	రక్తస్రావం	disgust	0.805
repulsive	వికర్షణ	disgust	0.805
perverse	హేతుబద్దమైన	disgust	0.805
filthy	మురికిగా	disgust	0.797
sewage	మురుగు	disgust	0.797
depravity	దుర్మార్గం	disgust	0.797
diseased	వ్యాధి	disgust	0.797
carcass	మృతదేహాన్ని	disgust	0.795
decompose	క్రుళ్ళి	disgust	0.789
vermin	క్రిమికీటకాలు	disgust	0.789
puke	వాంతి చేసుకొను	disgust	0.789
parasite	పరాన్న	disgust	0.789
horrific	భయంకరమైన	disgust	0.789
gruesome	భీకరమైన	disgust	0.789
dung	NO TRANSLATION	disgust	0.789
mutilated	ముక్కలు ముక్కలు	disgust	0.789
murderous	హత్యలు	disgust	0.789
decayed	పుచ్చిన	disgust	0.789
herpes	హెర్పెస్	disgust	0.789
slime	బురద	disgust	0.781
flatulence	మూత్రనాళం	disgust	0.781
monstrosity	వికారంగా	disgust	0.781
carnage	మారణహోమం	disgust	0.781
pestilence	అంటురోగం	disgust	0.781
malaria	మలేరియా	disgust	0.781
crap	చెత్త	disgust	0.781
toxic	విష	disgust	0.773
loathsome	అసహ్యమైన	disgust	0.773
insidious	కృత్రిమ	disgust	0.773
leprosy	కుష్టు	disgust	0.773
morgue	మృతదేహాలను భద్రపరిచే	disgust	0.773
pus	చీము	disgust	0.773
herpesvirus	herpesvirus	disgust	0.773
whore	వేశ్య	disgust	0.766
cruel	క్రూరమైన	disgust	0.766
repugnance	repugnance	disgust	0.766
revulsion	ఉన్నట్టుండి ఏర్పడు నష్టము	disgust	0.766
xenophobia	జెనోఫోబియా	disgust	0.766
regurgitation	చర్యలతో	disgust	0.766
anthrax	ఆంత్రాక్స్	disgust	0.766
lynch	లించ్	disgust	0.766
dissection	విభజన	disgust	0.759
canker	క్యాన్కర్	disgust	0.758
cruelty	క్రూరత్వం	disgust	0.758
