word	Armenian-hy	emotion	emotion-intensity-score
anticipate	կանխատեսել	anticipation	0.820
excitement	հուզմունք	anticipation	0.820
eagerness	ջերմություն	anticipation	0.812
exciting	հուզիչ	anticipation	0.797
expectant	սպասողը	anticipation	0.789
thrilling	ոգեւորված	anticipation	0.781
hope	հույս	anticipation	0.773
quest	որոնել	anticipation	0.766
expectance	սպասում	anticipation	0.750
countdown	Countdown	anticipation	0.750
start	սկսել	anticipation	0.750
anticipatory	կանխատեսելի	anticipation	0.750
adventure	արկած	anticipation	0.750
eager	պատրաստակամորեն	anticipation	0.742
climax	գագաթնակետը	anticipation	0.742
excite	հուզիչ	anticipation	0.742
prophecy	մարգարեություն	anticipation	0.742
arouse	արթնացեք	anticipation	0.742
expect	ակնկալում	anticipation	0.742
birth	ծնունդը	anticipation	0.734
ejaculation	ցնցում	anticipation	0.734
announcement	հայտարարություն	anticipation	0.734
liberation	ազատագրումը	anticipation	0.727
urgent	հրատապ	anticipation	0.727
expecting	սպասում	anticipation	0.727
expectancy	սպասում	anticipation	0.727
imminent	անմիջապես	anticipation	0.727
aspire	ձգտել	anticipation	0.719
prospect	հեռանկարը	anticipation	0.719
trepidation	ցնցումներ	anticipation	0.719
reunion	վերամիավորում	anticipation	0.719
prospection	հեռահաղորդակցություն	anticipation	0.719
voyage	ճանապարհորդություն	anticipation	0.719
mystery	առեղծվածը	anticipation	0.711
journey	ճանապարհորդություն	anticipation	0.711
kiss	համբույր	anticipation	0.711
enthusiasm	ոգեւորություն	anticipation	0.711
suspense	անորոշություն	anticipation	0.711
ecstasy	խառնաշփոթություն	anticipation	0.711
rapture	հրճվանք	anticipation	0.711
yearning	ջերմություն	anticipation	0.711
urgency	հրատապություն	anticipation	0.703
destination	նպատակակետ	anticipation	0.703
frantic	խորամանկ	anticipation	0.703
excitation	հուզմունք	anticipation	0.703
thrill	սենսացիա	anticipation	0.703
prospective	հեռանկարային	anticipation	0.703
hopeful	հուսով եմ	anticipation	0.703
lottery	վիճակախաղ	anticipation	0.703
progress	առաջընթաց	anticipation	0.703
tantalizing	թալանելով	anticipation	0.703
advance	առաջընթացը	anticipation	0.695
explore	ուսումնասիրել	anticipation	0.695
liberate	ազատագրել	anticipation	0.695
readiness	պատրաստակամություն	anticipation	0.695
hurry	Շտապեք	anticipation	0.695
arrival	ժամանում	anticipation	0.695
vacation	արձակուրդ	anticipation	0.695
expectation	ակնկալիք	anticipation	0.695
sex	սեքսը	anticipation	0.695
achievement	ձեռքբերումը	anticipation	0.695
prediction	կանխատեսումը	anticipation	0.695
allure	գաղափարախոսություն	anticipation	0.688
ecstatic	էկզոտիկ	anticipation	0.688
approaching	մոտեցումը	anticipation	0.688
uprising	ապստամբություն	anticipation	0.680
honeymoon	մեղրամիսը	anticipation	0.680
roulette	ռուլետկա	anticipation	0.680
crescendo	crescendo	anticipation	0.672
holiday	տոն	anticipation	0.672
wishful	ցանկալի	anticipation	0.672
celebrating	տոնում	anticipation	0.672
waiting	սպասում	anticipation	0.664
winnings	հաղթանակներ	anticipation	0.664
orgasm	օրգազմ	anticipation	0.664
winning	հաղթող	anticipation	0.664
impending	առաջիկա օրերին	anticipation	0.664
invitation	հրավերը	anticipation	0.664
rescue	փրկարարական աշխատանքներ	anticipation	0.664
craving	խելքը	anticipation	0.664
triumph	հաղթանակ	anticipation	0.664
celebration	տոնակատարություն	anticipation	0.656
victory	հաղթանակը	anticipation	0.656
aspiring	ձգտում	anticipation	0.656
gain	ձեռք բերել	anticipation	0.656
jackpot	ժակպոտ	anticipation	0.656
marriage	ամուսնություն	anticipation	0.656
strive	ձգտում	anticipation	0.656
bridegroom	bridegroom	anticipation	0.656
reward	պարգեւատրում	anticipation	0.656
fortune	բախտը	anticipation	0.656
bridal	Հարսնացուն	anticipation	0.656
courtship	սիրո մասին	anticipation	0.656
treasure	գանձ	anticipation	0.648
opportunity	հնարավորություն	anticipation	0.648
intrigue	ինտրիգը	anticipation	0.648
delivery	առաքում	anticipation	0.648
alertness	զգոնություն	anticipation	0.648
aspiration	ձգտումը	anticipation	0.648
inheritance	Ժառանգություն	anticipation	0.648
rising	աճում է	anticipation	0.648
tomorrow	վաղը	anticipation	0.648
prescient	նախորդ	anticipation	0.648
crowning	թագուհին	anticipation	0.648
revolution	հեղափոխություն	anticipation	0.641
erotic	Էրոտիկ	anticipation	0.641
spectacular	տպավորիչ	anticipation	0.641
anxious	մտահոգիչ	anticipation	0.641
expedition	արշավախումբը	anticipation	0.641
possibility	հնարավորությունը	anticipation	0.641
launch	գործարկել	anticipation	0.641
bride	հարսնացու	anticipation	0.641
celebrated	նշվեց	anticipation	0.641
prognosis	կանխատեսումը	anticipation	0.641
engaged	զբաղված	anticipation	0.641
reckoning	հաշիվը	anticipation	0.641
award	մրցանակաբաշխություն	anticipation	0.641
happiness	երջանկություն	anticipation	0.641
hype	խաբեություն	anticipation	0.641
receiving	ստանալով	anticipation	0.641
curious	հետաքրքիր է	anticipation	0.633
succeed	հաջողություն	anticipation	0.633
birthday	ծննդյան օրը	anticipation	0.633
graduation	ավարտելուց հետո	anticipation	0.633
beware	զգուշացեք	anticipation	0.633
vision	տեսլականը	anticipation	0.633
passionate	կրքոտ	anticipation	0.633
delight	ուրախություն	anticipation	0.633
destiny	ճակատագիր	anticipation	0.633
ominous	վնասակար	anticipation	0.633
coming	գալիս	anticipation	0.633
await	սպասեք	anticipation	0.633
passion	կրքոտություն	anticipation	0.633
firstborn	անդրանիկ	anticipation	0.633
captivate	սպանել	anticipation	0.633
prepare	պատրաստել	anticipation	0.633
miracle	հրաշք	anticipation	0.633
triumphant	հաղթող	anticipation	0.625
lust	ցանկություն	anticipation	0.625
retirement	կենսաթոշակ	anticipation	0.625
escape	փախուստը	anticipation	0.625
gift	նվեր	anticipation	0.625
inspiration	ոգեշնչում	anticipation	0.625
optimism	լավատեսություն	anticipation	0.625
foresee	կանխատեսում	anticipation	0.625
ripen	հասունանալ	anticipation	0.625
revival	վերածնունդ	anticipation	0.625
embrace	ընդունում	anticipation	0.617
risky	ռիսկային	anticipation	0.617
ambition	ձգտումը	anticipation	0.617
simmering	սիմվոլներ	anticipation	0.617
surprisingly	զարմանալիորեն	anticipation	0.617
verge	եզր	anticipation	0.617
enchanting	զարմանալիորեն	anticipation	0.617
bloom	ծաղկում	anticipation	0.617
foresight	կանխատեսում	anticipation	0.617
foreboding	նախազգուշացում	anticipation	0.617
destined	կանխորոշված	anticipation	0.617
succeeding	հաջողակ	anticipation	0.609
magical	կախարդական	anticipation	0.609
bonus	բոնուս	anticipation	0.609
lookout	Ուշադրություն դարձնել	anticipation	0.609
matrimony	ամուսնությունը	anticipation	0.609
alerts	ծանուցումներ	anticipation	0.609
anxiety	անհանգստություն	anticipation	0.609
seductive	գայթակղիչ	anticipation	0.609
forecast	կանխատեսում	anticipation	0.609
intended	նախատեսված է	anticipation	0.602
inspire	ոգեշնչեք	anticipation	0.602
diagnosis	ախտորոշում	anticipation	0.602
visionary	տեսողությունը	anticipation	0.602
nervous	նյարդային	anticipation	0.602
deserve	արժանանալ	anticipation	0.602
fulfillment	իրագործում	anticipation	0.602
picnic	խնջույք	anticipation	0.602
applicant	դիմորդ	anticipation	0.602
foreseen	կանխատեսել	anticipation	0.602
entertaining	զվարճալի	anticipation	0.602
revenge	վրեժ	anticipation	0.602
success	հաջողություն	anticipation	0.602
prophetic	մարգարեական	anticipation	0.602
winner	հաղթող	anticipation	0.602
longing	կարոտում	anticipation	0.602
boomerang	բումերանգ	anticipation	0.602
result	արդյունքը	anticipation	0.594
accelerate	արագացնել	anticipation	0.594
buzz	բզզ	anticipation	0.594
acquiring	ձեռք բերելու համար	anticipation	0.594
marry	ամուսնանալ	anticipation	0.594
illuminate	լուսավորելու համար	anticipation	0.594
romance	սիրավեպ	anticipation	0.594
rekindle	վերսկսել	anticipation	0.594
luck	հաջողություն	anticipation	0.594
advent	գալուստը	anticipation	0.594
preparedness	պատրաստվածություն	anticipation	0.594
momentum	թափանցիկություն	anticipation	0.594
arrive	ժամանում	anticipation	0.594
predict	կանխատեսել	anticipation	0.589
sequel	շարունակություն	anticipation	0.586
money	դրամ	anticipation	0.586
endeavor	ձգտում	anticipation	0.586
auspices	հովանու ներքո	anticipation	0.586
fiesta	Ֆիեստա	anticipation	0.586
raffle	խաղադրույքը	anticipation	0.586
preparation	պատրաստում	anticipation	0.586
uplift	բարձրացում	anticipation	0.586
investigation	հետաքննություն	anticipation	0.586
gambling	Դրամախաղ	anticipation	0.586
delightful	հիանալի	anticipation	0.586
enjoying	վայելելով	anticipation	0.586
seek	փնտրեք	anticipation	0.586
impatient	անհամբեր	anticipation	0.586
overdue	ժամկետանց	anticipation	0.586
crave	ձգտել	anticipation	0.586
flirt	ֆլիրտ	anticipation	0.586
enthusiast	էնտուզիաստ	anticipation	0.586
presumption	կանխավարկածը	anticipation	0.586
immerse	սուզվելը	anticipation	0.586
progression	առաջընթացը	anticipation	0.586
experiment	փորձարկում	anticipation	0.580
inviting	հրավիրում	anticipation	0.578
precarious	վտանգավոր	anticipation	0.578
blessing	օրհնություն	anticipation	0.578
harvest	բերքը	anticipation	0.578
transcendence	տրանսցենդենտալ	anticipation	0.578
heavenly	երկնային	anticipation	0.578
attainable	մատչելի	anticipation	0.578
enjoy	վայելեք	anticipation	0.578
divination	գուշակություն	anticipation	0.578
excavation	պեղումներ	anticipation	0.578
healing	բուժում	anticipation	0.578
majestic	հրաշալի	anticipation	0.578
clamor	աղմկահարույց	anticipation	0.578
thirst	ծարավը	anticipation	0.578
remedy	միջոցը	anticipation	0.578
prosper	բարգավաճել	anticipation	0.578
risk	ռիսկը	anticipation	0.578
angling	angling	anticipation	0.578
completing	ավարտելով	anticipation	0.578
thriving	բարգավաճող	anticipation	0.578
zest	սեզոն	anticipation	0.570
tease	զզվելի	anticipation	0.570
matchmaker	զուգընկերոջը	anticipation	0.570
prospectively	հեռանկարային	anticipation	0.570
restlessness	անհանգստություն	anticipation	0.570
sweetheart	սիրելիս	anticipation	0.570
emancipation	ազատություն	anticipation	0.570
ultimate	վերջնական	anticipation	0.570
invite	հրավիրել	anticipation	0.570
gambler	խաղացող	anticipation	0.570
dare	դաշնամուր	anticipation	0.570
plan	պլան	anticipation	0.570
magnificence	շքեղություն	anticipation	0.570
warned	զգուշացրեց	anticipation	0.570
finally	վերջապես	anticipation	0.570
intimate	ինտիմ	anticipation	0.570
omen	խառնաշփոթ	anticipation	0.570
attempt	փորձ	anticipation	0.562
forewarned	կանխագուշակված	anticipation	0.562
fun	զվարճալի	anticipation	0.562
festival	փառատոն	anticipation	0.562
trophy	գավաթ	anticipation	0.562
rejoice	ուրախանում	anticipation	0.562
fanfare	ժառանգություն	anticipation	0.562
predilection	կանխատեսումը	anticipation	0.562
exalt	բարձրացնել	anticipation	0.562
parade	շքերթը	anticipation	0.562
enchant	զարմացած	anticipation	0.562
independence	անկախություն	anticipation	0.562
expose	բացահայտում	anticipation	0.562
immortality	անմահություն	anticipation	0.562
expected	ակնկալվում է	anticipation	0.562
mysterious	խորհրդավոր	anticipation	0.562
hypothesis	վարկածը	anticipation	0.562
accolade	մրցանակաբաշխություն	anticipation	0.562
lover	սիրահար	anticipation	0.562
quicken	արագացնել	anticipation	0.562
champion	չեմպիոն	anticipation	0.562
lovely	սիրուն	anticipation	0.555
rejoicing	ուրախություն	anticipation	0.555
grasping	գրգռում	anticipation	0.555
grow	աճել	anticipation	0.555
curiosity	հետաքրքրությունը	anticipation	0.555
splendor	շքեղություն	anticipation	0.555
salvation	փրկություն	anticipation	0.555
happy	երջանիկ	anticipation	0.555
oracle	Oracle	anticipation	0.555
amour	NO TRANSLATION	anticipation	0.555
unfold	բացել	anticipation	0.555
boisterous	խառնաշփոթ	anticipation	0.555
liberty	ազատություն	anticipation	0.555
heroism	հերոսություն	anticipation	0.555
feeling	Զգացմունք	anticipation	0.555
shopping	գնումներ կատարելիս	anticipation	0.555
fate	ճակատագիր	anticipation	0.555
uneasiness	անհանգստություն	anticipation	0.555
speculative	սպեկուլյատիվ	anticipation	0.555
changeable	փոփոխական	anticipation	0.547
recreational	հանգիստ	anticipation	0.547
pray	աղոթել	anticipation	0.547
warn	զգուշացրեք	anticipation	0.547
suspicious	կասկածելի	anticipation	0.547
convergence	կոնվերգենցիա	anticipation	0.547
incite	հորդորել	anticipation	0.547
agape	agape	anticipation	0.547
morrow	վաղը	anticipation	0.547
abundance	առատություն	anticipation	0.547
delighted	ուրախացան	anticipation	0.547
resultant	արդյունքում	anticipation	0.547
hungry	սոված	anticipation	0.547
monetary	դրամ	anticipation	0.547
vote	քվեարկությունը	anticipation	0.547
glory	Փառք	anticipation	0.547
glimmer	շողշողուն	anticipation	0.547
apprehensive	անհանգստացած	anticipation	0.547
sorcery	կախարդություն	anticipation	0.547
bountiful	բարերար	anticipation	0.547
leisure	Ժամանց	anticipation	0.547
probability	հավանականությունը	anticipation	0.547
auction	աճուրդ	anticipation	0.539
hunting	որսորդություն	anticipation	0.539
contingent	զորակազմը	anticipation	0.539
hankering	hankering	anticipation	0.539
sensual	զգայական	anticipation	0.539
blessings	օրհնություններ	anticipation	0.539
ballot	քվեաթերթիկ	anticipation	0.539
grandchildren	թոռները	anticipation	0.539
entertainment	զվարճանք	anticipation	0.539
vindication	վիդինացիա	anticipation	0.539
worrying	մտահոգիչ	anticipation	0.539
tempest	շոգին	anticipation	0.539
inquiry	հարցումը	anticipation	0.539
merge	միաձուլում	anticipation	0.539
exceed	գերազանցում	anticipation	0.539
bounty	առատաձեռնություն	anticipation	0.539
glad	ուրախ	anticipation	0.536
magnificent	հոյակապ	anticipation	0.531
feat	feat	anticipation	0.531
stealthy	գաղտնի	anticipation	0.531
cheer	ուրախություն	anticipation	0.531
spirits	հոգիները	anticipation	0.531
visitor	այցելու	anticipation	0.531
appeal	բողոքարկումը	anticipation	0.531
forming	ձեւավորելով	anticipation	0.531
hurried	շտապեց	anticipation	0.531
responsive	պատասխանատու	anticipation	0.531
virginity	կախարդություն	anticipation	0.531
deliverance	ազատություն	anticipation	0.531
betrothed	զույգը	anticipation	0.531
overthrow	տապալել	anticipation	0.531
harbinger	հովանավոր	anticipation	0.531
raving	գայթակղություն	anticipation	0.531
celestial	սելեստիալ	anticipation	0.531
dread	սարսափ	anticipation	0.531
germination	բողբոջում	anticipation	0.523
preparatory	նախապատրաստական	anticipation	0.523
pleasant	հաճելի	anticipation	0.523
watch	ժամացույց	anticipation	0.523
prophet	մարգարեն	anticipation	0.523
prognostic	կանխարգելիչ	anticipation	0.523
haste	շտապեք	anticipation	0.523
planning	պլանավորում	anticipation	0.523
importance	կարեւորը	anticipation	0.523
radiance	պայծառություն	anticipation	0.523
prevail	գերակշռել	anticipation	0.523
cheery	ուրախություն	anticipation	0.523
competition	մրցակցություն	anticipation	0.523
ultimately	վերջապես	anticipation	0.523
revive	վերակենդանացնել	anticipation	0.523
beaming	ծեծկռտուք	anticipation	0.523
wait	սպասեք	anticipation	0.523
child	երեխա	anticipation	0.523
notification	ծանուցում	anticipation	0.523
hunter	որսորդ	anticipation	0.523
explosive	պայթուցիկ	anticipation	0.523
endanger	վտանգված է	anticipation	0.516
time	ժամը	anticipation	0.516
recreation	հանգիստ	anticipation	0.516
renovation	վերանորոգում	anticipation	0.516
precious	թանկագին	anticipation	0.516
begun	սկսվեց	anticipation	0.516
loom	Հանգստացեք	anticipation	0.516
compensate	փոխհատուցել	anticipation	0.516
treat	բուժել	anticipation	0.516
uncontrollable	անվերահսկելի	anticipation	0.516
present	ներկա	anticipation	0.516
salary	աշխատավարձ	anticipation	0.516
celebrity	Հայտնի մարդիկ	anticipation	0.516
owing	շնորհիվ	anticipation	0.516
chocolate	շոկոլադ	anticipation	0.516
caution	զգուշություն	anticipation	0.516
fermentation	խմորում	anticipation	0.516
sensuality	զգայունություն	anticipation	0.516
wilderness	անապատ	anticipation	0.508
signify	նշեք	anticipation	0.508
transitional	անցումային	anticipation	0.508
intermission	միջամտություն	anticipation	0.508
contemplation	մտածողություն	anticipation	0.508
vigilance	զգոնություն	anticipation	0.508
commemoration	հիշատակի արարողություն	anticipation	0.508
practise	պրակտիկան	anticipation	0.508
cue	հուշում	anticipation	0.508
infant	երեխա	anticipation	0.508
dreadful	սարսափելի	anticipation	0.508
perfection	կատարելություն	anticipation	0.508
elevation	բարձրությունը	anticipation	0.508
prerequisite	նախադրյալ	anticipation	0.508
cultivate	մշակել	anticipation	0.508
horizon	Հորիզոն	anticipation	0.508
develop	զարգացնել	anticipation	0.508
exigent	NO TRANSLATION	anticipation	0.508
swim	լողալ	anticipation	0.500
attendance	հաճախում	anticipation	0.500
nascent	ծնունդ	anticipation	0.500
favorable	բարենպաստ	anticipation	0.500
peril	վտանգը	anticipation	0.500
income	եկամուտ	anticipation	0.500
ardent	ջերմություն	anticipation	0.500
commemorate	հիշատակել	anticipation	0.500
doomsday	կեսօրին	anticipation	0.500
reconciliation	հաշտեցումը	anticipation	0.500
utopian	ուտոպյան	anticipation	0.500
romantic	ռոմանտիկ	anticipation	0.500
unbridled	անսասան	anticipation	0.500
sunny	արեւոտ	anticipation	0.500
uphill	վերեւ	anticipation	0.500
intuitively	ինտուիտիվ կերպով	anticipation	0.500
depart	հեռանալ	anticipation	0.500
eventuality	հնարավորությունը	anticipation	0.500
puppy	լակոտ	anticipation	0.500
zeal	նախանձախնդրություն	anticipation	0.500
sneaking	սողացող	anticipation	0.500
ready	պատրաստ է	anticipation	0.500
advocacy	քարոզչություն	anticipation	0.500
airport	օդանավակայան	anticipation	0.500
litigate	դատական ​​գործընթացը	anticipation	0.500
blindfold	կույր տեսք	anticipation	0.500
undisclosed	չբացահայտված	anticipation	0.500
young	երիտասարդ	anticipation	0.500
horoscope	հորոսկոպը	anticipation	0.500
invocation	հրավիրում	anticipation	0.500
calculation	հաշվարկ	anticipation	0.500
hero	հերոս	anticipation	0.500
court	դատարան	anticipation	0.492
repay	մարել	anticipation	0.492
improvise	իմպրովիզե	anticipation	0.492
parole	պայմանական վաղաժամկետ ազատում	anticipation	0.492
worry	անհանգստացեք	anticipation	0.492
inauguration	երդմնակալության արարողությունը	anticipation	0.492
gaping	բացթողում	anticipation	0.492
youth	երիտասարդություն	anticipation	0.492
bless	օրհնեք	anticipation	0.492
defense	պաշտպանություն	anticipation	0.492
heyday	ցրտահարություն	anticipation	0.492
consequent	հետեւաբար	anticipation	0.492
proceeding	շարունակել	anticipation	0.492
eventual	ի վերջո	anticipation	0.492
perspective	հեռանկարը	anticipation	0.492
restorative	վերականգնում	anticipation	0.492
undertaking	ձեռնարկություն	anticipation	0.492
highest	ամենաբարձրը	anticipation	0.491
duel	մենամարտ	anticipation	0.484
unexplained	աննկատ	anticipation	0.484
tremor	ցնցում	anticipation	0.484
sharpen	սուր	anticipation	0.484
generosity	առատաձեռնություն	anticipation	0.484
voluptuous	լարված	anticipation	0.484
shortly	կարճ ժամանակով	anticipation	0.484
vow	երդում	anticipation	0.484
contagion	աղտոտվածություն	anticipation	0.484
letter	նամակ	anticipation	0.484
happen	տեղի է ունենում	anticipation	0.484
threaten	սպառնում	anticipation	0.484
conjure	դավաճանություն	anticipation	0.484
sparkle	շողշողուն	anticipation	0.484
engulf	ձգել	anticipation	0.484
god	Աստված	anticipation	0.484
correspondence	նամակագրություն	anticipation	0.484
auspicious	բարեգործական	anticipation	0.484
princely	գահակալությամբ	anticipation	0.484
adore	սիրել	anticipation	0.477
enroll	գրանցում	anticipation	0.477
determinate	որոշում	anticipation	0.477
predispose	կանխատեսել	anticipation	0.477
clue	հուշում	anticipation	0.477
onset	սկիզբը	anticipation	0.477
powerful	հզոր	anticipation	0.477
glorify	փառաբանում	anticipation	0.477
glow	փայլը	anticipation	0.477
arbitration	միջնորդ դատարանի որոշում	anticipation	0.477
torture	խոշտանգում	anticipation	0.477
gravitate	գրավեց	anticipation	0.477
cherish	երգչախումբը	anticipation	0.477
contemplate	մտածել	anticipation	0.477
submit	ներկայացնել	anticipation	0.477
perilous	վտանգավոր	anticipation	0.477
unification	միավորում	anticipation	0.477
score	հաշիվը	anticipation	0.477
medal	մեդալ	anticipation	0.477
glide	սահում	anticipation	0.477
recipient	ստացողը	anticipation	0.477
accompaniment	ուղեկցությամբ	anticipation	0.477
praiseworthy	գովասանքի արժանի	anticipation	0.473
providing	ապահովելով	anticipation	0.469
motion	շարժումը	anticipation	0.469
fete	NO TRANSLATION	anticipation	0.469
cautious	զգույշ	anticipation	0.469
cash	դրամ	anticipation	0.469
precursor	նախորդը	anticipation	0.469
opera	օպերա	anticipation	0.469
elite	էլիտար	anticipation	0.469
pry	թ	anticipation	0.469
hire	վարձել	anticipation	0.469
sweets	Քաղցրավենիք	anticipation	0.469
star	աստղ	anticipation	0.469
unsurpassed	աննախադեպ	anticipation	0.469
successful	հաջող	anticipation	0.469
unknown	անհայտ	anticipation	0.469
immediately	անմիջապես	anticipation	0.469
starry	աստղային	anticipation	0.469
production	արտադրությունը	anticipation	0.469
football	ֆուտբոլ	anticipation	0.469
completion	ավարտում	anticipation	0.469
scare	վախեցնել	anticipation	0.469
invoke	կանչել	anticipation	0.469
shaky	անկայուն	anticipation	0.469
dawn	լուսաբաց	anticipation	0.469
creeping	սողացող	anticipation	0.469
cheerfulness	ուրախություն	anticipation	0.461
soundness	առողջություն	anticipation	0.461
mail	փոստով	anticipation	0.461
draft	նախագիծը	anticipation	0.461
preliminary	նախնական	anticipation	0.461
friendly	բարեկամ	anticipation	0.461
commemorative	հուշամեդալ	anticipation	0.461
extricate	ազատել	anticipation	0.461
alive	կենդանի	anticipation	0.461
untold	չբացահայտված	anticipation	0.461
overture	բացթողում	anticipation	0.461
excel	Excel- ը	anticipation	0.461
plight	վիճակը	anticipation	0.461
synchronize	համաժամեցեք	anticipation	0.461
punt	կետ	anticipation	0.461
sanctuary	սրբավայր	anticipation	0.461
brilliant	փայլուն	anticipation	0.461
pay	վճարել	anticipation	0.461
shining	փայլում	anticipation	0.461
regatta	ռեգատան	anticipation	0.461
testament	վկայություն	anticipation	0.461
jeopardy	վտանգը	anticipation	0.461
perpetuity	անժամկետ	anticipation	0.453
elegance	էլեգանտություն	anticipation	0.453
career	կարիերան	anticipation	0.453
basketball	բասկետբոլ	anticipation	0.453
intimately	սերտորեն	anticipation	0.453
renovate	վերանորոգել	anticipation	0.453
supremacy	գերակայություն	anticipation	0.453
infinity	անսահմանություն	anticipation	0.453
unexpected	անսպասելի	anticipation	0.453
flinch	շնչառություն	anticipation	0.453
complement	լրացնելով	anticipation	0.453
prologue	նախաբան	anticipation	0.453
compliment	NO TRANSLATION	anticipation	0.453
prevention	կանխարգելումը	anticipation	0.453
improve	բարելավելու համար	anticipation	0.453
sunset	արեւմուտք	anticipation	0.453
inaugural	անդրանիկ	anticipation	0.453
rehabilitation	վերականգնում	anticipation	0.453
fitting	տեղադրում	anticipation	0.445
surround	շրջապատը	anticipation	0.445
share	բաժին	anticipation	0.445
epidemic	համաճարակ	anticipation	0.445
sweet	քաղցր	anticipation	0.445
fain	NO TRANSLATION	anticipation	0.445
concealment	թաքցնում	anticipation	0.445
confidence	վստահություն	anticipation	0.445
perfect	կատարյալ	anticipation	0.445
sun	արեւը	anticipation	0.445
veracity	ճշմարտություն	anticipation	0.445
volunteer	կամավոր	anticipation	0.445
conjecture	ենթադրություն	anticipation	0.445
medical	բժշկական	anticipation	0.438
prepared	պատրաստված	anticipation	0.438
superstitious	սնահավատ	anticipation	0.438
reconstruction	վերակառուցում	anticipation	0.438
tickle	հուզիչ	anticipation	0.438
faith	հավատք	anticipation	0.438
passenger	ուղեւոր	anticipation	0.438
saint	Սուրբ	anticipation	0.438
respect	հարգանք	anticipation	0.438
rabid	խռովություն	anticipation	0.438
reconstruct	վերակառուցել	anticipation	0.438
recombination	recombination	anticipation	0.438
devout	դավաճան	anticipation	0.438
goodness	բարություն	anticipation	0.438
angel	հրեշտակ	anticipation	0.438
ferment	ֆերմենտ	anticipation	0.438
plea	խնդրեմ	anticipation	0.438
aloha	ալոհա	anticipation	0.438
serial	սերիալ	anticipation	0.438
conservation	պահպանումը	anticipation	0.438
serenity	հանգստություն	anticipation	0.430
tabulate	աղյուսակը	anticipation	0.430
install	տեղադրել	anticipation	0.430
labyrinth	լաբիրինթոսում	anticipation	0.430
venerable	հարգելի	anticipation	0.430
perpetuate	շարունակել	anticipation	0.430
strategist	ստրատեգ	anticipation	0.430
unverified	չհաստատված	anticipation	0.430
tribunal	տրիբունալ	anticipation	0.430
charitable	բարեգործական	anticipation	0.430
luscious	լուռ	anticipation	0.430
spa	սպա	anticipation	0.430
peace	խաղաղություն	anticipation	0.430
clap	ծաղրանկարը	anticipation	0.430
conspirator	դավադիրը	anticipation	0.422
forestall	նախազգուշացում	anticipation	0.422
patience	համբերություն	anticipation	0.422
oasis	օազիս	anticipation	0.422
grin	գաղտնիքը	anticipation	0.422
revere	զղջում	anticipation	0.422
worship	երկրպագել	anticipation	0.422
vista	վիստա	anticipation	0.422
laughter	ծիծաղ	anticipation	0.422
volatility	անկայունություն	anticipation	0.422
adrift	անպիտան	anticipation	0.422
candid	անկեղծ	anticipation	0.422
edification	հովանավորչություն	anticipation	0.422
unresolved	չլուծված	anticipation	0.422
peaceful	խաղաղություն	anticipation	0.422
recognizable	ճանաչելի	anticipation	0.422
calls	զանգեր	anticipation	0.414
weigh	կշռել	anticipation	0.414
probation	փորձաշրջան	anticipation	0.414
proficiency	հմտություն	anticipation	0.414
morn	ցերեկը	anticipation	0.414
craps	craps	anticipation	0.414
detainee	ձերբակալվածը	anticipation	0.414
mediate	միջնորդել	anticipation	0.414
continue	շարունակել	anticipation	0.414
astrologer	աստղագետ	anticipation	0.414
punctual	ուշացումով	anticipation	0.414
ordination	կարգավորումը	anticipation	0.414
pretty	գեղեցիկ	anticipation	0.414
thought	մտածեց	anticipation	0.414
grant	դրամաշնորհ	anticipation	0.414
withstand	դիմակայելու համար	anticipation	0.414
frisky	տխուր	anticipation	0.414
ongoing	ընթացիկ	anticipation	0.414
sing	երգում	anticipation	0.411
long	երկար	anticipation	0.406
confession	խոստովանություն	anticipation	0.406
headlight	լուսարձակող	anticipation	0.406
prophylactic	պրոֆիլակտիկ	anticipation	0.406
mother	մայրը	anticipation	0.406
debenture	պարտատոմսեր	anticipation	0.406
wizard	Wizard	anticipation	0.406
university	համալսարան	anticipation	0.406
proud	հպարտ	anticipation	0.406
midwife	մանկաբարձուհի	anticipation	0.406
banquet	բանկետ	anticipation	0.406
continuation	շարունակություն	anticipation	0.406
navigable	նավարկելի	anticipation	0.406
punished	պատժվում	anticipation	0.406
chicane	Չիկան	anticipation	0.406
comfort	հարմարավետություն	anticipation	0.406
opponent	հակառակորդին	anticipation	0.406
subscribe	բաժանորդագրվեք	anticipation	0.406
outdo	դուրս	anticipation	0.406
nurture	դաստիարակություն	anticipation	0.406
twinkle	ցրտահարություն	anticipation	0.406
deal	գործարք	anticipation	0.402
efficient	արդյունավետ	anticipation	0.398
representing	ներկայացնելով	anticipation	0.398
simmer	եփ գալ	anticipation	0.398
symphony	սիմֆոնիա	anticipation	0.398
judiciary	դատական ​​համակարգը	anticipation	0.398
obliging	պարտադիր	anticipation	0.398
saintly	սուրբ	anticipation	0.398
vigil	զգոնություն	anticipation	0.398
death	մահ	anticipation	0.398
distracting	շեղող	anticipation	0.398
mortification	սպանություն	anticipation	0.398
balm	բալասան	anticipation	0.398
guillotine	գիլյոտինը	anticipation	0.398
top	գագաթ	anticipation	0.398
lettered	գրված	anticipation	0.398
reliance	հուսալիություն	anticipation	0.398
poke	խառնել	anticipation	0.391
unfulfilled	չկատարված	anticipation	0.391
assurance	հավաստիացում	anticipation	0.391
condemnation	դատապարտում	anticipation	0.391
