word	Sinhala (Sinhalese)-si	emotion	emotion-intensity-score
fate	ඉරණම	anticipation	0.555
uneasiness	අසහනයයි	anticipation	0.555
speculative	සමපේක්ෂනීය	anticipation	0.555
changeable	වෙනස් වේ	anticipation	0.547
recreational	විනෝදය	anticipation	0.547
pray	යාච්ඤා කරන්න	anticipation	0.547
warn	අනතුරු අඟවයි	anticipation	0.547
suspicious	සැකයි	anticipation	0.547
convergence	අභිසරණය කිරීම	anticipation	0.547
incite	උසිගැන්වීමයි	anticipation	0.547
agape	ඇපටපේ	anticipation	0.547
morrow	මැරුණා	anticipation	0.547
abundance	බහුලත්වය	anticipation	0.547
delighted	සතුටුයි	anticipation	0.547
resultant	ප්රතිඵලයයි	anticipation	0.547
hungry	බඩගිනි	anticipation	0.547
monetary	මූල්ය	anticipation	0.547
vote	ඡන්දය	anticipation	0.547
glory	මහිමය	anticipation	0.547
glimmer	අඳුරේ	anticipation	0.547
apprehensive	භීතියයි	anticipation	0.547
sorcery	මැරයෝ ය	anticipation	0.547
bountiful	සරු සාරධර්මයකි	anticipation	0.547
leisure	විවේකය	anticipation	0.547
probability	සම්භාවිතාව	anticipation	0.547
auction	වෙන්දේසිය	anticipation	0.539
hunting	දඞයම	anticipation	0.539
contingent	බලසම්පන්නය	anticipation	0.539
hankering	දුකයි	anticipation	0.539
sensual	සංවේදීයි	anticipation	0.539
blessings	ආශීර්වාද	anticipation	0.539
ballot	ඡන්ද පත්රිකාවයි	anticipation	0.539
grandchildren	මිණිබිරියන්	anticipation	0.539
entertainment	විනෝදය	anticipation	0.539
vindication	සනාථනයකි	anticipation	0.539
worrying	කණස්සල්ලෙනි	anticipation	0.539
tempest	කුණාටුවකි	anticipation	0.539
inquiry	පරීක්ෂණයක්	anticipation	0.539
merge	ඒකාබද්ධ කිරීම	anticipation	0.539
exceed	ඉක්මවයි	anticipation	0.539
bounty	දායාදයකි	anticipation	0.539
glad	සතුටුයි	anticipation	0.536
magnificent	විශිෂ්ටයි	anticipation	0.531
feat	ජය	anticipation	0.531
stealthy	කැතයි	anticipation	0.531
cheer	සතුටුයි	anticipation	0.531
spirits	ස්ප්රීතු	anticipation	0.531
visitor	ආගන්තුකය	anticipation	0.531
appeal	ආයාචනයකි	anticipation	0.531
forming	සෑදී ඇත	anticipation	0.531
hurried	ඉක්මන් විය	anticipation	0.531
responsive	ප්රතිචාර දැක්විය හැකිය	anticipation	0.531
virginity	කන්යාවකි	anticipation	0.531
deliverance	ගළවාගැනීමයි	anticipation	0.531
betrothed	බිරූ	anticipation	0.531
overthrow	පෙරලා දමනු ඇත	anticipation	0.531
harbinger	වැලැක්විය	anticipation	0.531
raving	හිසරදයකි	anticipation	0.531
celestial	ආකාශ වස්තුවකි	anticipation	0.531
dread	බියෙන්	anticipation	0.531
germination	ප්රරෝහණය	anticipation	0.523
preparatory	සූදානම්	anticipation	0.523
pleasant	ප්රසන්නයි	anticipation	0.523
watch	ඔරලෝසුවයි	anticipation	0.523
prophet	අනාගතවක්තෘ	anticipation	0.523
prognostic	අනාවැකි	anticipation	0.523
haste	ඉක්මන් කරන්න	anticipation	0.523
planning	සැලසුම්	anticipation	0.523
importance	වැදගත්කම	anticipation	0.523
radiance	සිනහව	anticipation	0.523
prevail	වාසිදායකයි	anticipation	0.523
cheery	සතුටුයි	anticipation	0.523
competition	තරඟ	anticipation	0.523
ultimately	අවසානයේ	anticipation	0.523
revive	පුනර්ජීවනය කරයි	anticipation	0.523
beaming	රමණීයයි	anticipation	0.523
wait	බලා සිටින්න	anticipation	0.523
child	ළමා	anticipation	0.523
notification	දැනුම්දීම	anticipation	0.523
hunter	දඩයක්කාරයෙක්	anticipation	0.523
explosive	පුපුරන සුළුය	anticipation	0.523
endanger	අනතුරුදායකයි	anticipation	0.516
time	කාලය	anticipation	0.516
recreation	විනෝදය	anticipation	0.516
renovation	ප්රතිසංස්කරණය කිරීම	anticipation	0.516
precious	වටිනා	anticipation	0.516
begun	ආරම්භ විය	anticipation	0.516
loom	ලෝහමය	anticipation	0.516
compensate	වන්දි ගෙවන්න	anticipation	0.516
treat	සලකන්න	anticipation	0.516
uncontrollable	පාලනයකින් තොරව විය හැක	anticipation	0.516
present	වත්මන්	anticipation	0.516
salary	වැටුප	anticipation	0.516
celebrity	කීර්තිමත් පුද්ගලයෙක්	anticipation	0.516
owing	වීම නිසාය	anticipation	0.516
chocolate	චොකලට්	anticipation	0.516
caution	අවවාදයයි	anticipation	0.516
fermentation	පැසවීම	anticipation	0.516
sensuality	හැඟීමක්	anticipation	0.516
wilderness	පාළුකරයේ	anticipation	0.508
signify	සලකුනු කරයි	anticipation	0.508
transitional	සංක්රමනීය වේ	anticipation	0.508
intermission	මැදිහත්වීම	anticipation	0.508
contemplation	සිතුවිල්ලකි	anticipation	0.508
vigilance	සුපරීක්ෂාකාරී වන්න	anticipation	0.508
commemoration	අනුස්මරනයයි	anticipation	0.508
practise	පුරුද්දකි	anticipation	0.508
cue	හිසරදයකි	anticipation	0.508
infant	ළදරුවා	anticipation	0.508
dreadful	භයංකරයි	anticipation	0.508
perfection	පරිපූර්ණත්වය	anticipation	0.508
elevation	උන්නතාංශය	anticipation	0.508
prerequisite	පූර්වාවශ්යතාවයකි	anticipation	0.508
cultivate	වගා කරන්න	anticipation	0.508
horizon	ක්ෂිතිජයක්	anticipation	0.508
develop	වර්ධනය වේ	anticipation	0.508
exigent	NO TRANSLATION	anticipation	0.508
swim	පිහිනන්න	anticipation	0.500
attendance	පැමිණීම	anticipation	0.500
nascent	ආවේගයකි	anticipation	0.500
favorable	හිතකරයි	anticipation	0.500
peril	අනතුරක්	anticipation	0.500
income	ආදායම්	anticipation	0.500
ardent	උද්යෝගිමත් ය	anticipation	0.500
commemorate	සැමරීමයි	anticipation	0.500
doomsday	මරණ දඬුවම	anticipation	0.500
reconciliation	ප්රතිසන්ධානය	anticipation	0.500
utopian	යුතෝපියාවකි	anticipation	0.500
romantic	ආදර හැඟීමක්	anticipation	0.500
unbridled	අසීමිතයි	anticipation	0.500
sunny	හිරු	anticipation	0.500
uphill	උඩුගාව	anticipation	0.500
intuitively	හිනාවුනා	anticipation	0.500
depart	පිටත් වෙනවා	anticipation	0.500
eventuality	අන්තිමේදී	anticipation	0.500
puppy	පැටියෙක්	anticipation	0.500
zeal	ජ්වලිතය	anticipation	0.500
sneaking	අනාරක්ෂිතයි	anticipation	0.500
ready	සූදානම්	anticipation	0.500
advocacy	වෙනුවෙන් පෙනී සිටියේය	anticipation	0.500
airport	ගුවන් තොටුපොළ	anticipation	0.500
litigate	නඩු පවරයි	anticipation	0.500
blindfold	අන්ධයි	anticipation	0.500
undisclosed	හෙලිදරව් නොකරයි	anticipation	0.500
young	තරුණ	anticipation	0.500
horoscope	හඳහන	anticipation	0.500
invocation	යාදින්න	anticipation	0.500
calculation	ගණනය කිරීමකි	anticipation	0.500
hero	වීරයා	anticipation	0.500
court	අධිකරණය	anticipation	0.492
repay	ආපසු ගෙවනු ලැබේ	anticipation	0.492
improvise	improvise	anticipation	0.492
parole	සමාකාලය	anticipation	0.492
worry	කනස්සල්ලට	anticipation	0.492
inauguration	සමාරම්භක උත්සවය	anticipation	0.492
gaping	විශාලයි	anticipation	0.492
youth	තරුණ	anticipation	0.492
bless	ආශීර්වාදයක්	anticipation	0.492
defense	ආරක්ෂක	anticipation	0.492
heyday	සශ්රීකත්වයයි	anticipation	0.492
consequent	ප්රතිඵලයයි	anticipation	0.492
proceeding	ක්රියා පටිපාටියයි	anticipation	0.492
eventual	අවසානයේ	anticipation	0.492
perspective	ඉදිරිදර්ශනයකි	anticipation	0.492
restorative	ප්රතිස්ථාපනය	anticipation	0.492
undertaking	කරන්න	anticipation	0.492
highest	ඉහළම	anticipation	0.491
duel	දෙවැන්නයි	anticipation	0.484
unexplained	පැහැදිලි කර නොමැත	anticipation	0.484
tremor	භූතයා	anticipation	0.484
sharpen	තියුනු කිරීම	anticipation	0.484
generosity	ත්යාගශීලීත්වය	anticipation	0.484
voluptuous	ප්රතාපවත් ය	anticipation	0.484
shortly	කෙටියෙන්	anticipation	0.484
vow	බාරයක්	anticipation	0.484
contagion	වසංගතය	anticipation	0.484
letter	ලිපිය	anticipation	0.484
happen	සිදුවනු ඇත	anticipation	0.484
threaten	තර්ජනය	anticipation	0.484
conjure	ව්යාජය	anticipation	0.484
sparkle	සුදුමැලි	anticipation	0.484
engulf	ගොතනු ඇත	anticipation	0.484
god	දෙවි	anticipation	0.484
correspondence	ලිපි ලේඛන	anticipation	0.484
auspicious	නැකත	anticipation	0.484
princely	කිට්ටු	anticipation	0.484
adore	ආදරණීයයි	anticipation	0.477
enroll	ලියාපදිංචි වන්න	anticipation	0.477
determinate	තීරනයකි	anticipation	0.477
predispose	නැඹුරුතාවයක්	anticipation	0.477
clue	කතාවයි	anticipation	0.477
onset	ආරම්භයයි	anticipation	0.477
powerful	බලවත්	anticipation	0.477
glorify	මහිමයට පත්	anticipation	0.477
glow	අඳුරුය	anticipation	0.477
arbitration	බේරුම්කරණය	anticipation	0.477
torture	වධහිංසා පැමිණවීම	anticipation	0.477
gravitate	ගුරුත්වජ	anticipation	0.477
cherish	ආදරයෙන් රැකබලා ගන්න	anticipation	0.477
contemplate	සිතා බලන්න	anticipation	0.477
submit	ඉදිරිපත් කරන්න	anticipation	0.477
perilous	අනතුරුදායක විය	anticipation	0.477
unification	එක්සත් කිරීමයි	anticipation	0.477
score	ලකුණු	anticipation	0.477
medal	පදක්කම්	anticipation	0.477
glide	ග්ලයිඩිං	anticipation	0.477
recipient	ලබන්නෝ ය	anticipation	0.477
accompaniment	සහායකයා	anticipation	0.477
praiseworthy	ප්රශංසනීයයි	anticipation	0.473
providing	සපයමින්	anticipation	0.469
motion	චලනය	anticipation	0.469
fete	NO TRANSLATION	anticipation	0.469
cautious	ප්රවේශමෙන්	anticipation	0.469
cash	මුදල්	anticipation	0.469
precursor	පූර්වගාමීය	anticipation	0.469
opera	ඔපෙරා	anticipation	0.469
elite	ප්රභූව	anticipation	0.469
pry	කුරුල්ලා	anticipation	0.469
hire	කුලියට ගන්න	anticipation	0.469
sweets	රසකැවිලි	anticipation	0.469
star	තරුව	anticipation	0.469
unsurpassed	නොසැළී ඇත	anticipation	0.469
successful	සාර්ථක	anticipation	0.469
unknown	නොදන්නා	anticipation	0.469
immediately	වහාම	anticipation	0.469
starry	තාරකාව	anticipation	0.469
production	නිෂ්පාදනය	anticipation	0.469
football	පාපන්දු	anticipation	0.469
completion	සම්පූර්ණවීම	anticipation	0.469
scare	බයවෙලා	anticipation	0.469
invoke	ආයාචනා කරයි	anticipation	0.469
shaky	අස්ථිරයි	anticipation	0.469
dawn	අලුයම	anticipation	0.469
creeping	බල්ලෝ	anticipation	0.469
cheerfulness	හිනාවුනා	anticipation	0.461
soundness	ශක්තිමත් බවකි	anticipation	0.461
mail	තැපැල	anticipation	0.461
draft	කෙටුම්පත	anticipation	0.461
preliminary	මුලික වශයෙන්	anticipation	0.461
friendly	මිත්රශීලීයි	anticipation	0.461
commemorative	සමරු උත්සවයක්	anticipation	0.461
extricate	ගැලවීමය	anticipation	0.461
alive	ජීවත් වෙනවා	anticipation	0.461
untold	නිමක් නැත	anticipation	0.461
overture	උච්චාවචනය	anticipation	0.461
excel	විශිෂ්ටයි	anticipation	0.461
plight	අවාසනාවන්ත තත්වයයි	anticipation	0.461
synchronize	සමමුහුර්ත කරන්න	anticipation	0.461
punt	පන්ට්	anticipation	0.461
sanctuary	අභය භූමියක්	anticipation	0.461
brilliant	දක්ෂයි	anticipation	0.461
pay	ගෙවන්න	anticipation	0.461
shining	බැබළෙන්න	anticipation	0.461
regatta	රෙගාතා	anticipation	0.461
testament	සාක්ෂියක්	anticipation	0.461
jeopardy	අනතුරුදායක විය	anticipation	0.461
perpetuity	සදාතනිකයි	anticipation	0.453
elegance	අලංකාරය	anticipation	0.453
career	වෘත්තිය	anticipation	0.453
basketball	පැසිපන්දු	anticipation	0.453
intimately	සමීපව කටයුතු කරයි	anticipation	0.453
renovate	ප්රතිසංස්කරණය කිරීම	anticipation	0.453
supremacy	ආධිපත්යය	anticipation	0.453
infinity	අනන්තය	anticipation	0.453
unexpected	නොසිතූ	anticipation	0.453
flinch	ඉවරයි	anticipation	0.453
complement	අනුපූරකය වේ	anticipation	0.453
prologue	ප්රොලය	anticipation	0.453
compliment	NO TRANSLATION	anticipation	0.453
prevention	වැළැක්වීම	anticipation	0.453
improve	වැඩි දියුණු කරන්න	anticipation	0.453
sunset	හිරු බැස යෑමයි	anticipation	0.453
inaugural	සමාරම්භක වේ	anticipation	0.453
rehabilitation	පුනරුත්ථාපන	anticipation	0.453
fitting	සුදුසුය	anticipation	0.445
surround	වටකර ඇත	anticipation	0.445
share	බෙදාගන්න	anticipation	0.445
epidemic	වසංගතයකි	anticipation	0.445
sweet	මිහිරි	anticipation	0.445
fain	NO TRANSLATION	anticipation	0.445
concealment	සැඟවීමයි	anticipation	0.445
confidence	විශ්වාසය	anticipation	0.445
perfect	පරිපූර්ණ	anticipation	0.445
sun	හිරු	anticipation	0.445
veracity	සත්යතාවයකි	anticipation	0.445
volunteer	ස්වේච්ඡාවෙන්	anticipation	0.445
conjecture	අනුමානය	anticipation	0.445
medical	වෛද්ය	anticipation	0.438
prepared	සූදානම්	anticipation	0.438
superstitious	මිථ්යා විශ්වාසයකි	anticipation	0.438
reconstruction	ප්රතිසංස්කරණයකි	anticipation	0.438
tickle	ටික්	anticipation	0.438
faith	විශ්වාසය	anticipation	0.438
passenger	මගී	anticipation	0.438
saint	සාන්තුවරයා	anticipation	0.438
respect	ගෞරවය	anticipation	0.438
rabid	බය වෙලා	anticipation	0.438
reconstruct	ප්රතිසංස්කරණය කිරීම	anticipation	0.438
recombination	ප්රතිවර්තනය කිරීම	anticipation	0.438
devout	ඇදහිලිවන්තයෙකි	anticipation	0.438
goodness	යහපත්කම	anticipation	0.438
angel	දේවදූතයෙක්	anticipation	0.438
ferment	පැසෙමින් පවතී	anticipation	0.438
plea	ආයාචනා කරයි	anticipation	0.438
aloha	ආලෝහා	anticipation	0.438
serial	අනුක්රමික	anticipation	0.438
conservation	සංරක්ෂණ	anticipation	0.438
serenity	සුන්දරත්වය	anticipation	0.430
tabulate	වගුව බලන්න	anticipation	0.430
install	ස්ථාපනය කරන්න	anticipation	0.430
labyrinth	ව්යාකුල	anticipation	0.430
venerable	පූජ්ය	anticipation	0.430
perpetuate	කැපවෙනවා	anticipation	0.430
strategist	මූලෝපායඥයා	anticipation	0.430
unverified	තහවුරු නොකළේය	anticipation	0.430
tribunal	විනිශ්චය සභාවයි	anticipation	0.430
charitable	පුණ්යායතන	anticipation	0.430
luscious	පුදුමාකාරයි	anticipation	0.430
spa	ස්පා	anticipation	0.430
peace	සාම	anticipation	0.430
clap	ක්ලිප්	anticipation	0.430
conspirator	කුමන්ත්රණකරුවෙකි	anticipation	0.422
forestall	නරකයි	anticipation	0.422
patience	ඉවසීම	anticipation	0.422
oasis	ඔසාස්	anticipation	0.422
grin	ගිහින්	anticipation	0.422
revere	ආමෙන්	anticipation	0.422
worship	නමස්කාරය	anticipation	0.422
vista	විවේචනයයි	anticipation	0.422
laughter	සිනහව	anticipation	0.422
volatility	විචලනය	anticipation	0.422
adrift	වාඩිවී සිටිති	anticipation	0.422
candid	අවංකයි	anticipation	0.422
edification	උන්නතියයි	anticipation	0.422
unresolved	නොවිසඳී තිබේ	anticipation	0.422
peaceful	සාමකාමී	anticipation	0.422
recognizable	හඳුනාගත හැකිය	anticipation	0.422
calls	ඇමතුම්	anticipation	0.414
weigh	බරයි	anticipation	0.414
probation	පරිවාස	anticipation	0.414
proficiency	ප්රවීණතාවය	anticipation	0.414
morn	උදේට	anticipation	0.414
craps	ක්රැප්ස්	anticipation	0.414
detainee	රැඳවියන්	anticipation	0.414
mediate	මැදිහත් වෙන්න	anticipation	0.414
continue	ඉදිරියට යන්න	anticipation	0.414
astrologer	නක්ෂියර්	anticipation	0.414
punctual	නිසි කලට වේලාවට	anticipation	0.414
ordination	සම්බන්ධීකරණය කිරීම	anticipation	0.414
pretty	ලස්සනයි	anticipation	0.414
thought	කල්පනා කළා	anticipation	0.414
grant	දීමනාවකි	anticipation	0.414
withstand	ඔරොත්තු දෙන්න	anticipation	0.414
frisky	පිස්සු	anticipation	0.414
ongoing	සිදුවෙමින් පවතී	anticipation	0.414
sing	ගායනා කරන්න	anticipation	0.411
long	දිගු	anticipation	0.406
confession	පාපොච්චාරණයකි	anticipation	0.406
headlight	විදුලි පහන්	anticipation	0.406
prophylactic	ෙරෝගකාරක	anticipation	0.406
mother	මව	anticipation	0.406
debenture	ණයකර	anticipation	0.406
wizard	විශාරදයා	anticipation	0.406
university	විශ්ව විද්යාලය	anticipation	0.406
proud	ආඩම්බරයි	anticipation	0.406
midwife	වින්නඹු මාතාවකි	anticipation	0.406
banquet	භෝජන සංග්රහය	anticipation	0.406
continuation	අඛණ්ඩව	anticipation	0.406
navigable	යාත්රාව	anticipation	0.406
punished	දඬුවම් ලැබුවා	anticipation	0.406
chicane	චිකන්	anticipation	0.406
comfort	සුවපහසුයි	anticipation	0.406
opponent	ප්රතිවාදියා	anticipation	0.406
subscribe	දායක වෙන්න	anticipation	0.406
outdo	අභිබවා යනවා	anticipation	0.406
nurture	පෝෂණය කරන්න	anticipation	0.406
twinkle	අන්ධකාරය	anticipation	0.406
deal	ගනුදෙනුවක්	anticipation	0.402
efficient	කාර්යක්ෂම	anticipation	0.398
representing	නියෝජනය කරයි	anticipation	0.398
simmer	හිරිවැටෙයි	anticipation	0.398
symphony	වාද්ය වෘන්දය	anticipation	0.398
judiciary	අධිකරණයයි	anticipation	0.398
obliging	යුතුකමකි	anticipation	0.398
saintly	ශාන්තුවරයයි	anticipation	0.398
vigil	විපරීතයි	anticipation	0.398
death	මරණ	anticipation	0.398
distracting	විවේචනාත්මක ය	anticipation	0.398
mortification	මෝඩවීම	anticipation	0.398
balm	බාම්	anticipation	0.398
guillotine	ගිලෝටීන්	anticipation	0.398
top	ඉහල	anticipation	0.398
lettered	ලිපියක්	anticipation	0.398
reliance	රඳා පවතියි	anticipation	0.398
poke	නටනවා	anticipation	0.391
unfulfilled	අසම්පූර්ණයි	anticipation	0.391
assurance	සහතිකයක්	anticipation	0.391
condemnation	හෙළා දකිනවා	anticipation	0.391
undoubted	නිසැක ය	anticipation	0.391
diplomacy	රාජ්ය තාන්ති්රකභාවයයි	anticipation	0.391
familiarity	සුහදතාව	anticipation	0.391
antidote	විෂබීජ නාශකයකි	anticipation	0.391
chuckle	හකීම්	anticipation	0.391
objective	අරමුණ	anticipation	0.391
maternal	මාතෘමය	anticipation	0.391
abeyance	නොසලකා හැරීමකි	anticipation	0.391
art	කලාව	anticipation	0.391
linger	ඉතින්	anticipation	0.391
trust	විශ්වාසය	anticipation	0.391
depraved	දෝෂාරෝපණය කර ඇත	anticipation	0.391
sanctify	කැපවෙනවා	anticipation	0.391
inoculation	ආක්රමණිකයන්	anticipation	0.384
chant	ගායනා කරනවා	anticipation	0.383
banger	බෑන්ගර්	anticipation	0.383
playground	ක්රීඩා පිටිය	anticipation	0.383
failing	අසමත් වේ	anticipation	0.383
ship	නැව	anticipation	0.383
hymn	ගීය	anticipation	0.383
simplify	සරළයි	anticipation	0.383
ram	RAM	anticipation	0.383
labor	කම්කරු	anticipation	0.383
discretion	අභිමතය පරිදි	anticipation	0.383
hap	NO TRANSLATION	anticipation	0.383
good	යහපත	anticipation	0.383
scientist	විද්යාඥයෙක්	anticipation	0.383
undecided	අනිශ්චිතයි	anticipation	0.383
humanitarian	මානුෂිකවයි	anticipation	0.383
depend	රඳා පවතී	anticipation	0.383
dutiful	හිතවත්	anticipation	0.383
clock	ඔරලෝසුව	anticipation	0.375
sterling	ස්ටර්ලිං	anticipation	0.375
mountain	කන්දයි	anticipation	0.375
savor	රසවිඳිනවා	anticipation	0.375
recurrent	පුනරාවර්තන වියදම්	anticipation	0.375
interim	අන්තර් කාලීන	anticipation	0.375
navigator	සැරිසරන්න	anticipation	0.375
gradual	ක්රම ක්රමයෙන්	anticipation	0.375
interminable	අමරණීයයි	anticipation	0.375
track	ධාවන පථය	anticipation	0.375
public	පොදු	anticipation	0.375
cradle	තොටිල්ල	anticipation	0.375
concealed	සැඟවී තිබේ	anticipation	0.367
lesson	පාඩම	anticipation	0.367
instructions	උපදෙස්	anticipation	0.367
shiver	අඬන්න	anticipation	0.367
musical	සංගීත	anticipation	0.367
towering	නැගිටීමයි	anticipation	0.367
whim	කතාව	anticipation	0.367
spear	හෙල්ලය	anticipation	0.367
convince	ඒත්තු ගැන්වීමට	anticipation	0.367
sonar	සෝනාර්	anticipation	0.367
abide	නොසිටිනු ඇත	anticipation	0.367
biennial	ද්විවාර්ෂිකයි	anticipation	0.367
theology	දේවවේදය	anticipation	0.359
offset	සන්සන්දනය කිරීමකි	anticipation	0.359
atone	බැස්සා	anticipation	0.359
timidity	රුදාව	anticipation	0.359
theory	න්යාය	anticipation	0.359
undying	නොරිස්සුයි	anticipation	0.359
plump	මහත	anticipation	0.359
audience	ප්රේක්ෂක පිරිසක්	anticipation	0.357
nobility	වංශ කතාවයි	anticipation	0.352
paragon	පාරාදීසය	anticipation	0.352
dietary	ආහාර වේලට	anticipation	0.352
closure	වසා දැමීමයි	anticipation	0.352
store	ගබඩාවකි	anticipation	0.352
localize	ස්ථානගත කරන්න	anticipation	0.352
cramp	මස්පිඬු	anticipation	0.352
daily	දිනපතා	anticipation	0.352
kindred	නෑදෑයෙකි	anticipation	0.352
farm	ගොවිපල	anticipation	0.352
edition	සංස්කරනය	anticipation	0.352
consecration	කැපවීම	anticipation	0.352
archaeology	පුරාවිද්යාව	anticipation	0.344
mobile	ජංගම දුරකථන	anticipation	0.344
errand	පිටවීම	anticipation	0.344
wireless	රැහැන් රහිත	anticipation	0.344
mutable	වෙනස් විය හැක	anticipation	0.344
meditate	මෙනෙහි කරන්න	anticipation	0.344
stripped	පැහැර ගන්නවා	anticipation	0.344
lessen	අඩු වේ	anticipation	0.336
unaccountable	නොසෑහෙනු ඇත	anticipation	0.336
pare	NO TRANSLATION	anticipation	0.336
brotherly	සහෝදර සහෝදරියන්	anticipation	0.336
buddy	මිනිහෙක්	anticipation	0.336
unbeaten	නොදැවී ලකුණු	anticipation	0.336
germ	විෂබීජ	anticipation	0.336
dove	පරෙවියා	anticipation	0.328
digress	ඩිගස්	anticipation	0.328
ribbon	රිබන්	anticipation	0.328
olfactory	සුවඳවත් විය	anticipation	0.328
patient	රෝගියා	anticipation	0.328
council	සභා	anticipation	0.328
possess	සතුටුයි	anticipation	0.328
secular	අනාගමික	anticipation	0.328
chastity	නිර්මලකමකි	anticipation	0.328
disposed	බැහැර කරයි	anticipation	0.320
regularity	නිත්යතාවයි	anticipation	0.320
mediator	මැදිහත්කරු	anticipation	0.320
scrutinize	සොයා බලන්න	anticipation	0.320
fancy	සුන්දරයි	anticipation	0.320
immature	අපරිණත නොවේ	anticipation	0.320
infanticide	ළදරුවන්	anticipation	0.320
heft	යෝධයෙකි	anticipation	0.320
preservative	සංරක්ෂණය	anticipation	0.320
paddle	පෑස්සුම්	anticipation	0.320
cove	වැවේ	anticipation	0.320
denying	ප්රතික්ෂේප කරනවා	anticipation	0.312
bugle	බෝලයක්	anticipation	0.312
unpublished	අප්රකාශිත නොවේ	anticipation	0.312
analyst	විශ්ලේෂකයෙකි	anticipation	0.312
grim	අඳුරේ	anticipation	0.312
church	පල්ලිය	anticipation	0.312
priesthood	පූජක තන්ත්රයයි	anticipation	0.305
mill	මෝල	anticipation	0.305
judicial	අධිකරණ	anticipation	0.305
broadside	පැතිර තිබේ	anticipation	0.305
tributary	අතු ගංගාවකි	anticipation	0.297
cap	කැප්	anticipation	0.297
thermocouple	තාප කල්පයක්	anticipation	0.297
dismay	අවාසනාවන්ත ලෙසය	anticipation	0.297
instructor	උපදේශකයෙක්	anticipation	0.297
saliva	සලාය	anticipation	0.297
exhaustion	වෙහෙසකර ගතිමි	anticipation	0.297
bruise	තැළුම	anticipation	0.289
wont	NO TRANSLATION	anticipation	0.289
homeless	නිවාස නැති	anticipation	0.289
visor	වීසර්	anticipation	0.289
discreet	NO TRANSLATION	anticipation	0.289
network	ජාල	anticipation	0.289
shackle	විලංගුවේ	anticipation	0.289
addresses	ලිපිනයන් වේ	anticipation	0.289
noncompliance	නොගැලපීම	anticipation	0.289
cataract	සුද	anticipation	0.289
skewed	කඩා වැටේ	anticipation	0.281
astronomer	තාරකා විද්යාඥයා	anticipation	0.281
neighbor	අසල්වැසියා	anticipation	0.281
holiness	ශුද්ධකම	anticipation	0.273
devil	යක්ෂයා	anticipation	0.273
cream	කීම්	anticipation	0.273
picket	පිකට් කිරීම	anticipation	0.273
latent	සීතලයි	anticipation	0.273
immaturity	අගතීන්ටයි	anticipation	0.273
sentence	වාක්යය	anticipation	0.273
neighborhood	අසල්වාසී	anticipation	0.266
morals	සදාචාරය	anticipation	0.266
lull	නරකයි	anticipation	0.266
habitual	පුරුද්දක්	anticipation	0.266
weight	බරයි	anticipation	0.258
bye	බයි	anticipation	0.258
forearm	පල්ලිය	anticipation	0.250
clown	ක්ලෝන්	anticipation	0.250
organ	ඉන්ද්රියය	anticipation	0.250
quote	උපුටා දක්වයි	anticipation	0.242
commonplace	පොදු තැනක්	anticipation	0.242
dictatorship	ආඥාදායකත්වය	anticipation	0.234
board	මණ්ඩලය	anticipation	0.234
white	සුදු	anticipation	0.234
treadmill	ට්රෙඩ්මිල්	anticipation	0.234
rail	දුම්රිය	anticipation	0.234
sundial	සූර්යයා	anticipation	0.227
tree	ගස	anticipation	0.227
paralysis	අංශභාගය	anticipation	0.211
worm	පණුවා	anticipation	0.203
organization	ආයතනය	anticipation	0.203
cement	සිමෙන්ති	anticipation	0.203
lagging	පසුගාමීයි	anticipation	0.180
neutral	මධ්යස්ථය	anticipation	0.148
cannibalism	කන්නෙවත් නැහැ	disgust	0.953
mutilation	විරල කිරීම	disgust	0.930
molestation	ලිංගික අතවර කිරීම	disgust	0.914
incest	ව්යහිවරයකි	disgust	0.914
gonorrhea	ගොනෝරියා	disgust	0.906
rape	දූෂණය කිරීම	disgust	0.906
cannibal	කන්නෙ	disgust	0.898
rot	කුණු	disgust	0.891
corpse	මළ සිරුර	disgust	0.883
massacre	සමූලඝාතනය	disgust	0.883
excrement	කුහුඹුවන්	disgust	0.883
slaughter	ජනඝාතනය	disgust	0.875
barf	බාර්එෆ්	disgust	0.875
slaughterhouse	සත්ව ඝාතකාගාරය	disgust	0.867
rancid	පැටෑණි	disgust	0.859
sewerage	මලාපවහන	disgust	0.859
incestuous	ව්යාකූලත්වය	disgust	0.859
filth	අපවිත්ර ය	disgust	0.859
bigot	බල්ලෝ	disgust	0.859
infestation	උවදුරයි	disgust	0.852
plague	වසංගතය	disgust	0.852
bloodthirsty	ලේ පිපාසිත	disgust	0.852
holocaust	හොලොකෝස්ටය	disgust	0.852
rotting	කුණුවී යයි	disgust	0.844
maggot	මැග්නීටය	disgust	0.844
feces	මුහුණු	disgust	0.844
fecal	නිස්සාරණය	disgust	0.844
murder	ඝාතනය කිරීම	disgust	0.839
infanticide	ළදරුවන්	disgust	0.836
homicide	මිනීමැරුමකට	disgust	0.836
asshole	බූරුවා	disgust	0.836
enslaved	වහල්කමට පත්විය	disgust	0.836
gore	ගෝර්	disgust	0.828
perverted	විකාරයකි	disgust	0.828
torture	වධහිංසා පැමිණවීම	disgust	0.828
slaughtering	මැරුවෝය	disgust	0.828
excretion	වමනය	disgust	0.828
contaminate	අපිරිසිදු ය	disgust	0.821
murderer	මිනීමරුවා	disgust	0.820
gory	කයිවාරු	disgust	0.820
