word	Azeerbaijani-az	emotion	emotion-intensity-score
consecration	təqdis	anticipation	0.352
archaeology	arxeologiya	anticipation	0.344
mobile	mobil	anticipation	0.344
errand	errand	anticipation	0.344
wireless	simsiz	anticipation	0.344
mutable	dəyişə bilər	anticipation	0.344
meditate	düşünün	anticipation	0.344
stripped	soyundu	anticipation	0.344
lessen	azaldın	anticipation	0.336
unaccountable	etibarsızdır	anticipation	0.336
pare	NO TRANSLATION	anticipation	0.336
brotherly	qardaşlıqla	anticipation	0.336
buddy	dostum	anticipation	0.336
unbeaten	yenilməz	anticipation	0.336
germ	mikrob	anticipation	0.336
dove	göyərçin	anticipation	0.328
digress	imtina etmək	anticipation	0.328
ribbon	lent	anticipation	0.328
olfactory	kofe	anticipation	0.328
patient	xəstə	anticipation	0.328
council	məclis	anticipation	0.328
possess	malikdirlər	anticipation	0.328
secular	dünyəvi	anticipation	0.328
chastity	xəyanət	anticipation	0.328
disposed	qaçırdılar	anticipation	0.320
regularity	müntəzəm	anticipation	0.320
mediator	vasitəçi	anticipation	0.320
scrutinize	gözdən keçirin	anticipation	0.320
fancy	xülya	anticipation	0.320
immature	yetişməmiş	anticipation	0.320
infanticide	infanticide	anticipation	0.320
heft	heft	anticipation	0.320
preservative	qoruyucu	anticipation	0.320
paddle	külək	anticipation	0.320
cove	Koyun	anticipation	0.320
denying	inkar edir	anticipation	0.312
bugle	ağcaqanad	anticipation	0.312
unpublished	yayınlanmamış	anticipation	0.312
analyst	analitik	anticipation	0.312
grim	əzazil	anticipation	0.312
church	kilsə	anticipation	0.312
priesthood	kahinlik	anticipation	0.305
mill	dəyirman	anticipation	0.305
judicial	məhkəmə	anticipation	0.305
broadside	genişzolaqlı	anticipation	0.305
tributary	kolu	anticipation	0.297
cap	cap	anticipation	0.297
thermocouple	termokupl	anticipation	0.297
dismay	dəhşət	anticipation	0.297
instructor	təlimatçı	anticipation	0.297
saliva	tüpürcək	anticipation	0.297
exhaustion	tükənmək	anticipation	0.297
bruise	boğulma	anticipation	0.289
wont	NO TRANSLATION	anticipation	0.289
homeless	evsiz	anticipation	0.289
visor	vizör	anticipation	0.289
discreet	NO TRANSLATION	anticipation	0.289
network	şəbəkə	anticipation	0.289
shackle	qandal	anticipation	0.289
addresses	ünvanları	anticipation	0.289
noncompliance	uyğunsuzluq	anticipation	0.289
cataract	katarakt	anticipation	0.289
skewed	əyri	anticipation	0.281
astronomer	astronom	anticipation	0.281
neighbor	qonşu	anticipation	0.281
holiness	müqəddəslik	anticipation	0.273
devil	şeytan	anticipation	0.273
cream	krem	anticipation	0.273
picket	piket	anticipation	0.273
latent	gizli	anticipation	0.273
immaturity	immaturity	anticipation	0.273
sentence	cümlə	anticipation	0.273
neighborhood	qonşuluq	anticipation	0.266
morals	əxlaq	anticipation	0.266
lull	sükunət	anticipation	0.266
habitual	habitual	anticipation	0.266
weight	çəki	anticipation	0.258
bye	bye	anticipation	0.258
forearm	ön kol	anticipation	0.250
clown	palyaço	anticipation	0.250
organ	orqan	anticipation	0.250
quote	quote	anticipation	0.242
commonplace	adi bir yer	anticipation	0.242
dictatorship	diktatorluq	anticipation	0.234
board	board	anticipation	0.234
white	ağ	anticipation	0.234
treadmill	treadmill	anticipation	0.234
rail	dəmir yolu	anticipation	0.234
sundial	günəşli	anticipation	0.227
tree	ağac	anticipation	0.227
paralysis	fəlakət	anticipation	0.211
worm	qurd	anticipation	0.203
organization	təşkilat	anticipation	0.203
cement	sement	anticipation	0.203
lagging	gecikmə	anticipation	0.180
neutral	neytral	anticipation	0.148
cannibalism	yamyamışlıq	disgust	0.953
mutilation	sakatlanma	disgust	0.930
molestation	pozğunluq	disgust	0.914
incest	incest	disgust	0.914
gonorrhea	gonoreya	disgust	0.906
rape	təcavüz	disgust	0.906
cannibal	yamyam	disgust	0.898
rot	rot	disgust	0.891
corpse	cəsəd	disgust	0.883
massacre	qırğın	disgust	0.883
excrement	boşluq	disgust	0.883
slaughter	qırğın	disgust	0.875
barf	barf	disgust	0.875
slaughterhouse	mezbaha	disgust	0.867
rancid	qaçırdı	disgust	0.859
sewerage	kanalizasiya	disgust	0.859
incestuous	incestuous	disgust	0.859
filth	pislik	disgust	0.859
bigot	böyük	disgust	0.859
infestation	infestasiya	disgust	0.852
plague	vəba	disgust	0.852
bloodthirsty	qanlıyor	disgust	0.852
holocaust	soyqırım	disgust	0.852
rotting	çürüyür	disgust	0.844
maggot	cücərmək	disgust	0.844
feces	nəcis	disgust	0.844
fecal	fecal	disgust	0.844
murder	cinayəti	disgust	0.839
infanticide	infanticide	disgust	0.836
homicide	cinayət	disgust	0.836
asshole	göt	disgust	0.836
enslaved	quldur	disgust	0.836
gore	gore	disgust	0.828
perverted	pozulmuşdu	disgust	0.828
torture	işgəncə	disgust	0.828
slaughtering	qətl	disgust	0.828
excretion	atılma	disgust	0.828
contaminate	çirkləndirir	disgust	0.821
murderer	qatil	disgust	0.820
gory	gory	disgust	0.820
repugnant	təvazökar	disgust	0.820
desecration	xəcalət	disgust	0.820
grotesque	gülməli	disgust	0.820
revolting	qiyamət	disgust	0.820
diarrhoea	ishal	disgust	0.820
manure	gübrə	disgust	0.820
terrorist	terrorist	disgust	0.820
shit	bok	disgust	0.820
pervert	sapma	disgust	0.820
slavery	köləlik	disgust	0.812
faeces	feces	disgust	0.812
sewer	kanalizasiya	disgust	0.812
vomit	Qusma	disgust	0.812
manslaughter	adam öldürmə	disgust	0.812
dismemberment	dismemberment	disgust	0.812
cadaver	kadavr	disgust	0.812
hemorrhage	qanaxma	disgust	0.805
repulsive	itaətkar	disgust	0.805
perverse	Səhv	disgust	0.805
filthy	çirkli	disgust	0.797
sewage	kanalizasiya	disgust	0.797
depravity	əxlaqsızlıq	disgust	0.797
diseased	xəstədir	disgust	0.797
carcass	karkas	disgust	0.795
decompose	ayrılmaq	disgust	0.789
vermin	həzm	disgust	0.789
puke	puke	disgust	0.789
parasite	parazit	disgust	0.789
horrific	dəhşətli	disgust	0.789
gruesome	qorxunc	disgust	0.789
dung	NO TRANSLATION	disgust	0.789
mutilated	pozulmuşdu	disgust	0.789
murderous	öldürücü	disgust	0.789
decayed	çürümüşdü	disgust	0.789
herpes	herpes	disgust	0.789
slime	sümük	disgust	0.781
flatulence	səliqədir	disgust	0.781
monstrosity	canavarlar	disgust	0.781
carnage	qırğın	disgust	0.781
pestilence	həzm	disgust	0.781
malaria	malyariya	disgust	0.781
crap	crap	disgust	0.781
toxic	Toksik	disgust	0.773
loathsome	ləzzətli	disgust	0.773
insidious	hiyləgər	disgust	0.773
leprosy	cüzam	disgust	0.773
morgue	morg	disgust	0.773
pus	əzələ	disgust	0.773
herpesvirus	herpesvirus	disgust	0.773
whore	fahişə	disgust	0.766
cruel	zalım	disgust	0.766
repugnance	hörmətsizlik	disgust	0.766
revulsion	təzyiq	disgust	0.766
xenophobia	ksenofobiya	disgust	0.766
regurgitation	regürjitasiya	disgust	0.766
anthrax	Şarbon	disgust	0.766
lynch	linç	disgust	0.766
dissection	diseksiya	disgust	0.759
canker	canker	disgust	0.758
cruelty	zülm	disgust	0.758
perversion	sapma	disgust	0.758
evil	pis	disgust	0.758
slum	çökəklik	disgust	0.758
infectious	yoluxucu	disgust	0.758
mucous	mucous	disgust	0.758
phlegm	bəlğəm	disgust	0.758
leeches	suluqlar	disgust	0.750
decomposition	parçalanma	disgust	0.750
sinister	pis	disgust	0.750
corrupting	zərər verən	disgust	0.750
demon	Şeytan	disgust	0.742
stinking	kəkələyici	disgust	0.742
septic	septik	disgust	0.742
deranged	dərinləşdi	disgust	0.742
bile	safra	disgust	0.742
soiled	kirli	disgust	0.742
mucus	mucus	disgust	0.742
abhorrence	abhorrence	disgust	0.742
abomination	iyrənclik	disgust	0.742
sickening	xəstəlik	disgust	0.742
demonic	şeytan	disgust	0.742
foul	faul	disgust	0.734
obese	şişman	disgust	0.734
sicken	xəstəlik	disgust	0.734
degeneracy	degenerasiya	disgust	0.734
crucifixion	çarmıxa çəkilmək	disgust	0.734
despicable	hörmətli	disgust	0.734
cancer	xərçəng	disgust	0.734
atrocity	zülm	disgust	0.734
terrorism	terrorizm	disgust	0.734
dirty	kirli	disgust	0.727
dysentery	dizenteriya	disgust	0.727
adultery	zina	disgust	0.727
contamination	çirklənmə	disgust	0.727
bacterium	bakteriya	disgust	0.727
diabolical	şiddətli	disgust	0.727
morbidity	xəstəlik	disgust	0.727
grisly	qüsursuz	disgust	0.727
repulsion	itaətsizlik	disgust	0.727
enema	həzm	disgust	0.727
contagion	bulaşma	disgust	0.719
disfigured	xəyanət etdi	disgust	0.719
muck	muck	disgust	0.719
lewd	lebd	disgust	0.719
garbage	zibil	disgust	0.719
autopsy	yarılma	disgust	0.719
bowels	bağırsaq	disgust	0.719
gross	ümumi	disgust	0.719
vulgar	vulgar	disgust	0.719
barbaric	barbar	disgust	0.719
disgust	nifrət	disgust	0.719
vicious	qəddar	disgust	0.719
entrails	içərilər	disgust	0.719
deterioration	pozulma	disgust	0.719
pungent	kəskin	disgust	0.719
bloodshed	qan axdı	disgust	0.714
violent	zorakılıq	disgust	0.711
tyrant	zalım	disgust	0.711
poisoned	zəhərləndi	disgust	0.711
pollute	çirkləndirmək	disgust	0.711
wretched	bədbəxt	disgust	0.711
nausea	ürək bulanması	disgust	0.711
mortification	ölümlə nəticələndi	disgust	0.711
gag	gag	disgust	0.711
vulgarity	həssaslıq	disgust	0.703
disgusting	iğrenç	disgust	0.703
grope	grope	disgust	0.703
slut	fahişə	disgust	0.703
poisoning	zəhərlənmə	disgust	0.703
depraved	pozulmuşdu	disgust	0.703
noxious	zəhərli	disgust	0.703
porn	porno	disgust	0.703
nasty	pis	disgust	0.703
slimy	sümüklü	disgust	0.703
despotism	despotizm	disgust	0.703
nauseate	ürəkbulandırmaq	disgust	0.703
secretion	sekretsiya	disgust	0.703
constipation	kabızlık	disgust	0.703
hateful	nifrət edir	disgust	0.703
grime	kirpik	disgust	0.703
measles	qızılca	disgust	0.696
contagious	bulaşıcı	disgust	0.695
hellish	cəhənnəm	disgust	0.695
waste	tullantılar	disgust	0.695
suicidal	intihar	disgust	0.695
abuse	sui-istifadə	disgust	0.695
hate	nifrət	disgust	0.695
wretch	wretch	disgust	0.695
intestinal	bağırsaq	disgust	0.695
wart	səcdə	disgust	0.695
obesity	obezite	disgust	0.695
scum	köpük	disgust	0.695
contaminated	çirklənmişdir	disgust	0.688
disease	xəstəlikdir	disgust	0.688
rabid	quduzluq	disgust	0.688
ooze	sızma	disgust	0.688
treason	xəyanətdir	disgust	0.688
heartworm	ürək qurdları	disgust	0.688
smut	smut	disgust	0.688
cholera	xolera	disgust	0.680
deformed	deformasiya olundu	disgust	0.680
detest	təəssüf	disgust	0.680
bestial	hədiyyələr	disgust	0.680
sickness	xəstəlik	disgust	0.680
antichrist	Dəccal	disgust	0.680
abhorrent	nifrət	disgust	0.680
soulless	ruhsuz	disgust	0.680
freakish	freakish	disgust	0.680
grimy	kirli	disgust	0.680
hatred	nifrət	disgust	0.680
pollution	çirklənmə	disgust	0.680
germ	mikrob	disgust	0.680
abominate	kədərlənmək	disgust	0.680
hell	Cəhənnəm	disgust	0.680
dilapidated	xırda	disgust	0.672
dictatorship	diktatorluq	disgust	0.672
inhuman	qeyri-insani	disgust	0.672
greasy	yağlıdır	disgust	0.672
hideous	çirkin	disgust	0.672
loathful	nifrət edir	disgust	0.672
obscene	əxlaqsız	disgust	0.672
loathing	nifrət	disgust	0.672
cess	cess	disgust	0.670
devil	şeytan	disgust	0.664
heretic	qəhrəman	disgust	0.664
nauseous	bulantı	disgust	0.664
abominable	qüsursuz	disgust	0.664
deformity	deformasiya	disgust	0.664
deadly	ölümcül	disgust	0.664
swine	donuz	disgust	0.664
discrimination	ayrılıq	disgust	0.664
masochism	masochism	disgust	0.664
poisonous	zəhərli	disgust	0.656
prejudiced	önyargılı	disgust	0.656
bacteria	bakteriya	disgust	0.656
death	ölüm	disgust	0.656
poison	zəhər	disgust	0.656
trash	zibil	disgust	0.656
abortion	abort	disgust	0.656
corruption	korrupsiya	disgust	0.656
victimized	zərər çəkmiş	disgust	0.656
oppression	zülm	disgust	0.656
goo	goo	disgust	0.656
latrines	timsahlar	disgust	0.656
horror	dəhşət	disgust	0.656
horrible	dəhşətli	disgust	0.656
nefarious	nefarious	disgust	0.656
mange	NO TRANSLATION	disgust	0.656
vindictive	vindictive	disgust	0.648
outhouse	outhouse	disgust	0.648
horrid	qorxunc	disgust	0.648
detestation	nifrət	disgust	0.648
sludge	çamur	disgust	0.648
ugly	çirkin	disgust	0.648
trashy	zibil	disgust	0.648
bitch	kaltak	disgust	0.648
immoral	əxlaqsız	disgust	0.648
malfeasance	malfeasance	disgust	0.641
spew	spew	disgust	0.641
pimple	pimple	disgust	0.641
indecency	küfr	disgust	0.641
unsightly	təəssüflər olsun	disgust	0.641
slop	NO TRANSLATION	disgust	0.641
villainous	əxlaqsız	disgust	0.641
cystic	kistik	disgust	0.641
horrifying	dəhşətli	disgust	0.641
derogatory	haqsızlıq	disgust	0.641
laxative	laxative	disgust	0.641
criminality	cinayətkarlıq	disgust	0.641
oppressive	təzyiqçi	disgust	0.633
sinful	günahkar	disgust	0.633
bigoted	Bürclər	disgust	0.633
doomsday	qiyamət günü	disgust	0.633
prostitution	fahişəlik	disgust	0.633
ulcer	ülser	disgust	0.633
secrete	salmaq	disgust	0.633
perpetrator	faili	disgust	0.633
rat	siçovul	disgust	0.633
queasy	queasy	disgust	0.633
mildew	küf	disgust	0.633
dastardly	hörmətlə	disgust	0.625
disgraceful	rüsvayçı	disgust	0.625
ghastly	dəhşətli	disgust	0.625
persecution	təqib	disgust	0.625
devilish	şeytanlıq	disgust	0.625
degrading	pozulma	disgust	0.625
obscenity	əxlaqsızlıq	disgust	0.625
fungus	mantar	disgust	0.625
sin	NO TRANSLATION	disgust	0.625
gluttony	aşiqlik	disgust	0.625
stools	stools	disgust	0.625
suffering	əziyyət çəkir	disgust	0.625
contemptible	hörmətsiz	disgust	0.625
cuckold	cənab	disgust	0.625
bloated	şişmiş	disgust	0.625
aghast	dəhşət	disgust	0.625
betrayal	xəyanətdir	disgust	0.617
guillotine	gilotin	disgust	0.617
infect	yoluxma	disgust	0.617
spoil	qənimət	disgust	0.617
tetanus	tetanoz	disgust	0.617
fat	yağ	disgust	0.617
louse	nərd	disgust	0.617
malicious	zərərli	disgust	0.617
polygamy	çoxbucaqlılıq	disgust	0.617
crusty	qatıqlı	disgust	0.617
atrocious	şiddətli	disgust	0.617
deceit	aldatma	disgust	0.617
termite	termit	disgust	0.617
loathe	nifrət	disgust	0.617
wench	wench	disgust	0.617
dying	ölür	disgust	0.617
sickly	xəstəliklə	disgust	0.617
diaper	uşaq bezi	disgust	0.617
strangle	boğmaq	disgust	0.617
drool	drool	disgust	0.609
slander	böhtan	disgust	0.609
abhor	abhor	disgust	0.609
venomous	zəhərli	disgust	0.609
brothel	fahişəxana	disgust	0.609
ghetto	getto	disgust	0.609
violently	şiddətlə	disgust	0.609
hostile	düşmən	disgust	0.609
sabotage	sabotaj	disgust	0.609
deform	deformasiya	disgust	0.609
bleeding	qanaxma	disgust	0.609
unwashed	yuyulmamışdı	disgust	0.602
lunacy	lanet	disgust	0.602
imprisonment	həbs cəzası	disgust	0.602
infidel	küfür	disgust	0.602
deprivation	məhrumiyyət	disgust	0.602
traitor	xain	disgust	0.602
ugliness	çirkinlik	disgust	0.602
musty	küf	disgust	0.602
illicit	qanunsuzdur	disgust	0.602
swampy	bataqlıq	disgust	0.602
poaching	brakonerlik	disgust	0.602
hag	hag	disgust	0.602
butcher	qəssab	disgust	0.594
lunatic	lunatic	disgust	0.594
venom	zəhər	disgust	0.594
repelling	döymək	disgust	0.594
thug	haydut	disgust	0.594
misery	qəzəblənmə	disgust	0.594
toilet	tualet	disgust	0.594
slug	slug	disgust	0.594
catastrophe	fəlakət	disgust	0.594
epidemic	epidemiya	disgust	0.594
gut	bağırsaq	disgust	0.594
intoxicated	sarhoşdur	disgust	0.594
blister	blister	disgust	0.594
deceitful	aldadıcı	disgust	0.594
hostility	düşmənçilik	disgust	0.594
queasiness	queesiness	disgust	0.594
lurid	lurid	disgust	0.594
sinner	günahkar	disgust	0.594
incubus	incubus	disgust	0.586
lavatory	Tualet	disgust	0.586
harass	təcavüz edir	disgust	0.586
unclean	kirli	disgust	0.586
prostitute	fahişə	disgust	0.586
pornography	pornoqrafiya	disgust	0.586
dreadful	qorxunc	disgust	0.586
deteriorated	pisləşdi	disgust	0.586
appalling	dəhşətli	disgust	0.586
unfaithful	vicdansız	disgust	0.578
rash	sızma	disgust	0.578
humiliating	alçaldıcı	disgust	0.578
ruinous	məhv	disgust	0.578
squeamish	siqaret çəkmək	disgust	0.578
offensive	hücum	disgust	0.578
conspirator	sui-qəsdçi	disgust	0.578
larceny	qaranlıqlıq	disgust	0.578
debauchery	axmaqlıq	disgust	0.578
mangle	mangle	disgust	0.578
flea	birə	disgust	0.578
hypocrite	ikiyüzlü	disgust	0.578
retard	gecikdirmə	disgust	0.578
fiend	fiend	disgust	0.578
sick	xəstə	disgust	0.578
quagmire	quagmire	disgust	0.578
expulsion	çıxarmaq	disgust	0.578
treacherous	xain	disgust	0.570
dogsick	NO TRANSLATION	disgust	0.570
spit	tüpürmək	disgust	0.570
devastating	dağıdıcı	disgust	0.570
bastard	pərişan	disgust	0.570
messy	messi	disgust	0.570
flog	flog	disgust	0.570
egregious	yumşaq	disgust	0.570
swamp	bataqlıq	disgust	0.570
oppress	zülm edin	disgust	0.570
despise	nifrət	disgust	0.570
dank	NO TRANSLATION	disgust	0.570
serpent	serpent	disgust	0.570
snake	ilan	disgust	0.562
terrible	qorxunc	disgust	0.562
awful	dəhşətli	disgust	0.562
harmful	zərərli	disgust	0.562
insanity	dəlilik	disgust	0.562
indecent	hörmətsiz	disgust	0.562
sordid	kədərli	disgust	0.562
loo	loo	disgust	0.562
scoundrel	dəlicəsinə	disgust	0.562
enemy	düşmən	disgust	0.562
stealing	oğurluq	disgust	0.562
alcoholism	alkoqolizm	disgust	0.562
humiliation	alçaldıcılıq	disgust	0.562
ruthless	amansızdır	disgust	0.562
sloppy	səliqəli	disgust	0.562
tyrannical	zülmkar	disgust	0.562
harlot	fahişə	disgust	0.562
sinning	günahlandırma	disgust	0.562
robbery	soyğun	disgust	0.555
insufferable	etibarsızdır	disgust	0.555
arsenic	arsenik	disgust	0.555
bloody	qanlı	disgust	0.555
odious	qəzəbli	disgust	0.555
ridicule	istehza	disgust	0.555
atrophy	atrofi	disgust	0.555
beastly	canavarca	disgust	0.555
collusion	söhbət	disgust	0.555
distaste	dəhşət	disgust	0.555
segregate	ayırmaq	disgust	0.555
discriminating	ayrılıq	disgust	0.555
coward	qorxaq	disgust	0.555
wickedness	pislik	disgust	0.555
threatening	təhdid edir	disgust	0.555
unattractive	çirkin	disgust	0.555
slayer	slayer	disgust	0.555
flabby	əyləncəli	disgust	0.555
varicella	varicella	disgust	0.555
miserable	qəzəbli	disgust	0.547
sty	stil	disgust	0.547
ogre	ogre	disgust	0.547
coercion	zorla	disgust	0.547
thief	oğru	disgust	0.547
slur	slur	disgust	0.547
suffocating	boğulma	disgust	0.547
anathema	anathema	disgust	0.547
purgatory	əfv etmək	disgust	0.547
malevolent	zalım	disgust	0.547
bitterly	acı	disgust	0.547
burglar	soyğunçu	disgust	0.547
attacking	hücum	disgust	0.547
vesicular	vesikular	disgust	0.547
condemnation	qınama	disgust	0.547
pillage	talan	disgust	0.547
deleterious	zərərli	disgust	0.547
thrash	Thrash	disgust	0.539
repellant	itələyici	disgust	0.539
repudiation	imtina etmə	disgust	0.539
infidelity	itaətsizlik	disgust	0.539
liar	yalançı	disgust	0.539
fatty	yağlı	disgust	0.539
gob	gob	disgust	0.539
sneer	kədərlənir	disgust	0.539
drunken	sarhoş	disgust	0.539
disgrace	rüsvayçılıq	disgust	0.539
shame	ayıb	disgust	0.539
jealous	qısqanc	disgust	0.539
imprisoned	həbs olundu	disgust	0.539
pig	donuz	disgust	0.539
greedy	acgöz	disgust	0.539
sloth	boşluq	disgust	0.539
lethal	ölümcül	disgust	0.536
burnt	yanmışdı	disgust	0.531
aberration	aberration	disgust	0.531
condescension	çirkinlik	disgust	0.531
hydrocephalus	hidrosefali	disgust	0.531
hanging	asma	disgust	0.531
destructive	dağıdıcı	disgust	0.531
smuggler	qaçaqçı	disgust	0.531
intolerant	dözümsüzdür	disgust	0.531
travesty	travesty	disgust	0.531
intrusive	müdaxilə	disgust	0.531
ruined	dağılmış	disgust	0.531
withered	qurudulmuş	disgust	0.531
disintegrate	dağılmaq	disgust	0.531
brawl	dava	disgust	0.531
blemish	ləkəsiz	disgust	0.531
neurotic	nevrotik	disgust	0.531
blasphemous	küfr	disgust	0.531
lying	yalançı	disgust	0.531
painful	ağrılı	disgust	0.531
avarice	avarice	disgust	0.523
disgraced	rüsvayedici	disgust	0.523
mistress	xanım	disgust	0.523
disparaging	pozulma	disgust	0.523
rubbish	çöp	disgust	0.523
derogation	derogasiya	disgust	0.523
accusation	ittiham	disgust	0.523
intolerance	dözümsüzlük	disgust	0.523
incarceration	həbs	disgust	0.523
blighted	bədbəxt	disgust	0.523
sump	kələm	disgust	0.516
deplorable	acınacaqlıdır	disgust	0.516
daemon	daemon	disgust	0.516
cringe	kədərlənmə	disgust	0.516
degrade	qaçaq	disgust	0.516
gutter	boşluq	disgust	0.516
rob	soymaq	disgust	0.516
grim	əzazil	disgust	0.516
defraud	aldatma	disgust	0.516
tortious	təvazökar	disgust	0.516
eradication	eradikasiya	disgust	0.516
stink	kədər	disgust	0.516
convict	məhkum	disgust	0.516
dishonor	haqsızlıq	disgust	0.516
vulture	akbaba	disgust	0.516
remains	qalır	disgust	0.516
mite	mite	disgust	0.516
betray	xəyanət	disgust	0.516
sham	sham	disgust	0.509
endemic	endemik	disgust	0.508
bombed	bombardman etdi	disgust	0.508
distress	çətinliklər	disgust	0.508
pest	həşərat	disgust	0.508
incurable	müalicə edilə bilməz	disgust	0.508
worthless	dəyərsizdir	disgust	0.508
rejection	imtina	disgust	0.508
distasteful	xoşagəlməz	disgust	0.508
schizophrenia	şizofreniya	disgust	0.508
belittle	kədərləndi	disgust	0.508
smelling	kokulu	disgust	0.508
cheat	aldatmaq	disgust	0.508
blob	blob	disgust	0.508
prisoner	məhbus	disgust	0.508
idiocy	aldadıcı	disgust	0.508
delirium	deliryum	disgust	0.508
disaster	fəlakət	disgust	0.508
crude	xam	disgust	0.508
resentment	nifrət	disgust	0.508
dreadfully	dəhşətli	disgust	0.508
glut	glut	disgust	0.508
polemic	polemik	disgust	0.500
derision	dərman	disgust	0.500
idolatry	bütpərəstlik	disgust	0.500
taboo	tabu	disgust	0.500
screaming	qışqırır	disgust	0.500
banish	çıxmaq	disgust	0.500
dirt	kir	disgust	0.500
goblin	goblin	disgust	0.500
shackle	qandal	disgust	0.500
bribery	rüşvət	disgust	0.500
flagrant	dəhşətli	disgust	0.500
jealousy	qısqanclıq	disgust	0.500
impurity	impurity	disgust	0.500
theft	oğurluq	disgust	0.500
bitterness	acı	disgust	0.500
offense	cinayət	disgust	0.500
impeach	impeach	disgust	0.500
blight	kədərlənmə	disgust	0.500
duress	zorla	disgust	0.500
mire	NO TRANSLATION	disgust	0.500
greed	həsəd	disgust	0.500
tirade	tirade	disgust	0.500
squirm	qışqırır	disgust	0.492
robber	quldur	disgust	0.492
ill	xəstə	disgust	0.492
unconscionable	şübhəsiz	disgust	0.492
recession	tənəzzül	disgust	0.492
gorge	dərəsi	disgust	0.492
wreck	qəza	disgust	0.492
malign	malign	disgust	0.492
boil	Qaynamaq	disgust	0.492
leer	NO TRANSLATION	disgust	0.492
idiot	axmaqlıq	disgust	0.492
disreputable	etibarsızdır	disgust	0.492
wasteful	israfçılıq	disgust	0.484
affliction	zülm	disgust	0.484
stain	ləkə	disgust	0.484
contempt	hörmətsizlik	disgust	0.484
nappy	bədbəxt	disgust	0.484
mutiny	qiyamət	disgust	0.484
occult	gizli	disgust	0.484
tramp	tramp	disgust	0.484
unbearable	dözülməz	disgust	0.484
offender	cinayətkar	disgust	0.484
servile	quldurluq	disgust	0.484
contraband	qaçaqmalçılıq	disgust	0.484
raging	qəzəbləndi	disgust	0.484
snarl	qaçırdı	disgust	0.484
mad	deli	disgust	0.484
subjugation	itaətsizlik	disgust	0.484
possessed	sahib olduq	disgust	0.484
animosity	hüsumət	disgust	0.484
aversation	aversasiya	disgust	0.484
defamation	diffamasiya	disgust	0.484
disrespectful	hörmətsizlik	disgust	0.484
mess	qarışıqlıq	disgust	0.484
nepotism	nepotizm	disgust	0.484
inexcusable	təhqirsizdir	disgust	0.484
pathetic	acınacaqlı	disgust	0.477
unpleasant	xoşagəlməz	disgust	0.477
suppression	təzyiq	disgust	0.477
mockery	istehza	disgust	0.477
palsy	palsi	disgust	0.477
criminal	cinayət	disgust	0.477
illegality	qanunsuzluq	disgust	0.477
uncaring	uncaring	disgust	0.477
antagonistic	antaqonist	disgust	0.477
immorality	əxlaqsızlıq	disgust	0.477
dismal	kədərləndi	disgust	0.477
angry	qəzəbləndi	disgust	0.469
repellent	kovucu	disgust	0.469
cough	öskürək	disgust	0.469
arrogant	təkəbbürlü	disgust	0.469
grating	grating	disgust	0.469
aggravation	ağırlaşması	disgust	0.469
livid	livid	disgust	0.469
banishment	sürgün	disgust	0.469
shoddy	kölgəli	disgust	0.469
banshee	banshee	disgust	0.469
poverty	yoxsulluq	disgust	0.469
wallow	divar kağızı	disgust	0.469
outrage	qəzəblənmə	disgust	0.469
mocking	istehza	disgust	0.469
furious	qəzəbli	disgust	0.469
perspiration	tərləmə	disgust	0.469
prick	bizləmək	disgust	0.461
recklessness	qüsursuzluq	disgust	0.461
distorted	təhrif olunmuşdur	disgust	0.461
fraudulent	saxtakarlıq	disgust	0.461
spider	hörümçək	disgust	0.461
quack	qaçaq	disgust	0.461
perdition	məhv	disgust	0.461
muddy	çamurlu	disgust	0.461
spurious	saxta	disgust	0.461
insulting	təhqir edir	disgust	0.461
scar	qorxu	disgust	0.461
deceive	aldatmaq	disgust	0.461
unjustifiable	əsassızdır	disgust	0.461
fool	axmaq	disgust	0.461
deplore	deplore	disgust	0.461
plunder	yağma	disgust	0.461
aphid	aphid	disgust	0.453
bane	bane	disgust	0.453
indignation	qəzəb	disgust	0.453
dire	NO TRANSLATION	disgust	0.453
selfish	eqoist	disgust	0.453
disparage	yoxsulluq	disgust	0.453
cur	cır	disgust	0.453
dishonest	xəyanətsizdir	disgust	0.453
stigma	stiqma	disgust	0.453
eschew	eschew	disgust	0.453
antipathy	antipatiya	disgust	0.453
alienate	yabancılaşmaq	disgust	0.453
disingenuous	xəyanətsiz	disgust	0.453
elimination	aradan qaldırılması	disgust	0.453
unthinkable	düşünülə bilməz	disgust	0.453
wasted	boşa çıxdı	disgust	0.445
recalcitrant	tənəzzülçü	disgust	0.445
iniquity	ədalətsizlik	disgust	0.445
mosquito	ağcaqanad	disgust	0.445
caries	caries	disgust	0.445
bankruptcy	iflas	disgust	0.445
egotistical	eqoistik	disgust	0.445
piles	qığılcımlar	disgust	0.445
smell	qoxu	disgust	0.445
vacuous	vacuous	disgust	0.445
despair	ümidsizlik	disgust	0.445
opium	tiryək	disgust	0.445
garish	çarşı	disgust	0.445
lie	yalan	disgust	0.445
pious	dindar	disgust	0.445
aversion	nifrət	disgust	0.438
sticky	yapışqan	disgust	0.438
scream	fəryad	disgust	0.438
alien	yad	disgust	0.438
shun	qaçmaq	disgust	0.438
abnormal	anormal	disgust	0.438
ashamed	utanır	disgust	0.438
inmate	məhbus	disgust	0.438
abject	abd	disgust	0.438
hog	hog	disgust	0.438
