word	Romanian-ro	emotion	emotion-intensity-score
hire	închiriere	anticipation	0.469
sweets	dulciuri	anticipation	0.469
star	stea	anticipation	0.469
unsurpassed	neîntrecut	anticipation	0.469
successful	de succes	anticipation	0.469
unknown	necunoscut	anticipation	0.469
immediately	imediat	anticipation	0.469
starry	înstelat	anticipation	0.469
production	producere	anticipation	0.469
football	fotbal	anticipation	0.469
completion	completare	anticipation	0.469
scare	a speria	anticipation	0.469
invoke	invoca	anticipation	0.469
shaky	tremurător	anticipation	0.469
dawn	zori de zi	anticipation	0.469
creeping	târâtor	anticipation	0.469
cheerfulness	Veselie	anticipation	0.461
soundness	soliditate	anticipation	0.461
mail	Poștă	anticipation	0.461
draft	proiect	anticipation	0.461
preliminary	preliminar	anticipation	0.461
friendly	prietenos	anticipation	0.461
commemorative	comemorativ	anticipation	0.461
extricate	degaja	anticipation	0.461
alive	în viaţă	anticipation	0.461
untold	nespus	anticipation	0.461
overture	uvertură	anticipation	0.461
excel	excela	anticipation	0.461
plight	stare	anticipation	0.461
synchronize	sincroniza	anticipation	0.461
punt	miza	anticipation	0.461
sanctuary	sanctuar	anticipation	0.461
brilliant	Sclipitor	anticipation	0.461
pay	a plati	anticipation	0.461
shining	strălucitor	anticipation	0.461
regatta	regată	anticipation	0.461
testament	testament	anticipation	0.461
jeopardy	primejdie	anticipation	0.461
perpetuity	inalienabilitate	anticipation	0.453
elegance	eleganţă	anticipation	0.453
career	Carieră	anticipation	0.453
basketball	baschet	anticipation	0.453
intimately	intim	anticipation	0.453
renovate	renova	anticipation	0.453
supremacy	supremaţie	anticipation	0.453
infinity	infinit	anticipation	0.453
unexpected	neașteptat	anticipation	0.453
flinch	tresări	anticipation	0.453
complement	completa	anticipation	0.453
prologue	prolog	anticipation	0.453
compliment	NO TRANSLATION	anticipation	0.453
prevention	profilaxie	anticipation	0.453
improve	îmbunătăţi	anticipation	0.453
sunset	apus de soare	anticipation	0.453
inaugural	inaugural	anticipation	0.453
rehabilitation	reabilitare	anticipation	0.453
fitting	montaj	anticipation	0.445
surround	surround,	anticipation	0.445
share	acțiune	anticipation	0.445
epidemic	epidemie	anticipation	0.445
sweet	dulce	anticipation	0.445
fain	NO TRANSLATION	anticipation	0.445
concealment	ascundere	anticipation	0.445
confidence	încredere	anticipation	0.445
perfect	perfect	anticipation	0.445
sun	soare	anticipation	0.445
veracity	veridicitate	anticipation	0.445
volunteer	voluntar	anticipation	0.445
conjecture	presupunere	anticipation	0.445
medical	medical	anticipation	0.438
prepared	pregătit	anticipation	0.438
superstitious	superstiţios	anticipation	0.438
reconstruction	reconstrucţie	anticipation	0.438
tickle	stârni	anticipation	0.438
faith	credinţă	anticipation	0.438
passenger	pasager	anticipation	0.438
saint	sfânt	anticipation	0.438
respect	respect	anticipation	0.438
rabid	turbat	anticipation	0.438
reconstruct	reconstrui	anticipation	0.438
recombination	recombinare	anticipation	0.438
devout	pios	anticipation	0.438
goodness	bunătate	anticipation	0.438
angel	înger	anticipation	0.438
ferment	ferment	anticipation	0.438
plea	motiv	anticipation	0.438
aloha	aloha	anticipation	0.438
serial	serial	anticipation	0.438
conservation	conservare	anticipation	0.438
serenity	seninătate	anticipation	0.430
tabulate	cataloga	anticipation	0.430
install	instalare	anticipation	0.430
labyrinth	labirint	anticipation	0.430
venerable	venerabil	anticipation	0.430
perpetuate	perpetua	anticipation	0.430
strategist	strateg	anticipation	0.430
unverified	neverificat	anticipation	0.430
tribunal	tribunal	anticipation	0.430
charitable	caritabil	anticipation	0.430
luscious	delicios	anticipation	0.430
spa	spa	anticipation	0.430
peace	pace	anticipation	0.430
clap	bate	anticipation	0.430
conspirator	conspirator	anticipation	0.422
forestall	acapara	anticipation	0.422
patience	răbdare	anticipation	0.422
oasis	oază	anticipation	0.422
grin	grimasă	anticipation	0.422
revere	omeni	anticipation	0.422
worship	cult	anticipation	0.422
vista	perspectivă	anticipation	0.422
laughter	râsete	anticipation	0.422
volatility	volatilitate	anticipation	0.422
adrift	în voia valurilor	anticipation	0.422
candid	sincer	anticipation	0.422
edification	zidire	anticipation	0.422
unresolved	nerezolvate	anticipation	0.422
peaceful	liniștit	anticipation	0.422
recognizable	recunoscut	anticipation	0.422
calls	apeluri	anticipation	0.414
weigh	cântări	anticipation	0.414
probation	probă	anticipation	0.414
proficiency	experiență	anticipation	0.414
morn	dimineţi	anticipation	0.414
craps	zaruri	anticipation	0.414
detainee	deţinut	anticipation	0.414
mediate	media	anticipation	0.414
continue	continua	anticipation	0.414
astrologer	astrolog	anticipation	0.414
punctual	punctual	anticipation	0.414
ordination	hirotonisire	anticipation	0.414
pretty	frumos	anticipation	0.414
thought	gândire	anticipation	0.414
grant	acorda	anticipation	0.414
withstand	rezista	anticipation	0.414
frisky	zburdalnic	anticipation	0.414
ongoing	În curs de desfășurare	anticipation	0.414
sing	cânta	anticipation	0.411
long	lung	anticipation	0.406
confession	mărturisire	anticipation	0.406
headlight	far	anticipation	0.406
prophylactic	profilactic	anticipation	0.406
mother	mamă	anticipation	0.406
debenture	obligațiune	anticipation	0.406
wizard	vrăjitor	anticipation	0.406
university	universitate	anticipation	0.406
proud	mândru	anticipation	0.406
midwife	moaşă	anticipation	0.406
banquet	banchet	anticipation	0.406
continuation	continuare	anticipation	0.406
navigable	navigabil	anticipation	0.406
punished	pedepsit	anticipation	0.406
chicane	Chicane	anticipation	0.406
comfort	confort	anticipation	0.406
opponent	adversar	anticipation	0.406
subscribe	Abonati-va	anticipation	0.406
outdo	se întrece pe sine	anticipation	0.406
nurture	hrăni	anticipation	0.406
twinkle	sclipire	anticipation	0.406
deal	afacere	anticipation	0.402
efficient	eficient	anticipation	0.398
representing	reprezentând	anticipation	0.398
simmer	fierbe	anticipation	0.398
symphony	simfonie	anticipation	0.398
judiciary	judiciar	anticipation	0.398
obliging	îndatoritor	anticipation	0.398
saintly	sfânt	anticipation	0.398
vigil	veghe	anticipation	0.398
death	moarte	anticipation	0.398
distracting	distrage atenția	anticipation	0.398
mortification	mortificare	anticipation	0.398
balm	balsam	anticipation	0.398
guillotine	ghilotină	anticipation	0.398
top	top	anticipation	0.398
lettered	știutor de carte	anticipation	0.398
reliance	încredere	anticipation	0.398
poke	împungere	anticipation	0.391
unfulfilled	neîmplinit	anticipation	0.391
assurance	asigurare	anticipation	0.391
condemnation	condamnare	anticipation	0.391
undoubted	netăgăduit	anticipation	0.391
diplomacy	diplomaţie	anticipation	0.391
familiarity	familiaritate	anticipation	0.391
antidote	antidot	anticipation	0.391
chuckle	chicoteală	anticipation	0.391
objective	obiectiv	anticipation	0.391
maternal	matern	anticipation	0.391
abeyance	suspendare	anticipation	0.391
art	artă	anticipation	0.391
linger	persista	anticipation	0.391
trust	încredere	anticipation	0.391
depraved	depravat	anticipation	0.391
sanctify	sfinţi	anticipation	0.391
inoculation	inoculare	anticipation	0.384
chant	psalmodiere	anticipation	0.383
banger	Banger	anticipation	0.383
playground	loc de joaca	anticipation	0.383
failing	în lipsa	anticipation	0.383
ship	navă	anticipation	0.383
hymn	imn	anticipation	0.383
simplify	simplifica	anticipation	0.383
ram	Berbec	anticipation	0.383
labor	muncă	anticipation	0.383
discretion	discreție	anticipation	0.383
hap	NO TRANSLATION	anticipation	0.383
good	bun	anticipation	0.383
scientist	om de stiinta	anticipation	0.383
undecided	nehotărât	anticipation	0.383
humanitarian	umanitar	anticipation	0.383
depend	depinde	anticipation	0.383
dutiful	cuminte	anticipation	0.383
clock	ceas	anticipation	0.375
sterling	veritabil	anticipation	0.375
mountain	Munte	anticipation	0.375
savor	savoare	anticipation	0.375
recurrent	recurent	anticipation	0.375
interim	interimar	anticipation	0.375
navigator	navigator	anticipation	0.375
gradual	treptat	anticipation	0.375
interminable	interminabil	anticipation	0.375
track	urmări	anticipation	0.375
public	public	anticipation	0.375
cradle	leagăn	anticipation	0.375
concealed	ascuns	anticipation	0.367
lesson	lecţie	anticipation	0.367
instructions	instrucțiuni	anticipation	0.367
shiver	fior	anticipation	0.367
musical	muzical	anticipation	0.367
towering	falnic	anticipation	0.367
whim	capriciu	anticipation	0.367
spear	suliţă	anticipation	0.367
convince	convinge	anticipation	0.367
sonar	sonar	anticipation	0.367
abide	rămâne	anticipation	0.367
biennial	bienal	anticipation	0.367
theology	teologie	anticipation	0.359
offset	ofset	anticipation	0.359
atone	ispăşi	anticipation	0.359
timidity	timiditate	anticipation	0.359
theory	teorie	anticipation	0.359
undying	nemuritor	anticipation	0.359
plump	grăsuț	anticipation	0.359
audience	public	anticipation	0.357
nobility	nobleţe	anticipation	0.352
paragon	model de perfecțiune	anticipation	0.352
dietary	dietetic	anticipation	0.352
closure	închidere	anticipation	0.352
store	magazin	anticipation	0.352
localize	localiza	anticipation	0.352
cramp	cârcel	anticipation	0.352
daily	zilnic	anticipation	0.352
kindred	înrudire	anticipation	0.352
farm	fermă	anticipation	0.352
edition	ediție	anticipation	0.352
consecration	consacrare	anticipation	0.352
archaeology	arheologie	anticipation	0.344
mobile	mobil	anticipation	0.344
errand	misiune	anticipation	0.344
wireless	fără fir	anticipation	0.344
mutable	mutabil	anticipation	0.344
meditate	medita	anticipation	0.344
stripped	dezbrăcat	anticipation	0.344
lessen	reduce	anticipation	0.336
unaccountable	inexplicabil	anticipation	0.336
pare	NO TRANSLATION	anticipation	0.336
brotherly	frățesc	anticipation	0.336
buddy	amice	anticipation	0.336
unbeaten	neînvins	anticipation	0.336
germ	germene	anticipation	0.336
dove	porumbel	anticipation	0.328
digress	face o digresiune	anticipation	0.328
ribbon	panglică	anticipation	0.328
olfactory	olfactiv	anticipation	0.328
patient	rabdator	anticipation	0.328
council	consiliu	anticipation	0.328
possess	poseda	anticipation	0.328
secular	laic	anticipation	0.328
chastity	castitate	anticipation	0.328
disposed	dispuse	anticipation	0.320
regularity	regularitate	anticipation	0.320
mediator	mediator	anticipation	0.320
scrutinize	scruta	anticipation	0.320
fancy	extravagant	anticipation	0.320
immature	imatur	anticipation	0.320
infanticide	infanticid	anticipation	0.320
heft	ridicare	anticipation	0.320
preservative	substanță conservantă	anticipation	0.320
paddle	paletă	anticipation	0.320
cove	golfuleţ	anticipation	0.320
denying	negare	anticipation	0.312
bugle	goarnă	anticipation	0.312
unpublished	nepublicat	anticipation	0.312
analyst	analist	anticipation	0.312
grim	rău	anticipation	0.312
church	biserică	anticipation	0.312
priesthood	preoţie	anticipation	0.305
mill	moară	anticipation	0.305
judicial	judiciar	anticipation	0.305
broadside	campanie de calomnii	anticipation	0.305
tributary	afluent	anticipation	0.297
cap	capac	anticipation	0.297
thermocouple	termocuplu	anticipation	0.297
dismay	spaimă	anticipation	0.297
instructor	instructor	anticipation	0.297
saliva	salivă	anticipation	0.297
exhaustion	epuizare	anticipation	0.297
bruise	zdrobi	anticipation	0.289
wont	NO TRANSLATION	anticipation	0.289
homeless	fără adăpost	anticipation	0.289
visor	vizieră	anticipation	0.289
discreet	NO TRANSLATION	anticipation	0.289
network	reţea	anticipation	0.289
shackle	toartă	anticipation	0.289
addresses	adrese	anticipation	0.289
noncompliance	nesupunere	anticipation	0.289
cataract	cataractă	anticipation	0.289
skewed	oblică	anticipation	0.281
astronomer	astronom	anticipation	0.281
neighbor	vecin	anticipation	0.281
holiness	sfinţenie	anticipation	0.273
devil	diavol	anticipation	0.273
cream	cremă	anticipation	0.273
picket	picheta	anticipation	0.273
latent	latent	anticipation	0.273
immaturity	imaturitate	anticipation	0.273
sentence	propoziție	anticipation	0.273
neighborhood	Cartier	anticipation	0.266
morals	morala	anticipation	0.266
lull	acalmie	anticipation	0.266
habitual	obișnuit	anticipation	0.266
weight	greutate	anticipation	0.258
bye	pa	anticipation	0.258
forearm	antebraț	anticipation	0.250
clown	clovn	anticipation	0.250
organ	organ	anticipation	0.250
quote	citat	anticipation	0.242
commonplace	banal	anticipation	0.242
dictatorship	dictatură	anticipation	0.234
board	bord	anticipation	0.234
white	alb	anticipation	0.234
treadmill	banda de alergat	anticipation	0.234
rail	șină	anticipation	0.234
sundial	sundial	anticipation	0.227
tree	copac	anticipation	0.227
paralysis	paralizie	anticipation	0.211
worm	vierme	anticipation	0.203
organization	organizare	anticipation	0.203
cement	ciment	anticipation	0.203
lagging	rămâne în urmă	anticipation	0.180
neutral	neutru	anticipation	0.148
cannibalism	canibalism	disgust	0.953
mutilation	mutilare	disgust	0.930
molestation	molestare	disgust	0.914
incest	incest	disgust	0.914
gonorrhea	gonoree	disgust	0.906
rape	viol	disgust	0.906
cannibal	canibal	disgust	0.898
rot	putrezi	disgust	0.891
corpse	cadavru	disgust	0.883
massacre	masacru	disgust	0.883
excrement	excremente	disgust	0.883
slaughter	măcel	disgust	0.875
barf	Barf	disgust	0.875
slaughterhouse	abator	disgust	0.867
rancid	rânced	disgust	0.859
sewerage	canalizare	disgust	0.859
incestuous	incestuos	disgust	0.859
filth	murdărie	disgust	0.859
bigot	bigot	disgust	0.859
infestation	infestare	disgust	0.852
plague	ciumă	disgust	0.852
bloodthirsty	setos de sânge	disgust	0.852
holocaust	holocaust	disgust	0.852
rotting	descompunere	disgust	0.844
maggot	vierme	disgust	0.844
feces	fecale	disgust	0.844
fecal	fecale	disgust	0.844
murder	crimă	disgust	0.839
infanticide	infanticid	disgust	0.836
homicide	omucidere	disgust	0.836
asshole	Idiotule	disgust	0.836
enslaved	înrobit	disgust	0.836
gore	împunge	disgust	0.828
perverted	pervertit	disgust	0.828
torture	tortura	disgust	0.828
slaughtering	abatorizare	disgust	0.828
excretion	excreţie	disgust	0.828
contaminate	contamina	disgust	0.821
murderer	criminal	disgust	0.820
gory	sângerat	disgust	0.820
repugnant	urâcios	disgust	0.820
desecration	profanare	disgust	0.820
grotesque	grotesc	disgust	0.820
revolting	revoltător	disgust	0.820
diarrhoea	diaree	disgust	0.820
manure	gunoi	disgust	0.820
terrorist	terorist	disgust	0.820
shit	rahat	disgust	0.820
pervert	perverti	disgust	0.820
slavery	robie	disgust	0.812
faeces	excremente	disgust	0.812
sewer	canal	disgust	0.812
vomit	vărsătură	disgust	0.812
manslaughter	omor prin imprudenţă	disgust	0.812
dismemberment	dezmembrare	disgust	0.812
cadaver	cadaver	disgust	0.812
hemorrhage	hemoragie	disgust	0.805
repulsive	respingător	disgust	0.805
perverse	îndărătnic	disgust	0.805
filthy	murdar	disgust	0.797
sewage	canalizare	disgust	0.797
depravity	depravare	disgust	0.797
diseased	bolnav	disgust	0.797
carcass	carcasă	disgust	0.795
decompose	descompune	disgust	0.789
vermin	paraziţi	disgust	0.789
puke	vomitat	disgust	0.789
parasite	parazit	disgust	0.789
horrific	oribil	disgust	0.789
gruesome	macabru	disgust	0.789
dung	NO TRANSLATION	disgust	0.789
mutilated	desfigurat	disgust	0.789
murderous	ucigător	disgust	0.789
decayed	stricat	disgust	0.789
herpes	herpes	disgust	0.789
slime	mocirlă	disgust	0.781
flatulence	meteorism	disgust	0.781
monstrosity	monstruozitate	disgust	0.781
carnage	măcel	disgust	0.781
pestilence	molimă	disgust	0.781
malaria	malarie	disgust	0.781
crap	rahat	disgust	0.781
toxic	toxic	disgust	0.773
loathsome	scârbos	disgust	0.773
insidious	insidios	disgust	0.773
leprosy	lepră	disgust	0.773
morgue	morgă	disgust	0.773
pus	puroi	disgust	0.773
herpesvirus	Herpesvirus	disgust	0.773
whore	curvă	disgust	0.766
cruel	crud	disgust	0.766
repugnance	împotrivire	disgust	0.766
revulsion	revulsiune	disgust	0.766
xenophobia	xenofobie	disgust	0.766
regurgitation	regurgitare	disgust	0.766
anthrax	antrax	disgust	0.766
lynch	linșa	disgust	0.766
dissection	disecţie	disgust	0.759
canker	gangrenă	disgust	0.758
cruelty	cruzime	disgust	0.758
perversion	perversiune	disgust	0.758
evil	rău	disgust	0.758
slum	mahala	disgust	0.758
infectious	infecțios	disgust	0.758
mucous	mucos	disgust	0.758
phlegm	indiferenţă	disgust	0.758
leeches	lipitori	disgust	0.750
decomposition	descompunere	disgust	0.750
sinister	sinistru	disgust	0.750
corrupting	otrăvitor	disgust	0.750
demon	demon	disgust	0.742
stinking	împuţit	disgust	0.742
septic	septic	disgust	0.742
deranged	deranjat	disgust	0.742
bile	bilă	disgust	0.742
soiled	terfelit	disgust	0.742
mucus	mucus	disgust	0.742
abhorrence	oroare	disgust	0.742
abomination	scârbă	disgust	0.742
sickening	grețos	disgust	0.742
demonic	demonic	disgust	0.742
foul	fault	disgust	0.734
obese	obez	disgust	0.734
sicken	îngrețoșa	disgust	0.734
degeneracy	degenerare	disgust	0.734
crucifixion	răstignire	disgust	0.734
despicable	josnic	disgust	0.734
cancer	cancer	disgust	0.734
atrocity	atrocitate	disgust	0.734
terrorism	terorism	disgust	0.734
dirty	murdar	disgust	0.727
dysentery	dizenterie	disgust	0.727
adultery	adulter	disgust	0.727
contamination	contaminare	disgust	0.727
bacterium	bacterie	disgust	0.727
diabolical	diabolic	disgust	0.727
morbidity	morbiditate	disgust	0.727
grisly	hidos	disgust	0.727
repulsion	repulsie	disgust	0.727
enema	clismă	disgust	0.727
contagion	contagiune	disgust	0.719
disfigured	desfigurat	disgust	0.719
muck	noroi	disgust	0.719
lewd	indecent	disgust	0.719
garbage	gunoi	disgust	0.719
autopsy	autopsie	disgust	0.719
bowels	intestine	disgust	0.719
gross	brut	disgust	0.719
vulgar	vulgar	disgust	0.719
barbaric	barbar	disgust	0.719
disgust	dezgust	disgust	0.719
vicious	vicios	disgust	0.719
entrails	intestine	disgust	0.719
deterioration	deteriorare	disgust	0.719
pungent	iute	disgust	0.719
bloodshed	vărsare de sânge	disgust	0.714
violent	violent	disgust	0.711
tyrant	tiran	disgust	0.711
poisoned	otrăvit	disgust	0.711
pollute	polua	disgust	0.711
wretched	mizerabil	disgust	0.711
nausea	greaţă	disgust	0.711
mortification	mortificare	disgust	0.711
gag	căluș	disgust	0.711
vulgarity	vulgaritate	disgust	0.703
disgusting	dezgustător	disgust	0.703
grope	bâjbâi	disgust	0.703
slut	curvă	disgust	0.703
poisoning	otrăvire	disgust	0.703
depraved	depravat	disgust	0.703
noxious	nociv	disgust	0.703
porn	porno	disgust	0.703
nasty	neplăcut	disgust	0.703
slimy	noroios	disgust	0.703
despotism	despotism	disgust	0.703
nauseate	face scârbă	disgust	0.703
secretion	secreţie	disgust	0.703
constipation	constipație	disgust	0.703
hateful	odios	disgust	0.703
grime	murdărie	disgust	0.703
measles	pojar	disgust	0.696
contagious	contagios	disgust	0.695
hellish	infernal	disgust	0.695
waste	deşeuri	disgust	0.695
suicidal	suicidară	disgust	0.695
abuse	abuz	disgust	0.695
hate	ură	disgust	0.695
wretch	nenorocit	disgust	0.695
intestinal	intestinal	disgust	0.695
wart	neg	disgust	0.695
obesity	obezitate	disgust	0.695
scum	gunoi	disgust	0.695
contaminated	contaminate	disgust	0.688
disease	boală	disgust	0.688
rabid	turbat	disgust	0.688
ooze	se prelinge	disgust	0.688
treason	trădare	disgust	0.688
heartworm	heartworm	disgust	0.688
smut	negru de fum	disgust	0.688
cholera	holeră	disgust	0.680
deformed	deformat	disgust	0.680
detest	detesta	disgust	0.680
bestial	bestial	disgust	0.680
sickness	boală	disgust	0.680
antichrist	antihrist	disgust	0.680
abhorrent	respingător	disgust	0.680
soulless	fără inimă	disgust	0.680
freakish	ciudat	disgust	0.680
grimy	tuciuriu	disgust	0.680
hatred	ură	disgust	0.680
pollution	poluare	disgust	0.680
germ	germene	disgust	0.680
abominate	detesta	disgust	0.680
hell	iad	disgust	0.680
dilapidated	dărăpănat	disgust	0.672
dictatorship	dictatură	disgust	0.672
inhuman	inuman	disgust	0.672
greasy	gras	disgust	0.672
hideous	hidos	disgust	0.672
loathful	loathful	disgust	0.672
obscene	obscen	disgust	0.672
loathing	silă	disgust	0.672
cess	CESS	disgust	0.670
devil	diavol	disgust	0.664
heretic	eretic	disgust	0.664
nauseous	grețos	disgust	0.664
abominable	abominabil	disgust	0.664
deformity	deformare	disgust	0.664
deadly	mortal	disgust	0.664
swine	porcine	disgust	0.664
discrimination	discriminare	disgust	0.664
masochism	masochismul	disgust	0.664
poisonous	otrăvitor	disgust	0.656
prejudiced	prejudiciată	disgust	0.656
bacteria	bacterii	disgust	0.656
death	moarte	disgust	0.656
poison	otravă	disgust	0.656
trash	Gunoi	disgust	0.656
abortion	intrerupere de sarcina	disgust	0.656
corruption	corupţie	disgust	0.656
victimized	victimizat	disgust	0.656
oppression	asuprire	disgust	0.656
goo	goo	disgust	0.656
latrines	latrine	disgust	0.656
horror	groază	disgust	0.656
horrible	oribil	disgust	0.656
nefarious	abject	disgust	0.656
mange	NO TRANSLATION	disgust	0.656
vindictive	răzbunător	disgust	0.648
outhouse	latrină	disgust	0.648
horrid	oribil	disgust	0.648
detestation	aversiune	disgust	0.648
sludge	nămol	disgust	0.648
ugly	urât	disgust	0.648
trashy	fără valoare	disgust	0.648
bitch	căţea	disgust	0.648
immoral	imoral	disgust	0.648
malfeasance	încălcarea legii	disgust	0.641
spew	scuipa	disgust	0.641
pimple	cos	disgust	0.641
indecency	indecenţă	disgust	0.641
unsightly	dizgrațios	disgust	0.641
slop	NO TRANSLATION	disgust	0.641
villainous	mizerabil	disgust	0.641
cystic	chistic	disgust	0.641
horrifying	înfricoșător	disgust	0.641
derogatory	peiorativ	disgust	0.641
laxative	laxativ	disgust	0.641
criminality	criminalitate	disgust	0.641
oppressive	apăsător	disgust	0.633
sinful	păcătos	disgust	0.633
bigoted	bigot	disgust	0.633
doomsday	judecata de apoi	disgust	0.633
prostitution	prostituţie	disgust	0.633
ulcer	ulcer	disgust	0.633
secrete	secreta	disgust	0.633
perpetrator	autor	disgust	0.633
rat	şobolan	disgust	0.633
queasy	grețos	disgust	0.633
mildew	mucegai	disgust	0.633
dastardly	mişelesc	disgust	0.625
disgraceful	ruşinos	disgust	0.625
ghastly	scârbos	disgust	0.625
persecution	persecuţie	disgust	0.625
devilish	diavolesc	disgust	0.625
degrading	degradant	disgust	0.625
obscenity	obscenitate	disgust	0.625
fungus	ciuperca	disgust	0.625
sin	NO TRANSLATION	disgust	0.625
gluttony	lăcomie	disgust	0.625
stools	scaune	disgust	0.625
suffering	suferinţă	disgust	0.625
contemptible	vrednic de dispreț	disgust	0.625
cuckold	încornorat	disgust	0.625
bloated	umflat	disgust	0.625
aghast	înspăimântat	disgust	0.625
betrayal	trădare	disgust	0.617
guillotine	ghilotină	disgust	0.617
infect	infecta	disgust	0.617
spoil	strica	disgust	0.617
tetanus	tetanic	disgust	0.617
fat	gras	disgust	0.617
louse	păduche	disgust	0.617
malicious	rău	disgust	0.617
polygamy	poligamie	disgust	0.617
crusty	arțăgos	disgust	0.617
atrocious	atroce	disgust	0.617
deceit	înşelăciune	disgust	0.617
termite	termită	disgust	0.617
loathe	repugna	disgust	0.617
wench	umbla după femei	disgust	0.617
dying	moarte	disgust	0.617
sickly	bolnăvicios	disgust	0.617
diaper	scutec	disgust	0.617
strangle	sugruma	disgust	0.617
drool	Bale	disgust	0.609
slander	calomnie	disgust	0.609
abhor	detesta	disgust	0.609
venomous	veninos	disgust	0.609
brothel	bordel	disgust	0.609
ghetto	ghetou	disgust	0.609
violently	violent	disgust	0.609
hostile	ostil	disgust	0.609
sabotage	sabotaj	disgust	0.609
deform	deforma	disgust	0.609
bleeding	sângerare	disgust	0.609
unwashed	nespălat	disgust	0.602
lunacy	nebunie	disgust	0.602
imprisonment	pedeapsa cu închisoarea	disgust	0.602
infidel	necredincios	disgust	0.602
deprivation	privațiune	disgust	0.602
traitor	trădător	disgust	0.602
ugliness	urâţenie	disgust	0.602
musty	prăfuit	disgust	0.602
illicit	ilicit	disgust	0.602
swampy	mlăştinos	disgust	0.602
poaching	braconaj	disgust	0.602
hag	hoanghină	disgust	0.602
butcher	măcelar	disgust	0.594
lunatic	nebun	disgust	0.594
venom	venin	disgust	0.594
repelling	respingător	disgust	0.594
thug	asasin	disgust	0.594
misery	mizerie	disgust	0.594
toilet	toaletă	disgust	0.594
slug	melc	disgust	0.594
catastrophe	catastrofă	disgust	0.594
epidemic	epidemie	disgust	0.594
gut	intestin	disgust	0.594
intoxicated	în stare de ebrietate	disgust	0.594
blister	bășică	disgust	0.594
deceitful	înşelător	disgust	0.594
hostility	ostilitate	disgust	0.594
queasiness	greaţă	disgust	0.594
lurid	sângeriu	disgust	0.594
sinner	păcătos	disgust	0.594
incubus	spirit rău	disgust	0.586
lavatory	spălător	disgust	0.586
harass	hărțui	disgust	0.586
unclean	necurat	disgust	0.586
prostitute	prostituată	disgust	0.586
pornography	pornografie	disgust	0.586
dreadful	îngrozitor	disgust	0.586
deteriorated	deteriorat	disgust	0.586
appalling	îngrozitor	disgust	0.586
unfaithful	necredincios	disgust	0.578
rash	eczemă	disgust	0.578
humiliating	umilitor	disgust	0.578
ruinous	ruinător	disgust	0.578
squeamish	greu de mulțumit	disgust	0.578
offensive	ofensator	disgust	0.578
conspirator	conspirator	disgust	0.578
larceny	furt	disgust	0.578
debauchery	depravare	disgust	0.578
mangle	calandru	disgust	0.578
flea	purice	disgust	0.578
hypocrite	ipocrit	disgust	0.578
retard	întârzia	disgust	0.578
fiend	satana	disgust	0.578
sick	bolnav	disgust	0.578
quagmire	mlaştină	disgust	0.578
expulsion	expulzare	disgust	0.578
treacherous	perfid	disgust	0.570
dogsick	NO TRANSLATION	disgust	0.570
spit	scuipat	disgust	0.570
devastating	devastator	disgust	0.570
bastard	Bastard	disgust	0.570
messy	murdar	disgust	0.570
flog	biciui	disgust	0.570
egregious	extraordinar	disgust	0.570
swamp	mlaştină	disgust	0.570
oppress	asupri	disgust	0.570
despise	dispreţui	disgust	0.570
dank	NO TRANSLATION	disgust	0.570
serpent	şarpe	disgust	0.570
snake	şarpe	disgust	0.562
terrible	teribil	disgust	0.562
awful	îngrozitor	disgust	0.562
harmful	nociv	disgust	0.562
insanity	nebunie	disgust	0.562
indecent	indecent	disgust	0.562
sordid	sordid	disgust	0.562
loo	loo	disgust	0.562
scoundrel	ticălos	disgust	0.562
enemy	dusman	disgust	0.562
stealing	furat	disgust	0.562
alcoholism	alcoolism	disgust	0.562
humiliation	umilire	disgust	0.562
ruthless	nemilos	disgust	0.562
sloppy	desfundat	disgust	0.562
tyrannical	tiranic	disgust	0.562
harlot	prostituată	disgust	0.562
sinning	păcătuind	disgust	0.562
robbery	jaf	disgust	0.555
insufferable	insuportabil	disgust	0.555
arsenic	arsenic	disgust	0.555
bloody	sângeros	disgust	0.555
odious	odios	disgust	0.555
ridicule	ridicol	disgust	0.555
atrophy	atrofie	disgust	0.555
beastly	câinesc	disgust	0.555
collusion	înțelegere secretă	disgust	0.555
distaste	dezgust	disgust	0.555
segregate	separa	disgust	0.555
discriminating	discriminatoriu	disgust	0.555
coward	laş	disgust	0.555
wickedness	răutate	disgust	0.555
threatening	amenințător	disgust	0.555
unattractive	neatrăgător	disgust	0.555
slayer	criminal	disgust	0.555
flabby	flasc	disgust	0.555
varicella	varicela	disgust	0.555
miserable	mizerabil	disgust	0.547
sty	urcior	disgust	0.547
ogre	căpcăun	disgust	0.547
coercion	constrângere	disgust	0.547
thief	hoţ	disgust	0.547
slur	legato	disgust	0.547
suffocating	sufocant	disgust	0.547
anathema	anatemă	disgust	0.547
purgatory	purgatoriu	disgust	0.547
malevolent	răuvoitor	disgust	0.547
bitterly	amar	disgust	0.547
burglar	hoț	disgust	0.547
attacking	atacare	disgust	0.547
vesicular	veziculară	disgust	0.547
condemnation	condamnare	disgust	0.547
pillage	prădare	disgust	0.547
deleterious	vătămător	disgust	0.547
thrash	chelfăni	disgust	0.539
repellant	repelent	disgust	0.539
repudiation	repudiere	disgust	0.539
infidelity	infidelitate	disgust	0.539
liar	mincinos	disgust	0.539
fatty	gras	disgust	0.539
gob	îmbucătură	disgust	0.539
