word	Russian-ru	emotion	emotion-intensity-score
vision	видение	anticipation	0.633
passionate	страстный	anticipation	0.633
delight	восторг	anticipation	0.633
destiny	судьба	anticipation	0.633
ominous	угрожающий	anticipation	0.633
coming	приход	anticipation	0.633
await	Ждите	anticipation	0.633
passion	страсть	anticipation	0.633
firstborn	первенец	anticipation	0.633
captivate	пленять	anticipation	0.633
prepare	подготовить	anticipation	0.633
miracle	чудо	anticipation	0.633
triumphant	торжествующий	anticipation	0.625
lust	похоть	anticipation	0.625
retirement	выход на пенсию	anticipation	0.625
escape	побег	anticipation	0.625
gift	подарок	anticipation	0.625
inspiration	вдохновение	anticipation	0.625
optimism	оптимизм	anticipation	0.625
foresee	предвидеть	anticipation	0.625
ripen	созревать	anticipation	0.625
revival	возрождение	anticipation	0.625
embrace	охватывать	anticipation	0.617
risky	рискованный	anticipation	0.617
ambition	амбиция	anticipation	0.617
simmering	кипение	anticipation	0.617
surprisingly	как ни странно	anticipation	0.617
verge	обочина	anticipation	0.617
enchanting	феерический	anticipation	0.617
bloom	цветение	anticipation	0.617
foresight	предвидение	anticipation	0.617
foreboding	предчувствие	anticipation	0.617
destined	предназначенный	anticipation	0.617
succeeding	последующий	anticipation	0.609
magical	волшебный	anticipation	0.609
bonus	бонус	anticipation	0.609
lookout	быть осторожным	anticipation	0.609
matrimony	брак	anticipation	0.609
alerts	оповещения	anticipation	0.609
anxiety	тревожность	anticipation	0.609
seductive	соблазнительный	anticipation	0.609
forecast	прогноз	anticipation	0.609
intended	предназначена	anticipation	0.602
inspire	внушать	anticipation	0.602
diagnosis	диагностика	anticipation	0.602
visionary	провидец	anticipation	0.602
nervous	нервное	anticipation	0.602
deserve	заслуживать	anticipation	0.602
fulfillment	выполнение	anticipation	0.602
picnic	пикник	anticipation	0.602
applicant	заявитель	anticipation	0.602
foreseen	предвиденный	anticipation	0.602
entertaining	развлекательный	anticipation	0.602
revenge	жажда мести	anticipation	0.602
success	успех	anticipation	0.602
prophetic	пророческий	anticipation	0.602
winner	победитель	anticipation	0.602
longing	желание	anticipation	0.602
boomerang	бумеранг	anticipation	0.602
result	результат	anticipation	0.594
accelerate	ускорять	anticipation	0.594
buzz	жужжание	anticipation	0.594
acquiring	приобретение	anticipation	0.594
marry	выйти замуж	anticipation	0.594
illuminate	освещать	anticipation	0.594
romance	романс	anticipation	0.594
rekindle	возродить	anticipation	0.594
luck	везение	anticipation	0.594
advent	приход	anticipation	0.594
preparedness	готовность	anticipation	0.594
momentum	импульс	anticipation	0.594
arrive	прибыть	anticipation	0.594
predict	прогнозировать	anticipation	0.589
sequel	продолжение	anticipation	0.586
money	Деньги	anticipation	0.586
endeavor	прилагать усилия	anticipation	0.586
auspices	покровительство	anticipation	0.586
fiesta	фиеста	anticipation	0.586
raffle	лотерея	anticipation	0.586
preparation	подготовка	anticipation	0.586
uplift	подъем	anticipation	0.586
investigation	расследование	anticipation	0.586
gambling	игорный	anticipation	0.586
delightful	восхитительный	anticipation	0.586
enjoying	наслаждаясь	anticipation	0.586
seek	искать	anticipation	0.586
impatient	нетерпеливый	anticipation	0.586
overdue	просроченный	anticipation	0.586
crave	жаждать	anticipation	0.586
flirt	флиртовать	anticipation	0.586
enthusiast	энтузиаст	anticipation	0.586
presumption	презумпция	anticipation	0.586
immerse	погружать	anticipation	0.586
progression	прогрессия	anticipation	0.586
experiment	эксперимент	anticipation	0.580
inviting	манящий	anticipation	0.578
precarious	ненадежный	anticipation	0.578
blessing	благословение	anticipation	0.578
harvest	уборка урожая	anticipation	0.578
transcendence	превосходство	anticipation	0.578
heavenly	небесный	anticipation	0.578
attainable	достижимый	anticipation	0.578
enjoy	наслаждаться	anticipation	0.578
divination	гадание	anticipation	0.578
excavation	земляные работы	anticipation	0.578
healing	исцеление	anticipation	0.578
majestic	величавый	anticipation	0.578
clamor	ропот	anticipation	0.578
thirst	жажда	anticipation	0.578
remedy	средство	anticipation	0.578
prosper	процветать	anticipation	0.578
risk	риск	anticipation	0.578
angling	ужение	anticipation	0.578
completing	комплектующие	anticipation	0.578
thriving	процветающий	anticipation	0.578
zest	цедра	anticipation	0.570
tease	дразнить	anticipation	0.570
matchmaker	сваха	anticipation	0.570
prospectively	перспективно	anticipation	0.570
restlessness	неугомонность	anticipation	0.570
sweetheart	возлюбленная	anticipation	0.570
emancipation	эмансипация	anticipation	0.570
ultimate	окончательный	anticipation	0.570
invite	приглашать	anticipation	0.570
gambler	азартный игрок	anticipation	0.570
dare	сметь	anticipation	0.570
plan	план	anticipation	0.570
magnificence	парадность	anticipation	0.570
warned	предупреждала	anticipation	0.570
finally	в конце концов	anticipation	0.570
intimate	интимный	anticipation	0.570
omen	примета	anticipation	0.570
attempt	попытка	anticipation	0.562
forewarned	предупрежден	anticipation	0.562
fun	весело	anticipation	0.562
festival	фестиваль	anticipation	0.562
trophy	трофей	anticipation	0.562
rejoice	радоваться	anticipation	0.562
fanfare	фанфара	anticipation	0.562
predilection	склонность	anticipation	0.562
exalt	сгущать	anticipation	0.562
parade	парад	anticipation	0.562
enchant	очаровывать	anticipation	0.562
independence	независимость	anticipation	0.562
expose	разоблачать	anticipation	0.562
immortality	бессмертие	anticipation	0.562
expected	ожидаемый	anticipation	0.562
mysterious	загадочный	anticipation	0.562
hypothesis	гипотеза	anticipation	0.562
accolade	акколада	anticipation	0.562
lover	любовник	anticipation	0.562
quicken	оживлять	anticipation	0.562
champion	чемпион	anticipation	0.562
lovely	прекрасный	anticipation	0.555
rejoicing	радость	anticipation	0.555
grasping	захватывая	anticipation	0.555
grow	расти	anticipation	0.555
curiosity	любопытство	anticipation	0.555
splendor	пышность	anticipation	0.555
salvation	спасение	anticipation	0.555
happy	счастливый	anticipation	0.555
oracle	оракул	anticipation	0.555
amour	NO TRANSLATION	anticipation	0.555
unfold	раскрываться	anticipation	0.555
boisterous	неистовый	anticipation	0.555
liberty	свобода	anticipation	0.555
heroism	героизм	anticipation	0.555
feeling	чувство	anticipation	0.555
shopping	поход по магазинам	anticipation	0.555
fate	судьба	anticipation	0.555
uneasiness	стесненность	anticipation	0.555
speculative	умозрительный	anticipation	0.555
changeable	Сменный	anticipation	0.547
recreational	развлекательный	anticipation	0.547
pray	молиться	anticipation	0.547
warn	предупреждать	anticipation	0.547
suspicious	подозрительный	anticipation	0.547
convergence	конвергенция	anticipation	0.547
incite	подстрекать	anticipation	0.547
agape	разинув рот	anticipation	0.547
morrow	завтра	anticipation	0.547
abundance	изобилие	anticipation	0.547
delighted	Обрадованный	anticipation	0.547
resultant	результирующий	anticipation	0.547
hungry	голодный	anticipation	0.547
monetary	денежный	anticipation	0.547
vote	голос	anticipation	0.547
glory	слава	anticipation	0.547
glimmer	мерцание	anticipation	0.547
apprehensive	опасающийся	anticipation	0.547
sorcery	колдовство	anticipation	0.547
bountiful	обильный	anticipation	0.547
leisure	досуг	anticipation	0.547
probability	вероятность	anticipation	0.547
auction	аукцион	anticipation	0.539
hunting	охота	anticipation	0.539
contingent	контингент	anticipation	0.539
hankering	страстное желание	anticipation	0.539
sensual	чувственный	anticipation	0.539
blessings	благословения	anticipation	0.539
ballot	голосование	anticipation	0.539
grandchildren	внучата	anticipation	0.539
entertainment	развлекательная программа	anticipation	0.539
vindication	истребование	anticipation	0.539
worrying	беспокойство	anticipation	0.539
tempest	буря	anticipation	0.539
inquiry	запрос	anticipation	0.539
merge	сливаться	anticipation	0.539
exceed	превышать	anticipation	0.539
bounty	щедрость	anticipation	0.539
glad	довольный	anticipation	0.536
magnificent	великолепный	anticipation	0.531
feat	подвиг	anticipation	0.531
stealthy	скрытый	anticipation	0.531
cheer	ура	anticipation	0.531
spirits	настроение	anticipation	0.531
visitor	посетитель	anticipation	0.531
appeal	обращение	anticipation	0.531
forming	формирование	anticipation	0.531
hurried	поспешный	anticipation	0.531
responsive	отзывчивый	anticipation	0.531
virginity	девственность	anticipation	0.531
deliverance	избавление	anticipation	0.531
betrothed	обручена	anticipation	0.531
overthrow	низвержение	anticipation	0.531
harbinger	предвестник	anticipation	0.531
raving	бесноватый	anticipation	0.531
celestial	астрономический	anticipation	0.531
dread	страшиться	anticipation	0.531
germination	прорастание	anticipation	0.523
preparatory	подготовительный	anticipation	0.523
pleasant	приятный	anticipation	0.523
watch	смотреть	anticipation	0.523
prophet	пророк	anticipation	0.523
prognostic	предвещающий	anticipation	0.523
haste	поспешность	anticipation	0.523
planning	планирование	anticipation	0.523
importance	важность	anticipation	0.523
radiance	светимость	anticipation	0.523
prevail	превалировать	anticipation	0.523
cheery	бодрый	anticipation	0.523
competition	соревнование	anticipation	0.523
ultimately	в конечном счете	anticipation	0.523
revive	возрождать	anticipation	0.523
beaming	лучезарный	anticipation	0.523
wait	Подождите	anticipation	0.523
child	ребенок	anticipation	0.523
notification	уведомление	anticipation	0.523
hunter	охотник	anticipation	0.523
explosive	взрывной	anticipation	0.523
endanger	подвергать опасности	anticipation	0.516
time	время	anticipation	0.516
recreation	отдых	anticipation	0.516
renovation	ремонт	anticipation	0.516
precious	драгоценный	anticipation	0.516
begun	начатый	anticipation	0.516
loom	ткацкий станок	anticipation	0.516
compensate	компенсировать	anticipation	0.516
treat	рассматривать	anticipation	0.516
uncontrollable	неконтролируемый	anticipation	0.516
present	настоящее время	anticipation	0.516
salary	зарплата	anticipation	0.516
celebrity	знаменитость	anticipation	0.516
owing	обязанный	anticipation	0.516
chocolate	шоколад	anticipation	0.516
caution	осторожность	anticipation	0.516
fermentation	ферментация	anticipation	0.516
sensuality	чувственность	anticipation	0.516
wilderness	пустыня	anticipation	0.508
signify	означать	anticipation	0.508
transitional	переходный	anticipation	0.508
intermission	антракт	anticipation	0.508
contemplation	созерцание	anticipation	0.508
vigilance	зоркость	anticipation	0.508
commemoration	поминовение	anticipation	0.508
practise	практика	anticipation	0.508
cue	кий	anticipation	0.508
infant	младенец	anticipation	0.508
dreadful	ужасный	anticipation	0.508
perfection	совершенство	anticipation	0.508
elevation	высота	anticipation	0.508
prerequisite	предпосылка	anticipation	0.508
cultivate	культивировать	anticipation	0.508
horizon	горизонт	anticipation	0.508
develop	развивать	anticipation	0.508
exigent	NO TRANSLATION	anticipation	0.508
swim	плавать	anticipation	0.500
attendance	посещаемость	anticipation	0.500
nascent	рождающийся	anticipation	0.500
favorable	благоприятный	anticipation	0.500
peril	подвергать опасности	anticipation	0.500
income	доход	anticipation	0.500
ardent	пылкий	anticipation	0.500
commemorate	почтить память	anticipation	0.500
doomsday	конец света	anticipation	0.500
reconciliation	сверка	anticipation	0.500
utopian	утопический	anticipation	0.500
romantic	романтик	anticipation	0.500
unbridled	разнузданный	anticipation	0.500
sunny	солнечно	anticipation	0.500
uphill	в гору	anticipation	0.500
intuitively	интуитивно	anticipation	0.500
depart	отходить	anticipation	0.500
eventuality	случайность	anticipation	0.500
puppy	щенок	anticipation	0.500
zeal	рвение	anticipation	0.500
sneaking	подлый	anticipation	0.500
ready	готов	anticipation	0.500
advocacy	пропаганда	anticipation	0.500
airport	аэропорт	anticipation	0.500
litigate	судиться	anticipation	0.500
blindfold	повязка на глаза	anticipation	0.500
undisclosed	не указано	anticipation	0.500
young	молодой	anticipation	0.500
horoscope	Гороскоп	anticipation	0.500
invocation	вызов	anticipation	0.500
calculation	расчет	anticipation	0.500
hero	герой	anticipation	0.500
court	суд	anticipation	0.492
repay	погашать	anticipation	0.492
improvise	импровизировать	anticipation	0.492
parole	честное слово	anticipation	0.492
worry	беспокоиться	anticipation	0.492
inauguration	инаугурация	anticipation	0.492
gaping	зияющие	anticipation	0.492
youth	молодежь	anticipation	0.492
bless	благословить	anticipation	0.492
defense	защита	anticipation	0.492
heyday	расцвет	anticipation	0.492
consequent	следствие	anticipation	0.492
proceeding	судопроизводство	anticipation	0.492
eventual	возможный	anticipation	0.492
perspective	перспективы	anticipation	0.492
restorative	укрепляющий	anticipation	0.492
undertaking	предприятие	anticipation	0.492
highest	наибольший	anticipation	0.491
duel	поединок	anticipation	0.484
unexplained	необъяснимый	anticipation	0.484
tremor	тремор	anticipation	0.484
sharpen	точить	anticipation	0.484
generosity	щедрость	anticipation	0.484
voluptuous	сладострастный	anticipation	0.484
shortly	вскоре	anticipation	0.484
vow	клятва	anticipation	0.484
contagion	зараза	anticipation	0.484
letter	письмо	anticipation	0.484
happen	случаться	anticipation	0.484
threaten	угрожать	anticipation	0.484
conjure	заклинать	anticipation	0.484
sparkle	искриться	anticipation	0.484
engulf	поглощать	anticipation	0.484
god	Бог	anticipation	0.484
correspondence	переписка	anticipation	0.484
auspicious	благоприятный	anticipation	0.484
princely	царственный	anticipation	0.484
adore	обожать	anticipation	0.477
enroll	зачислять	anticipation	0.477
determinate	детерминированный	anticipation	0.477
predispose	предрасполагать	anticipation	0.477
clue	ключ к разгадке	anticipation	0.477
onset	начало	anticipation	0.477
powerful	мощный	anticipation	0.477
glorify	прославлять	anticipation	0.477
glow	пылать	anticipation	0.477
arbitration	арбитраж	anticipation	0.477
torture	пытки	anticipation	0.477
gravitate	тяготеть	anticipation	0.477
cherish	лелеять	anticipation	0.477
contemplate	созерцать	anticipation	0.477
submit	Отправить	anticipation	0.477
perilous	рискованный	anticipation	0.477
unification	объединение	anticipation	0.477
score	Гол	anticipation	0.477
medal	медаль	anticipation	0.477
glide	скольжение	anticipation	0.477
recipient	получатель	anticipation	0.477
accompaniment	сопровождение	anticipation	0.477
praiseworthy	похвальный	anticipation	0.473
providing	обеспечение	anticipation	0.469
motion	движение	anticipation	0.469
fete	NO TRANSLATION	anticipation	0.469
cautious	осторожный	anticipation	0.469
cash	денежные средства	anticipation	0.469
precursor	предшественник	anticipation	0.469
opera	опера	anticipation	0.469
elite	элита	anticipation	0.469
pry	подглядывать	anticipation	0.469
hire	Наем	anticipation	0.469
sweets	сладости	anticipation	0.469
star	звезда	anticipation	0.469
unsurpassed	непревзойденный	anticipation	0.469
successful	успешный	anticipation	0.469
unknown	неизвестный	anticipation	0.469
immediately	немедленно	anticipation	0.469
starry	звездный	anticipation	0.469
production	производство	anticipation	0.469
football	футбол	anticipation	0.469
completion	завершение	anticipation	0.469
scare	попугать	anticipation	0.469
invoke	взывать	anticipation	0.469
shaky	непрочный	anticipation	0.469
dawn	рассвет	anticipation	0.469
creeping	ползучий	anticipation	0.469
cheerfulness	бодрость	anticipation	0.461
soundness	прочность	anticipation	0.461
mail	почта	anticipation	0.461
draft	проект	anticipation	0.461
preliminary	предварительный	anticipation	0.461
friendly	дружелюбный	anticipation	0.461
commemorative	памятный	anticipation	0.461
extricate	выпутываться	anticipation	0.461
alive	в живых	anticipation	0.461
untold	бессчетный	anticipation	0.461
overture	увертюра	anticipation	0.461
excel	превосходить	anticipation	0.461
plight	положение	anticipation	0.461
synchronize	синхронизировать	anticipation	0.461
punt	плоскодонка	anticipation	0.461
sanctuary	святилище	anticipation	0.461
brilliant	блестящий	anticipation	0.461
pay	платить	anticipation	0.461
shining	блестящий	anticipation	0.461
regatta	регата	anticipation	0.461
testament	завещание	anticipation	0.461
jeopardy	подсудность	anticipation	0.461
perpetuity	бесконечность	anticipation	0.453
elegance	элегантность	anticipation	0.453
career	карьера	anticipation	0.453
basketball	баскетбол	anticipation	0.453
intimately	тесно	anticipation	0.453
renovate	ремонтировать	anticipation	0.453
supremacy	примат	anticipation	0.453
infinity	бесконечность	anticipation	0.453
unexpected	неожиданный	anticipation	0.453
flinch	вздрогнуть	anticipation	0.453
complement	дополнение	anticipation	0.453
prologue	пролог	anticipation	0.453
compliment	NO TRANSLATION	anticipation	0.453
prevention	профилактика	anticipation	0.453
improve	улучшать	anticipation	0.453
sunset	закат солнца	anticipation	0.453
inaugural	вступительный	anticipation	0.453
rehabilitation	реабилитация	anticipation	0.453
fitting	примерка	anticipation	0.445
surround	окружать	anticipation	0.445
share	доля	anticipation	0.445
epidemic	эпидемия	anticipation	0.445
sweet	милая	anticipation	0.445
fain	NO TRANSLATION	anticipation	0.445
concealment	маскировка	anticipation	0.445
confidence	уверенность	anticipation	0.445
perfect	идеально	anticipation	0.445
sun	солнце	anticipation	0.445
veracity	правдивость	anticipation	0.445
volunteer	доброволец	anticipation	0.445
conjecture	догадка	anticipation	0.445
medical	медицинская	anticipation	0.438
prepared	подготовленный	anticipation	0.438
superstitious	суеверный	anticipation	0.438
reconstruction	реконструкция	anticipation	0.438
tickle	щекотать	anticipation	0.438
faith	вера	anticipation	0.438
passenger	пассажир	anticipation	0.438
saint	святой	anticipation	0.438
respect	уважение	anticipation	0.438
rabid	бешеный	anticipation	0.438
reconstruct	реконструировать	anticipation	0.438
recombination	рекомбинация	anticipation	0.438
devout	благочестивый	anticipation	0.438
goodness	доброта	anticipation	0.438
angel	ангел	anticipation	0.438
ferment	брожение	anticipation	0.438
plea	мольба	anticipation	0.438
aloha	алоха	anticipation	0.438
serial	последовательный	anticipation	0.438
conservation	сохранение	anticipation	0.438
serenity	безмятежность	anticipation	0.430
tabulate	пластинчатый	anticipation	0.430
install	устанавливать	anticipation	0.430
labyrinth	лабиринт	anticipation	0.430
venerable	почтенный	anticipation	0.430
perpetuate	увековечивать	anticipation	0.430
strategist	стратег	anticipation	0.430
unverified	непроверенный	anticipation	0.430
tribunal	суд	anticipation	0.430
charitable	благотворительный	anticipation	0.430
luscious	приторный	anticipation	0.430
spa	спа	anticipation	0.430
peace	мир	anticipation	0.430
clap	хлопать в ладоши	anticipation	0.430
conspirator	заговорщик	anticipation	0.422
forestall	упреждать	anticipation	0.422
patience	терпение	anticipation	0.422
oasis	оазис	anticipation	0.422
grin	усмешка	anticipation	0.422
revere	благоговеть	anticipation	0.422
worship	поклонение	anticipation	0.422
vista	перспектива	anticipation	0.422
laughter	смех	anticipation	0.422
volatility	летучесть	anticipation	0.422
adrift	дрейфовать	anticipation	0.422
candid	беспристрастный	anticipation	0.422
edification	назидание	anticipation	0.422
unresolved	неразрешенный	anticipation	0.422
peaceful	мирное	anticipation	0.422
recognizable	узнаваемый	anticipation	0.422
calls	звонки	anticipation	0.414
weigh	взвешивать	anticipation	0.414
probation	испытательный срок	anticipation	0.414
proficiency	умение	anticipation	0.414
morn	утро	anticipation	0.414
craps	азартная игра в кости	anticipation	0.414
detainee	задержанный	anticipation	0.414
mediate	посредничать	anticipation	0.414
continue	Продолжать	anticipation	0.414
astrologer	астролог	anticipation	0.414
punctual	пунктуальный	anticipation	0.414
ordination	рукоположение	anticipation	0.414
pretty	Симпатичная	anticipation	0.414
thought	думал	anticipation	0.414
grant	даровать	anticipation	0.414
withstand	выдерживать	anticipation	0.414
frisky	резвый	anticipation	0.414
ongoing	постоянный	anticipation	0.414
sing	петь	anticipation	0.411
long	длинный	anticipation	0.406
confession	признание	anticipation	0.406
headlight	передняя фара	anticipation	0.406
prophylactic	профилактический	anticipation	0.406
mother	мама	anticipation	0.406
debenture	облигация	anticipation	0.406
wizard	волшебник	anticipation	0.406
university	Университет	anticipation	0.406
proud	гордый	anticipation	0.406
midwife	акушерка	anticipation	0.406
banquet	банкет	anticipation	0.406
continuation	продолжение	anticipation	0.406
navigable	судоходный	anticipation	0.406
punished	наказали	anticipation	0.406
chicane	придираться	anticipation	0.406
comfort	комфорт	anticipation	0.406
opponent	противник	anticipation	0.406
subscribe	подписываться	anticipation	0.406
outdo	перещеголять	anticipation	0.406
nurture	взрастить	anticipation	0.406
twinkle	мерцать	anticipation	0.406
deal	по рукам	anticipation	0.402
efficient	эффективное	anticipation	0.398
representing	представляющий	anticipation	0.398
simmer	кипятить на медленном огне	anticipation	0.398
symphony	симфония	anticipation	0.398
judiciary	судебная система	anticipation	0.398
obliging	услужливый	anticipation	0.398
saintly	безгрешный	anticipation	0.398
vigil	бдение	anticipation	0.398
death	смерть	anticipation	0.398
distracting	отвлекающий	anticipation	0.398
mortification	омертвение	anticipation	0.398
balm	бальзам	anticipation	0.398
guillotine	гильотина	anticipation	0.398
top	Вверх	anticipation	0.398
lettered	литерный	anticipation	0.398
reliance	опора	anticipation	0.398
poke	совать	anticipation	0.391
unfulfilled	невыполненный	anticipation	0.391
assurance	гарантия	anticipation	0.391
condemnation	осуждение	anticipation	0.391
undoubted	бесспорный	anticipation	0.391
diplomacy	дипломатия	anticipation	0.391
familiarity	знакомство	anticipation	0.391
antidote	антидот	anticipation	0.391
chuckle	посмеиваться	anticipation	0.391
objective	задача	anticipation	0.391
maternal	материнский	anticipation	0.391
abeyance	латентность	anticipation	0.391
art	Изобразительное искусство	anticipation	0.391
linger	задерживаться	anticipation	0.391
trust	доверять	anticipation	0.391
depraved	развращенный	anticipation	0.391
sanctify	освящать	anticipation	0.391
inoculation	прививка	anticipation	0.384
chant	песнопение	anticipation	0.383
banger	сосиска	anticipation	0.383
playground	детская площадка	anticipation	0.383
failing	провал	anticipation	0.383
ship	корабль	anticipation	0.383
hymn	гимн	anticipation	0.383
simplify	упрощать	anticipation	0.383
ram	ОЗУ	anticipation	0.383
labor	труд, работа	anticipation	0.383
discretion	осмотрительность	anticipation	0.383
hap	NO TRANSLATION	anticipation	0.383
good	хорошо	anticipation	0.383
scientist	ученый	anticipation	0.383
undecided	нерешительный	anticipation	0.383
humanitarian	гуманитарный	anticipation	0.383
depend	зависеть	anticipation	0.383
dutiful	покорный	anticipation	0.383
clock	Часы	anticipation	0.375
sterling	стерлинг	anticipation	0.375
mountain	гора	anticipation	0.375
savor	Вкус	anticipation	0.375
recurrent	возвратный	anticipation	0.375
interim	промежуточный	anticipation	0.375
navigator	навигатор	anticipation	0.375
gradual	постепенный	anticipation	0.375
interminable	бесконечный	anticipation	0.375
track	трек	anticipation	0.375
public	общественности	anticipation	0.375
cradle	колыбель	anticipation	0.375
concealed	скрытый	anticipation	0.367
lesson	урок	anticipation	0.367
instructions	инструкции	anticipation	0.367
shiver	дрожать	anticipation	0.367
musical	музыкальный	anticipation	0.367
towering	возвышающийся	anticipation	0.367
whim	прихоть	anticipation	0.367
spear	копье	anticipation	0.367
convince	убеждать	anticipation	0.367
sonar	сонар	anticipation	0.367
abide	соблюдать	anticipation	0.367
biennial	двухгодичный	anticipation	0.367
theology	теология	anticipation	0.359
offset	смещение	anticipation	0.359
atone	искупать	anticipation	0.359
timidity	робость	anticipation	0.359
theory	теория	anticipation	0.359
undying	бессмертный	anticipation	0.359
plump	полнеть	anticipation	0.359
audience	аудитория	anticipation	0.357
nobility	знать	anticipation	0.352
paragon	парагон	anticipation	0.352
dietary	диетический	anticipation	0.352
closure	закрытие	anticipation	0.352
store	магазин	anticipation	0.352
localize	локализовать	anticipation	0.352
cramp	судорога	anticipation	0.352
daily	ежедневно	anticipation	0.352
kindred	родственный	anticipation	0.352
farm	ферма	anticipation	0.352
edition	издание	anticipation	0.352
consecration	освящение	anticipation	0.352
archaeology	археология	anticipation	0.344
mobile	мобильный	anticipation	0.344
errand	поручение	anticipation	0.344
wireless	беспроводной	anticipation	0.344
mutable	изменчивый	anticipation	0.344
meditate	обдумывать	anticipation	0.344
stripped	раздетый	anticipation	0.344
lessen	уменьшать	anticipation	0.336
unaccountable	необъяснимый	anticipation	0.336
pare	NO TRANSLATION	anticipation	0.336
brotherly	братский	anticipation	0.336
buddy	дружище	anticipation	0.336
unbeaten	непревзойденный	anticipation	0.336
germ	микроб	anticipation	0.336
dove	голубь	anticipation	0.328
digress	отступать	anticipation	0.328
ribbon	лента	anticipation	0.328
olfactory	обонятельный	anticipation	0.328
patient	пациент	anticipation	0.328
council	совет	anticipation	0.328
possess	обладать	anticipation	0.328
secular	светский	anticipation	0.328
chastity	целомудрие	anticipation	0.328
disposed	расположенный	anticipation	0.320
regularity	регулярность	anticipation	0.320
mediator	медиатор	anticipation	0.320
scrutinize	тщательно исследовать	anticipation	0.320
fancy	маскарадный	anticipation	0.320
immature	незрелый	anticipation	0.320
infanticide	детоубийство	anticipation	0.320
heft	приподнимать	anticipation	0.320
preservative	консервант	anticipation	0.320
paddle	весло	anticipation	0.320
cove	бухточка	anticipation	0.320
denying	отрицающий	anticipation	0.312
bugle	горн	anticipation	0.312
unpublished	неопубликованный	anticipation	0.312
analyst	аналитик	anticipation	0.312
grim	мрачный	anticipation	0.312
church	церковь	anticipation	0.312
priesthood	священство	anticipation	0.305
mill	мельница	anticipation	0.305
judicial	судебная	anticipation	0.305
broadside	бортовой залп	anticipation	0.305
tributary	данник	anticipation	0.297
cap	кепка	anticipation	0.297
thermocouple	термопара	anticipation	0.297
dismay	испуг	anticipation	0.297
instructor	инструктор	anticipation	0.297
saliva	слюна	anticipation	0.297
exhaustion	истощение	anticipation	0.297
bruise	синяк	anticipation	0.289
wont	NO TRANSLATION	anticipation	0.289
homeless	бездомный	anticipation	0.289
visor	козырек	anticipation	0.289
discreet	NO TRANSLATION	anticipation	0.289
network	сеть	anticipation	0.289
shackle	дужка	anticipation	0.289
addresses	адреса	anticipation	0.289
noncompliance	несогласованность	anticipation	0.289
cataract	катаракта	anticipation	0.289
skewed	перекос	anticipation	0.281
astronomer	астроном	anticipation	0.281
neighbor	сосед	anticipation	0.281
holiness	благочестие	anticipation	0.273
devil	дьявол	anticipation	0.273
cream	крем	anticipation	0.273
picket	пикет	anticipation	0.273
latent	латентный	anticipation	0.273
immaturity	незрелость	anticipation	0.273
sentence	предложение	anticipation	0.273
neighborhood	окрестности	anticipation	0.266
morals	нравы	anticipation	0.266
lull	затишье	anticipation	0.266
habitual	привычный	anticipation	0.266
weight	вес	anticipation	0.258
bye	пока	anticipation	0.258
forearm	предплечье	anticipation	0.250
clown	клоун	anticipation	0.250
organ	орган	anticipation	0.250
quote	котировка	anticipation	0.242
commonplace	банальность	anticipation	0.242
dictatorship	диктатура	anticipation	0.234
board	доска	anticipation	0.234
white	белый	anticipation	0.234
treadmill	бегущая дорожка	anticipation	0.234
rail	рельс	anticipation	0.234
sundial	солнечные часы	anticipation	0.227
tree	дерево	anticipation	0.227
paralysis	паралич	anticipation	0.211
worm	червь	anticipation	0.203
organization	организация	anticipation	0.203
cement	цемент	anticipation	0.203
lagging	отстающий	anticipation	0.180
neutral	нейтральный	anticipation	0.148
cannibalism	людоедство	disgust	0.953
mutilation	увечье	disgust	0.930
molestation	назойливость	disgust	0.914
incest	кровосмешение	disgust	0.914
gonorrhea	гонорея	disgust	0.906
rape	изнасилование	disgust	0.906
cannibal	каннибал	disgust	0.898
rot	гниль	disgust	0.891
corpse	труп	disgust	0.883
massacre	бойня	disgust	0.883
excrement	экскременты	disgust	0.883
slaughter	убой скота	disgust	0.875
barf	блевать	disgust	0.875
slaughterhouse	скотобойня	disgust	0.867
rancid	прогорклый	disgust	0.859
sewerage	канализация	disgust	0.859
incestuous	кровосмесительный	disgust	0.859
filth	гадость	disgust	0.859
bigot	изувер	disgust	0.859
infestation	заражение	disgust	0.852
plague	чума	disgust	0.852
bloodthirsty	кровожадный	disgust	0.852
holocaust	истребление	disgust	0.852
rotting	гниющих	disgust	0.844
maggot	личинка	disgust	0.844
feces	фекалии	disgust	0.844
fecal	фекальный	disgust	0.844
murder	убийство	disgust	0.839
infanticide	детоубийство	disgust	0.836
homicide	убийство	disgust	0.836
asshole	Мудак	disgust	0.836
enslaved	порабощенный	disgust	0.836
gore	ластовица	disgust	0.828
perverted	извращенный	disgust	0.828
torture	пытки	disgust	0.828
slaughtering	забой	disgust	0.828
excretion	экскреция	disgust	0.828
contaminate	загрязнять	disgust	0.821
murderer	убийца	disgust	0.820
gory	окровавленный	disgust	0.820
repugnant	отвратительный	disgust	0.820
desecration	осквернение	disgust	0.820
grotesque	гротеск	disgust	0.820
revolting	отвратительный	disgust	0.820
diarrhoea	понос	disgust	0.820
manure	навоз	disgust	0.820
terrorist	террорист	disgust	0.820
shit	дерьмо	disgust	0.820
pervert	извращенец	disgust	0.820
slavery	рабство	disgust	0.812
faeces	кал	disgust	0.812
sewer	сточная труба	disgust	0.812
