word	Scots Gaelic-gd	emotion	emotion-intensity-score
fecal	fecal	disgust	0.844
murder	murt	disgust	0.839
infanticide	leanabas	disgust	0.836
homicide	marbhadh	disgust	0.836
asshole	asshole	disgust	0.836
enslaved	saoradh	disgust	0.836
gore	gore	disgust	0.828
perverted	mì-fhortanach	disgust	0.828
torture	cràdh	disgust	0.828
slaughtering	a 'marbhadh	disgust	0.828
excretion	eisimeileachd	disgust	0.828
contaminate	truailleadh	disgust	0.821
murderer	Murderer	disgust	0.820
gory	gory	disgust	0.820
repugnant	mì-fhortanach	disgust	0.820
desecration	ciùradh	disgust	0.820
grotesque	grotesque	disgust	0.820
revolting	sabaid	disgust	0.820
diarrhoea	buinneach	disgust	0.820
manure	aodach	disgust	0.820
terrorist	ceannairc	disgust	0.820
shit	shit	disgust	0.820
pervert	mì-fhortanach	disgust	0.820
slavery	tràilleachd	disgust	0.812
faeces	faeces	disgust	0.812
sewer	òtrachas	disgust	0.812
vomit	èideadh	disgust	0.812
manslaughter	daonnachadh	disgust	0.812
dismemberment	dùnadh	disgust	0.812
cadaver	cairbh	disgust	0.812
hemorrhage	hemorrhage	disgust	0.805
repulsive	èibhinn	disgust	0.805
perverse	mì-fhortanach	disgust	0.805
filthy	fuilteach	disgust	0.797
sewage	òtrachas	disgust	0.797
depravity	dealachaidh	disgust	0.797
diseased	galar	disgust	0.797
carcass	crosab	disgust	0.795
decompose	dealachadh	disgust	0.789
vermin	mionnan	disgust	0.789
puke	puke	disgust	0.789
parasite	leacach	disgust	0.789
horrific	uabhasach	disgust	0.789
gruesome	s an Iar-Dheas	disgust	0.789
dung	NO TRANSLATION	disgust	0.789
mutilated	air a mhilleadh	disgust	0.789
murderous	murt	disgust	0.789
decayed	sguabadh às	disgust	0.789
herpes	herpes	disgust	0.789
slime	slime	disgust	0.781
flatulence	flatulence	disgust	0.781
monstrosity	mìorbhaileach	disgust	0.781
carnage	feòil	disgust	0.781
pestilence	pestilence	disgust	0.781
malaria	malaria	disgust	0.781
crap	crap	disgust	0.781
toxic	puinnseanta	disgust	0.773
loathsome	duilich	disgust	0.773
insidious	sàmhach	disgust	0.773
leprosy	luibhre	disgust	0.773
morgue	morgue	disgust	0.773
pus	pus	disgust	0.773
herpesvirus	herpesvirus	disgust	0.773
whore	brògan	disgust	0.766
cruel	cruaidh	disgust	0.766
repugnance	a dhìth	disgust	0.766
revulsion	ath-bheothachadh	disgust	0.766
xenophobia	xenophobia	disgust	0.766
regurgitation	ath-bheothachadh	disgust	0.766
anthrax	anthrax	disgust	0.766
lynch	lynch	disgust	0.766
dissection	sgaoileadh	disgust	0.759
canker	canker	disgust	0.758
cruelty	cruelty	disgust	0.758
perversion	aimhreit	disgust	0.758
evil	olc	disgust	0.758
slum	slum	disgust	0.758
infectious	gabhaltach	disgust	0.758
mucous	mucous	disgust	0.758
phlegm	phlegm	disgust	0.758
leeches	leeches	disgust	0.750
decomposition	cromadh	disgust	0.750
sinister	gun teagamh	disgust	0.750
corrupting	truailleadh	disgust	0.750
demon	deam	disgust	0.742
stinking	sàmhach	disgust	0.742
septic	seachdainn	disgust	0.742
deranged	deanged	disgust	0.742
bile	bile	disgust	0.742
soiled	sgaoileadh	disgust	0.742
mucus	mucus	disgust	0.742
abhorrence	gràdh	disgust	0.742
abomination	gràineileachd	disgust	0.742
sickening	tinneas	disgust	0.742
demonic	deuchainn	disgust	0.742
foul	bòidheach	disgust	0.734
obese	reamhar	disgust	0.734
sicken	tinneas	disgust	0.734
degeneracy	degeneracy	disgust	0.734
crucifixion	cruisneachadh	disgust	0.734
despicable	gun teagamh	disgust	0.734
cancer	aillse	disgust	0.734
atrocity	aimhreit	disgust	0.734
terrorism	uamhasachd	disgust	0.734
dirty	salach	disgust	0.727
dysentery	dysentery	disgust	0.727
adultery	adhaltranas	disgust	0.727
contamination	truailleadh	disgust	0.727
bacterium	bacterium	disgust	0.727
diabolical	sgaoileadh	disgust	0.727
morbidity	morbidity	disgust	0.727
grisly	gu cruaidh	disgust	0.727
repulsion	sèididh	disgust	0.727
enema	enema	disgust	0.727
contagion	sàrachadh	disgust	0.719
disfigured	neo-fhoirmeil	disgust	0.719
muck	muck	disgust	0.719
lewd	lewd	disgust	0.719
garbage	sgudal	disgust	0.719
autopsy	autopsy	disgust	0.719
bowels	inbhich	disgust	0.719
gross	gross	disgust	0.719
vulgar	vulgar	disgust	0.719
barbaric	barbaric	disgust	0.719
disgust	dìomhaireachd	disgust	0.719
vicious	duilich	disgust	0.719
entrails	steach	disgust	0.719
deterioration	ìsleachadh	disgust	0.719
pungent	sgiobalta	disgust	0.719
bloodshed	falamh fala	disgust	0.714
violent	fòirneartach	disgust	0.711
tyrant	tighearna	disgust	0.711
poisoned	puinnseanachadh	disgust	0.711
pollute	truailleadh	disgust	0.711
wretched	muladach	disgust	0.711
nausea	nausea	disgust	0.711
mortification	bàsachadh	disgust	0.711
gag	gag	disgust	0.711
vulgarity	bòidhchead	disgust	0.703
disgusting	sgreamhail	disgust	0.703
grope	grope	disgust	0.703
slut	slut	disgust	0.703
poisoning	puinnseanachadh	disgust	0.703
depraved	mì-fhortanach	disgust	0.703
noxious	draghail	disgust	0.703
porn	porn	disgust	0.703
nasty	dona	disgust	0.703
slimy	slimy	disgust	0.703
despotism	dìomhaireachd	disgust	0.703
nauseate	sneachda	disgust	0.703
secretion	secretion	disgust	0.703
constipation	slatan-tomhais	disgust	0.703
hateful	fuathmhor	disgust	0.703
grime	grime	disgust	0.703
measles	a 'ghriùthlach	disgust	0.696
contagious	gabhaltach	disgust	0.695
hellish	Alba | Naidheachdan |	disgust	0.695
waste	sgudal	disgust	0.695
suicidal	suicidal	disgust	0.695
abuse	mì-ghnàthachadh	disgust	0.695
hate	fuath	disgust	0.695
wretch	bana-bhuidseach	disgust	0.695
intestinal	deuchainn	disgust	0.695
wart	crith	disgust	0.695
obesity	reamhrachd	disgust	0.695
scum	sgum	disgust	0.695
contaminated	truailleadh	disgust	0.688
disease	galar	disgust	0.688
rabid	rabid	disgust	0.688
ooze	ooze	disgust	0.688
treason	treason	disgust	0.688
heartworm	cridhe cridhe	disgust	0.688
smut	smut	disgust	0.688
cholera	cholera	disgust	0.680
deformed	deformed	disgust	0.680
detest	faireachdainn	disgust	0.680
bestial	saoghail	disgust	0.680
sickness	tinneas	disgust	0.680
antichrist	antichrist	disgust	0.680
abhorrent	sàmhach	disgust	0.680
soulless	gun anam	disgust	0.680
freakish	freakish	disgust	0.680
grimy	gruagach	disgust	0.680
hatred	fuath	disgust	0.680
pollution	truailleadh	disgust	0.680
germ	germ	disgust	0.680
abominate	gràineil	disgust	0.680
hell	ifrinn	disgust	0.680
dilapidated	sgaoileadh	disgust	0.672
dictatorship	deachdaireachd	disgust	0.672
inhuman	neo-dhaonna	disgust	0.672
greasy	greasach	disgust	0.672
hideous	neònach	disgust	0.672
loathful	sgaoileadh	disgust	0.672
obscene	neònach	disgust	0.672
loathing	sguabadh	disgust	0.672
cess	cess	disgust	0.670
devil	diabhal	disgust	0.664
heretic	heretic	disgust	0.664
nauseous	sneachda	disgust	0.664
abominable	gràineil	disgust	0.664
deformity	deformity	disgust	0.664
deadly	marbhtach	disgust	0.664
swine	muc	disgust	0.664
discrimination	lethbhreith	disgust	0.664
masochism	bochdaidheachd	disgust	0.664
poisonous	puinnseanach	disgust	0.656
prejudiced	truailleadh	disgust	0.656
bacteria	bacteria	disgust	0.656
death	bàs	disgust	0.656
poison	puinnsean	disgust	0.656
trash	sgudal	disgust	0.656
abortion	gort	disgust	0.656
corruption	coirbeachd	disgust	0.656
victimized	fulang	disgust	0.656
oppression	sàrachadh	disgust	0.656
goo	goo	disgust	0.656
latrines	latrines	disgust	0.656
horror	uabhas	disgust	0.656
horrible	uabhasach	disgust	0.656
nefarious	neònach	disgust	0.656
mange	NO TRANSLATION	disgust	0.656
vindictive	dìoghaltas	disgust	0.648
outhouse	aodach	disgust	0.648
horrid	horrid	disgust	0.648
detestation	cladhach	disgust	0.648
sludge	slodaich	disgust	0.648
ugly	grànda	disgust	0.648
trashy	sgaoileadh	disgust	0.648
bitch	bitch	disgust	0.648
immoral	mì-laghail	disgust	0.648
malfeasance	malfeasance	disgust	0.641
spew	spew	disgust	0.641
pimple	pimple	disgust	0.641
indecency	èibhinn	disgust	0.641
unsightly	mì-fhortanach	disgust	0.641
slop	NO TRANSLATION	disgust	0.641
villainous	mì-fhortanach	disgust	0.641
cystic	cist	disgust	0.641
horrifying	uabhasach	disgust	0.641
derogatory	mì-riaghailteach	disgust	0.641
laxative	laxative	disgust	0.641
criminality	eucorach	disgust	0.641
oppressive	èiginneach	disgust	0.633
sinful	peacach	disgust	0.633
bigoted	mòr-thionndadh	disgust	0.633
doomsday	Dimàirt	disgust	0.633
prostitution	strìopachas	disgust	0.633
ulcer	ulcer	disgust	0.633
secrete	secrete	disgust	0.633
perpetrator	neach-cùraim	disgust	0.633
rat	ratan	disgust	0.633
queasy	queasy	disgust	0.633
mildew	mildew	disgust	0.633
dastardly	gu dòigheil	disgust	0.625
disgraceful	nàireil	disgust	0.625
ghastly	sàmhach	disgust	0.625
persecution	geur-leanmhainn	disgust	0.625
devilish	deamach	disgust	0.625
degrading	ag atharrachadh	disgust	0.625
obscenity	geamhrachd	disgust	0.625
fungus	fungas	disgust	0.625
sin	NO TRANSLATION	disgust	0.625
gluttony	saoghail	disgust	0.625
stools	stòl	disgust	0.625
suffering	fulangas	disgust	0.625
contemptible	mì-mhisneach	disgust	0.625
cuckold	cuckold	disgust	0.625
bloated	blàthachadh	disgust	0.625
aghast	aghast	disgust	0.625
betrayal	brathadh	disgust	0.617
guillotine	guillotine	disgust	0.617
infect	gabhaltas	disgust	0.617
spoil	spoil	disgust	0.617
tetanus	glas-dheud	disgust	0.617
fat	saill	disgust	0.617
louse	lobh	disgust	0.617
malicious	maiseach	disgust	0.617
polygamy	polygamy	disgust	0.617
crusty	sgudal	disgust	0.617
atrocious	uamhasach	disgust	0.617
deceit	meallta	disgust	0.617
termite	ùine	disgust	0.617
loathe	bòidhchead	disgust	0.617
wench	aodach	disgust	0.617
dying	a 'bàsachadh	disgust	0.617
sickly	tinn	disgust	0.617
diaper	diaper	disgust	0.617
strangle	strangle	disgust	0.617
drool	drool	disgust	0.609
slander	cràdh	disgust	0.609
abhor	gràin	disgust	0.609
venomous	sgaoileadh	disgust	0.609
brothel	brothel	disgust	0.609
ghetto	ghetto	disgust	0.609
violently	fòirneartach	disgust	0.609
hostile	nàimhdeil	disgust	0.609
sabotage	sabotage	disgust	0.609
deform	deform	disgust	0.609
bleeding	bleeding	disgust	0.609
unwashed	neo-fhuasgladh	disgust	0.602
lunacy	lòin	disgust	0.602
imprisonment	prìosain	disgust	0.602
infidel	neo-chreideamh	disgust	0.602
deprivation	bochdainn	disgust	0.602
traitor	saoghail	disgust	0.602
ugliness	gràineachd	disgust	0.602
musty	musty	disgust	0.602
illicit	mì-laghail	disgust	0.602
swampy	sneachda	disgust	0.602
poaching	poidseadh	disgust	0.602
hag	hag	disgust	0.602
butcher	bùidsear	disgust	0.594
lunatic	s an Iar-	disgust	0.594
venom	venom	disgust	0.594
repelling	ath-thogail	disgust	0.594
thug	thug	disgust	0.594
misery	truagh	disgust	0.594
toilet	taigh beag	disgust	0.594
slug	slug	disgust	0.594
catastrophe	tubaist	disgust	0.594
epidemic	epidemic	disgust	0.594
gut	gut	disgust	0.594
intoxicated	èiginn	disgust	0.594
blister	blister	disgust	0.594
deceitful	meallta	disgust	0.594
hostility	aimhreit	disgust	0.594
queasiness	gàire	disgust	0.594
lurid	lurid	disgust	0.594
sinner	pheacach	disgust	0.594
incubus	s an Iar-	disgust	0.586
lavatory	aodach	disgust	0.586
harass	sàrachadh	disgust	0.586
unclean	neòghlan	disgust	0.586
prostitute	strìopach	disgust	0.586
pornography	pornagraf	disgust	0.586
dreadful	eagalach	disgust	0.586
deteriorated	milleadh	disgust	0.586
appalling	anabarrach	disgust	0.586
unfaithful	neo-chreideasach	disgust	0.578
rash	gràdh	disgust	0.578
humiliating	a 'gearanachadh	disgust	0.578
ruinous	tobhta	disgust	0.578
squeamish	squeamish	disgust	0.578
offensive	ionnsaigh	disgust	0.578
conspirator	co-cheannaiche	disgust	0.578
larceny	sgaoileadh	disgust	0.578
debauchery	bualadh	disgust	0.578
mangle	mangle	disgust	0.578
flea	caoraich	disgust	0.578
hypocrite	cealgair	disgust	0.578
retard	ath-dhreuchd	disgust	0.578
fiend	fiend	disgust	0.578
sick	tinn	disgust	0.578
quagmire	cuibhle	disgust	0.578
expulsion	sgaoileadh	disgust	0.578
treacherous	fiadhaich	disgust	0.570
dogsick	NO TRANSLATION	disgust	0.570
spit	spit	disgust	0.570
devastating	tubaisteach	disgust	0.570
bastard	bòidheach	disgust	0.570
messy	sàmhach	disgust	0.570
flog	flog	disgust	0.570
egregious	uabhasach math	disgust	0.570
swamp	bog	disgust	0.570
oppress	sguabadh	disgust	0.570
despise	sguabadh às	disgust	0.570
dank	NO TRANSLATION	disgust	0.570
serpent	nathair	disgust	0.570
snake	nathair	disgust	0.562
terrible	uabhasach	disgust	0.562
awful	uamhasach	disgust	0.562
harmful	cronach	disgust	0.562
insanity	dìomhaireachd	disgust	0.562
indecent	mì-fhortanach	disgust	0.562
sordid	sordid	disgust	0.562
loo	loo	disgust	0.562
scoundrel	sneachda	disgust	0.562
enemy	nàmhaid	disgust	0.562
stealing	a 'goid	disgust	0.562
alcoholism	deoch-làidir	disgust	0.562
humiliation	irioslachadh	disgust	0.562
ruthless	ruthless	disgust	0.562
sloppy	sloppy	disgust	0.562
tyrannical	deasaich |	disgust	0.562
harlot	strìopach	disgust	0.562
sinning	peacaich	disgust	0.562
robbery	mèirle	disgust	0.555
insufferable	neo-thorrach	disgust	0.555
arsenic	arsainic	disgust	0.555
bloody	fuilteach	disgust	0.555
odious	odious	disgust	0.555
ridicule	èibhinn	disgust	0.555
atrophy	sneachda	disgust	0.555
beastly	beathach	disgust	0.555
collusion	sgaoileadh	disgust	0.555
distaste	sgaoileadh	disgust	0.555
segregate	sgaradh	disgust	0.555
discriminating	lethbhreith	disgust	0.555
coward	èibhinn	disgust	0.555
wickedness	aingidheachd	disgust	0.555
threatening	bagairt	disgust	0.555
unattractive	mì-tharraingeach	disgust	0.555
slayer	slayer	disgust	0.555
flabby	s an Iar-	disgust	0.555
varicella	varicella	disgust	0.555
miserable	bròineach	disgust	0.547
sty	sty	disgust	0.547
ogre	ogre	disgust	0.547
coercion	coercion	disgust	0.547
thief	mèirleach	disgust	0.547
slur	slur	disgust	0.547
suffocating	a 'bleith	disgust	0.547
anathema	anathema	disgust	0.547
purgatory	purgadair	disgust	0.547
malevolent	droch ghiùlan	disgust	0.547
bitterly	gu searbh	disgust	0.547
burglar	burglar	disgust	0.547
attacking	ionnsaigh	disgust	0.547
vesicular	saoghail	disgust	0.547
condemnation	dìteadh	disgust	0.547
pillage	sgaoileadh	disgust	0.547
deleterious	mì-thoilichte	disgust	0.547
thrash	thrash	disgust	0.539
repellant	ath-chuairteachadh	disgust	0.539
repudiation	ath-dhìoladh	disgust	0.539
infidelity	neo-chreideas	disgust	0.539
liar	liar	disgust	0.539
fatty	fatty	disgust	0.539
gob	gob	disgust	0.539
sneer	sneer	disgust	0.539
drunken	deoch	disgust	0.539
disgrace	nàire	disgust	0.539
shame	nàire	disgust	0.539
jealous	eudach	disgust	0.539
imprisoned	sa phrìosan	disgust	0.539
pig	muc	disgust	0.539
greedy	sanntach	disgust	0.539
sloth	sloth	disgust	0.539
lethal	marbhtach	disgust	0.536
burnt	loisgte	disgust	0.531
aberration	ionaltradh	disgust	0.531
condescension	dìomhaireachd	disgust	0.531
hydrocephalus	hydrocephalus	disgust	0.531
hanging	crochadh	disgust	0.531
destructive	millteach	disgust	0.531
smuggler	smùladair	disgust	0.531
intolerant	neo-fhulangach	disgust	0.531
travesty	sgaoileadh	disgust	0.531
intrusive	sgaoileadh	disgust	0.531
ruined	tobhta	disgust	0.531
withered	sneachda	disgust	0.531
disintegrate	sgaoileadh	disgust	0.531
brawl	brawl	disgust	0.531
blemish	gort	disgust	0.531
neurotic	neurotic	disgust	0.531
blasphemous	a 'blasadachadh	disgust	0.531
lying	na laighe	disgust	0.531
painful	pianail	disgust	0.531
avarice	gàire	disgust	0.523
disgraced	dìomhaireachd	disgust	0.523
mistress	màthair	disgust	0.523
disparaging	sàmhach	disgust	0.523
rubbish	sgudal	disgust	0.523
derogation	maoidheadh	disgust	0.523
accusation	casaid	disgust	0.523
intolerance	eas-fhulangas	disgust	0.523
incarceration	a 'losgadh	disgust	0.523
blighted	sgaoileadh	disgust	0.523
sump	sump	disgust	0.516
deplorable	mì-thoilichte	disgust	0.516
daemon	daemon	disgust	0.516
cringe	cringeadh	disgust	0.516
degrade	degrade	disgust	0.516
gutter	gutter	disgust	0.516
rob	rob	disgust	0.516
grim	grim	disgust	0.516
defraud	sàbhaladh	disgust	0.516
tortious	èibhinn	disgust	0.516
eradication	crìonadh	disgust	0.516
stink	stink	disgust	0.516
convict	ciontach	disgust	0.516
dishonor	mì-onair	disgust	0.516
vulture	saoghail	disgust	0.516
remains	fuigheall	disgust	0.516
mite	mite	disgust	0.516
betray	brathadh	disgust	0.516
sham	sham	disgust	0.509
endemic	neo-eisimeileach	disgust	0.508
bombed	bomadh	disgust	0.508
distress	èiginn	disgust	0.508
pest	pest	disgust	0.508
incurable	neo-chomasach	disgust	0.508
worthless	gun luach	disgust	0.508
rejection	dhiùltadh	disgust	0.508
distasteful	mì-thoilichte	disgust	0.508
schizophrenia	sgitsophrenia	disgust	0.508
belittle	brònach	disgust	0.508
smelling	fàileadh	disgust	0.508
cheat	caoidh	disgust	0.508
blob	blob	disgust	0.508
prisoner	prìosanach	disgust	0.508
idiocy	idioc	disgust	0.508
delirium	deirium	disgust	0.508
disaster	tubaist	disgust	0.508
crude	amh	disgust	0.508
resentment	èibhinn	disgust	0.508
dreadfully	gu dòigheil	disgust	0.508
glut	glut	disgust	0.508
polemic	polemic	disgust	0.500
derision	milleadh	disgust	0.500
idolatry	idolatraidh	disgust	0.500
taboo	taboo	disgust	0.500
screaming	a 'cluinntinn	disgust	0.500
banish	crìonadh	disgust	0.500
dirt	dirt	disgust	0.500
goblin	goblin	disgust	0.500
shackle	geallan	disgust	0.500
bribery	brìbearachd	disgust	0.500
flagrant	bratach	disgust	0.500
jealousy	eud	disgust	0.500
impurity	neo-dhìomhaireachd	disgust	0.500
theft	goid	disgust	0.500
bitterness	searbh	disgust	0.500
offense	eucoir	disgust	0.500
impeach	impeach	disgust	0.500
blight	blight	disgust	0.500
duress	tubaist	disgust	0.500
mire	NO TRANSLATION	disgust	0.500
greed	greed	disgust	0.500
tirade	caoidh	disgust	0.500
squirm	squirm	disgust	0.492
robber	robair	disgust	0.492
ill	tinn	disgust	0.492
unconscionable	neo-fhreagarrach	disgust	0.492
recession	crìonadh	disgust	0.492
gorge	gorge	disgust	0.492
wreck	long-bhriseadh	disgust	0.492
malign	aodach	disgust	0.492
boil	boil	disgust	0.492
leer	NO TRANSLATION	disgust	0.492
idiot	iongantach	disgust	0.492
disreputable	mì-chothromach	disgust	0.492
wasteful	sgudal	disgust	0.484
affliction	trioblaid	disgust	0.484
stain	stain	disgust	0.484
contempt	dìomhaireachd	disgust	0.484
nappy	clèid	disgust	0.484
mutiny	càineadh	disgust	0.484
occult	sguabadh	disgust	0.484
tramp	tramp	disgust	0.484
unbearable	neo-chleachdadh	disgust	0.484
offender	ciontach	disgust	0.484
servile	s an Iar-	disgust	0.484
contraband	contraband	disgust	0.484
raging	raging	disgust	0.484
snarl	snarl	disgust	0.484
mad	cuthach	disgust	0.484
subjugation	subjugation	disgust	0.484
possessed	seilbh	disgust	0.484
animosity	beothalachd	disgust	0.484
aversation	NO TRANSLATION	disgust	0.484
defamation	mì-chliù	disgust	0.484
disrespectful	mì-thoilichte	disgust	0.484
mess	bualadh	disgust	0.484
nepotism	nepotism	disgust	0.484
inexcusable	neo-chràbhach	disgust	0.484
pathetic	bòidheach	disgust	0.477
unpleasant	mì-thlachdmhor	disgust	0.477
suppression	sguabadh às	disgust	0.477
mockery	magadh	disgust	0.477
palsy	paris	disgust	0.477
criminal	eucoireach	disgust	0.477
illegality	mì-laghail	disgust	0.477
uncaring	neo-iongantach	disgust	0.477
antagonistic	eachdraidheil	disgust	0.477
immorality	mì-bheothalachd	disgust	0.477
dismal	gun teagamh	disgust	0.477
angry	feargach	disgust	0.469
repellent	ath-dhìoladh	disgust	0.469
cough	casadaich	disgust	0.469
arrogant	àrdanach	disgust	0.469
grating	gràdh	disgust	0.469
aggravation	ag èigheachadh	disgust	0.469
livid	livid	disgust	0.469
banishment	fuadach	disgust	0.469
shoddy	shoddy	disgust	0.469
banshee	banshee	disgust	0.469
poverty	bochdainn	disgust	0.469
wallow	saoghail	disgust	0.469
outrage	eallaich	disgust	0.469
mocking	a 'magadh	disgust	0.469
furious	baoghalach	disgust	0.469
perspiration	sìorraidh	disgust	0.469
prick	tilgeil	disgust	0.461
recklessness	iomagachd	disgust	0.461
distorted	air a dhubhadh às	disgust	0.461
fraudulent	ceàrr	disgust	0.461
spider	damhan-allaidh	disgust	0.461
quack	cuach	disgust	0.461
perdition	milleadh	disgust	0.461
muddy	eabar	disgust	0.461
spurious	spurious	disgust	0.461
insulting	sàrachadh	disgust	0.461
scar	sgaoileadh	disgust	0.461
deceive	meallta	disgust	0.461
unjustifiable	mì-fhreagarrach	disgust	0.461
fool	amadan	disgust	0.461
deplore	deplore	disgust	0.461
plunder	creachadh	disgust	0.461
aphid	aodach	disgust	0.453
bane	bane	disgust	0.453
indignation	indign	disgust	0.453
dire	NO TRANSLATION	disgust	0.453
selfish	fèineil	disgust	0.453
disparage	mì-thoilichte	disgust	0.453
cur	cur	disgust	0.453
dishonest	neo-onarach	disgust	0.453
stigma	stigma	disgust	0.453
eschew	sechew	disgust	0.453
antipathy	mì-mhodhail	disgust	0.453
alienate	eilthireachd	disgust	0.453
disingenuous	mì-thoilichte	disgust	0.453
elimination	sgaoileadh	disgust	0.453
unthinkable	neo-thlachdmhor	disgust	0.453
wasted	air a chall	disgust	0.445
recalcitrant	sàmhach	disgust	0.445
iniquity	aingidheachd	disgust	0.445
mosquito	mosgit	disgust	0.445
caries	caries	disgust	0.445
bankruptcy	briseadh	disgust	0.445
egotistical	mearachdach	disgust	0.445
piles	cuairtean	disgust	0.445
smell	fàileadh	disgust	0.445
vacuous	bochd	disgust	0.445
despair	an-dòchas	disgust	0.445
opium	opium	disgust	0.445
garish	èibhinn	disgust	0.445
lie	luidh	disgust	0.445
pious	pious	disgust	0.445
aversion	aversion	disgust	0.438
sticky	glic	disgust	0.438
scream	sgread	disgust	0.438
alien	alien	disgust	0.438
shun	shun	disgust	0.438
abnormal	neo-àbhaisteach	disgust	0.438
ashamed	nàire	disgust	0.438
inmate	caoidh	disgust	0.438
abject	air falbh	disgust	0.438
hog	hog	disgust	0.438
hopelessness	gun dòchas	disgust	0.438
homeless	gun dachaigh	disgust	0.438
obnoxious	duilich	disgust	0.438
curse	mhallachd	disgust	0.430
creature	creutair	disgust	0.430
cursing	mallachadh	disgust	0.430
illegal	mì-laghail	disgust	0.430
lusty	lusty	disgust	0.430
shameless	nàire	disgust	0.430
debris	sprùilleach	disgust	0.430
defiance	aimhreit	disgust	0.430
pall	pall	disgust	0.430
falsity	falsa	disgust	0.430
reflux	reflux	disgust	0.430
incredulous	mì-chinnteach	disgust	0.430
adverse	dona	disgust	0.430
trickery	sgaoileadh	disgust	0.430
callous	callous	disgust	0.430
separatist	sgaradh	disgust	0.430
undesirable	neo-mhiannach	disgust	0.430
denounce	den bheachd	disgust	0.430
witch	buidseach	disgust	0.430
bum	bum	disgust	0.422
bovine	caoraich	disgust	0.422
denunciation	denunciation	disgust	0.422
untidy	mì-sgiobalta	disgust	0.422
impure	impure	disgust	0.422
mistrust	mì-earbsa	disgust	0.422
tarnish	tarnish	disgust	0.422
ferocious	fiadhaich	disgust	0.422
gush	gush	disgust	0.422
infantile	leanabh	disgust	0.422
ammonia	ammonia	disgust	0.422
offend	ciontach	disgust	0.422
idiotic	iongantach	disgust	0.422
hypertrophy	sùilean àrd	disgust	0.422
nicotine	nicotin	disgust	0.422
tasteless	gun blas	disgust	0.422
pompous	pompous	disgust	0.422
socialist	sòisealach	disgust	0.422
delinquent	ciontach	disgust	0.422
swarm	swarm	disgust	0.422
contentious	còmhstri	disgust	0.422
carelessness	neo-chùram	disgust	0.422
hairy	faltach	disgust	0.422
wasting	a 'caoidh	disgust	0.422
slush	slush	disgust	0.422
affront	aodach	disgust	0.422
collapse	tuiteam	disgust	0.422
badness	bochdainn	disgust	0.422
dishonesty	eas-onair	disgust	0.414
vegetative	fàsmhor	disgust	0.414
displacency	mì-chùis	disgust	0.414
unfavorable	mì-fhallain	disgust	0.414
disobey	mì-chinnt	disgust	0.414
sour	goirt	disgust	0.414
socialism	sòisealachd	disgust	0.414
murky	gun fhios	disgust	0.414
neglected	air an dearmad	disgust	0.414
drivel	sgaoileadh	disgust	0.414
vampire	vampire	disgust	0.414
litigious	s an Iar-	disgust	0.414
illegitimate	dìolain	disgust	0.414
disgruntled	mì-thoilichte	disgust	0.406
ignorant	aineolach	disgust	0.406
outcast	sgaoileadh	disgust	0.406
unkind	unkind	disgust	0.406
repel	repel	disgust	0.406
displeasure	mì-thoilichte	disgust	0.406
phony	phony	disgust	0.406
shoplifting	bùithtean	disgust	0.406
dislike	mì-thoilichte	disgust	0.406
unlawful	mì-laghail	disgust	0.406
bogus	bòidheach	disgust	0.406
discontinuity	neo-leantalachd	disgust	0.406
recidivism	ath-bheothachadh	disgust	0.406
ungrateful	neo-thlachdmhor	disgust	0.406
wrongdoing	ceàrr	disgust	0.406
falsify	falsaich	disgust	0.406
prosecution	casaid	disgust	0.406
failure	fàilligeadh	disgust	0.398
loon	leannan	disgust	0.398
lick	laoidh	disgust	0.398
subvert	sneachda	disgust	0.398
rigor	rigor	disgust	0.398
unruly	neo-chràbhach	disgust	0.398
paucity	iomagain	disgust	0.398
unnatural	mì-nàdarrach	disgust	0.398
averse	averse	disgust	0.398
senseless	gun mhothachadh	disgust	0.398
worsening	a 'fàs nas miosa	disgust	0.398
disdain	dì-mhisneachadh	disgust	0.398
woe	dona	disgust	0.398
woefully	gu caoidh	disgust	0.398
amphetamines	amphetamines	disgust	0.398
stingy	stingy	disgust	0.398
crushing	a 'briseadh	disgust	0.398
insult	sàrachadh	disgust	0.393
damage	milleadh	disgust	0.391
hardened	cruaidh	disgust	0.391
diatribe	diatribe	disgust	0.391
averseness	aodach	disgust	0.391
critter	critter	disgust	0.391
muff	muff	disgust	0.391
antisocial	mì-shòisealta	disgust	0.391
punishment	peanasachadh	disgust	0.391
bad	dona	disgust	0.391
punished	a pheanasachadh	disgust	0.391
disrelish	sgeadachadh	disgust	0.391
expel	cuir às dha	disgust	0.391
farcical	mì-fhortanach	disgust	0.391
scorpion	sgorpion	disgust	0.391
sacrifices	ìobairt	disgust	0.383
plagiarism	litrichean-sgrìobhaidh	disgust	0.383
hypocritical	sgiobalta	disgust	0.383
divorce	sgaradh	disgust	0.383
presumptuous	sàbhaladh	disgust	0.383
discord	dragh	disgust	0.383
fugitive	fògarrach	disgust	0.383
fulsome	fulsome	disgust	0.383
shabby	saoghail	disgust	0.383
orc	orc	disgust	0.383
adder	nathair	disgust	0.383
anaconda	anaconda	disgust	0.383
surly	saoghail	disgust	0.383
irrational	neo-riaghailteach	disgust	0.383
disappoint	briseadh dùil	disgust	0.383
illiterate	neo-riaghailteach	disgust	0.383
lament	cumha	disgust	0.383
eviction	fuadach	disgust	0.383
