word	Sesotho-st	emotion	emotion-intensity-score
pus	pus	disgust	0.773
herpesvirus	herpesvirus	disgust	0.773
whore	seotsoa	disgust	0.766
cruel	sehlōhō	disgust	0.766
repugnance	ho iphetetsa	disgust	0.766
revulsion	bofetoheli	disgust	0.766
xenophobia	ho hlekefetsoa	disgust	0.766
regurgitation	ho tsosolosa	disgust	0.766
anthrax	anthrax	disgust	0.766
lynch	lynch	disgust	0.766
dissection	dissection	disgust	0.759
canker	khamera	disgust	0.758
cruelty	sehlōhō	disgust	0.758
perversion	ho kheloha	disgust	0.758
evil	bobe	disgust	0.758
slum	slum	disgust	0.758
infectious	e tšoaetsanoang	disgust	0.758
mucous	mucous	disgust	0.758
phlegm	phlegm	disgust	0.758
leeches	leeches	disgust	0.750
decomposition	ho senyeha	disgust	0.750
sinister	sebe	disgust	0.750
corrupting	ho senya	disgust	0.750
demon	bademona	disgust	0.742
stinking	ho nkha hampe	disgust	0.742
septic	septic	disgust	0.742
deranged	ho ferekana	disgust	0.742
bile	bile	disgust	0.742
soiled	soiled	disgust	0.742
mucus	mucus	disgust	0.742
abhorrence	ho nyonya	disgust	0.742
abomination	e nyonyehang	disgust	0.742
sickening	e kulang	disgust	0.742
demonic	bademona	disgust	0.742
foul	e litšila	disgust	0.734
obese	ho feta	disgust	0.734
sicken	ho kula	disgust	0.734
degeneracy	ho fokola	disgust	0.734
crucifixion	ho pholloa	disgust	0.734
despicable	e nyonyehang	disgust	0.734
cancer	kankere	disgust	0.734
atrocity	ho ferekana	disgust	0.734
terrorism	bokhukhuni	disgust	0.734
dirty	litšila	disgust	0.727
dysentery	letšollo	disgust	0.727
adultery	bofebe	disgust	0.727
contamination	tšilafalo	disgust	0.727
bacterium	baktheria	disgust	0.727
diabolical	diabolical	disgust	0.727
morbidity	ho kula	disgust	0.727
grisly	grisly	disgust	0.727
repulsion	pheta-pheta	disgust	0.727
enema	enema	disgust	0.727
contagion	tšoaetso	disgust	0.719
disfigured	e senyehileng	disgust	0.719
muck	kena	disgust	0.719
lewd	e litšila	disgust	0.719
garbage	litšila	disgust	0.719
autopsy	autopsy	disgust	0.719
bowels	mala	disgust	0.719
gross	e tebileng	disgust	0.719
vulgar	e litšila	disgust	0.719
barbaric	e sehlōhō	disgust	0.719
disgust	nyeliso	disgust	0.719
vicious	e kotsi	disgust	0.719
entrails	entrails	disgust	0.719
deterioration	ho senyeha	disgust	0.719
pungent	e na le maikutlo a fosahetseng	disgust	0.719
bloodshed	tšollo ea mali	disgust	0.714
violent	e mabifi	disgust	0.711
tyrant	tyrant	disgust	0.711
poisoned	chefo	disgust	0.711
pollute	silafatsa	disgust	0.711
wretched	ho tsieleha	disgust	0.711
nausea	ho nyekeloa ke pelo	disgust	0.711
mortification	ho senyeha	disgust	0.711
gag	gag	disgust	0.711
vulgarity	bolotsana	disgust	0.703
disgusting	e nyonyehang	disgust	0.703
grope	ho phopholetsa	disgust	0.703
slut	slut	disgust	0.703
poisoning	chefo	disgust	0.703
depraved	e silafetseng	disgust	0.703
noxious	ho sa tsotellehe	disgust	0.703
porn	bootsoa	disgust	0.703
nasty	e mpe	disgust	0.703
slimy	slimy	disgust	0.703
despotism	ho hloka toka	disgust	0.703
nauseate	nauseate	disgust	0.703
secretion	bolotsana	disgust	0.703
constipation	ho patoa	disgust	0.703
hateful	lehloeo	disgust	0.703
grime	ho ts'oara	disgust	0.703
measles	masapole	disgust	0.696
contagious	e tšoaetsanoang	disgust	0.695
hellish	hellish	disgust	0.695
waste	litšila	disgust	0.695
suicidal	ho ipolaea	disgust	0.695
abuse	ho hlekefetsoa	disgust	0.695
hate	lehloeo	disgust	0.695
wretch	bohata	disgust	0.695
intestinal	mala	disgust	0.695
wart	lehare	disgust	0.695
obesity	botenya	disgust	0.695
scum	sekoti	disgust	0.695
contaminated	e silafalitsoe	disgust	0.688
disease	maloetse	disgust	0.688
rabid	e bohale	disgust	0.688
ooze	tsosa	disgust	0.688
treason	bolotsana	disgust	0.688
heartworm	peloworm	disgust	0.688
smut	smut	disgust	0.688
cholera	k'holera	disgust	0.680
deformed	ba holofetseng	disgust	0.680
detest	e nyonya	disgust	0.680
bestial	bohale	disgust	0.680
sickness	ho kula	disgust	0.680
antichrist	mohanyetsi oa Kreste	disgust	0.680
abhorrent	e nyonyehang	disgust	0.680
soulless	ho sa tsotellehe	disgust	0.680
freakish	freakish	disgust	0.680
grimy	e nyenyane	disgust	0.680
hatred	lehloeo	disgust	0.680
pollution	tšilafalo	disgust	0.680
germ	kokoana-hloko	disgust	0.680
abominate	e nyonyehang	disgust	0.680
hell	lihele	disgust	0.680
dilapidated	e senyehile	disgust	0.672
dictatorship	ho busa	disgust	0.672
inhuman	e se nang botho	disgust	0.672
greasy	mebala	disgust	0.672
hideous	ho pata	disgust	0.672
loathful	ho nyonyeha	disgust	0.672
obscene	e nyonyehang	disgust	0.672
loathing	ho nyonya	disgust	0.672
cess	khaotsa	disgust	0.670
devil	Diabolose	disgust	0.664
heretic	ho se tsotelle	disgust	0.664
nauseous	leqeba	disgust	0.664
abominable	e nyonyehang	disgust	0.664
deformity	ho fokola	disgust	0.664
deadly	e bolaeang	disgust	0.664
swine	likolobe	disgust	0.664
discrimination	khethollo	disgust	0.664
masochism	masochism	disgust	0.664
poisonous	e chefo	disgust	0.656
prejudiced	khethollo	disgust	0.656
bacteria	libaktheria	disgust	0.656
death	lefu	disgust	0.656
poison	chefo	disgust	0.656
trash	lithōle	disgust	0.656
abortion	ho nts'a mpa	disgust	0.656
corruption	bobolu	disgust	0.656
victimized	ba hlokofalitsoe	disgust	0.656
oppression	khatello	disgust	0.656
goo	goo	disgust	0.656
latrines	matloana	disgust	0.656
horror	ho tšosa	disgust	0.656
horrible	e tšabehang	disgust	0.656
nefarious	ho se tsotelle	disgust	0.656
mange	NO TRANSLATION	disgust	0.656
vindictive	ho ba le boikemelo	disgust	0.648
outhouse	hotela	disgust	0.648
horrid	ho tletse	disgust	0.648
detestation	lehloeo	disgust	0.648
sludge	sludge	disgust	0.648
ugly	e mpe	disgust	0.648
trashy	moferefere	disgust	0.648
bitch	bitch	disgust	0.648
immoral	boitšoaro bo bobe	disgust	0.648
malfeasance	malfeasance	disgust	0.641
spew	tsuba	disgust	0.641
pimple	pimple	disgust	0.641
indecency	ho se tsotelle	disgust	0.641
unsightly	u hlokomele	disgust	0.641
slop	NO TRANSLATION	disgust	0.641
villainous	hahahaha	disgust	0.641
cystic	cystic	disgust	0.641
horrifying	e tšosang	disgust	0.641
derogatory	ho nyelisa	disgust	0.641
laxative	ho laxative	disgust	0.641
criminality	tlōlo ea molao	disgust	0.641
oppressive	khatello	disgust	0.633
sinful	sebe	disgust	0.633
bigoted	e theotsoe	disgust	0.633
doomsday	doomsday	disgust	0.633
prostitution	botekatse	disgust	0.633
ulcer	seso	disgust	0.633
secrete	secrete	disgust	0.633
perpetrator	moetsi oa molao	disgust	0.633
rat	rat	disgust	0.633
queasy	ho le thata	disgust	0.633
mildew	hlobo	disgust	0.633
dastardly	ho senya	disgust	0.625
disgraceful	lihlong	disgust	0.625
ghastly	ha ho joalo	disgust	0.625
persecution	mahloriso	disgust	0.625
devilish	diabolose	disgust	0.625
degrading	ho nyenyefatsa	disgust	0.625
obscenity	ho nyenyeha	disgust	0.625
fungus	fungus	disgust	0.625
sin	NO TRANSLATION	disgust	0.625
gluttony	bonyollo	disgust	0.625
stools	setulo	disgust	0.625
suffering	mahlomola	disgust	0.625
contemptible	e nyonyehang	disgust	0.625
cuckold	cuckold	disgust	0.625
bloated	bloated	disgust	0.625
aghast	ho tsuba	disgust	0.625
betrayal	ho eka	disgust	0.617
guillotine	guillotine	disgust	0.617
infect	tšoaetsa	disgust	0.617
spoil	ho senya	disgust	0.617
tetanus	tetanase	disgust	0.617
fat	mafura	disgust	0.617
louse	louse	disgust	0.617
malicious	e kotsi	disgust	0.617
polygamy	lenyalo la sethepu	disgust	0.617
crusty	ho khabisa	disgust	0.617
atrocious	e bohale	disgust	0.617
deceit	leshano	disgust	0.617
termite	ho felloa ke nako	disgust	0.617
loathe	nyonya	disgust	0.617
wench	khaled	disgust	0.617
dying	shoa	disgust	0.617
sickly	ho kula	disgust	0.617
diaper	senepa	disgust	0.617
strangle	khaola	disgust	0.617
drool	drool	disgust	0.609
slander	ho etselletsa	disgust	0.609
abhor	nyonya	disgust	0.609
venomous	ho tletse	disgust	0.609
brothel	moroetsana	disgust	0.609
ghetto	ghetto	disgust	0.609
violently	ka mabifi	disgust	0.609
hostile	lehloeo	disgust	0.609
sabotage	masapo	disgust	0.609
deform	ho fokola	disgust	0.609
bleeding	ho tsoa madi	disgust	0.609
unwashed	ha e hlatsoe	disgust	0.602
lunacy	ho iphelisa	disgust	0.602
imprisonment	ho koalloa teronkong	disgust	0.602
infidel	ho se tšepahale	disgust	0.602
deprivation	ho hloka	disgust	0.602
traitor	moeki	disgust	0.602
ugliness	bobebe	disgust	0.602
musty	musty	disgust	0.602
illicit	e fosahetse	disgust	0.602
swampy	marotholi	disgust	0.602
poaching	poaching	disgust	0.602
hag	Hag	disgust	0.602
butcher	raselakha	disgust	0.594
lunatic	lunatic	disgust	0.594
venom	maqeba	disgust	0.594
repelling	ho pheta-pheta	disgust	0.594
thug	thug	disgust	0.594
misery	mahlomola	disgust	0.594
toilet	ntloana	disgust	0.594
slug	slug	disgust	0.594
catastrophe	tlokotsi	disgust	0.594
epidemic	seoa	disgust	0.594
gut	marotholi	disgust	0.594
intoxicated	tahiloeng	disgust	0.594
blister	blister	disgust	0.594
deceitful	e thetsang	disgust	0.594
hostility	lehloeo	disgust	0.594
queasiness	ho hloka botsitso	disgust	0.594
lurid	lurid	disgust	0.594
sinner	moetsalibe	disgust	0.594
incubus	incubus	disgust	0.586
lavatory	ho hlatsoa	disgust	0.586
harass	ho hlekefetsa	disgust	0.586
unclean	o sa hloeka	disgust	0.586
prostitute	letekatse	disgust	0.586
pornography	litšoantšo tsa bootsoa	disgust	0.586
dreadful	e tšabehang	disgust	0.586
deteriorated	e senyehile	disgust	0.586
appalling	e tšosang	disgust	0.586
unfaithful	ba sa tšepahaleng	disgust	0.578
rash	rash	disgust	0.578
humiliating	ho tlotlolla	disgust	0.578
ruinous	e senyang	disgust	0.578
squeamish	squeamish	disgust	0.578
offensive	e nyonyehang	disgust	0.578
conspirator	moqapi	disgust	0.578
larceny	larceny	disgust	0.578
debauchery	ho itlosa bolutu	disgust	0.578
mangle	mangle	disgust	0.578
flea	letlalo	disgust	0.578
hypocrite	moikaketsi	disgust	0.578
retard	lieha	disgust	0.578
fiend	fiend	disgust	0.578
sick	ba kulang	disgust	0.578
quagmire	quagmire	disgust	0.578
expulsion	ho lelekoa	disgust	0.578
treacherous	ba bolotsana	disgust	0.570
dogsick	NO TRANSLATION	disgust	0.570
spit	tšoela matela	disgust	0.570
devastating	e senyang	disgust	0.570
bastard	Bastat	disgust	0.570
messy	e makatsang	disgust	0.570
flog	fola	disgust	0.570
egregious	e tsotehang	disgust	0.570
swamp	letamo	disgust	0.570
oppress	hatella	disgust	0.570
despise	nyelisa	disgust	0.570
dank	NO TRANSLATION	disgust	0.570
serpent	noha	disgust	0.570
snake	noha	disgust	0.562
terrible	e tšabehang	disgust	0.562
awful	e mpe	disgust	0.562
harmful	kotsi	disgust	0.562
insanity	insanity	disgust	0.562
indecent	e sa hlompheheng	disgust	0.562
sordid	ho hlaphoheloa	disgust	0.562
loo	loo	disgust	0.562
scoundrel	scoundrel	disgust	0.562
enemy	sera	disgust	0.562
stealing	ho utsoa	disgust	0.562
alcoholism	tahi ea tahi	disgust	0.562
humiliation	ho tlotlolloa	disgust	0.562
ruthless	e sehlōhō	disgust	0.562
sloppy	e tsitsitse	disgust	0.562
tyrannical	bohatelli	disgust	0.562
harlot	seotsoa	disgust	0.562
sinning	ho etsa sebe	disgust	0.562
robbery	ho tlatlapa	disgust	0.555
insufferable	e ke ke ea khoneha	disgust	0.555
arsenic	arsenic	disgust	0.555
bloody	mali	disgust	0.555
odious	e nyonyehang	disgust	0.555
ridicule	ho soma	disgust	0.555
atrophy	atrophy	disgust	0.555
beastly	liphoofolo	disgust	0.555
collusion	ho arohana	disgust	0.555
distaste	khethollo	disgust	0.555
segregate	arola	disgust	0.555
discriminating	ho khetholla	disgust	0.555
coward	coward	disgust	0.555
wickedness	bokhopo	disgust	0.555
threatening	ho sokela	disgust	0.555
unattractive	e sa thabiseng	disgust	0.555
slayer	'molai	disgust	0.555
flabby	flabby	disgust	0.555
varicella	varicella	disgust	0.555
miserable	e utloisang bohloko	disgust	0.547
sty	sebopeho	disgust	0.547
ogre	ogre	disgust	0.547
coercion	ho qobelloa	disgust	0.547
thief	lesholu	disgust	0.547
slur	slur	disgust	0.547
suffocating	ho fokola	disgust	0.547
anathema	anathema	disgust	0.547
purgatory	purgatory	disgust	0.547
malevolent	e mabifi	disgust	0.547
bitterly	ka bohale	disgust	0.547
burglar	burglar	disgust	0.547
attacking	ho hlasela	disgust	0.547
vesicular	mahlahahlaha	disgust	0.547
condemnation	ho nyatsuoa	disgust	0.547
pillage	ho tlatlapuoa	disgust	0.547
deleterious	ho sa tsotellehe	disgust	0.547
thrash	hlakola	disgust	0.539
repellant	ho iphetetsa	disgust	0.539
repudiation	ho hana	disgust	0.539
infidelity	ho se tšepahale	disgust	0.539
liar	ea leshano	disgust	0.539
fatty	mafura	disgust	0.539
gob	sepheo	disgust	0.539
sneer	sneer	disgust	0.539
drunken	tahiloe	disgust	0.539
disgrace	lihlong	disgust	0.539
shame	lihlong	disgust	0.539
jealous	mōna	disgust	0.539
imprisoned	ho koalloa chankaneng	disgust	0.539
pig	kolobe	disgust	0.539
greedy	meharo	disgust	0.539
sloth	sloth	disgust	0.539
lethal	lethal	disgust	0.536
burnt	licheso	disgust	0.531
aberration	ho senya	disgust	0.531
condescension	kheloha	disgust	0.531
hydrocephalus	hydrocephalus	disgust	0.531
hanging	e leketlile	disgust	0.531
destructive	tse senyang	disgust	0.531
smuggler	smuggler	disgust	0.531
intolerant	e sa mamelleng	disgust	0.531
travesty	sehlahisoa	disgust	0.531
intrusive	intrusive	disgust	0.531
ruined	e senyehile	disgust	0.531
withered	o omme	disgust	0.531
disintegrate	fapana	disgust	0.531
brawl	moferefere	disgust	0.531
blemish	sekoli	disgust	0.531
neurotic	neurotic	disgust	0.531
blasphemous	ea nyefolang	disgust	0.531
lying	leshano	disgust	0.531
painful	bohloko	disgust	0.531
avarice	li-avarice	disgust	0.523
disgraced	lihlong	disgust	0.523
mistress	mofumahali	disgust	0.523
disparaging	ho senya	disgust	0.523
rubbish	lithōle	disgust	0.523
derogation	ho nyatsuoa	disgust	0.523
accusation	qoso	disgust	0.523
intolerance	ho hloka kutloano	disgust	0.523
incarceration	ho kenngoa chankaneng	disgust	0.523
blighted	e senyehile	disgust	0.523
sump	sump	disgust	0.516
deplorable	e utloisang bohloko	disgust	0.516
daemon	daemon	disgust	0.516
cringe	ho koala	disgust	0.516
degrade	nyenyefatsa	disgust	0.516
gutter	motopo	disgust	0.516
rob	rob	disgust	0.516
grim	e bohale	disgust	0.516
defraud	ho qhekella	disgust	0.516
tortious	ho hloka bohloko	disgust	0.516
eradication	ho felisoa	disgust	0.516
stink	ho nkha	disgust	0.516
convict	moahloli	disgust	0.516
dishonor	ho hlompholloa	disgust	0.516
vulture	limata	disgust	0.516
remains	e sala	disgust	0.516
mite	mite	disgust	0.516
betray	ekahela	disgust	0.516
sham	sham	disgust	0.509
endemic	ho fela	disgust	0.508
bombed	e bomoa	disgust	0.508
distress	mahlomola	disgust	0.508
pest	disenyi	disgust	0.508
incurable	e sa phekoleheng	disgust	0.508
worthless	e se nang thuso	disgust	0.508
rejection	ho lahla	disgust	0.508
distasteful	e sa tsotelleng	disgust	0.508
schizophrenia	schizophrenia	disgust	0.508
belittle	ho nyenyefatsa	disgust	0.508
smelling	ho nkha	disgust	0.508
cheat	ho kopitsa	disgust	0.508
blob	blob	disgust	0.508
prisoner	motšoaruoa	disgust	0.508
idiocy	idiocy	disgust	0.508
delirium	delirium	disgust	0.508
disaster	tlokotsi	disgust	0.508
crude	e se nang thuso	disgust	0.508
resentment	lehloeo	disgust	0.508
dreadfully	ka tšabo	disgust	0.508
glut	glut	disgust	0.508
polemic	e thata	disgust	0.500
derision	ho songoa	disgust	0.500
idolatry	borapeli ba litšoantšo	disgust	0.500
taboo	taboo	disgust	0.500
screaming	ho hoeletsa	disgust	0.500
banish	tlosa	disgust	0.500
dirt	litšila	disgust	0.500
goblin	sekontiri	disgust	0.500
shackle	shackle	disgust	0.500
bribery	tjotjo	disgust	0.500
flagrant	e monate	disgust	0.500
jealousy	poulelo	disgust	0.500
impurity	ho se hloeke	disgust	0.500
theft	bosholu	disgust	0.500
bitterness	bohloko	disgust	0.500
offense	tlōlo ea molao	disgust	0.500
impeach	e fosahetse	disgust	0.500
blight	ho senya	disgust	0.500
duress	khathatseha	disgust	0.500
mire	NO TRANSLATION	disgust	0.500
greed	meharo	disgust	0.500
tirade	tirade	disgust	0.500
squirm	fokotseha	disgust	0.492
robber	lesholu	disgust	0.492
ill	ho kula	disgust	0.492
unconscionable	e sa tsejoeng	disgust	0.492
recession	moruo	disgust	0.492
gorge	koraka	disgust	0.492
wreck	ho senyeha	disgust	0.492
malign	ho senya	disgust	0.492
boil	pheha	disgust	0.492
leer	NO TRANSLATION	disgust	0.492
idiot	idiot	disgust	0.492
disreputable	e sa tsejoeng	disgust	0.492
wasteful	ho senya	disgust	0.484
affliction	mahlomola	disgust	0.484
stain	letheba	disgust	0.484
contempt	nyeliso	disgust	0.484
nappy	ke se na thuso	disgust	0.484
mutiny	e hlakileng	disgust	0.484
occult	boselamose	disgust	0.484
tramp	ho hatakela	disgust	0.484
unbearable	ho mamella	disgust	0.484
offender	mofosi	disgust	0.484
servile	servile	disgust	0.484
contraband	ho itšireletsa	disgust	0.484
raging	ho halefa	disgust	0.484
snarl	ho ruruha	disgust	0.484
mad	hlanya	disgust	0.484
subjugation	tlhōlo	disgust	0.484
possessed	e nang le eona	disgust	0.484
animosity	lehloeo	disgust	0.484
aversation	NO TRANSLATION	disgust	0.484
defamation	silafatsi	disgust	0.484
disrespectful	ho hloka tlhompho	disgust	0.484
mess	ho senya	disgust	0.484
nepotism	ho ba le boipheliso	disgust	0.484
inexcusable	e se na boikemelo	disgust	0.484
pathetic	e sa tsotellehe	disgust	0.477
unpleasant	e sa thabiseng	disgust	0.477
suppression	ho hatella	disgust	0.477
mockery	ho songoa	disgust	0.477
palsy	lefu la phoso	disgust	0.477
criminal	senokoane	disgust	0.477
illegality	tlōlo ea molao	disgust	0.477
uncaring	e sa tsotelleng	disgust	0.477
antagonistic	ho hanyetsa	disgust	0.477
immorality	boitšoaro bo bobe	disgust	0.477
dismal	e sithabetse	disgust	0.477
angry	khalefo	disgust	0.469
repellent	ho iphetetsa	disgust	0.469
cough	ho khohlela	disgust	0.469
arrogant	boikhohomoso	disgust	0.469
grating	ho aroloa	disgust	0.469
aggravation	ho senya	disgust	0.469
livid	e hlakileng	disgust	0.469
banishment	ho lelekoa	disgust	0.469
shoddy	shoddy	disgust	0.469
banshee	banshee	disgust	0.469
poverty	bofutsana	disgust	0.469
wallow	phunya	disgust	0.469
outrage	khalefo	disgust	0.469
mocking	ho soma	disgust	0.469
furious	o halefile	disgust	0.469
perspiration	feberu	disgust	0.469
prick	khaotsa	disgust	0.461
recklessness	ho se tsotelle	disgust	0.461
distorted	e sothehileng	disgust	0.461
fraudulent	bolotsana	disgust	0.461
spider	sekho	disgust	0.461
quack	ho qoba	disgust	0.461
perdition	pherekano	disgust	0.461
muddy	seretse	disgust	0.461
spurious	e sehlōhō	disgust	0.461
insulting	ho nyefola	disgust	0.461
scar	letlalo	disgust	0.461
deceive	thetsa	disgust	0.461
unjustifiable	ho se na molato	disgust	0.461
fool	leoatla	disgust	0.461
deplore	nyenyefatsa	disgust	0.461
plunder	tlatlapo	disgust	0.461
aphid	aphid	disgust	0.453
bane	bane	disgust	0.453
indignation	khalefo	disgust	0.453
dire	NO TRANSLATION	disgust	0.453
selfish	boithati	disgust	0.453
disparage	ho senyeha	disgust	0.453
cur	khutso	disgust	0.453
dishonest	ho se tšepahale	disgust	0.453
stigma	sekhobo	disgust	0.453
eschew	eschew	disgust	0.453
antipathy	ho se tsotelle	disgust	0.453
alienate	arohana	disgust	0.453
disingenuous	ba hlokomolohe	disgust	0.453
elimination	ho felisoa	disgust	0.453
unthinkable	ho sa nahaneheng	disgust	0.453
wasted	e senyehile	disgust	0.445
recalcitrant	recalcitrant	disgust	0.445
iniquity	bobe	disgust	0.445
mosquito	monoang	disgust	0.445
caries	ho kheloha	disgust	0.445
bankruptcy	bankruptcy	disgust	0.445
egotistical	ho ipolela	disgust	0.445
piles	likoto	disgust	0.445
smell	monko	disgust	0.445
vacuous	ho fokola	disgust	0.445
despair	ho nyahama	disgust	0.445
opium	opium	disgust	0.445
garish	garish	disgust	0.445
lie	bua leshano	disgust	0.445
pious	morapeli	disgust	0.445
aversion	ho ferekana	disgust	0.438
sticky	e tsitsitseng	disgust	0.438
scream	hoeletsa	disgust	0.438
alien	mojaki	disgust	0.438
shun	qoba	disgust	0.438
abnormal	e sa tloaelehang	disgust	0.438
ashamed	lihlong	disgust	0.438
inmate	batšoaruoa	disgust	0.438
abject	e sithabetse	disgust	0.438
hog	hog	disgust	0.438
hopelessness	ho hloka tšepo	disgust	0.438
homeless	ba se nang bolulo	disgust	0.438
obnoxious	ho tšoenyeha	disgust	0.438
curse	thohako	disgust	0.430
creature	sebōpuoa	disgust	0.430
cursing	ho rohaka	disgust	0.430
illegal	e seng molaong	disgust	0.430
lusty	takatso e matla	disgust	0.430
shameless	ho hlajoa ke lihlong	disgust	0.430
debris	litšila	disgust	0.430
defiance	ho nyelisa	disgust	0.430
pall	pall	disgust	0.430
falsity	ho fosahetse	disgust	0.430
reflux	reflux	disgust	0.430
incredulous	ho se tsotelle	disgust	0.430
adverse	e mpe	disgust	0.430
trickery	bolotsana	disgust	0.430
callous	ho hloka mamello	disgust	0.430
separatist	ho arohana	disgust	0.430
undesirable	e sa rateheng	disgust	0.430
denounce	nyatsa	disgust	0.430
witch	baloi	disgust	0.430
bum	bot	disgust	0.422
bovine	bohobe	disgust	0.422
denunciation	nyatso	disgust	0.422
untidy	e sa phutholoha	disgust	0.422
impure	e sa hloekang	disgust	0.422
mistrust	ho se tšepane	disgust	0.422
tarnish	senya	disgust	0.422
ferocious	e bohale	disgust	0.422
gush	phunya	disgust	0.422
infantile	bana ba banyenyane	disgust	0.422
ammonia	ammonia	disgust	0.422
offend	ho khopisa	disgust	0.422
idiotic	e ikhethang	disgust	0.422
hypertrophy	ho tsuba	disgust	0.422
nicotine	nicotine	disgust	0.422
tasteless	e se nang thuso	disgust	0.422
pompous	ho ithorisa	disgust	0.422
socialist	setsebi	disgust	0.422
delinquent	tlōlo ea molao	disgust	0.422
swarm	tsuba	disgust	0.422
contentious	tsekisano	disgust	0.422
carelessness	ho hloka tlhokomelo	disgust	0.422
hairy	e boea	disgust	0.422
wasting	ho senya	disgust	0.422
slush	slush	disgust	0.422
affront	affront	disgust	0.422
collapse	ho oa	disgust	0.422
badness	bobe	disgust	0.422
dishonesty	ho se tšepahale	disgust	0.414
vegetative	vegetative	disgust	0.414
displacency	ho tlohela maemo	disgust	0.414
unfavorable	e sa rateheng	disgust	0.414
disobey	ho se mamele	disgust	0.414
sour	bolila	disgust	0.414
socialism	socialism	disgust	0.414
murky	ho sa tsotellehe	disgust	0.414
neglected	ho hlokomolohuoa	disgust	0.414
drivel	mochini oa koloi	disgust	0.414
vampire	moferefere	disgust	0.414
litigious	e le litakatso	disgust	0.414
illegitimate	e seng molaong	disgust	0.414
disgruntled	ho se tsotellehe	disgust	0.406
ignorant	sa tsebe	disgust	0.406
outcast	ho hlaseloa	disgust	0.406
unkind	ho hloka mosa	disgust	0.406
repel	pheta	disgust	0.406
displeasure	ho se thabise	disgust	0.406
phony	phony	disgust	0.406
shoplifting	ho etsa mabenkeleng	disgust	0.406
dislike	ha ba rate	disgust	0.406
unlawful	e seng molaong	disgust	0.406
bogus	bohata	disgust	0.406
discontinuity	ho khaotsa	disgust	0.406
recidivism	ho tsosolosoa	disgust	0.406
ungrateful	a se ananele	disgust	0.406
wrongdoing	phoso	disgust	0.406
falsify	ho fosahetse	disgust	0.406
prosecution	ho qosoa	disgust	0.406
failure	ho hlōleha	disgust	0.398
loon	loon	disgust	0.398
lick	lick	disgust	0.398
subvert	ho fetoha	disgust	0.398
rigor	ka matla	disgust	0.398
unruly	e sa laoleheng	disgust	0.398
paucity	ho hloka botsitso	disgust	0.398
unnatural	e sa tloaelehang	disgust	0.398
averse	hanyenyane	disgust	0.398
senseless	e se nang kelello	disgust	0.398
worsening	ho mpefala	disgust	0.398
disdain	nyelisa	disgust	0.398
woe	ho malimabe	disgust	0.398
woefully	ka bomalimabe	disgust	0.398
amphetamines	amphetamines	disgust	0.398
stingy	e le bohloko	disgust	0.398
crushing	ho senya	disgust	0.398
insult	ho rohaka	disgust	0.393
damage	tšenyo	disgust	0.391
hardened	e tiile	disgust	0.391
diatribe	diatribe	disgust	0.391
averseness	khethollo	disgust	0.391
critter	ho nyatsa	disgust	0.391
muff	muff	disgust	0.391
antisocial	ho se tsotelle	disgust	0.391
punishment	kotlo	disgust	0.391
bad	e mpe	disgust	0.391
punished	a fuoa kotlo	disgust	0.391
disrelish	ho nyenyefatsa	disgust	0.391
expel	leleka	disgust	0.391
farcical	farcical	disgust	0.391
scorpion	scorpion	disgust	0.391
sacrifices	mahlabelo	disgust	0.383
plagiarism	ho khetholla	disgust	0.383
hypocritical	boikaketsi	disgust	0.383
divorce	tlhalo	disgust	0.383
presumptuous	ba iketelletsang pele	disgust	0.383
discord	ho hloka kutloano	disgust	0.383
fugitive	mophaphathehi	disgust	0.383
fulsome	e tsoetseng pele	disgust	0.383
shabby	shabby	disgust	0.383
orc	orc	disgust	0.383
adder	adder	disgust	0.383
anaconda	anaconda	disgust	0.383
surly	bohale	disgust	0.383
irrational	ho se nahane	disgust	0.383
disappoint	ho nyahama	disgust	0.383
illiterate	ho bala le ho ngola	disgust	0.383
lament	lla	disgust	0.383
eviction	ho lelekoa	disgust	0.383
teeming	ho teba	disgust	0.383
guilt	ho ba molato	disgust	0.383
misconduct	boitšoaro bo bobe	disgust	0.375
blame	molato	disgust	0.375
alienation	ho arohana	disgust	0.375
depressing	ho nyahamisa	disgust	0.375
irritating	ho halefisa	disgust	0.375
plight	bothata	disgust	0.375
unworthy	e sa tšoanelehe	disgust	0.375
dislocated	ba senyehile	disgust	0.375
scoff	ho soma	disgust	0.375
irritation	khalefo	disgust	0.375
defective	e fosahetseng	disgust	0.375
shock	tšoha	disgust	0.375
hoax	leqheka	disgust	0.367
coerce	qobella	disgust	0.367
revoke	khutlisa	disgust	0.367
stripped	e hlobotse	disgust	0.367
exclusion	ho khelosoa	disgust	0.367
blatant	e hlakileng	disgust	0.367
disillusionment	ho nyahama	disgust	0.367
squelch	ho senya	disgust	0.367
unhealthy	e sa pheleng hantle	disgust	0.367
toad	toad	disgust	0.367
wimpy	e tsoetse pele	disgust	0.367
pitfall	phoso	disgust	0.367
vainly	lefeela	disgust	0.367
powerless	ha e na matla	disgust	0.367
cad	cad	disgust	0.367
hurtful	e utloisang bohloko	disgust	0.367
shuddering	ho thothomela	disgust	0.367
wimp	wimp	disgust	0.367
oddity	ho makatsa	disgust	0.359
rebellion	bofetoheli	disgust	0.359
incompatible	e sa lumellane	disgust	0.359
ineptitude	ho hloka botsitso	disgust	0.359
dispose	lahla	disgust	0.359
disobedience	ho se mamele	disgust	0.359
