word	Sindhi-sd	emotion	emotion-intensity-score
winning	کٽڻ	anticipation	0.664
impending	اڳتي هلي	anticipation	0.664
invitation	دعوت	anticipation	0.664
rescue	بچاء	anticipation	0.664
craving	ڪري ڇڏيو	anticipation	0.664
triumph	فتح	anticipation	0.664
celebration	جشن	anticipation	0.656
victory	فتح	anticipation	0.656
aspiring	سازش	anticipation	0.656
gain	حاصل ڪيو	anticipation	0.656
jackpot	ڪوڙا	anticipation	0.656
marriage	شادي	anticipation	0.656
strive	ڪوشش ڪري رهيو آهي	anticipation	0.656
bridegroom	ڪنوار	anticipation	0.656
reward	ثواب	anticipation	0.656
fortune	قسمت آهي	anticipation	0.656
bridal	ڪنوار	anticipation	0.656
courtship	عدالتن جي	anticipation	0.656
treasure	خزانو	anticipation	0.648
opportunity	موقعو	anticipation	0.648
intrigue	جوش	anticipation	0.648
delivery	ترسيل	anticipation	0.648
alertness	خبرداري	anticipation	0.648
aspiration	سڪ	anticipation	0.648
inheritance	وراثت	anticipation	0.648
rising	اڀرڻ	anticipation	0.648
tomorrow	سڀاڻي	anticipation	0.648
prescient	prescient	anticipation	0.648
crowning	ٻرندڙ	anticipation	0.648
revolution	انقلاب	anticipation	0.641
erotic	कामुक	anticipation	0.641
spectacular	شاندار	anticipation	0.641
anxious	فڪر مند	anticipation	0.641
expedition	نتيجو	anticipation	0.641
possibility	امڪان	anticipation	0.641
launch	لانچ	anticipation	0.641
bride	ڦيرايو	anticipation	0.641
celebrated	ملهائي	anticipation	0.641
prognosis	پروسيس	anticipation	0.641
engaged	مصروف	anticipation	0.641
reckoning	حساب ڏيڻ	anticipation	0.641
award	انعام	anticipation	0.641
happiness	خوشيء سان	anticipation	0.641
hype	هڪ قسم	anticipation	0.641
receiving	حاصل ڪرڻ	anticipation	0.641
curious	ذليل	anticipation	0.633
succeed	ڪامياب	anticipation	0.633
birthday	سالگراه	anticipation	0.633
graduation	گريجوئيشن	anticipation	0.633
beware	خبردار ٿيو	anticipation	0.633
vision	خواب	anticipation	0.633
passionate	جوش	anticipation	0.633
delight	نعمت	anticipation	0.633
destiny	قسمت	anticipation	0.633
ominous	ڦٽي	anticipation	0.633
coming	اچي رهيو آهي	anticipation	0.633
await	انتظار ڪري رهيو آهي	anticipation	0.633
passion	جوش	anticipation	0.633
firstborn	پوپٽ	anticipation	0.633
captivate	گرفتار	anticipation	0.633
prepare	تيار ڪريو	anticipation	0.633
miracle	معجزو	anticipation	0.633
triumphant	فتح	anticipation	0.625
lust	مورڳو	anticipation	0.625
retirement	ريٽائرمينٽ	anticipation	0.625
escape	ڀڄي ويو	anticipation	0.625
gift	تحفا	anticipation	0.625
inspiration	प्रेरاني	anticipation	0.625
optimism	خوشحالي	anticipation	0.625
foresee	ٻڌائڻ	anticipation	0.625
ripen	ريپ	anticipation	0.625
revival	بحال ٿيو	anticipation	0.625
embrace	گندو آهي	anticipation	0.617
risky	خطرناڪ آهي	anticipation	0.617
ambition	لوڀ	anticipation	0.617
simmering	سمجهه	anticipation	0.617
surprisingly	تعجب سان	anticipation	0.617
verge	ڪانگ	anticipation	0.617
enchanting	جادوگر	anticipation	0.617
bloom	ڦيلو	anticipation	0.617
foresight	پيش رفت	anticipation	0.617
foreboding	فوربنگنگ	anticipation	0.617
destined	گهڻائي	anticipation	0.617
succeeding	ڪامياب	anticipation	0.609
magical	جادوگر	anticipation	0.609
bonus	بونس	anticipation	0.609
lookout	ڏسو	anticipation	0.609
matrimony	فطرت	anticipation	0.609
alerts	خبرون	anticipation	0.609
anxiety	ڏڪڻ	anticipation	0.609
seductive	گندو آهي	anticipation	0.609
forecast	موسميات	anticipation	0.609
intended	ارادو ڪيو	anticipation	0.602
inspire	متاثر ڪيو	anticipation	0.602
diagnosis	تشخيص	anticipation	0.602
visionary	بصريت	anticipation	0.602
nervous	اعصاب	anticipation	0.602
deserve	مستحق آهي	anticipation	0.602
fulfillment	پورو	anticipation	0.602
picnic	پڪنڪ	anticipation	0.602
applicant	درخواست گذار	anticipation	0.602
foreseen	ڏاڪڻ	anticipation	0.602
entertaining	رزق	anticipation	0.602
revenge	انتقام	anticipation	0.602
success	ڪاميابي	anticipation	0.602
prophetic	نبيري	anticipation	0.602
winner	فاتح	anticipation	0.602
longing	ٿڌڻ	anticipation	0.602
boomerang	boomerang	anticipation	0.602
result	نتيجو	anticipation	0.594
accelerate	تڪڙو	anticipation	0.594
buzz	ٽيڪس	anticipation	0.594
acquiring	حاصل ڪرڻ	anticipation	0.594
marry	شادي	anticipation	0.594
illuminate	روشني	anticipation	0.594
romance	رومانس	anticipation	0.594
rekindle	وري ڪري ڇڏيو	anticipation	0.594
luck	قسمت	anticipation	0.594
advent	آڌرڀاء	anticipation	0.594
preparedness	تيارگي	anticipation	0.594
momentum	رفتار	anticipation	0.594
arrive	پهچڻ	anticipation	0.594
predict	اڳڪٿي	anticipation	0.589
sequel	ايئن	anticipation	0.586
money	پئسا	anticipation	0.586
endeavor	آزمائش	anticipation	0.586
auspices	وڇوڙي	anticipation	0.586
fiesta	fiesta	anticipation	0.586
raffle	غريب	anticipation	0.586
preparation	تياري	anticipation	0.586
uplift	ڦاٽل	anticipation	0.586
investigation	تحقيق	anticipation	0.586
gambling	جوا	anticipation	0.586
delightful	مزيدار	anticipation	0.586
enjoying	مزو وٺندو	anticipation	0.586
seek	ڳولڻ	anticipation	0.586
impatient	تڪڙو	anticipation	0.586
overdue	آڌرڀاء	anticipation	0.586
crave	ڍڪيل	anticipation	0.586
flirt	ٽٽل	anticipation	0.586
enthusiast	هوشيار	anticipation	0.586
presumption	پريشان آهي	anticipation	0.586
immerse	وڃڻو آهي	anticipation	0.586
progression	ترقي	anticipation	0.586
experiment	آزمائش	anticipation	0.580
inviting	دعوت ڏيڻ	anticipation	0.578
precarious	محتاج	anticipation	0.578
blessing	نعمت	anticipation	0.578
harvest	پوڻ	anticipation	0.578
transcendence	ٽرانسڪشن	anticipation	0.578
heavenly	جنت ۾	anticipation	0.578
attainable	حاصل ڪرڻ وارو	anticipation	0.578
enjoy	مزو وٺندو	anticipation	0.578
divination	تقسيم	anticipation	0.578
excavation	کھوٽو	anticipation	0.578
healing	شفا ڏيڻ	anticipation	0.578
majestic	وڏو	anticipation	0.578
clamor	ڪلامر	anticipation	0.578
thirst	اڃايل	anticipation	0.578
remedy	علاج	anticipation	0.578
prosper	خوشحال	anticipation	0.578
risk	خطري	anticipation	0.578
angling	ٿڪجي سگھي ٿو	anticipation	0.578
completing	مڪمل ڪرڻ	anticipation	0.578
thriving	وندر	anticipation	0.578
zest	تمام وڏو	anticipation	0.570
tease	ٽائيم	anticipation	0.570
matchmaker	ميچ	anticipation	0.570
prospectively	تنهنڪري	anticipation	0.570
restlessness	بيماري	anticipation	0.570
sweetheart	مٺو	anticipation	0.570
emancipation	آزادي	anticipation	0.570
ultimate	حتمي	anticipation	0.570
invite	دعوت ڏيو	anticipation	0.570
gambler	جوڙو	anticipation	0.570
dare	راضي ٿيو	anticipation	0.570
plan	منصوبو	anticipation	0.570
magnificence	شاندار آهي	anticipation	0.570
warned	خبردار ڪيو	anticipation	0.570
finally	نيٺ	anticipation	0.570
intimate	مباحثو	anticipation	0.570
omen	اجنبي	anticipation	0.570
attempt	ڪوشش ڪرڻ	anticipation	0.562
forewarned	ٿڪجي ويو	anticipation	0.562
fun	مذاق	anticipation	0.562
festival	ميلو	anticipation	0.562
trophy	ٽرافي	anticipation	0.562
rejoice	خوش ٿيو	anticipation	0.562
fanfare	فٽنيئر	anticipation	0.562
predilection	واجب آهي	anticipation	0.562
exalt	مثل آهي	anticipation	0.562
parade	مٿيون	anticipation	0.562
enchant	جادوگر	anticipation	0.562
independence	آزادي	anticipation	0.562
expose	ظاهر ڪرڻ	anticipation	0.562
immortality	امر	anticipation	0.562
expected	توقع آهي	anticipation	0.562
mysterious	پراسرار آهي	anticipation	0.562
hypothesis	فڪر	anticipation	0.562
accolade	تعصب	anticipation	0.562
lover	عاشق	anticipation	0.562
quicken	تڪڙو	anticipation	0.562
champion	چيمپئن	anticipation	0.562
lovely	پيارو	anticipation	0.555
rejoicing	خوش آمديد	anticipation	0.555
grasping	سمجھو	anticipation	0.555
grow	پوڻ	anticipation	0.555
curiosity	تجسس	anticipation	0.555
splendor	اسڪرين	anticipation	0.555
salvation	نجات	anticipation	0.555
happy	خوش ٿيو	anticipation	0.555
oracle	گروي	anticipation	0.555
amour	NO TRANSLATION	anticipation	0.555
unfold	چرچا	anticipation	0.555
boisterous	اجايو	anticipation	0.555
liberty	آزادي	anticipation	0.555
heroism	هيروزم	anticipation	0.555
feeling	محسوس ڪر	anticipation	0.555
shopping	خريداري	anticipation	0.555
fate	قسمت	anticipation	0.555
uneasiness	بي عزتي	anticipation	0.555
speculative	غير متوقع	anticipation	0.555
changeable	تبديل ٿي سگھي ٿو	anticipation	0.547
recreational	تفريح	anticipation	0.547
pray	دعا ڪر	anticipation	0.547
warn	ڊيڄاريندڙ	anticipation	0.547
suspicious	مشڪوڪ	anticipation	0.547
convergence	مونجهاري	anticipation	0.547
incite	ساڳيون	anticipation	0.547
agape	زنده	anticipation	0.547
morrow	مان	anticipation	0.547
abundance	اڪثريت	anticipation	0.547
delighted	خوش ٿيو	anticipation	0.547
resultant	نتيجو	anticipation	0.547
hungry	بکايل	anticipation	0.547
monetary	پيسو	anticipation	0.547
vote	ووٽ	anticipation	0.547
glory	جلال	anticipation	0.547
glimmer	چمڪندڙ	anticipation	0.547
apprehensive	مشڪل	anticipation	0.547
sorcery	جادوگر	anticipation	0.547
bountiful	احسان ڪندڙ	anticipation	0.547
leisure	فرصت	anticipation	0.547
probability	امڪان	anticipation	0.547
auction	نيلام	anticipation	0.539
hunting	شڪار ڪرڻ	anticipation	0.539
contingent	مقابلي ۾	anticipation	0.539
hankering	حيرت انگيز	anticipation	0.539
sensual	غير معمولي	anticipation	0.539
blessings	برڪت واري	anticipation	0.539
ballot	ووٽ	anticipation	0.539
grandchildren	پوترين	anticipation	0.539
entertainment	تفريح	anticipation	0.539
vindication	ڀلائي	anticipation	0.539
worrying	پريشان آهي	anticipation	0.539
tempest	تڪڙ	anticipation	0.539
inquiry	ڳولا	anticipation	0.539
merge	ملن	anticipation	0.539
exceed	وڌو	anticipation	0.539
bounty	فضل	anticipation	0.539
glad	خوش	anticipation	0.536
magnificent	شاندار آهي	anticipation	0.531
feat	وغيره	anticipation	0.531
stealthy	چپ چاپ	anticipation	0.531
cheer	خوشي	anticipation	0.531
spirits	مقتول	anticipation	0.531
visitor	گهمڻ وارو	anticipation	0.531
appeal	اپيل	anticipation	0.531
forming	ٺهيل	anticipation	0.531
hurried	تڪڙو	anticipation	0.531
responsive	جواب ڏنو	anticipation	0.531
virginity	ڪنواري	anticipation	0.531
deliverance	نجات	anticipation	0.531
betrothed	ڀٽيل	anticipation	0.531
overthrow	ختم ٿي وئي	anticipation	0.531
harbinger	هارنگي	anticipation	0.531
raving	هئڻ	anticipation	0.531
celestial	ڦٽي	anticipation	0.531
dread	ڊڄندڙ	anticipation	0.531
germination	سينگاريو	anticipation	0.523
preparatory	تياري	anticipation	0.523
pleasant	خوشگوار آهي	anticipation	0.523
watch	ڏس	anticipation	0.523
prophet	نبي	anticipation	0.523
prognostic	پروٽينڪوٽ	anticipation	0.523
haste	تڪڙ ٿيو	anticipation	0.523
planning	منصوبابندي	anticipation	0.523
importance	اهميت	anticipation	0.523
radiance	جواز	anticipation	0.523
prevail	غالب آهي	anticipation	0.523
cheery	خوشبو	anticipation	0.523
competition	هجن	anticipation	0.523
ultimately	آخرڪار	anticipation	0.523
revive	بحال ٿيو	anticipation	0.523
beaming	حيران ٿي ويو	anticipation	0.523
wait	انتظار ڪريو	anticipation	0.523
child	ٻار	anticipation	0.523
notification	نوٽيفڪيشن	anticipation	0.523
hunter	شينھن	anticipation	0.523
explosive	ڌماڪي سان	anticipation	0.523
endanger	خطرو	anticipation	0.516
time	وقت	anticipation	0.516
recreation	تفريح	anticipation	0.516
renovation	بحالي	anticipation	0.516
precious	قيمتي	anticipation	0.516
begun	شروع ڪيو	anticipation	0.516
loom	ماني	anticipation	0.516
compensate	معاوضي	anticipation	0.516
treat	علاج	anticipation	0.516
uncontrollable	اڻ لامحدود	anticipation	0.516
present	موجود آهي	anticipation	0.516
salary	تنخواه	anticipation	0.516
celebrity	شهرت	anticipation	0.516
owing	ڪري ڇڏيو	anticipation	0.516
chocolate	چاڪليٽ	anticipation	0.516
caution	احتياط	anticipation	0.516
fermentation	خمير	anticipation	0.516
sensuality	سنسڪرت	anticipation	0.516
wilderness	ٻرندڙ	anticipation	0.508
signify	اشارو ڏيو	anticipation	0.508
transitional	عارضي طور تي	anticipation	0.508
intermission	وقار	anticipation	0.508
contemplation	ويچارو	anticipation	0.508
vigilance	محيط	anticipation	0.508
commemoration	يادگار	anticipation	0.508
practise	مشق	anticipation	0.508
cue	ڪري ڇڏيو	anticipation	0.508
infant	ٻارڙي	anticipation	0.508
dreadful	خوفناڪ	anticipation	0.508
perfection	تڪميل	anticipation	0.508
elevation	بلندي	anticipation	0.508
prerequisite	لازمي	anticipation	0.508
cultivate	پوکي ٿو	anticipation	0.508
horizon	افق	anticipation	0.508
develop	ترقي ڪريو	anticipation	0.508
exigent	NO TRANSLATION	anticipation	0.508
swim	ترڪي	anticipation	0.500
attendance	حاضري	anticipation	0.500
nascent	واقعو	anticipation	0.500
favorable	مناسب	anticipation	0.500
peril	نڀاڳو	anticipation	0.500
income	آمدني	anticipation	0.500
ardent	ardent	anticipation	0.500
commemorate	يادگار	anticipation	0.500
doomsday	وقت جو ڏينهن	anticipation	0.500
reconciliation	صلح	anticipation	0.500
utopian	يوٽيوپين	anticipation	0.500
romantic	رومانويٽڪ	anticipation	0.500
unbridled	اڻ ڳڻي	anticipation	0.500
sunny	ٿڌو	anticipation	0.500
uphill	تڪليف	anticipation	0.500
intuitively	محتاج	anticipation	0.500
depart	وڃڻ	anticipation	0.500
eventuality	واقعي	anticipation	0.500
puppy	پوپ	anticipation	0.500
zeal	جوش	anticipation	0.500
sneaking	ڇڪڻ	anticipation	0.500
ready	تيار ٿيو	anticipation	0.500
advocacy	وڪيل	anticipation	0.500
airport	ايئرپورٽ	anticipation	0.500
litigate	لکت	anticipation	0.500
blindfold	انڌا	anticipation	0.500
undisclosed	اڻ پڙهيل	anticipation	0.500
young	نوجوان	anticipation	0.500
horoscope	اولاد	anticipation	0.500
invocation	دعا آهي	anticipation	0.500
calculation	حساب ڪتاب	anticipation	0.500
hero	هيرو	anticipation	0.500
court	عدالت	anticipation	0.492
repay	موٽڻ	anticipation	0.492
improvise	وڌائڻ	anticipation	0.492
parole	پارلو	anticipation	0.492
worry	پريشان	anticipation	0.492
inauguration	افتتاح	anticipation	0.492
gaping	تڪرار	anticipation	0.492
youth	نوجوانن	anticipation	0.492
bless	برڪت ڪيو	anticipation	0.492
defense	دفاع	anticipation	0.492
heyday	اڀرندو	anticipation	0.492
consequent	نتيجو	anticipation	0.492
proceeding	ڪمزور	anticipation	0.492
eventual	مڪمل	anticipation	0.492
perspective	ڪانه	anticipation	0.492
restorative	بحالي	anticipation	0.492
undertaking	گڏ ڪرڻ	anticipation	0.492
highest	تمام گهڻي	anticipation	0.491
duel	ٽائيم	anticipation	0.484
unexplained	اڻڄاتل	anticipation	0.484
tremor	زبردست	anticipation	0.484
sharpen	تيز	anticipation	0.484
generosity	سخاوت	anticipation	0.484
voluptuous	ٺيڪ آهي	anticipation	0.484
shortly	ٿورو ئي	anticipation	0.484
vow	واه	anticipation	0.484
contagion	سانحو	anticipation	0.484
letter	خط	anticipation	0.484
happen	ٿئي ٿو	anticipation	0.484
threaten	خطرو آهي	anticipation	0.484
conjure	سمجهي ٿو	anticipation	0.484
sparkle	چمڪندڙ	anticipation	0.484
engulf	سيارو	anticipation	0.484
god	خدا	anticipation	0.484
correspondence	خطا	anticipation	0.484
auspicious	هڪٻئي جو	anticipation	0.484
princely	پرنسپل	anticipation	0.484
adore	پسند ڪيو	anticipation	0.477
enroll	وجھو	anticipation	0.477
determinate	سمجهان ٿو	anticipation	0.477
predispose	تڪڙو	anticipation	0.477
clue	ڄڀي	anticipation	0.477
onset	اوٽ	anticipation	0.477
powerful	طاقتور	anticipation	0.477
glorify	پاڪائي	anticipation	0.477
glow	چمڪيو	anticipation	0.477
arbitration	ثالث	anticipation	0.477
torture	تشدد	anticipation	0.477
gravitate	ڦوڪيو	anticipation	0.477
cherish	بچي ويو	anticipation	0.477
contemplate	ويچارو	anticipation	0.477
submit	جمع ڪرايو	anticipation	0.477
perilous	ناپسنديده	anticipation	0.477
unification	ضابطي	anticipation	0.477
score	نمبر	anticipation	0.477
medal	ميڊيا	anticipation	0.477
glide	ٺڪيو	anticipation	0.477
recipient	وصول ڪندڙ	anticipation	0.477
accompaniment	گڏوگڏ	anticipation	0.477
praiseworthy	قابل تعريف آهي	anticipation	0.473
providing	مهيا ڪرڻ	anticipation	0.469
motion	حرڪت	anticipation	0.469
fete	NO TRANSLATION	anticipation	0.469
cautious	محتاط	anticipation	0.469
cash	نقد	anticipation	0.469
precursor	ننڍڙو	anticipation	0.469
opera	اوپيرا	anticipation	0.469
elite	اشارو	anticipation	0.469
pry	Pry	anticipation	0.469
hire	رزق	anticipation	0.469
sweets	مٺايون	anticipation	0.469
star	تارو	anticipation	0.469
unsurpassed	اڻ سڌريل	anticipation	0.469
successful	ڪامياب	anticipation	0.469
unknown	اڻڄاتل	anticipation	0.469
immediately	فوري طور تي	anticipation	0.469
starry	تارو	anticipation	0.469
production	پيداوار	anticipation	0.469
football	فوٽ بال	anticipation	0.469
completion	مڪمل	anticipation	0.469
scare	ناراض ٿيو	anticipation	0.469
invoke	سڏيو	anticipation	0.469
shaky	شرمي	anticipation	0.469
dawn	صبح جو	anticipation	0.469
creeping	چرندڙ	anticipation	0.469
cheerfulness	خوش مزاج	anticipation	0.461
soundness	آواز	anticipation	0.461
mail	ٽپال	anticipation	0.461
draft	مسودو	anticipation	0.461
preliminary	ابتدائي	anticipation	0.461
friendly	دوست	anticipation	0.461
commemorative	يادگار	anticipation	0.461
extricate	اضافي	anticipation	0.461
alive	زنده	anticipation	0.461
untold	اڻڄاتل	anticipation	0.461
overture	ختم ڪندي	anticipation	0.461
excel	هڪٻئي	anticipation	0.461
plight	تڪرار	anticipation	0.461
synchronize	هم وقت سازي	anticipation	0.461
punt	چاچي	anticipation	0.461
sanctuary	حرمت	anticipation	0.461
brilliant	شاندار	anticipation	0.461
pay	ادا	anticipation	0.461
shining	چمڪندڙ	anticipation	0.461
regatta	ريٽا	anticipation	0.461
testament	عهد نامي	anticipation	0.461
jeopardy	خطرناڪ	anticipation	0.461
perpetuity	عملدرآمد	anticipation	0.453
elegance	خوشبو	anticipation	0.453
career	ڪاروبار	anticipation	0.453
basketball	باسڪٽ بال	anticipation	0.453
intimately	نيٺ	anticipation	0.453
renovate	بحال ڪريو	anticipation	0.453
supremacy	زبردست	anticipation	0.453
infinity	انفرافيشن	anticipation	0.453
unexpected	اوچتو	anticipation	0.453
flinch	ڦل	anticipation	0.453
complement	پورو	anticipation	0.453
prologue	پيش	anticipation	0.453
compliment	NO TRANSLATION	anticipation	0.453
prevention	روڪ	anticipation	0.453
improve	بهتر	anticipation	0.453
sunset	لٿي	anticipation	0.453
inaugural	افتتاح	anticipation	0.453
rehabilitation	بحالي	anticipation	0.453
fitting	گهڙڻ	anticipation	0.445
surround	ڀرسان	anticipation	0.445
share	حصيداري ڪريو	anticipation	0.445
epidemic	ايپيڊيم	anticipation	0.445
sweet	مٺي	anticipation	0.445
fain	NO TRANSLATION	anticipation	0.445
concealment	ڪوبہ	anticipation	0.445
confidence	اعتماد	anticipation	0.445
perfect	ڀرپور	anticipation	0.445
sun	سج	anticipation	0.445
veracity	سچائي	anticipation	0.445
volunteer	رضاڪار	anticipation	0.445
conjecture	گمان	anticipation	0.445
medical	طبي	anticipation	0.438
prepared	تيار ڪيل	anticipation	0.438
superstitious	اجايو	anticipation	0.438
reconstruction	تعمير	anticipation	0.438
tickle	ڦاٽل	anticipation	0.438
faith	ايمان	anticipation	0.438
passenger	مسافر	anticipation	0.438
saint	درويش	anticipation	0.438
respect	احترام	anticipation	0.438
rabid	اڀريو	anticipation	0.438
reconstruct	بحال ٿيو	anticipation	0.438
recombination	چڙهڻ	anticipation	0.438
devout	عقيدتمند	anticipation	0.438
goodness	ڀلائي	anticipation	0.438
angel	فرشتو	anticipation	0.438
ferment	خمير	anticipation	0.438
plea	درخواست	anticipation	0.438
aloha	الهي	anticipation	0.438
serial	سيريل	anticipation	0.438
conservation	تحفظ	anticipation	0.438
serenity	زندگي	anticipation	0.430
tabulate	تيل	anticipation	0.430
install	انسٽال ڪريو	anticipation	0.430
labyrinth	ڳولا	anticipation	0.430
venerable	معالج	anticipation	0.430
perpetuate	جاري آهي	anticipation	0.430
strategist	حڪمت عملي	anticipation	0.430
unverified	تصديق ٿيل	anticipation	0.430
tribunal	ٽربيونل	anticipation	0.430
charitable	خيرات	anticipation	0.430
luscious	باهمي	anticipation	0.430
spa	اسپا	anticipation	0.430
peace	صلح	anticipation	0.430
clap	ڪلپ	anticipation	0.430
conspirator	سازش	anticipation	0.422
forestall	ٻيلو	anticipation	0.422
patience	صبر	anticipation	0.422
oasis	رڻ	anticipation	0.422
grin	تڪليف	anticipation	0.422
revere	عنايت	anticipation	0.422
worship	عبادت ڪريو	anticipation	0.422
vista	ويسٽ	anticipation	0.422
laughter	مهنجو	anticipation	0.422
volatility	تڪليف	anticipation	0.422
adrift	زنا	anticipation	0.422
candid	اميدوار	anticipation	0.422
edification	ترميم	anticipation	0.422
unresolved	حل ٿيل	anticipation	0.422
peaceful	امن پسند	anticipation	0.422
recognizable	سڃاڻپ ڪندڙ	anticipation	0.422
calls	ڪال	anticipation	0.414
weigh	اٿو	anticipation	0.414
probation	امتحان	anticipation	0.414
proficiency	ماڻهون	anticipation	0.414
morn	ڄائو	anticipation	0.414
craps	ڪفن	anticipation	0.414
detainee	قيدي	anticipation	0.414
mediate	ثالث	anticipation	0.414
continue	جاري رکو	anticipation	0.414
astrologer	astrologer	anticipation	0.414
punctual	محتاج	anticipation	0.414
ordination	حڪم	anticipation	0.414
pretty	پيارو	anticipation	0.414
thought	فڪر	anticipation	0.414
grant	خليفو	anticipation	0.414
withstand	سان گڏ	anticipation	0.414
frisky	ننڍڙو	anticipation	0.414
ongoing	ويندڙ	anticipation	0.414
sing	ڳئون	anticipation	0.411
long	ڊگهو	anticipation	0.406
confession	اقرار	anticipation	0.406
headlight	ٽائيم	anticipation	0.406
prophylactic	نوازي	anticipation	0.406
mother	ماءُ	anticipation	0.406
debenture	debenture	anticipation	0.406
wizard	مددگار	anticipation	0.406
university	يونيورسٽي	anticipation	0.406
proud	فخر آهي	anticipation	0.406
midwife	دائي	anticipation	0.406
banquet	ضيافت	anticipation	0.406
continuation	تسلسل	anticipation	0.406
navigable	ترتيب ڏيڻ	anticipation	0.406
punished	سزا ڏني	anticipation	0.406
chicane	ڄاڻي ٿو	anticipation	0.406
comfort	آرام	anticipation	0.406
opponent	مخالف	anticipation	0.406
subscribe	رڪنيت حاصل ڪريو	anticipation	0.406
outdo	وڌو	anticipation	0.406
nurture	نڀائڻ	anticipation	0.406
twinkle	ٽڪر	anticipation	0.406
deal	ڊيل	anticipation	0.402
efficient	موثر	anticipation	0.398
representing	نمائندي	anticipation	0.398
simmer	سمر	anticipation	0.398
symphony	سمفون	anticipation	0.398
judiciary	عدليه	anticipation	0.398
obliging	واجب	anticipation	0.398
saintly	درويش	anticipation	0.398
vigil	پيشاب	anticipation	0.398
death	موت	anticipation	0.398
distracting	پريشان آهي	anticipation	0.398
mortification	نوٽيفڪيشن	anticipation	0.398
balm	بلم	anticipation	0.398
guillotine	گليٽائن	anticipation	0.398
top	مٿي	anticipation	0.398
lettered	خط ڪيل	anticipation	0.398
reliance	راضي	anticipation	0.398
poke	ڪري ڇڏيو	anticipation	0.391
unfulfilled	اڻ ڄاتل	anticipation	0.391
assurance	يقينن	anticipation	0.391
condemnation	مذمت	anticipation	0.391
undoubted	ختم ٿي ويو	anticipation	0.391
diplomacy	سفارتي	anticipation	0.391
familiarity	واقفيت	anticipation	0.391
antidote	ڦيرو	anticipation	0.391
chuckle	چڪ	anticipation	0.391
objective	مقصد	anticipation	0.391
maternal	مادري	anticipation	0.391
abeyance	احسان	anticipation	0.391
art	فن	anticipation	0.391
linger	آنگر	anticipation	0.391
trust	يقين رکو	anticipation	0.391
depraved	وهنوار	anticipation	0.391
sanctify	پاڪائي	anticipation	0.391
inoculation	ذوق	anticipation	0.384
chant	وڏو	anticipation	0.383
banger	بيجر	anticipation	0.383
playground	راند جو ميدان	anticipation	0.383
failing	ناڪام ٿي رهيو آهي	anticipation	0.383
ship	ٻيڙي	anticipation	0.383
hymn	حامين	anticipation	0.383
simplify	آسان بڻائي ٿو	anticipation	0.383
ram	رام	anticipation	0.383
labor	محنت	anticipation	0.383
discretion	تقسيم ڪندڙ	anticipation	0.383
hap	NO TRANSLATION	anticipation	0.383
good	سٺو	anticipation	0.383
scientist	سائنسدان	anticipation	0.383
undecided	اڻڄاتل	anticipation	0.383
humanitarian	انسانيت	anticipation	0.383
depend	ڀاڙي	anticipation	0.383
dutiful	مستند آهي	anticipation	0.383
clock	گھڙي	anticipation	0.375
sterling	سوراخ	anticipation	0.375
mountain	جبل	anticipation	0.375
savor	سوز	anticipation	0.375
recurrent	سمورو	anticipation	0.375
interim	ثانوي	anticipation	0.375
navigator	ويجهو	anticipation	0.375
gradual	سخاوت	anticipation	0.375
interminable	وقار	anticipation	0.375
track	رستو	anticipation	0.375
public	عوامي	anticipation	0.375
cradle	ٽڪر	anticipation	0.375
concealed	لڪايو	anticipation	0.367
lesson	سبق	anticipation	0.367
instructions	هدايتون	anticipation	0.367
shiver	ويندڙ	anticipation	0.367
musical	موسيقي	anticipation	0.367
towering	ٽرندڙ	anticipation	0.367
whim	وهن	anticipation	0.367
spear	اسپيئر	anticipation	0.367
convince	سمجهايو	anticipation	0.367
sonar	پٽ	anticipation	0.367
abide	سدائين رهڻ	anticipation	0.367
biennial	ڦوٽو	anticipation	0.367
theology	علميات	anticipation	0.359
offset	اوٽ	anticipation	0.359
atone	عرش	anticipation	0.359
timidity	ٿلهي	anticipation	0.359
theory	نظريي	anticipation	0.359
undying	ناھي	anticipation	0.359
plump	ٺهيل	anticipation	0.359
audience	گهريون	anticipation	0.357
nobility	صفت	anticipation	0.352
paragon	جهڙا	anticipation	0.352
dietary	غذا	anticipation	0.352
closure	بندش	anticipation	0.352
store	اسٽور	anticipation	0.352
localize	مقامي بڻائڻ	anticipation	0.352
cramp	چڪر	anticipation	0.352
daily	روزاني	anticipation	0.352
kindred	مهربان	anticipation	0.352
farm	فارم	anticipation	0.352
edition	ايڊيشن	anticipation	0.352
consecration	رعايت	anticipation	0.352
archaeology	آثار علم	anticipation	0.344
mobile	موبائل	anticipation	0.344
errand	غلط	anticipation	0.344
wireless	وائرلیس	anticipation	0.344
mutable	ملندڙ	anticipation	0.344
meditate	غور ڪريو	anticipation	0.344
stripped	وڙهي ڇڏيو	anticipation	0.344
lessen	گهٽ ۾ گهٽ	anticipation	0.336
unaccountable	ناقابل قبول آهي	anticipation	0.336
pare	NO TRANSLATION	anticipation	0.336
brotherly	ڀاء	anticipation	0.336
buddy	دوست	anticipation	0.336
unbeaten	اڻ ڄاڻي واڻي	anticipation	0.336
germ	سمورو	anticipation	0.336
dove	ٽپو	anticipation	0.328
digress	حيرت	anticipation	0.328
ribbon	ربن	anticipation	0.328
olfactory	زيتون	anticipation	0.328
patient	مريض	anticipation	0.328
council	ڪائونسل	anticipation	0.328
