word	Marathi-mr	emotion	emotion-intensity-score
incase	लादणे	anger	0.188
preclude	अटकाव करणे	anger	0.188
insecure	असुरक्षित	anger	0.188
mournful	दुःखी	anger	0.188
rating	रेटिंग	anger	0.182
mistress	शिक्षिका	anger	0.182
pare	NO TRANSLATION	anger	0.182
mutter	NO TRANSLATION	anger	0.182
claimant	हक्क सांगणारा	anger	0.182
insist	ठामपणे सांगणे	anger	0.182
distracting	विचलित	anger	0.182
opium	अफीम	anger	0.180
willful	हेतुपुरस्सर	anger	0.176
deserve	पात्र	anger	0.176
insists	आग्रही	anger	0.175
treat	उपचार	anger	0.175
misplace	चुकीच्या जागी ठेवणे	anger	0.172
indecisive	अनिर्णीत	anger	0.172
gibberish	निष्फळ	anger	0.172
fleece	लुबाडणे	anger	0.172
fee	शुल्क	anger	0.172
peice	NO TRANSLATION	anger	0.172
liberate	मुक्त करा	anger	0.172
excitation	उत्तेजितपणा	anger	0.172
hormonal	हार्मोनल	anger	0.172
mighty	पराक्रमी	anger	0.172
thanksalot	NO TRANSLATION	anger	0.172
yelp	दंड	anger	0.168
unequal	असमान	anger	0.167
insufficiency	अपुरेपणा	anger	0.167
hamstring	हॅमस्ट्रिंग	anger	0.167
bargaining	सौदेबाजी	anger	0.167
mule	खरुज	anger	0.167
insignificant	क्षुल्लक	anger	0.167
attentionseekers	NO TRANSLATION	anger	0.163
indifference	दुर्लक्ष	anger	0.156
rheumatism	संधिवात	anger	0.156
coop	कोऑप	anger	0.156
forearm	आधीच सज्ज	anger	0.156
uncertain	अनिश्चित	anger	0.152
bee	मधमाशी	anger	0.152
justthebeginning	NO TRANSLATION	anger	0.152
involvement	सहभाग	anger	0.152
disinformation	अपकीर्ती	anger	0.152
attorney	वकील	anger	0.152
underpaid	कमी वेतन	anger	0.152
pretending	बतावणी	anger	0.152
campaigning	प्रचार	anger	0.151
hopelessness	नैराश्य	anger	0.149
feeling	भावना	anger	0.147
legalized	वैध	anger	0.145
caution	खबरदारी	anger	0.145
subsidy	अनुदान	anger	0.141
obliging	बंधनकारक	anger	0.141
morals	नैतिकता	anger	0.141
sterling	स्टर्लिंग	anger	0.141
wimpy	Wimpy	anger	0.140
bummer	बमर	anger	0.139
misspell	चुकीचे स्पेलिंग	anger	0.136
saloon	सलून	anger	0.136
repay	फेड करा	anger	0.136
blemish	दोष	anger	0.136
surcharge	अधिभार	anger	0.136
geez	गीझ	anger	0.136
birch	बर्च झाडापासून तयार केलेले	anger	0.135
noob	नोब	anger	0.133
honk	हाक	anger	0.133
orchestra	ऑर्केस्ट्रा	anger	0.132
competitive	स्पर्धात्मक	anger	0.125
wireless	वायरलेस	anger	0.125
standstill	ताठरता	anger	0.125
mosque	मस्जिद	anger	0.122
reversal	प्रत्यावर्तन	anger	0.121
inattention	अयोग्य	anger	0.121
lace	नाडी	anger	0.118
elbow	कोपर	anger	0.117
instinctive	सहजप्रवृत्त	anger	0.112
chant	गाणे	anger	0.111
lonely	एकाकी	anger	0.109
gnome	gnome	anger	0.109
tolerate	सहन करणे	anger	0.106
management	व्यवस्थापन	anger	0.102
advocacy	समर्थन	anger	0.100
moral	नैतिक	anger	0.094
roadworks	रोडवर्क	anger	0.091
honest	प्रामाणिक	anger	0.087
forgetful	विसराळू	anger	0.076
gent	सभ्य गृहस्थ	anger	0.076
liquor	मद्य	anger	0.075
money	पैसे	anger	0.074
hood	हुड	anger	0.071
curriculum	अभ्यासक्रम	anger	0.063
words	शब्द	anger	0.062
smell	गंध	anger	0.061
elf	वनदेवता	anger	0.061
playful	आनंदी	anger	0.061
opera	ऑपेरा	anger	0.061
nurture	शिक्षण	anger	0.059
asleeep	NO TRANSLATION	anger	0.059
counsellor	सल्लागार	anger	0.059
trumpet	रणशिंग	anger	0.059
birthplace	जन्मस्थान	anger	0.051
ribbon	रिबन	anger	0.047
youth	युवक	anger	0.045
vote	मत द्या	anger	0.045
cash	रोख	anger	0.039
wannasleep	NO TRANSLATION	anger	0.031
dame	दंतकथा	anger	0.030
waffle	वायफळ बडबड किंवा लेखन	anger	0.030
buffet	आघात	anger	0.029
celebrity	सेलिब्रिटी	anger	0.026
autocorrect	स्वयंदुरुस्त	anger	0.015
sisterhood	बहिणीचा	anger	0.015
musical	संगीत	anger	0.011
tree	झाड	anger	0.000
anticipation	आगाऊ	anticipation	0.859
excited	उत्साहित	anticipation	0.859
anticipate	अपेक्षा करणे	anticipation	0.820
excitement	खळबळ	anticipation	0.820
eagerness	उत्सुकता	anticipation	0.812
exciting	रोमांचक	anticipation	0.797
expectant	अपेक्षा करणारा	anticipation	0.789
thrilling	थरारक	anticipation	0.781
hope	आशा	anticipation	0.773
quest	शोध	anticipation	0.766
expectance	अपेक्षा	anticipation	0.750
countdown	काउंटडाउन	anticipation	0.750
start	प्रारंभ	anticipation	0.750
anticipatory	आगाऊ	anticipation	0.750
adventure	साहस	anticipation	0.750
eager	उत्सुक	anticipation	0.742
climax	कळस	anticipation	0.742
excite	उत्तेजित	anticipation	0.742
prophecy	भविष्यवाणी	anticipation	0.742
arouse	जागे करा	anticipation	0.742
expect	अपेक्षा	anticipation	0.742
birth	जन्म	anticipation	0.734
ejaculation	स्खलन	anticipation	0.734
announcement	घोषणा	anticipation	0.734
liberation	मुक्ती	anticipation	0.727
urgent	तातडीचे	anticipation	0.727
expecting	अपेक्षित	anticipation	0.727
expectancy	अपेणा	anticipation	0.727
imminent	सुस्पष्ट	anticipation	0.727
aspire	महत्वाकांक्षा	anticipation	0.719
prospect	आशा	anticipation	0.719
trepidation	गडगडाट	anticipation	0.719
reunion	पुनर्मीलन	anticipation	0.719
prospection	फायदे	anticipation	0.719
voyage	जलप्रवास	anticipation	0.719
mystery	गूढ	anticipation	0.711
journey	प्रवास	anticipation	0.711
kiss	चुंबन	anticipation	0.711
enthusiasm	उत्साह	anticipation	0.711
suspense	रहस्य	anticipation	0.711
ecstasy	परमानंद	anticipation	0.711
rapture	आनंदी	anticipation	0.711
yearning	तळमळ	anticipation	0.711
urgency	निकड	anticipation	0.703
destination	गंतव्य	anticipation	0.703
frantic	वेडापिसा	anticipation	0.703
excitation	उत्तेजितपणा	anticipation	0.703
thrill	थ्रिल	anticipation	0.703
prospective	संभाव्य	anticipation	0.703
hopeful	आशावादी	anticipation	0.703
lottery	लॉटरी	anticipation	0.703
progress	प्रगती	anticipation	0.703
tantalizing	टेंटलाइझिंग	anticipation	0.703
advance	प्रगती	anticipation	0.695
explore	अन्वेषण	anticipation	0.695
liberate	मुक्त करा	anticipation	0.695
readiness	तयारी	anticipation	0.695
hurry	त्वरा करा	anticipation	0.695
arrival	आगमन	anticipation	0.695
vacation	सुट्टीचा काळ	anticipation	0.695
expectation	अपेक्षा	anticipation	0.695
sex	लिंग	anticipation	0.695
achievement	यश	anticipation	0.695
prediction	भविष्यवाणी	anticipation	0.695
allure	आकर्षण	anticipation	0.688
ecstatic	हर्षभरीत	anticipation	0.688
approaching	जवळ येत आहे	anticipation	0.688
uprising	उठाव	anticipation	0.680
honeymoon	मधुचंद्र	anticipation	0.680
roulette	रुलेट	anticipation	0.680
crescendo	क्रॉस्सेन्डो	anticipation	0.672
holiday	सुट्टी	anticipation	0.672
wishful	इच्छाशक्ती	anticipation	0.672
celebrating	उत्सव	anticipation	0.672
waiting	प्रतीक्षेत	anticipation	0.664
winnings	जिंकलेली	anticipation	0.664
orgasm	भावनोत्कटता	anticipation	0.664
winning	विजेता	anticipation	0.664
impending	येऊ घातलेला	anticipation	0.664
invitation	आमंत्रण	anticipation	0.664
rescue	बचाव	anticipation	0.664
craving	लालसा	anticipation	0.664
triumph	विजय	anticipation	0.664
celebration	उत्सव	anticipation	0.656
victory	विजय	anticipation	0.656
aspiring	महत्त्वाकांक्षी	anticipation	0.656
gain	वाढणे	anticipation	0.656
jackpot	जॅकपॉट	anticipation	0.656
marriage	विवाह	anticipation	0.656
strive	प्रयत्न करा	anticipation	0.656
bridegroom	नवरा	anticipation	0.656
reward	प्रतिफळ भरून पावले	anticipation	0.656
fortune	भाग्य	anticipation	0.656
bridal	विवाह	anticipation	0.656
courtship	प्रियाराधन	anticipation	0.656
treasure	खजिना	anticipation	0.648
opportunity	संधी	anticipation	0.648
intrigue	कारस्थान	anticipation	0.648
delivery	वितरण	anticipation	0.648
alertness	सावधानता	anticipation	0.648
aspiration	आकांक्षा	anticipation	0.648
inheritance	वारसा	anticipation	0.648
rising	वाढत्या	anticipation	0.648
tomorrow	उद्या	anticipation	0.648
prescient	पूर्वज्ञानवान	anticipation	0.648
crowning	मुकुट	anticipation	0.648
revolution	क्रांती	anticipation	0.641
erotic	कामुक	anticipation	0.641
spectacular	नेत्रदीपक	anticipation	0.641
anxious	चिंतित	anticipation	0.641
expedition	मोहीम	anticipation	0.641
possibility	शक्यता	anticipation	0.641
launch	लाँच करा	anticipation	0.641
bride	वधू	anticipation	0.641
celebrated	साजरा केला	anticipation	0.641
prognosis	रोगनिदान	anticipation	0.641
engaged	व्यस्त	anticipation	0.641
reckoning	हिशेब	anticipation	0.641
award	पुरस्कार	anticipation	0.641
happiness	आनंद	anticipation	0.641
hype	हाइपे	anticipation	0.641
receiving	प्राप्त	anticipation	0.641
curious	जिज्ञासू	anticipation	0.633
succeed	यशस्वी	anticipation	0.633
birthday	वाढदिवस	anticipation	0.633
graduation	पदवी	anticipation	0.633
beware	सावध रहा	anticipation	0.633
vision	दृष्टी	anticipation	0.633
passionate	तापट	anticipation	0.633
delight	खूप आनंद देणे	anticipation	0.633
destiny	नशीब	anticipation	0.633
ominous	अशुभ	anticipation	0.633
coming	येणाऱ्या	anticipation	0.633
await	वाट पहा	anticipation	0.633
passion	आवड	anticipation	0.633
firstborn	ज्येष्ठ	anticipation	0.633
captivate	लुबाडणे	anticipation	0.633
prepare	तयार करा	anticipation	0.633
miracle	चमत्कार	anticipation	0.633
triumphant	विजयी	anticipation	0.625
lust	लालसा	anticipation	0.625
retirement	निवृत्ती	anticipation	0.625
escape	निसटणे	anticipation	0.625
gift	भेट	anticipation	0.625
inspiration	प्रेरणा	anticipation	0.625
optimism	आशावाद	anticipation	0.625
foresee	आगाऊ दिसणे	anticipation	0.625
ripen	पिकवणे किंवा पिकणे	anticipation	0.625
revival	पुनरुज्जीवन	anticipation	0.625
embrace	आलिंगन	anticipation	0.617
risky	धोकादायक	anticipation	0.617
ambition	महत्वाकांक्षा	anticipation	0.617
simmering	उकळत जाणे	anticipation	0.617
surprisingly	आश्चर्याची गोष्ट म्हणजे	anticipation	0.617
verge	कडा	anticipation	0.617
enchanting	आनंददायक	anticipation	0.617
bloom	मोहोर	anticipation	0.617
foresight	दूरदृष्टी	anticipation	0.617
foreboding	शकुन पाहणे	anticipation	0.617
destined	नियत	anticipation	0.617
succeeding	त्यानंतर	anticipation	0.609
magical	जादूचा	anticipation	0.609
bonus	बोनस	anticipation	0.609
lookout	देखावा	anticipation	0.609
matrimony	विवाह	anticipation	0.609
alerts	अॅलर्ट	anticipation	0.609
anxiety	चिंता	anticipation	0.609
seductive	मोहक	anticipation	0.609
forecast	अंदाज	anticipation	0.609
intended	हेतू	anticipation	0.602
inspire	प्रेरणा	anticipation	0.602
diagnosis	निदान	anticipation	0.602
visionary	द्रष्टा	anticipation	0.602
nervous	चिंताग्रस्त	anticipation	0.602
deserve	पात्र	anticipation	0.602
fulfillment	पूर्णता	anticipation	0.602
picnic	पिकनिक	anticipation	0.602
applicant	अर्जदार	anticipation	0.602
foreseen	आगाऊ	anticipation	0.602
entertaining	मनोरंजक	anticipation	0.602
revenge	बदला	anticipation	0.602
success	यश	anticipation	0.602
prophetic	भविष्यसूचक	anticipation	0.602
winner	विजेता	anticipation	0.602
longing	उत्कट इच्छा	anticipation	0.602
boomerang	बूमरॅंग	anticipation	0.602
result	परिणाम	anticipation	0.594
accelerate	गती वाढवा	anticipation	0.594
buzz	बझ	anticipation	0.594
acquiring	प्राप्त करीत आहे	anticipation	0.594
marry	लग्न करा	anticipation	0.594
illuminate	भ्रमनिरास	anticipation	0.594
romance	प्रणय	anticipation	0.594
rekindle	पुनर्मिलन करणे	anticipation	0.594
luck	नशीब	anticipation	0.594
advent	प्रगती	anticipation	0.594
preparedness	सज्जता	anticipation	0.594
momentum	गती	anticipation	0.594
arrive	आगमन	anticipation	0.594
predict	अंदाज लावा	anticipation	0.589
sequel	पर्यवसान	anticipation	0.586
money	पैसे	anticipation	0.586
endeavor	प्रयत्न	anticipation	0.586
auspices	सहाय्य	anticipation	0.586
fiesta	फिएस्ता	anticipation	0.586
raffle	सोडतं	anticipation	0.586
preparation	तयारी	anticipation	0.586
uplift	उन्नती	anticipation	0.586
investigation	तपास	anticipation	0.586
gambling	जुगार	anticipation	0.586
delightful	मोहक	anticipation	0.586
enjoying	आनंद घेत आहात	anticipation	0.586
seek	शोधा	anticipation	0.586
impatient	अधीर	anticipation	0.586
overdue	मुदतीपूर्वी	anticipation	0.586
crave	हाव असणे	anticipation	0.586
flirt	नखरा	anticipation	0.586
enthusiast	उत्साही	anticipation	0.586
presumption	अनुमान	anticipation	0.586
immerse	बुडवणे	anticipation	0.586
progression	प्रगती	anticipation	0.586
experiment	प्रयोग	anticipation	0.580
inviting	आमंत्रण	anticipation	0.578
precarious	अनिश्चित	anticipation	0.578
blessing	आशीर्वाद	anticipation	0.578
harvest	कापणी	anticipation	0.578
transcendence	श्रेष्ठता	anticipation	0.578
heavenly	स्वर्गीय	anticipation	0.578
attainable	प्राप्य	anticipation	0.578
enjoy	आनंद घ्या	anticipation	0.578
divination	शकुन	anticipation	0.578
excavation	उत्खनन	anticipation	0.578
healing	उपचार	anticipation	0.578
majestic	भव्य	anticipation	0.578
clamor	ओरडणे	anticipation	0.578
thirst	तहान	anticipation	0.578
remedy	उपाय	anticipation	0.578
prosper	समृद्धी	anticipation	0.578
risk	धोका	anticipation	0.578
angling	गुंड	anticipation	0.578
completing	पूर्ण करीत आहे	anticipation	0.578
thriving	जोमदार	anticipation	0.578
zest	उत्साह	anticipation	0.570
tease	चिडवणे	anticipation	0.570
matchmaker	लग्ने जुळवणारा	anticipation	0.570
prospectively	संभाव्यतेपेक्षा	anticipation	0.570
restlessness	अस्वस्थता	anticipation	0.570
sweetheart	प्रेमी युगुलापैकी कोणीही	anticipation	0.570
emancipation	मोक्ष	anticipation	0.570
ultimate	अंतिम	anticipation	0.570
invite	आमंत्रित करा	anticipation	0.570
gambler	जुगारी	anticipation	0.570
dare	छाती	anticipation	0.570
plan	योजना	anticipation	0.570
magnificence	भव्यता	anticipation	0.570
warned	चेतावनी	anticipation	0.570
finally	शेवटी	anticipation	0.570
intimate	जिव्हाळ्याचा	anticipation	0.570
omen	सुचवणे	anticipation	0.570
attempt	प्रयत्न	anticipation	0.562
forewarned	आगाऊ	anticipation	0.562
fun	मजा	anticipation	0.562
festival	उत्सव	anticipation	0.562
trophy	ट्रॉफी	anticipation	0.562
rejoice	आनंद करा	anticipation	0.562
fanfare	धूमकेतू	anticipation	0.562
predilection	भेदभाव	anticipation	0.562
exalt	उंच	anticipation	0.562
parade	परेड	anticipation	0.562
enchant	जादू करणे	anticipation	0.562
independence	स्वातंत्र्य	anticipation	0.562
expose	उघड करा	anticipation	0.562
immortality	अमरत्व	anticipation	0.562
expected	अपेक्षित	anticipation	0.562
mysterious	अनाकलनीय	anticipation	0.562
hypothesis	गृहित कल्पना	anticipation	0.562
accolade	प्रशंसा	anticipation	0.562
lover	प्रियकर	anticipation	0.562
quicken	सजवणे	anticipation	0.562
champion	चॅम्पियन	anticipation	0.562
lovely	सुंदर	anticipation	0.555
rejoicing	आनंद	anticipation	0.555
grasping	लोभी	anticipation	0.555
grow	वाढवा	anticipation	0.555
curiosity	जिज्ञासा	anticipation	0.555
splendor	शोभा	anticipation	0.555
salvation	तारण	anticipation	0.555
happy	आनंदी	anticipation	0.555
oracle	ऑरेकल	anticipation	0.555
amour	NO TRANSLATION	anticipation	0.555
unfold	उलगडणे	anticipation	0.555
boisterous	उच्छृंखल	anticipation	0.555
liberty	स्वातंत्र्य	anticipation	0.555
heroism	शौर्य	anticipation	0.555
feeling	भावना	anticipation	0.555
shopping	शॉपिंग	anticipation	0.555
fate	प्राक्तन	anticipation	0.555
uneasiness	अस्वस्थता	anticipation	0.555
speculative	सट्टा	anticipation	0.555
changeable	परिवर्तनशील	anticipation	0.547
recreational	मनोरंजक	anticipation	0.547
pray	प्रार्थना करा	anticipation	0.547
warn	चेतावणी द्या	anticipation	0.547
suspicious	संशयास्पद	anticipation	0.547
convergence	अभिसरण	anticipation	0.547
incite	चिथावणी देणे	anticipation	0.547
agape	अगाप	anticipation	0.547
morrow	उद्या	anticipation	0.547
abundance	भरपूर प्रमाणात असणे	anticipation	0.547
delighted	खूप आनंदित	anticipation	0.547
resultant	परिणामस्वरूप	anticipation	0.547
hungry	भुकेलेला	anticipation	0.547
monetary	आर्थिक	anticipation	0.547
vote	मत द्या	anticipation	0.547
glory	गौरव	anticipation	0.547
glimmer	झगमगीत	anticipation	0.547
apprehensive	भयभीत	anticipation	0.547
sorcery	चेटूक	anticipation	0.547
bountiful	विपुल	anticipation	0.547
leisure	विश्रांती	anticipation	0.547
probability	संभवनीयता	anticipation	0.547
auction	लिलाव	anticipation	0.539
hunting	शिकार	anticipation	0.539
contingent	आकस्मिक	anticipation	0.539
hankering	उत्सुकता	anticipation	0.539
sensual	विषयासक्त	anticipation	0.539
blessings	आशीर्वाद	anticipation	0.539
ballot	मतपत्रिका	anticipation	0.539
grandchildren	नातवंड	anticipation	0.539
entertainment	मनोरंजन	anticipation	0.539
vindication	प्रतिज्ञा	anticipation	0.539
worrying	चिंतेत	anticipation	0.539
tempest	वादळे	anticipation	0.539
inquiry	चौकशी	anticipation	0.539
merge	विलीन	anticipation	0.539
exceed	जास्त	anticipation	0.539
bounty	उदार	anticipation	0.539
glad	आनंद	anticipation	0.536
magnificent	भव्य	anticipation	0.531
feat	पराक्रम	anticipation	0.531
stealthy	चोरपावला	anticipation	0.531
cheer	चीअर	anticipation	0.531
spirits	विचारांना	anticipation	0.531
visitor	अभ्यागत	anticipation	0.531
appeal	अपील	anticipation	0.531
forming	लागत	anticipation	0.531
hurried	दमलेला	anticipation	0.531
responsive	प्रतिसाद	anticipation	0.531
virginity	कौमार्य	anticipation	0.531
deliverance	मोक्ष	anticipation	0.531
betrothed	वाग्दत्त केले	anticipation	0.531
overthrow	पाडाव	anticipation	0.531
harbinger	अग्रदूत	anticipation	0.531
raving	पेंढा	anticipation	0.531
celestial	दिव्य	anticipation	0.531
dread	भीती	anticipation	0.531
germination	उगवण	anticipation	0.523
preparatory	तयारीपूर्व	anticipation	0.523
pleasant	आनंददायी	anticipation	0.523
watch	पहा	anticipation	0.523
prophet	संदेष्टा	anticipation	0.523
prognostic	भविष्यसूचक	anticipation	0.523
haste	घाई	anticipation	0.523
planning	नियोजन	anticipation	0.523
importance	महत्त्व	anticipation	0.523
radiance	तेज	anticipation	0.523
prevail	विजय मिळवणे	anticipation	0.523
cheery	आनंदी	anticipation	0.523
competition	स्पर्धा	anticipation	0.523
ultimately	शेवटी	anticipation	0.523
revive	पुन्हा चालू करणे	anticipation	0.523
beaming	beaming	anticipation	0.523
wait	प्रतीक्षा करा	anticipation	0.523
child	मूल	anticipation	0.523
notification	सूचना	anticipation	0.523
hunter	शिकारी	anticipation	0.523
explosive	स्फोटक	anticipation	0.523
endanger	धोक्यात आणणे	anticipation	0.516
time	वेळ	anticipation	0.516
recreation	मनोरंजन	anticipation	0.516
renovation	नूतनीकरणे	anticipation	0.516
precious	मौल्यवान	anticipation	0.516
begun	सुरु करा	anticipation	0.516
loom	सदोष	anticipation	0.516
compensate	भरपाई	anticipation	0.516
treat	उपचार	anticipation	0.516
uncontrollable	अनियंत्रित	anticipation	0.516
present	उपस्थित	anticipation	0.516
salary	पगार	anticipation	0.516
celebrity	सेलिब्रिटी	anticipation	0.516
owing	कारण	anticipation	0.516
chocolate	चॉकलेट	anticipation	0.516
caution	खबरदारी	anticipation	0.516
fermentation	आंबायला ठेवा	anticipation	0.516
sensuality	लैंगिकता	anticipation	0.516
wilderness	वाळवंटात	anticipation	0.508
signify	चिन्ह	anticipation	0.508
transitional	संक्रमणकालीन	anticipation	0.508
intermission	अंतर	anticipation	0.508
contemplation	चिंतन	anticipation	0.508
vigilance	दक्षता	anticipation	0.508
commemoration	स्मरणोत्सव	anticipation	0.508
practise	सराव	anticipation	0.508
cue	सूचना	anticipation	0.508
infant	अर्भक	anticipation	0.508
dreadful	भितीदायक	anticipation	0.508
perfection	परिपूर्णता	anticipation	0.508
elevation	उत्थान	anticipation	0.508
prerequisite	पूर्वापेक्षित	anticipation	0.508
cultivate	विकसित करा	anticipation	0.508
horizon	क्षितीज	anticipation	0.508
develop	विकसित करा	anticipation	0.508
exigent	NO TRANSLATION	anticipation	0.508
swim	पोहणे	anticipation	0.500
attendance	उपस्थिती	anticipation	0.500
nascent	नुकताच अस्तित्वात	anticipation	0.500
favorable	अनुकूल	anticipation	0.500
peril	संकट	anticipation	0.500
income	उत्पन्न	anticipation	0.500
ardent	उत्कट	anticipation	0.500
commemorate	स्मरणोत्सव	anticipation	0.500
doomsday	जगाचा शेवट	anticipation	0.500
reconciliation	सलोखा	anticipation	0.500
utopian	स्वप्न	anticipation	0.500
romantic	रोमँटिक	anticipation	0.500
unbridled	बेलगाम	anticipation	0.500
sunny	सनी	anticipation	0.500
uphill	चढावर	anticipation	0.500
intuitively	सुज्ञपणे	anticipation	0.500
depart	निघून जा	anticipation	0.500
eventuality	संभाव्यता	anticipation	0.500
puppy	गर्विष्ठ तरुण	anticipation	0.500
zeal	आवेश	anticipation	0.500
sneaking	गुपचूपणे	anticipation	0.500
ready	तयार	anticipation	0.500
advocacy	समर्थन	anticipation	0.500
airport	विमानतळ	anticipation	0.500
litigate	दावा करणे	anticipation	0.500
blindfold	डोळे पक्के	anticipation	0.500
undisclosed	अज्ञात	anticipation	0.500
young	तरुण	anticipation	0.500
horoscope	जन्मकुंडली	anticipation	0.500
invocation	आवाहन	anticipation	0.500
calculation	गणना	anticipation	0.500
hero	नायक	anticipation	0.500
court	कोर्ट	anticipation	0.492
repay	फेड करा	anticipation	0.492
improvise	सुधारणे	anticipation	0.492
parole	पॅरोल	anticipation	0.492
worry	काळजी	anticipation	0.492
inauguration	उद्घाटन	anticipation	0.492
gaping	फाटक	anticipation	0.492
youth	युवक	anticipation	0.492
bless	आशीर्वाद	anticipation	0.492
defense	संरक्षण	anticipation	0.492
heyday	वाढदिवस	anticipation	0.492
consequent	परिणामी	anticipation	0.492
proceeding	कार्यवाही	anticipation	0.492
eventual	अंतिम	anticipation	0.492
perspective	दृष्टीकोन	anticipation	0.492
restorative	पुनरुत्थानशील	anticipation	0.492
undertaking	हमी	anticipation	0.492
highest	सर्वोच्च	anticipation	0.491
duel	द्वदंयुद्ध	anticipation	0.484
unexplained	अस्पष्ट	anticipation	0.484
tremor	कंप	anticipation	0.484
sharpen	तीक्ष्ण करा	anticipation	0.484
generosity	औदार्य	anticipation	0.484
voluptuous	आकर्षक	anticipation	0.484
shortly	लवकरच	anticipation	0.484
vow	नवस	anticipation	0.484
contagion	संसर्ग	anticipation	0.484
letter	पत्र	anticipation	0.484
happen	घडले	anticipation	0.484
threaten	धमकावणे	anticipation	0.484
conjure	विनवणी करणे	anticipation	0.484
sparkle	चमक	anticipation	0.484
engulf	झाकणे	anticipation	0.484
god	देव	anticipation	0.484
correspondence	पत्रव्यवहार	anticipation	0.484
auspicious	शुभ	anticipation	0.484
princely	राजमहाल	anticipation	0.484
adore	पूजा करणे	anticipation	0.477
enroll	नावनोंदणी करा	anticipation	0.477
determinate	निर्धारित	anticipation	0.477
predispose	पूर्वनिर्मित करणे	anticipation	0.477
clue	मागमूस	anticipation	0.477
onset	दिसायला लागायच्या	anticipation	0.477
powerful	शक्तिशाली	anticipation	0.477
glorify	गौरव करणे	anticipation	0.477
glow	चमक	anticipation	0.477
arbitration	लवाद	anticipation	0.477
torture	छळ	anticipation	0.477
gravitate	गुरूत्वाकर्षण	anticipation	0.477
cherish	ह्रदयात जतन	anticipation	0.477
contemplate	चिंतन	anticipation	0.477
submit	सबमिट करा	anticipation	0.477
perilous	धोक्याचा	anticipation	0.477
unification	एकीकरण	anticipation	0.477
score	धावसंख्या	anticipation	0.477
medal	पदक	anticipation	0.477
glide	सरकणे	anticipation	0.477
recipient	प्राप्तकर्ता	anticipation	0.477
accompaniment	साथीदार	anticipation	0.477
praiseworthy	कौतुकास्पद	anticipation	0.473
providing	प्रदान	anticipation	0.469
motion	हालचाल	anticipation	0.469
fete	NO TRANSLATION	anticipation	0.469
cautious	सावध	anticipation	0.469
cash	रोख	anticipation	0.469
precursor	नांदी	anticipation	0.469
opera	ऑपेरा	anticipation	0.469
elite	एलिट	anticipation	0.469
pry	pry	anticipation	0.469
hire	भाड्याने	anticipation	0.469
sweets	गोड	anticipation	0.469
star	तारा	anticipation	0.469
unsurpassed	नायब	anticipation	0.469
successful	यशस्वी	anticipation	0.469
unknown	अज्ञात	anticipation	0.469
immediately	लगेच	anticipation	0.469
starry	तारकामे	anticipation	0.469
production	उत्पादन	anticipation	0.469
football	फुटबॉल	anticipation	0.469
completion	पूर्णता	anticipation	0.469
scare	घाबरणे	anticipation	0.469
invoke	विनंती करणे	anticipation	0.469
shaky	अस्थिर	anticipation	0.469
dawn	पहाट	anticipation	0.469
creeping	सततचा	anticipation	0.469
cheerfulness	उत्साहीपणा	anticipation	0.461
soundness	सुबोधता	anticipation	0.461
mail	मेल	anticipation	0.461
draft	मसुदा	anticipation	0.461
preliminary	प्रास्ताविक	anticipation	0.461
friendly	अनुकूल	anticipation	0.461
commemorative	स्मरणोत्सव	anticipation	0.461
extricate	सोडविणे	anticipation	0.461
alive	जिवंत	anticipation	0.461
untold	अगणित	anticipation	0.461
overture	ओव्हरचर	anticipation	0.461
excel	एक्सेल	anticipation	0.461
plight	स्थिती	anticipation	0.461
synchronize	समक्रमित करा	anticipation	0.461
punt	पंट	anticipation	0.461
sanctuary	अभयारण्य	anticipation	0.461
brilliant	तल्लख	anticipation	0.461
pay	वेतन द्या	anticipation	0.461
shining	प्रकाशमय	anticipation	0.461
regatta	रेगेटा	anticipation	0.461
testament	मृत्युलेख	anticipation	0.461
jeopardy	संकट	anticipation	0.461
perpetuity	शाश्वतता	anticipation	0.453
elegance	अभिजात	anticipation	0.453
career	कारकीर्द	anticipation	0.453
basketball	बास्केटबॉल	anticipation	0.453
intimately	सलगीने	anticipation	0.453
renovate	नूतनीकरण करा	anticipation	0.453
supremacy	श्रेष्ठत्व	anticipation	0.453
infinity	गणित	anticipation	0.453
unexpected	अनपेक्षित	anticipation	0.453
flinch	झटका	anticipation	0.453
complement	पूरक	anticipation	0.453
prologue	प्रस्तावना	anticipation	0.453
compliment	NO TRANSLATION	anticipation	0.453
prevention	प्रतिबंध	anticipation	0.453
improve	सुधारणा करा	anticipation	0.453
sunset	सूर्यास्त	anticipation	0.453
inaugural	उद्घाटन	anticipation	0.453
rehabilitation	पुनर्वसन	anticipation	0.453
fitting	समर्पक	anticipation	0.445
surround	आजूबाजूला	anticipation	0.445
share	सामायिक करा	anticipation	0.445
epidemic	रोगाची साथ	anticipation	0.445
sweet	गोड	anticipation	0.445
fain	NO TRANSLATION	anticipation	0.445
concealment	लपण्याची जागा	anticipation	0.445
confidence	आत्मविश्वास	anticipation	0.445
perfect	परिपूर्ण	anticipation	0.445
sun	सूर्य	anticipation	0.445
veracity	खरेपणा	anticipation	0.445
volunteer	स्वयंसेवक	anticipation	0.445
conjecture	अनुमान	anticipation	0.445
medical	वैद्यकीय	anticipation	0.438
prepared	तयार	anticipation	0.438
superstitious	अंधविश्वासी	anticipation	0.438
