word	Vietnamese-vi	emotion	emotion-intensity-score
litigate	tranh tụng	anticipation	0.500
blindfold	bịt mắt	anticipation	0.500
undisclosed	không tiết lộ	anticipation	0.500
young	trẻ	anticipation	0.500
horoscope	lá số tử vi	anticipation	0.500
invocation	sự kêu gọi	anticipation	0.500
calculation	phép tính	anticipation	0.500
hero	anh hùng	anticipation	0.500
court	tòa án	anticipation	0.492
repay	trả lại	anticipation	0.492
improvise	ứng biến	anticipation	0.492
parole	tạm tha	anticipation	0.492
worry	lo	anticipation	0.492
inauguration	sự khánh thành	anticipation	0.492
gaping	gaping	anticipation	0.492
youth	thiếu niên	anticipation	0.492
bless	ban phước	anticipation	0.492
defense	phòng thủ	anticipation	0.492
heyday	thời hoàng kim	anticipation	0.492
consequent	hệ quả	anticipation	0.492
proceeding	tiến hành	anticipation	0.492
eventual	cuối cùng	anticipation	0.492
perspective	quan điểm	anticipation	0.492
restorative	phục hồi	anticipation	0.492
undertaking	đảm nhận	anticipation	0.492
highest	cao nhất	anticipation	0.491
duel	duel	anticipation	0.484
unexplained	không giải thích được	anticipation	0.484
tremor	run rẩy	anticipation	0.484
sharpen	làm sắc nét	anticipation	0.484
generosity	sự rộng lượng	anticipation	0.484
voluptuous	khiêu dâm	anticipation	0.484
shortly	không lâu sau	anticipation	0.484
vow	lời thề	anticipation	0.484
contagion	sự lây lan	anticipation	0.484
letter	lá thư	anticipation	0.484
happen	xảy ra	anticipation	0.484
threaten	hăm dọa	anticipation	0.484
conjure	van xin	anticipation	0.484
sparkle	lấp lánh	anticipation	0.484
engulf	nhấn chìm	anticipation	0.484
god	Thượng Đế	anticipation	0.484
correspondence	thư tín	anticipation	0.484
auspicious	tốt lành	anticipation	0.484
princely	chủ yếu	anticipation	0.484
adore	yêu thích	anticipation	0.477
enroll	ghi danh	anticipation	0.477
determinate	xác định	anticipation	0.477
predispose	khuynh hướng	anticipation	0.477
clue	đầu mối	anticipation	0.477
onset	bắt đầu	anticipation	0.477
powerful	quyền lực	anticipation	0.477
glorify	tôn vinh	anticipation	0.477
glow	phát sáng	anticipation	0.477
arbitration	trọng tài	anticipation	0.477
torture	tra tấn	anticipation	0.477
gravitate	hút	anticipation	0.477
cherish	trân quý	anticipation	0.477
contemplate	thưởng ngoạn	anticipation	0.477
submit	Gửi đi	anticipation	0.477
perilous	nguy hiểm	anticipation	0.477
unification	thống nhất	anticipation	0.477
score	ghi bàn	anticipation	0.477
medal	huy chương	anticipation	0.477
glide	trượt	anticipation	0.477
recipient	người nhận	anticipation	0.477
accompaniment	đệm	anticipation	0.477
praiseworthy	đáng khen ngợi	anticipation	0.473
providing	cung cấp	anticipation	0.469
motion	chuyển động	anticipation	0.469
fete	NO TRANSLATION	anticipation	0.469
cautious	dè dặt	anticipation	0.469
cash	tiền mặt	anticipation	0.469
precursor	tiền thân	anticipation	0.469
opera	opera	anticipation	0.469
elite	ưu tú	anticipation	0.469
pry	nâng lên	anticipation	0.469
hire	Thuê	anticipation	0.469
sweets	Kẹo	anticipation	0.469
star	ngôi sao	anticipation	0.469
unsurpassed	vượt trội	anticipation	0.469
successful	thành công	anticipation	0.469
unknown	không xác định	anticipation	0.469
immediately	ngay	anticipation	0.469
starry	đầy sao	anticipation	0.469
production	sản xuất	anticipation	0.469
football	bóng đá	anticipation	0.469
completion	hoàn thành	anticipation	0.469
scare	sợ hãi	anticipation	0.469
invoke	gọi	anticipation	0.469
shaky	lung lay	anticipation	0.469
dawn	bình minh	anticipation	0.469
creeping	leo	anticipation	0.469
cheerfulness	vui vẻ	anticipation	0.461
soundness	âm thanh	anticipation	0.461
mail	thư	anticipation	0.461
draft	bản nháp	anticipation	0.461
preliminary	sơ bộ	anticipation	0.461
friendly	thân thiện	anticipation	0.461
commemorative	kỷ niệm	anticipation	0.461
extricate	giải thoát	anticipation	0.461
alive	sống sót	anticipation	0.461
untold	chưa kể	anticipation	0.461
overture	sự vượt qua	anticipation	0.461
excel	nổi trội	anticipation	0.461
plight	hoàn cảnh	anticipation	0.461
synchronize	đồng bộ hóa	anticipation	0.461
punt	punt	anticipation	0.461
sanctuary	Thánh địa	anticipation	0.461
brilliant	rực rỡ	anticipation	0.461
pay	trả	anticipation	0.461
shining	sáng	anticipation	0.461
regatta	cuộc đua thuyền	anticipation	0.461
testament	di chúc	anticipation	0.461
jeopardy	nguy cơ	anticipation	0.461
perpetuity	vĩnh cửu	anticipation	0.453
elegance	sang trọng	anticipation	0.453
career	nghề nghiệp	anticipation	0.453
basketball	bóng rổ	anticipation	0.453
intimately	mật thiết	anticipation	0.453
renovate	cải tạo	anticipation	0.453
supremacy	uy quyền	anticipation	0.453
infinity	vô cực	anticipation	0.453
unexpected	bất ngờ	anticipation	0.453
flinch	nao núng	anticipation	0.453
complement	bổ sung	anticipation	0.453
prologue	mở đầu	anticipation	0.453
compliment	NO TRANSLATION	anticipation	0.453
prevention	Phòng ngừa	anticipation	0.453
improve	cải tiến	anticipation	0.453
sunset	Hoàng hôn	anticipation	0.453
inaugural	khai mạc	anticipation	0.453
rehabilitation	phục hồi chức năng	anticipation	0.453
fitting	phù hợp	anticipation	0.445
surround	vây quanh	anticipation	0.445
share	chia sẻ	anticipation	0.445
epidemic	dịch bệnh	anticipation	0.445
sweet	ngọt	anticipation	0.445
fain	NO TRANSLATION	anticipation	0.445
concealment	che giấu	anticipation	0.445
confidence	sự tự tin	anticipation	0.445
perfect	hoàn hảo	anticipation	0.445
sun	mặt trời	anticipation	0.445
veracity	tính xác thực	anticipation	0.445
volunteer	Tình nguyện	anticipation	0.445
conjecture	phỏng đoán	anticipation	0.445
medical	Y khoa	anticipation	0.438
prepared	chuẩn bị	anticipation	0.438
superstitious	mê tín dị đoan	anticipation	0.438
reconstruction	tái thiết	anticipation	0.438
tickle	thọc cù lét	anticipation	0.438
faith	đức tin	anticipation	0.438
passenger	hành khách	anticipation	0.438
saint	thánh	anticipation	0.438
respect	sự tôn trọng	anticipation	0.438
rabid	rabid	anticipation	0.438
reconstruct	tái thiết	anticipation	0.438
recombination	sự tái tổ hợp	anticipation	0.438
devout	mộ đạo	anticipation	0.438
goodness	lòng tốt	anticipation	0.438
angel	Thiên thần	anticipation	0.438
ferment	lên men	anticipation	0.438
plea	lời bào chữa	anticipation	0.438
aloha	aloha	anticipation	0.438
serial	nối tiếp	anticipation	0.438
conservation	bảo tồn	anticipation	0.438
serenity	thanh thản	anticipation	0.430
tabulate	lập bảng	anticipation	0.430
install	cài đặt, dựng lên	anticipation	0.430
labyrinth	mê cung	anticipation	0.430
venerable	đáng tôn kính	anticipation	0.430
perpetuate	làm cho lâu dài	anticipation	0.430
strategist	nhà chiến lược	anticipation	0.430
unverified	chưa được xác minh	anticipation	0.430
tribunal	tòa án	anticipation	0.430
charitable	từ thiện	anticipation	0.430
luscious	ngon	anticipation	0.430
spa	spa	anticipation	0.430
peace	hòa bình	anticipation	0.430
clap	vỗ tay	anticipation	0.430
conspirator	âm mưu	anticipation	0.422
forestall	forestall	anticipation	0.422
patience	kiên nhẫn	anticipation	0.422
oasis	ốc đảo	anticipation	0.422
grin	nụ cười	anticipation	0.422
revere	tôn kính	anticipation	0.422
worship	tôn sùng	anticipation	0.422
vista	vista	anticipation	0.422
laughter	tiếng cười	anticipation	0.422
volatility	sự biến động	anticipation	0.422
adrift	trôi dạt	anticipation	0.422
candid	thật thà	anticipation	0.422
edification	sự sửa đổi	anticipation	0.422
unresolved	chưa được giải quyết	anticipation	0.422
peaceful	bình yên	anticipation	0.422
recognizable	có thể nhận ra	anticipation	0.422
calls	cuộc gọi	anticipation	0.414
weigh	cân	anticipation	0.414
probation	thử việc	anticipation	0.414
proficiency	khả năng	anticipation	0.414
morn	morn	anticipation	0.414
craps	craps	anticipation	0.414
detainee	người bị giam giữ	anticipation	0.414
mediate	trung gian	anticipation	0.414
continue	tiếp tục	anticipation	0.414
astrologer	nhà chiêm tinh	anticipation	0.414
punctual	đúng giờ	anticipation	0.414
ordination	sự phong chức	anticipation	0.414
pretty	đẹp	anticipation	0.414
thought	nghĩ	anticipation	0.414
grant	ban cho	anticipation	0.414
withstand	chịu được	anticipation	0.414
frisky	rùng rợn	anticipation	0.414
ongoing	liên tục	anticipation	0.414
sing	hát	anticipation	0.411
long	Dài	anticipation	0.406
confession	lời thú tội	anticipation	0.406
headlight	đèn pha	anticipation	0.406
prophylactic	dự phòng	anticipation	0.406
mother	mẹ	anticipation	0.406
debenture	sự tranh luận	anticipation	0.406
wizard	Thuật sĩ	anticipation	0.406
university	trường đại học	anticipation	0.406
proud	tự hào	anticipation	0.406
midwife	nữ hộ sinh	anticipation	0.406
banquet	tiệc	anticipation	0.406
continuation	sự tiếp tục	anticipation	0.406
navigable	có thể điều hướng	anticipation	0.406
punished	bị phạt	anticipation	0.406
chicane	chicane	anticipation	0.406
comfort	sự thoải mái	anticipation	0.406
opponent	phản đối	anticipation	0.406
subscribe	đăng ký	anticipation	0.406
outdo	vượt qua	anticipation	0.406
nurture	dưỡng dục	anticipation	0.406
twinkle	lấp lánh	anticipation	0.406
deal	thỏa thuận	anticipation	0.402
efficient	hiệu quả	anticipation	0.398
representing	đại diện	anticipation	0.398
simmer	hơi sôi	anticipation	0.398
symphony	bản giao hưởng	anticipation	0.398
judiciary	tư pháp	anticipation	0.398
obliging	mang ơn	anticipation	0.398
saintly	thánh thiện	anticipation	0.398
vigil	cảnh giác	anticipation	0.398
death	tử vong	anticipation	0.398
distracting	làm mất tập trung	anticipation	0.398
mortification	sự làm chứng	anticipation	0.398
balm	balm	anticipation	0.398
guillotine	máy chém	anticipation	0.398
top	hàng đầu	anticipation	0.398
lettered	có chữ	anticipation	0.398
reliance	sự phụ thuộc	anticipation	0.398
poke	xô	anticipation	0.391
unfulfilled	chưa hoàn thành	anticipation	0.391
assurance	sự bảo đảm	anticipation	0.391
condemnation	lên án	anticipation	0.391
undoubted	không nghi ngờ	anticipation	0.391
diplomacy	ngoại giao	anticipation	0.391
familiarity	sự quen thuộc	anticipation	0.391
antidote	thuốc giải độc	anticipation	0.391
chuckle	cười thầm	anticipation	0.391
objective	mục tiêu	anticipation	0.391
maternal	bà mẹ	anticipation	0.391
abeyance	không tuân thủ	anticipation	0.391
art	nghệ thuật	anticipation	0.391
linger	nán lại	anticipation	0.391
trust	Lòng tin	anticipation	0.391
depraved	depraved	anticipation	0.391
sanctify	thánh hóa	anticipation	0.391
inoculation	sự tiêm chủng	anticipation	0.384
chant	ca	anticipation	0.383
banger	banger	anticipation	0.383
playground	sân chơi	anticipation	0.383
failing	thất bại	anticipation	0.383
ship	tàu	anticipation	0.383
hymn	Thánh ca	anticipation	0.383
simplify	đơn giản hóa	anticipation	0.383
ram	ram	anticipation	0.383
labor	lao động	anticipation	0.383
discretion	quyết định	anticipation	0.383
hap	NO TRANSLATION	anticipation	0.383
good	tốt	anticipation	0.383
scientist	nhà khoa học	anticipation	0.383
undecided	chưa quyết định	anticipation	0.383
humanitarian	nhân đạo	anticipation	0.383
depend	tùy theo	anticipation	0.383
dutiful	dể thương	anticipation	0.383
clock	đồng hồ	anticipation	0.375
sterling	sterling	anticipation	0.375
mountain	núi	anticipation	0.375
savor	hương thơm	anticipation	0.375
recurrent	tái phát	anticipation	0.375
interim	tạm thời	anticipation	0.375
navigator	hoa tiêu	anticipation	0.375
gradual	dần dần	anticipation	0.375
interminable	vô cùng	anticipation	0.375
track	theo dõi	anticipation	0.375
public	công cộng	anticipation	0.375
cradle	cái nôi	anticipation	0.375
concealed	giấu	anticipation	0.367
lesson	bài học	anticipation	0.367
instructions	hướng dẫn	anticipation	0.367
shiver	rùng mình	anticipation	0.367
musical	âm nhạc	anticipation	0.367
towering	cao chót vót	anticipation	0.367
whim	ý thích	anticipation	0.367
spear	thương	anticipation	0.367
convince	thuyết phục	anticipation	0.367
sonar	sonar	anticipation	0.367
abide	chịu đựng	anticipation	0.367
biennial	hai năm	anticipation	0.367
theology	thần học	anticipation	0.359
offset	bù lại	anticipation	0.359
atone	chuộc tội	anticipation	0.359
timidity	tính thời gian	anticipation	0.359
theory	học thuyết	anticipation	0.359
undying	bất diệt	anticipation	0.359
plump	đầy đặn	anticipation	0.359
audience	thính giả	anticipation	0.357
nobility	quý tộc	anticipation	0.352
paragon	paragon	anticipation	0.352
dietary	chế độ ăn kiêng	anticipation	0.352
closure	đóng cửa	anticipation	0.352
store	cửa hàng	anticipation	0.352
localize	bản địa hóa	anticipation	0.352
cramp	chuột rút	anticipation	0.352
daily	hằng ngày	anticipation	0.352
kindred	hèn hạ	anticipation	0.352
farm	nông trại	anticipation	0.352
edition	phiên bản	anticipation	0.352
consecration	sự dâng hiến	anticipation	0.352
archaeology	khảo cổ học	anticipation	0.344
mobile	di động	anticipation	0.344
errand	errand	anticipation	0.344
wireless	không dây	anticipation	0.344
mutable	có thể thay đổi	anticipation	0.344
meditate	suy nghĩ	anticipation	0.344
stripped	tước	anticipation	0.344
lessen	giảm bớt	anticipation	0.336
unaccountable	không thể giải thích được	anticipation	0.336
pare	NO TRANSLATION	anticipation	0.336
brotherly	như anh em	anticipation	0.336
buddy	Bạn bè	anticipation	0.336
unbeaten	bất bại	anticipation	0.336
germ	mầm	anticipation	0.336
dove	chim bồ câu	anticipation	0.328
digress	tiêu hóa	anticipation	0.328
ribbon	ruy băng	anticipation	0.328
olfactory	khứu giác	anticipation	0.328
patient	bệnh nhân	anticipation	0.328
council	hội đồng	anticipation	0.328
possess	sở hữu	anticipation	0.328
secular	thế tục	anticipation	0.328
chastity	sự trinh tiết	anticipation	0.328
disposed	xử lý	anticipation	0.320
regularity	tính đồng đều	anticipation	0.320
mediator	người hòa giải	anticipation	0.320
scrutinize	xem xét kỹ lưỡng	anticipation	0.320
fancy	ưa thích	anticipation	0.320
immature	chưa trưởng thành	anticipation	0.320
infanticide	infanticide	anticipation	0.320
heft	heft	anticipation	0.320
preservative	chất bảo quản	anticipation	0.320
paddle	chèo thuyền	anticipation	0.320
cove	cove	anticipation	0.320
denying	phủ nhận	anticipation	0.312
bugle	bugle	anticipation	0.312
unpublished	chưa được xuất bản	anticipation	0.312
analyst	nhà phân tích	anticipation	0.312
grim	nghiệt ngã	anticipation	0.312
church	nhà thờ	anticipation	0.312
priesthood	chức tư tế	anticipation	0.305
mill	cối xay	anticipation	0.305
judicial	tư pháp	anticipation	0.305
broadside	broadside	anticipation	0.305
tributary	nhánh sông	anticipation	0.297
cap	mũ lưỡi trai	anticipation	0.297
thermocouple	cặp nhiệt điện	anticipation	0.297
dismay	thất vọng	anticipation	0.297
instructor	người hướng dẫn	anticipation	0.297
saliva	nước bọt	anticipation	0.297
exhaustion	kiệt sức	anticipation	0.297
bruise	vết bầm tím	anticipation	0.289
wont	NO TRANSLATION	anticipation	0.289
homeless	Vô gia cư	anticipation	0.289
visor	visor	anticipation	0.289
discreet	NO TRANSLATION	anticipation	0.289
network	mạng lưới	anticipation	0.289
shackle	còng	anticipation	0.289
addresses	địa chỉ	anticipation	0.289
noncompliance	sự không tuân thủ	anticipation	0.289
cataract	đục thủy tinh thể	anticipation	0.289
skewed	sai lệch	anticipation	0.281
astronomer	nhà thiên văn học	anticipation	0.281
neighbor	hàng xóm	anticipation	0.281
holiness	sự thánh thiện	anticipation	0.273
devil	ác quỷ	anticipation	0.273
cream	kem	anticipation	0.273
picket	cái cuốc	anticipation	0.273
latent	ngầm	anticipation	0.273
immaturity	không chín chắn	anticipation	0.273
sentence	kết án	anticipation	0.273
neighborhood	khu vực lân cận	anticipation	0.266
morals	đạo đức	anticipation	0.266
lull	ru ngũ	anticipation	0.266
habitual	thói quen	anticipation	0.266
weight	cân nặng	anticipation	0.258
bye	tạm biệt	anticipation	0.258
forearm	cánh tay	anticipation	0.250
clown	thằng hề	anticipation	0.250
organ	đàn organ	anticipation	0.250
quote	Trích dẫn	anticipation	0.242
commonplace	phổ biến	anticipation	0.242
dictatorship	chế độ độc tài	anticipation	0.234
board	bảng	anticipation	0.234
white	trắng	anticipation	0.234
treadmill	máy chạy bộ	anticipation	0.234
rail	đường sắt	anticipation	0.234
sundial	đồng hồ mặt trời	anticipation	0.227
tree	cây	anticipation	0.227
paralysis	tê liệt	anticipation	0.211
worm	sâu	anticipation	0.203
organization	cơ quan	anticipation	0.203
cement	xi măng	anticipation	0.203
lagging	tụt hậu	anticipation	0.180
neutral	Trung tính	anticipation	0.148
cannibalism	ăn thịt người	disgust	0.953
mutilation	cắt xén	disgust	0.930
molestation	quấy rầy	disgust	0.914
incest	tội loạn luân	disgust	0.914
gonorrhea	bệnh lậu	disgust	0.906
rape	hãm hiếp	disgust	0.906
cannibal	ăn thịt người	disgust	0.898
rot	thúi	disgust	0.891
corpse	xác chết	disgust	0.883
massacre	tàn sát	disgust	0.883
excrement	phân đoạn	disgust	0.883
slaughter	giết mổ	disgust	0.875
barf	NO TRANSLATION	disgust	0.875
slaughterhouse	lò mổ	disgust	0.867
rancid	ôi	disgust	0.859
sewerage	hệ thống thoát nước	disgust	0.859
incestuous	loạn luân	disgust	0.859
filth	rác rưởi	disgust	0.859
bigot	bigot	disgust	0.859
infestation	phá hoại	disgust	0.852
plague	tai họa	disgust	0.852
bloodthirsty	khát máu	disgust	0.852
holocaust	thiêu hủy	disgust	0.852
rotting	thối rữa	disgust	0.844
maggot	sâu non	disgust	0.844
feces	phân	disgust	0.844
fecal	phân	disgust	0.844
murder	giết người	disgust	0.839
infanticide	infanticide	disgust	0.836
homicide	giết người	disgust	0.836
asshole	lỗ đít	disgust	0.836
enslaved	làm nô lệ	disgust	0.836
gore	gore	disgust	0.828
perverted	biến thái	disgust	0.828
torture	tra tấn	disgust	0.828
slaughtering	giết mổ	disgust	0.828
excretion	bài tiết	disgust	0.828
contaminate	làm ô uế	disgust	0.821
murderer	kẻ giết người	disgust	0.820
gory	gory	disgust	0.820
repugnant	người ăn năn	disgust	0.820
desecration	sự tha tội	disgust	0.820
grotesque	kỳ cục	disgust	0.820
revolting	nổi loạn	disgust	0.820
diarrhoea	bệnh tiêu chảy	disgust	0.820
manure	phân chuồng	disgust	0.820
terrorist	kẻ khủng bố	disgust	0.820
shit	shit	disgust	0.820
pervert	biến thái	disgust	0.820
slavery	chế độ nô lệ	disgust	0.812
faeces	phân	disgust	0.812
sewer	cống	disgust	0.812
vomit	nôn mửa	disgust	0.812
manslaughter	ngộ sát	disgust	0.812
dismemberment	phân chia	disgust	0.812
cadaver	xác chết	disgust	0.812
hemorrhage	xuất huyết	disgust	0.805
repulsive	đẩy lùi	disgust	0.805
perverse	ngược lại	disgust	0.805
filthy	bẩn thỉu	disgust	0.797
sewage	nước thải	disgust	0.797
depravity	suy nhược	disgust	0.797
diseased	bị bệnh	disgust	0.797
carcass	thân thịt	disgust	0.795
decompose	phân hủy	disgust	0.789
vermin	vermin	disgust	0.789
puke	âm hộ	disgust	0.789
parasite	ký sinh trùng	disgust	0.789
horrific	kinh khủng	disgust	0.789
gruesome	khủng khiếp	disgust	0.789
dung	NO TRANSLATION	disgust	0.789
mutilated	bị cắt xén	disgust	0.789
murderous	giết người	disgust	0.789
decayed	bị hư	disgust	0.789
herpes	herpes	disgust	0.789
slime	chất nhờn	disgust	0.781
flatulence	đầy hơi	disgust	0.781
monstrosity	tính quái dị	disgust	0.781
carnage	tàn sát	disgust	0.781
pestilence	bệnh dịch	disgust	0.781
malaria	bệnh sốt rét	disgust	0.781
crap	crap	disgust	0.781
toxic	chất độc	disgust	0.773
loathsome	không ưa	disgust	0.773
insidious	xảo quyệt	disgust	0.773
leprosy	bệnh phong	disgust	0.773
morgue	nhà xác	disgust	0.773
pus	mủ	disgust	0.773
herpesvirus	herpesvirus	disgust	0.773
whore	con điếm	disgust	0.766
cruel	hung ác	disgust	0.766
repugnance	sự hối hận	disgust	0.766
revulsion	sự rút lui	disgust	0.766
xenophobia	NULL	disgust	0.766
regurgitation	sự hồi sinh	disgust	0.766
anthrax	bệnh than	disgust	0.766
lynch	lynch	disgust	0.766
dissection	mổ xẻ	disgust	0.759
canker	tai ương	disgust	0.758
cruelty	tàn ác	disgust	0.758
perversion	sự đảo lộn	disgust	0.758
evil	tà ác	disgust	0.758
slum	khu ổ chuột	disgust	0.758
infectious	truyền nhiễm	disgust	0.758
mucous	chất nhầy	disgust	0.758
phlegm	đờm	disgust	0.758
leeches	đỉa	disgust	0.750
decomposition	sự phân hủy	disgust	0.750
sinister	nham hiểm	disgust	0.750
corrupting	hư hỏng	disgust	0.750
demon	con quỷ	disgust	0.742
stinking	hôi thúi	disgust	0.742
septic	tự hoại	disgust	0.742
deranged	bị quấy rầy	disgust	0.742
bile	mật	disgust	0.742
soiled	bẩn thỉu	disgust	0.742
mucus	chất nhầy	disgust	0.742
abhorrence	sự ghê tởm	disgust	0.742
abomination	sự ghê tởm	disgust	0.742
sickening	đau ốm	disgust	0.742
demonic	ma quỷ	disgust	0.742
foul	Hôi	disgust	0.734
obese	mập	disgust	0.734
sicken	bị đau	disgust	0.734
degeneracy	sự thoái hóa	disgust	0.734
crucifixion	đóng đinh	disgust	0.734
despicable	đáng khinh	disgust	0.734
cancer	ung thư	disgust	0.734
atrocity	tàn bạo	disgust	0.734
terrorism	chủ nghĩa khủng bố	disgust	0.734
dirty	dơ bẩn	disgust	0.727
dysentery	bệnh lỵ	disgust	0.727
adultery	ngoại tình	disgust	0.727
contamination	ô nhiễm	disgust	0.727
bacterium	vi khuẩn	disgust	0.727
diabolical	tàn ác	disgust	0.727
morbidity	bệnh tật	disgust	0.727
grisly	rùng rợn	disgust	0.727
repulsion	mối thù ghét	disgust	0.727
enema	thuốc xổ	disgust	0.727
contagion	sự lây lan	disgust	0.719
disfigured	bị biến dạng	disgust	0.719
muck	muck	disgust	0.719
lewd	dâm dục	disgust	0.719
garbage	rác rưởi	disgust	0.719
autopsy	khám nghiệm tử thi	disgust	0.719
bowels	ruột	disgust	0.719
gross	Tổng	disgust	0.719
vulgar	thô tục	disgust	0.719
barbaric	dã man	disgust	0.719
disgust	ghê tởm	disgust	0.719
vicious	luẩn quẩn	disgust	0.719
entrails	entrails	disgust	0.719
deterioration	sự suy thoái	disgust	0.719
pungent	hăng hái	disgust	0.719
bloodshed	đổ máu	disgust	0.714
violent	hung bạo	disgust	0.711
tyrant	bạo chúa	disgust	0.711
poisoned	bị đầu độc	disgust	0.711
pollute	ô nhiễm	disgust	0.711
wretched	không may	disgust	0.711
nausea	buồn nôn	disgust	0.711
mortification	sự làm chứng	disgust	0.711
gag	gag	disgust	0.711
vulgarity	sự thô tục	disgust	0.703
disgusting	kinh tởm	disgust	0.703
grope	grope	disgust	0.703
slut	đĩ	disgust	0.703
poisoning	ngộ độc	disgust	0.703
depraved	depraved	disgust	0.703
noxious	độc hại	disgust	0.703
porn	khiêu dâm	disgust	0.703
nasty	bẩn thỉu	disgust	0.703
slimy	nhầy nhụa	disgust	0.703
despotism	chủ nghĩa độc tài	disgust	0.703
nauseate	nauseate	disgust	0.703
secretion	bài tiết	disgust	0.703
constipation	táo bón	disgust	0.703
hateful	hận thù	disgust	0.703
grime	bụi bẩn	disgust	0.703
measles	bệnh sởi	disgust	0.696
contagious	truyền nhiễm	disgust	0.695
hellish	địa ngục	disgust	0.695
waste	chất thải	disgust	0.695
suicidal	tự tử	disgust	0.695
abuse	sự lạm dụng	disgust	0.695
hate	ghét bỏ	disgust	0.695
wretch	khốn khổ	disgust	0.695
intestinal	đường ruột	disgust	0.695
wart	mụn cóc	disgust	0.695
obesity	béo phì	disgust	0.695
scum	cặn bã	disgust	0.695
contaminated	bị ô nhiễm	disgust	0.688
disease	dịch bệnh	disgust	0.688
rabid	rabid	disgust	0.688
ooze	lông	disgust	0.688
treason	phản quốc	disgust	0.688
heartworm	con giun	disgust	0.688
smut	smut	disgust	0.688
cholera	bệnh tả	disgust	0.680
deformed	bị biến dạng	disgust	0.680
detest	ghét bỏ	disgust	0.680
bestial	tốt nhất	disgust	0.680
sickness	bệnh tật	disgust	0.680
antichrist	antichrist	disgust	0.680
abhorrent	abhorrent	disgust	0.680
soulless	vô hồn	disgust	0.680
freakish	kỳ dị	disgust	0.680
grimy	đen	disgust	0.680
hatred	sự thù ghét	disgust	0.680
pollution	sự ô nhiễm	disgust	0.680
germ	mầm	disgust	0.680
abominate	ghê tởm	disgust	0.680
hell	Địa ngục	disgust	0.680
dilapidated	đổ nát	disgust	0.672
dictatorship	chế độ độc tài	disgust	0.672
inhuman	vô nhân đạo	disgust	0.672
greasy	bóng nhờn	disgust	0.672
hideous	ghê tởm	disgust	0.672
loathful	ghê tởm	disgust	0.672
obscene	khiêu dâm	disgust	0.672
loathing	ghê tởm	disgust	0.672
cess	sự chấm dứt	disgust	0.670
devil	ác quỷ	disgust	0.664
heretic	dị giáo	disgust	0.664
nauseous	buồn nôn	disgust	0.664
abominable	đáng ghét	disgust	0.664
deformity	sự biến dạng	disgust	0.664
deadly	chết người	disgust	0.664
swine	heo	disgust	0.664
discrimination	phân biệt đối xử	disgust	0.664
masochism	sự đau khổ	disgust	0.664
poisonous	độc	disgust	0.656
prejudiced	bị định kiến	disgust	0.656
bacteria	vi khuẩn	disgust	0.656
death	tử vong	disgust	0.656
poison	chất độc	disgust	0.656
trash	rác	disgust	0.656
abortion	sự phá thai	disgust	0.656
corruption	tham nhũng	disgust	0.656
victimized	nạn nhân	disgust	0.656
oppression	sự đàn áp	disgust	0.656
goo	goo	disgust	0.656
latrines	nhà vệ sinh	disgust	0.656
horror	kinh dị	disgust	0.656
horrible	kinh khủng	disgust	0.656
nefarious	bất chính	disgust	0.656
mange	NO TRANSLATION	disgust	0.656
vindictive	tranh cãi	disgust	0.648
outhouse	nhà nghỉ	disgust	0.648
horrid	kinh khủng	disgust	0.648
detestation	sự phá hoại	disgust	0.648
sludge	bùn	disgust	0.648
ugly	xấu xí	disgust	0.648
trashy	vô giá trị	disgust	0.648
bitch	chó cái	disgust	0.648
immoral	vô đạo đức	disgust	0.648
malfeasance	malfeasance	disgust	0.641
spew	phun ra	disgust	0.641
pimple	mụn	disgust	0.641
indecency	không đứng đắn	disgust	0.641
unsightly	khó coi	disgust	0.641
slop	NO TRANSLATION	disgust	0.641
villainous	xấu xa	disgust	0.641
cystic	cystic	disgust	0.641
horrifying	kinh hoàng	disgust	0.641
derogatory	xúc phạm	disgust	0.641
laxative	thuốc nhuận tràng	disgust	0.641
criminality	tội phạm	disgust	0.641
oppressive	áp bức	disgust	0.633
sinful	tội lỗi	disgust	0.633
bigoted	to lớn	disgust	0.633
doomsday	ngày tận thế	disgust	0.633
prostitution	mại dâm	disgust	0.633
ulcer	vết loét	disgust	0.633
secrete	tiết ra	disgust	0.633
perpetrator	thủ phạm	disgust	0.633
rat	con chuột	disgust	0.633
queasy	queasy	disgust	0.633
mildew	nấm mốc	disgust	0.633
dastardly	dastardly	disgust	0.625
disgraceful	đáng hổ thẹn	disgust	0.625
ghastly	ghê gớm	disgust	0.625
persecution	bức hại	disgust	0.625
devilish	ác quỷ	disgust	0.625
degrading	xuống cấp	disgust	0.625
obscenity	tục tĩu	disgust	0.625
fungus	nấm	disgust	0.625
sin	NO TRANSLATION	disgust	0.625
gluttony	ham ăn	disgust	0.625
stools	ghế đẩu	disgust	0.625
suffering	đau khổ	disgust	0.625
contemptible	đáng trách	disgust	0.625
cuckold	cho mọc sừng	disgust	0.625
bloated	cồng kềnh	disgust	0.625
aghast	kinh ngạc	disgust	0.625
betrayal	sự phản bội	disgust	0.617
guillotine	máy chém	disgust	0.617
infect	lây nhiễm	disgust	0.617
spoil	làm hỏng	disgust	0.617
tetanus	uốn ván	disgust	0.617
fat	mập	disgust	0.617
louse	rận	disgust	0.617
malicious	độc hại	disgust	0.617
polygamy	đa thê	disgust	0.617
crusty	giòn	disgust	0.617
