word	Icelandic-is	emotion	emotion-intensity-score
oasis	vín	anticipation	0.422
grin	grin	anticipation	0.422
revere	revere	anticipation	0.422
worship	tilbeiðslu	anticipation	0.422
vista	vista	anticipation	0.422
laughter	hlátur	anticipation	0.422
volatility	sveiflur	anticipation	0.422
adrift	rekstur	anticipation	0.422
candid	einlægur	anticipation	0.422
edification	uppbyggingu	anticipation	0.422
unresolved	óleyst	anticipation	0.422
peaceful	friðsælt	anticipation	0.422
recognizable	þekkjanleg	anticipation	0.422
calls	símtöl	anticipation	0.414
weigh	vega	anticipation	0.414
probation	Skilorð	anticipation	0.414
proficiency	hæfni	anticipation	0.414
morn	morn	anticipation	0.414
craps	craps	anticipation	0.414
detainee	fangi	anticipation	0.414
mediate	miðla	anticipation	0.414
continue	halda áfram	anticipation	0.414
astrologer	stjörnuspekingur	anticipation	0.414
punctual	stundvís	anticipation	0.414
ordination	fyrirætlun	anticipation	0.414
pretty	falleg	anticipation	0.414
thought	hugsun	anticipation	0.414
grant	veita	anticipation	0.414
withstand	þola	anticipation	0.414
frisky	frisky	anticipation	0.414
ongoing	áframhaldandi	anticipation	0.414
sing	syngja	anticipation	0.411
long	Langt	anticipation	0.406
confession	játning	anticipation	0.406
headlight	framljós	anticipation	0.406
prophylactic	fyrirbyggjandi	anticipation	0.406
mother	móðir	anticipation	0.406
debenture	skuldabréfaútgáfu	anticipation	0.406
wizard	töframaður	anticipation	0.406
university	háskóli	anticipation	0.406
proud	stoltur	anticipation	0.406
midwife	ljósmóður	anticipation	0.406
banquet	veisla	anticipation	0.406
continuation	framhald	anticipation	0.406
navigable	vafra	anticipation	0.406
punished	refsað	anticipation	0.406
chicane	chicane	anticipation	0.406
comfort	þægindi	anticipation	0.406
opponent	andstæðingurinn	anticipation	0.406
subscribe	gerast áskrifandi	anticipation	0.406
outdo	outdo	anticipation	0.406
nurture	nurture	anticipation	0.406
twinkle	twinkle	anticipation	0.406
deal	samningur	anticipation	0.402
efficient	skilvirkur	anticipation	0.398
representing	fulltrúi	anticipation	0.398
simmer	látið malla	anticipation	0.398
symphony	Symphony	anticipation	0.398
judiciary	dómstóla	anticipation	0.398
obliging	skylda	anticipation	0.398
saintly	saintly	anticipation	0.398
vigil	vigil	anticipation	0.398
death	dauða	anticipation	0.398
distracting	truflandi	anticipation	0.398
mortification	mortification	anticipation	0.398
balm	smyrsl	anticipation	0.398
guillotine	guillotín	anticipation	0.398
top	efst	anticipation	0.398
lettered	lettered	anticipation	0.398
reliance	traust	anticipation	0.398
poke	poke	anticipation	0.391
unfulfilled	ófullnægjandi	anticipation	0.391
assurance	trygging	anticipation	0.391
condemnation	fordæming	anticipation	0.391
undoubted	án efa	anticipation	0.391
diplomacy	diplómacy	anticipation	0.391
familiarity	þekkingu	anticipation	0.391
antidote	móteitur	anticipation	0.391
chuckle	chuckle	anticipation	0.391
objective	hlutlæg	anticipation	0.391
maternal	móður	anticipation	0.391
abeyance	abeyance	anticipation	0.391
art	list	anticipation	0.391
linger	sitja lengi	anticipation	0.391
trust	traust	anticipation	0.391
depraved	depraved	anticipation	0.391
sanctify	helga	anticipation	0.391
inoculation	inndæling	anticipation	0.384
chant	söngur	anticipation	0.383
banger	banger	anticipation	0.383
playground	leikvöllur	anticipation	0.383
failing	mistakast	anticipation	0.383
ship	skip	anticipation	0.383
hymn	sálm	anticipation	0.383
simplify	einfalda	anticipation	0.383
ram	Vinnsluminni	anticipation	0.383
labor	vinnuafl	anticipation	0.383
discretion	ákvörðun	anticipation	0.383
hap	NO TRANSLATION	anticipation	0.383
good	Gott	anticipation	0.383
scientist	vísindamaður	anticipation	0.383
undecided	óákveðnir	anticipation	0.383
humanitarian	mannúðarmál	anticipation	0.383
depend	fer eftir	anticipation	0.383
dutiful	skyldsamlega	anticipation	0.383
clock	klukka	anticipation	0.375
sterling	Sterling	anticipation	0.375
mountain	fjall	anticipation	0.375
savor	savor	anticipation	0.375
recurrent	endurtekin	anticipation	0.375
interim	tímabundið	anticipation	0.375
navigator	Navigator	anticipation	0.375
gradual	smám saman	anticipation	0.375
interminable	interminable	anticipation	0.375
track	fylgjast með	anticipation	0.375
public	opinber	anticipation	0.375
cradle	Vagga	anticipation	0.375
concealed	falinn	anticipation	0.367
lesson	lexía	anticipation	0.367
instructions	leiðbeiningar	anticipation	0.367
shiver	hrista	anticipation	0.367
musical	söngleikur	anticipation	0.367
towering	hækka	anticipation	0.367
whim	hegðun	anticipation	0.367
spear	spjót	anticipation	0.367
convince	sannfæra	anticipation	0.367
sonar	sonar	anticipation	0.367
abide	halda áfram	anticipation	0.367
biennial	tveggja ára	anticipation	0.367
theology	guðfræði	anticipation	0.359
offset	móti	anticipation	0.359
atone	sæta	anticipation	0.359
timidity	timidity	anticipation	0.359
theory	kenning	anticipation	0.359
undying	undying	anticipation	0.359
plump	plump	anticipation	0.359
audience	áhorfendur	anticipation	0.357
nobility	aðalsmaður	anticipation	0.352
paragon	ásjóna	anticipation	0.352
dietary	mataræði	anticipation	0.352
closure	lokun	anticipation	0.352
store	verslun	anticipation	0.352
localize	staðsetja	anticipation	0.352
cramp	krampa	anticipation	0.352
daily	daglega	anticipation	0.352
kindred	ættingja	anticipation	0.352
farm	bænum	anticipation	0.352
edition	útgáfa	anticipation	0.352
consecration	vígslu	anticipation	0.352
archaeology	fornleifafræði	anticipation	0.344
mobile	farsíma	anticipation	0.344
errand	erindi	anticipation	0.344
wireless	þráðlaus	anticipation	0.344
mutable	mutable	anticipation	0.344
meditate	hugleiða	anticipation	0.344
stripped	fjarlægt	anticipation	0.344
lessen	minnka	anticipation	0.336
unaccountable	unaccountable	anticipation	0.336
pare	NO TRANSLATION	anticipation	0.336
brotherly	bróðir	anticipation	0.336
buddy	félagi	anticipation	0.336
unbeaten	ósigur	anticipation	0.336
germ	germ	anticipation	0.336
dove	dúfur	anticipation	0.328
digress	sundrast	anticipation	0.328
ribbon	borði	anticipation	0.328
olfactory	Lyktarskynfæri	anticipation	0.328
patient	sjúklingur	anticipation	0.328
council	ráðið	anticipation	0.328
possess	eignast	anticipation	0.328
secular	veraldlega	anticipation	0.328
chastity	hroka	anticipation	0.328
disposed	ráðstafað	anticipation	0.320
regularity	reglulega	anticipation	0.320
mediator	sáttasemjari	anticipation	0.320
scrutinize	grannskoða	anticipation	0.320
fancy	ímynda sér	anticipation	0.320
immature	óþroskaður	anticipation	0.320
infanticide	ungbarnabyggð	anticipation	0.320
heft	hefti	anticipation	0.320
preservative	rotvarnarefni	anticipation	0.320
paddle	róðrarspaði	anticipation	0.320
cove	cove	anticipation	0.320
denying	neita	anticipation	0.312
bugle	bugle	anticipation	0.312
unpublished	óútgefið	anticipation	0.312
analyst	sérfræðingur	anticipation	0.312
grim	ljótur	anticipation	0.312
church	kirkja	anticipation	0.312
priesthood	prestdæmið	anticipation	0.305
mill	Mill	anticipation	0.305
judicial	dómstóla	anticipation	0.305
broadside	brúður	anticipation	0.305
tributary	þverár	anticipation	0.297
cap	loki	anticipation	0.297
thermocouple	thermocouple	anticipation	0.297
dismay	ótti	anticipation	0.297
instructor	kennari	anticipation	0.297
saliva	munnvatn	anticipation	0.297
exhaustion	þreyta	anticipation	0.297
bruise	marblettur	anticipation	0.289
wont	NO TRANSLATION	anticipation	0.289
homeless	heimilislaus	anticipation	0.289
visor	hjálmgríma	anticipation	0.289
discreet	NO TRANSLATION	anticipation	0.289
network	net	anticipation	0.289
shackle	sjakki	anticipation	0.289
addresses	heimilisföng	anticipation	0.289
noncompliance	noncompliance	anticipation	0.289
cataract	drer	anticipation	0.289
skewed	skekkt	anticipation	0.281
astronomer	stjörnufræðingur	anticipation	0.281
neighbor	nágranni	anticipation	0.281
holiness	heilagleika	anticipation	0.273
devil	djöfullinn	anticipation	0.273
cream	krem	anticipation	0.273
picket	picket	anticipation	0.273
latent	latent	anticipation	0.273
immaturity	óþroska	anticipation	0.273
sentence	setning	anticipation	0.273
neighborhood	hverfinu	anticipation	0.266
morals	siðferði	anticipation	0.266
lull	lull	anticipation	0.266
habitual	venjulegt	anticipation	0.266
weight	þyngd	anticipation	0.258
bye	bless	anticipation	0.258
forearm	framhandleggur	anticipation	0.250
clown	trúður	anticipation	0.250
organ	líffæri	anticipation	0.250
quote	tilvitnun	anticipation	0.242
commonplace	algengt	anticipation	0.242
dictatorship	einræði	anticipation	0.234
board	borð	anticipation	0.234
white	hvítur	anticipation	0.234
treadmill	hlaupabretti	anticipation	0.234
rail	járnbrautum	anticipation	0.234
sundial	sundial	anticipation	0.227
tree	tré	anticipation	0.227
paralysis	lömun	anticipation	0.211
worm	ormur	anticipation	0.203
organization	skipulag	anticipation	0.203
cement	sement	anticipation	0.203
lagging	lagging	anticipation	0.180
neutral	hlutlaus	anticipation	0.148
cannibalism	kannibalismi	disgust	0.953
mutilation	niðurbrot	disgust	0.930
molestation	molestation	disgust	0.914
incest	incest	disgust	0.914
gonorrhea	gonorrhea	disgust	0.906
rape	nauðgun	disgust	0.906
cannibal	cannibal	disgust	0.898
rot	rotna	disgust	0.891
corpse	lík	disgust	0.883
massacre	fjöldamorðin	disgust	0.883
excrement	excrement	disgust	0.883
slaughter	slátrun	disgust	0.875
barf	barf	disgust	0.875
slaughterhouse	sláturhús	disgust	0.867
rancid	rancid	disgust	0.859
sewerage	fráveitu	disgust	0.859
incestuous	incestuous	disgust	0.859
filth	óhreinindi	disgust	0.859
bigot	bigot	disgust	0.859
infestation	sýkingu	disgust	0.852
plague	plága	disgust	0.852
bloodthirsty	blóðþyrsta	disgust	0.852
holocaust	holocaust	disgust	0.852
rotting	rotting	disgust	0.844
maggot	maggot	disgust	0.844
feces	saur	disgust	0.844
fecal	fecal	disgust	0.844
murder	morð	disgust	0.839
infanticide	ungbarnabyggð	disgust	0.836
homicide	morði	disgust	0.836
asshole	rassgat	disgust	0.836
enslaved	þjást	disgust	0.836
gore	Gore	disgust	0.828
perverted	perverted	disgust	0.828
torture	pyntingar	disgust	0.828
slaughtering	slátrun	disgust	0.828
excretion	útskilnaður	disgust	0.828
contaminate	menga	disgust	0.821
murderer	morðingi	disgust	0.820
gory	gory	disgust	0.820
repugnant	repugnant	disgust	0.820
desecration	afskriftir	disgust	0.820
grotesque	grotesque	disgust	0.820
revolting	uppreisnarmanna	disgust	0.820
diarrhoea	niðurgangur	disgust	0.820
manure	áburð	disgust	0.820
terrorist	hryðjuverkamaður	disgust	0.820
shit	skít	disgust	0.820
pervert	öfuguggi	disgust	0.820
slavery	þrælahald	disgust	0.812
faeces	hægðir	disgust	0.812
sewer	fráveitu	disgust	0.812
vomit	uppköst	disgust	0.812
manslaughter	mannrán	disgust	0.812
dismemberment	dismemberment	disgust	0.812
cadaver	cadaver	disgust	0.812
hemorrhage	blæðing	disgust	0.805
repulsive	frávikandi	disgust	0.805
perverse	rangsnúinn	disgust	0.805
filthy	skítugt	disgust	0.797
sewage	skólp	disgust	0.797
depravity	depravity	disgust	0.797
diseased	sýktur	disgust	0.797
carcass	skrokknum	disgust	0.795
decompose	niðurbrot	disgust	0.789
vermin	meindýr	disgust	0.789
puke	puke	disgust	0.789
parasite	sníkjudýr	disgust	0.789
horrific	hræðilegt	disgust	0.789
gruesome	hryllilegt	disgust	0.789
dung	NO TRANSLATION	disgust	0.789
mutilated	minnkað	disgust	0.789
murderous	murderous	disgust	0.789
decayed	rotnun	disgust	0.789
herpes	herpes	disgust	0.789
slime	slime	disgust	0.781
flatulence	vindgangur	disgust	0.781
monstrosity	óþægindi	disgust	0.781
carnage	særindi	disgust	0.781
pestilence	pestilence	disgust	0.781
malaria	malaríu	disgust	0.781
crap	vitleysa	disgust	0.781
toxic	eitrað	disgust	0.773
loathsome	léleg	disgust	0.773
insidious	skaðleg	disgust	0.773
leprosy	líkþrá	disgust	0.773
morgue	morgue	disgust	0.773
pus	pus	disgust	0.773
herpesvirus	herpesvirus	disgust	0.773
whore	hóra	disgust	0.766
cruel	grimmur	disgust	0.766
repugnance	repugnance	disgust	0.766
revulsion	uppreisn	disgust	0.766
xenophobia	útlendingahatur	disgust	0.766
regurgitation	uppreisn	disgust	0.766
anthrax	miltbrún	disgust	0.766
lynch	Lynch	disgust	0.766
dissection	dissection	disgust	0.759
canker	canker	disgust	0.758
cruelty	grimmd	disgust	0.758
perversion	perversion	disgust	0.758
evil	illt	disgust	0.758
slum	slum	disgust	0.758
infectious	smitandi	disgust	0.758
mucous	slímhúð	disgust	0.758
phlegm	phlegm	disgust	0.758
leeches	leeches	disgust	0.750
decomposition	niðurbrot	disgust	0.750
sinister	óheillvænlegur	disgust	0.750
corrupting	skemmdir	disgust	0.750
demon	illi andinn	disgust	0.742
stinking	stinking	disgust	0.742
septic	septic	disgust	0.742
deranged	afvegaleiddur	disgust	0.742
bile	galla	disgust	0.742
soiled	óhrein	disgust	0.742
mucus	slím	disgust	0.742
abhorrence	abhorrence	disgust	0.742
abomination	gnægð	disgust	0.742
sickening	veikburða	disgust	0.742
demonic	demonic	disgust	0.742
foul	villa	disgust	0.734
obese	offitusjúklingur	disgust	0.734
sicken	sicken	disgust	0.734
degeneracy	degeneracy	disgust	0.734
crucifixion	krossfesting	disgust	0.734
despicable	fyrirlitlegur	disgust	0.734
cancer	krabbamein	disgust	0.734
atrocity	grimmdarverk	disgust	0.734
terrorism	hryðjuverk	disgust	0.734
dirty	óhreint	disgust	0.727
dysentery	dysentery	disgust	0.727
adultery	hórdómur	disgust	0.727
contamination	mengun	disgust	0.727
bacterium	baktería	disgust	0.727
diabolical	djöfulleg	disgust	0.727
morbidity	veikindi	disgust	0.727
grisly	grisly	disgust	0.727
repulsion	frásog	disgust	0.727
enema	bjúgur	disgust	0.727
contagion	smitun	disgust	0.719
disfigured	disfigured	disgust	0.719
muck	muck	disgust	0.719
lewd	óguðleg	disgust	0.719
garbage	sorp	disgust	0.719
autopsy	gervitungl	disgust	0.719
bowels	innyfli	disgust	0.719
gross	brúttó	disgust	0.719
vulgar	dónalegur	disgust	0.719
barbaric	barbaric	disgust	0.719
disgust	disgust	disgust	0.719
vicious	grimmur	disgust	0.719
entrails	entrails	disgust	0.719
deterioration	versnun	disgust	0.719
pungent	pungent	disgust	0.719
bloodshed	blóðsúthelling	disgust	0.714
violent	ofbeldi	disgust	0.711
tyrant	tyrann	disgust	0.711
poisoned	eitrað	disgust	0.711
pollute	menga	disgust	0.711
wretched	illa	disgust	0.711
nausea	ógleði	disgust	0.711
mortification	mortification	disgust	0.711
gag	kúgast	disgust	0.711
vulgarity	vulgarity	disgust	0.703
disgusting	ógeðslegt	disgust	0.703
grope	grope	disgust	0.703
slut	druslan	disgust	0.703
poisoning	eitrun	disgust	0.703
depraved	depraved	disgust	0.703
noxious	skaðleg	disgust	0.703
porn	klám	disgust	0.703
nasty	viðbjóðslegur	disgust	0.703
slimy	grannur	disgust	0.703
despotism	despotism	disgust	0.703
nauseate	ógleði	disgust	0.703
secretion	seytingu	disgust	0.703
constipation	hægðatregða	disgust	0.703
hateful	hateful	disgust	0.703
grime	grime	disgust	0.703
measles	mislinga	disgust	0.696
contagious	smitandi	disgust	0.695
hellish	hellish	disgust	0.695
waste	sóun	disgust	0.695
suicidal	sjálfsvígshugsanir	disgust	0.695
abuse	misnotkun	disgust	0.695
hate	hata	disgust	0.695
wretch	illa	disgust	0.695
intestinal	í þörmum	disgust	0.695
wart	vörtur	disgust	0.695
obesity	offita	disgust	0.695
scum	scum	disgust	0.695
contaminated	mengað	disgust	0.688
disease	sjúkdómur	disgust	0.688
rabid	rabid	disgust	0.688
ooze	ooze	disgust	0.688
treason	landráð	disgust	0.688
heartworm	hjartormur	disgust	0.688
smut	smut	disgust	0.688
cholera	kóleru	disgust	0.680
deformed	vansköpuð	disgust	0.680
detest	afneita	disgust	0.680
bestial	bestial	disgust	0.680
sickness	veikindi	disgust	0.680
antichrist	andkristur	disgust	0.680
abhorrent	abhorrent	disgust	0.680
soulless	soulless	disgust	0.680
freakish	freakish	disgust	0.680
grimy	grimy	disgust	0.680
hatred	hatri	disgust	0.680
pollution	mengun	disgust	0.680
germ	germ	disgust	0.680
abominate	gnæfa	disgust	0.680
hell	helvíti	disgust	0.680
dilapidated	fallið niður	disgust	0.672
dictatorship	einræði	disgust	0.672
inhuman	ómannúðlegur	disgust	0.672
greasy	fitugur	disgust	0.672
hideous	forljótur	disgust	0.672
loathful	loathful	disgust	0.672
obscene	ruddalegur	disgust	0.672
loathing	hryggð	disgust	0.672
cess	cess	disgust	0.670
devil	djöfullinn	disgust	0.664
heretic	heretic	disgust	0.664
nauseous	ógleði	disgust	0.664
abominable	svívirðilegt	disgust	0.664
deformity	aflögun	disgust	0.664
deadly	banvænn	disgust	0.664
swine	svín	disgust	0.664
discrimination	mismunun	disgust	0.664
masochism	masochism	disgust	0.664
poisonous	eitraður	disgust	0.656
prejudiced	fordóma	disgust	0.656
bacteria	bakteríur	disgust	0.656
death	dauða	disgust	0.656
poison	eitur	disgust	0.656
trash	rusl	disgust	0.656
abortion	fóstureyðingu	disgust	0.656
corruption	spillingu	disgust	0.656
victimized	fórnarlömb	disgust	0.656
oppression	kúgun	disgust	0.656
goo	goo	disgust	0.656
latrines	latrines	disgust	0.656
horror	hryllingi	disgust	0.656
horrible	hræðilegt	disgust	0.656
nefarious	skaðleg	disgust	0.656
mange	NO TRANSLATION	disgust	0.656
vindictive	vindictive	disgust	0.648
outhouse	outhouse	disgust	0.648
horrid	horrid	disgust	0.648
detestation	afneitun	disgust	0.648
sludge	seyru	disgust	0.648
ugly	ljótt	disgust	0.648
trashy	trashy	disgust	0.648
bitch	tíkur	disgust	0.648
immoral	siðlaust	disgust	0.648
malfeasance	malfeasance	disgust	0.641
spew	spew	disgust	0.641
pimple	pimple	disgust	0.641
indecency	indecency	disgust	0.641
unsightly	óljós	disgust	0.641
slop	NO TRANSLATION	disgust	0.641
villainous	illmenni	disgust	0.641
cystic	blöðruhálskirtli	disgust	0.641
horrifying	skelfilegur	disgust	0.641
derogatory	derogatory	disgust	0.641
laxative	hægðalyf	disgust	0.641
criminality	glæpastarfsemi	disgust	0.641
oppressive	kúgandi	disgust	0.633
sinful	syndug	disgust	0.633
bigoted	bigoted	disgust	0.633
doomsday	dómsdagur	disgust	0.633
prostitution	vændi	disgust	0.633
ulcer	sár	disgust	0.633
secrete	secrete	disgust	0.633
perpetrator	geranda	disgust	0.633
rat	rotta	disgust	0.633
queasy	queasy	disgust	0.633
mildew	mildew	disgust	0.633
dastardly	dapurlega	disgust	0.625
disgraceful	skammarlegt	disgust	0.625
ghastly	hræðilegt	disgust	0.625
persecution	ofsóknir	disgust	0.625
devilish	djöfulleg	disgust	0.625
degrading	niðurlægjandi	disgust	0.625
obscenity	hindrun	disgust	0.625
fungus	sveppur	disgust	0.625
sin	NO TRANSLATION	disgust	0.625
gluttony	gluttony	disgust	0.625
stools	hægðir	disgust	0.625
suffering	þjáning	disgust	0.625
contemptible	fyrirlitlegur	disgust	0.625
cuckold	cuckold	disgust	0.625
bloated	uppblásinn	disgust	0.625
aghast	aghast	disgust	0.625
betrayal	svik	disgust	0.617
guillotine	guillotín	disgust	0.617
infect	smita	disgust	0.617
spoil	spilla	disgust	0.617
tetanus	stífkrampa	disgust	0.617
fat	fitu	disgust	0.617
louse	lús	disgust	0.617
malicious	illgjarn	disgust	0.617
polygamy	fjölhyggju	disgust	0.617
crusty	crusty	disgust	0.617
atrocious	gremjulegur	disgust	0.617
deceit	svik	disgust	0.617
termite	termite	disgust	0.617
loathe	hryggja	disgust	0.617
wench	wench	disgust	0.617
dying	að deyja	disgust	0.617
sickly	veikur	disgust	0.617
diaper	bleiu	disgust	0.617
strangle	kúla	disgust	0.617
drool	kúla	disgust	0.609
slander	slander	disgust	0.609
abhor	abhor	disgust	0.609
venomous	eitraður	disgust	0.609
brothel	brothel	disgust	0.609
ghetto	ghetto	disgust	0.609
violently	ofbeldi	disgust	0.609
hostile	fjandsamlegt	disgust	0.609
sabotage	skemmdarverk	disgust	0.609
deform	afmynda	disgust	0.609
bleeding	blæðing	disgust	0.609
unwashed	unwashed	disgust	0.602
lunacy	lunacy	disgust	0.602
imprisonment	fangelsi	disgust	0.602
infidel	trúleysingi	disgust	0.602
deprivation	sviptingu	disgust	0.602
traitor	svikari	disgust	0.602
ugliness	ljótleikur	disgust	0.602
musty	Mismunandi	disgust	0.602
illicit	ólöglegt	disgust	0.602
swampy	swampy	disgust	0.602
poaching	kúgun	disgust	0.602
hag	hag	disgust	0.602
butcher	slátrari	disgust	0.594
lunatic	lunatic	disgust	0.594
venom	eitri	disgust	0.594
repelling	repelling	disgust	0.594
thug	Thug	disgust	0.594
misery	eymd	disgust	0.594
toilet	salerni	disgust	0.594
slug	slug	disgust	0.594
catastrophe	stórslys	disgust	0.594
epidemic	faraldur	disgust	0.594
gut	þörmum	disgust	0.594
intoxicated	drukkinn	disgust	0.594
blister	þynnupakkning	disgust	0.594
deceitful	sviksamlega	disgust	0.594
hostility	fjandskapur	disgust	0.594
queasiness	biðröð	disgust	0.594
lurid	lurid	disgust	0.594
sinner	syndari	disgust	0.594
incubus	incubus	disgust	0.586
lavatory	salerni	disgust	0.586
harass	áreita	disgust	0.586
unclean	óhreinn	disgust	0.586
prostitute	vændiskona	disgust	0.586
pornography	klám	disgust	0.586
dreadful	hræðilegt	disgust	0.586
deteriorated	versnað	disgust	0.586
appalling	hræðilegt	disgust	0.586
unfaithful	ótrúmennsku	disgust	0.578
rash	útbrot	disgust	0.578
humiliating	niðurlægjandi	disgust	0.578
ruinous	eyðileggjandi	disgust	0.578
squeamish	squeamish	disgust	0.578
offensive	móðgandi	disgust	0.578
conspirator	samsæri	disgust	0.578
larceny	larceny	disgust	0.578
debauchery	debauchery	disgust	0.578
mangle	mangle	disgust	0.578
flea	Fló	disgust	0.578
hypocrite	hræsni	disgust	0.578
retard	þroskaheftur	disgust	0.578
fiend	fiend	disgust	0.578
sick	veikur	disgust	0.578
quagmire	quagmire	disgust	0.578
expulsion	brottvísun	disgust	0.578
treacherous	sviksamlega	disgust	0.570
dogsick	NO TRANSLATION	disgust	0.570
spit	spýta	disgust	0.570
devastating	hrikalegt	disgust	0.570
bastard	bastarður	disgust	0.570
messy	sóðalegur	disgust	0.570
flog	flog	disgust	0.570
egregious	egregious	disgust	0.570
swamp	mýri	disgust	0.570
oppress	kúgun	disgust	0.570
despise	fyrirlíta	disgust	0.570
dank	NO TRANSLATION	disgust	0.570
serpent	höggormur	disgust	0.570
snake	snákur	disgust	0.562
terrible	hræðilegt	disgust	0.562
awful	hræðilegt	disgust	0.562
harmful	skaðlegt	disgust	0.562
insanity	geðveiki	disgust	0.562
indecent	indecent	disgust	0.562
sordid	sordid	disgust	0.562
loo	loo	disgust	0.562
scoundrel	scoundrel	disgust	0.562
enemy	óvinur	disgust	0.562
stealing	stela	disgust	0.562
alcoholism	áfengissýki	disgust	0.562
humiliation	niðurlægingu	disgust	0.562
ruthless	miskunnarlaus	disgust	0.562
sloppy	sloppy	disgust	0.562
tyrannical	tyrannical	disgust	0.562
harlot	skurður	disgust	0.562
sinning	syndga	disgust	0.562
robbery	rán	disgust	0.555
insufferable	ófullnægjandi	disgust	0.555
arsenic	arsen	disgust	0.555
bloody	blóðug	disgust	0.555
odious	odious	disgust	0.555
ridicule	fáránlegt	disgust	0.555
atrophy	rýrnun	disgust	0.555
beastly	beastly	disgust	0.555
collusion	samráð	disgust	0.555
distaste	afvegaleiða	disgust	0.555
segregate	segregate	disgust	0.555
discriminating	mismunandi	disgust	0.555
coward	coward	disgust	0.555
wickedness	ranglæti	disgust	0.555
threatening	ógnandi	disgust	0.555
unattractive	óaðlaðandi	disgust	0.555
slayer	slayer	disgust	0.555
flabby	flabby	disgust	0.555
varicella	varicella	disgust	0.555
miserable	ömurlegt	disgust	0.547
sty	sty	disgust	0.547
ogre	ogre	disgust	0.547
coercion	þvingun	disgust	0.547
thief	þjófur	disgust	0.547
slur	slur	disgust	0.547
suffocating	kæfa	disgust	0.547
anathema	anathema	disgust	0.547
purgatory	skurðdeild	disgust	0.547
malevolent	illgjarn	disgust	0.547
bitterly	beiskt	disgust	0.547
burglar	burglar	disgust	0.547
attacking	ráðast á	disgust	0.547
vesicular	blöðruhálskirtli	disgust	0.547
condemnation	fordæming	disgust	0.547
pillage	pillage	disgust	0.547
deleterious	skaðleg	disgust	0.547
thrash	hrun	disgust	0.539
repellant	repellant	disgust	0.539
repudiation	afneitun	disgust	0.539
infidelity	infidelity	disgust	0.539
liar	lygari	disgust	0.539
fatty	feitur	disgust	0.539
gob	gob	disgust	0.539
sneer	sneer	disgust	0.539
drunken	drukkinn	disgust	0.539
disgrace	skömm	disgust	0.539
shame	skömm	disgust	0.539
jealous	öfundsjúkur	disgust	0.539
imprisoned	fangelsaðir	disgust	0.539
pig	svín	disgust	0.539
greedy	gráðugur	disgust	0.539
sloth	letidýr	disgust	0.539
lethal	banvæn	disgust	0.536
burnt	brenndur	disgust	0.531
aberration	aberration	disgust	0.531
condescension	condescension	disgust	0.531
hydrocephalus	hýdrocyfalus	disgust	0.531
hanging	hangandi	disgust	0.531
destructive	eyðileggjandi	disgust	0.531
smuggler	smyglara	disgust	0.531
intolerant	óþol	disgust	0.531
travesty	travesty	disgust	0.531
intrusive	uppáþrengjandi	disgust	0.531
ruined	eyðilagt	disgust	0.531
withered	visnað	disgust	0.531
disintegrate	sundrast	disgust	0.531
brawl	brawl	disgust	0.531
blemish	galli	disgust	0.531
neurotic	taugaveikill	disgust	0.531
blasphemous	guðlast	disgust	0.531
lying	liggja	disgust	0.531
painful	sársaukafullt	disgust	0.531
avarice	afarice	disgust	0.523
disgraced	disgraced	disgust	0.523
mistress	húsfreyja	disgust	0.523
disparaging	minnkandi	disgust	0.523
rubbish	rusl	disgust	0.523
derogation	undanþága	disgust	0.523
accusation	ásakanir	disgust	0.523
intolerance	óþol	disgust	0.523
incarceration	fangelsi	disgust	0.523
blighted	hræddur	disgust	0.523
sump	sump	disgust	0.516
deplorable	þakklátur	disgust	0.516
daemon	púkinn	disgust	0.516
cringe	cringe	disgust	0.516
degrade	niðurbrot	disgust	0.516
gutter	Göturæsi	disgust	0.516
rob	ræna	disgust	0.516
grim	ljótur	disgust	0.516
defraud	svíkja	disgust	0.516
tortious	tortious	disgust	0.516
eradication	útrýmingu	disgust	0.516
stink	stinka	disgust	0.516
convict	dæma	disgust	0.516
dishonor	svívirðing	disgust	0.516
vulture	gos	disgust	0.516
remains	leifar	disgust	0.516
mite	mite	disgust	0.516
betray	svíkja	disgust	0.516
sham	sham	disgust	0.509
endemic	endemic	disgust	0.508
bombed	bombed	disgust	0.508
distress	neyð	disgust	0.508
pest	skaðvalda	disgust	0.508
incurable	ólæknandi	disgust	0.508
worthless	einskis virði	disgust	0.508
rejection	höfnun	disgust	0.508
distasteful	afvegaleiða	disgust	0.508
schizophrenia	geðklofa	disgust	0.508
belittle	draga úr	disgust	0.508
smelling	lykta	disgust	0.508
cheat	svindla	disgust	0.508
blob	blob	disgust	0.508
prisoner	fangi	disgust	0.508
idiocy	fífl	disgust	0.508
delirium	óráð	disgust	0.508
disaster	hörmung	disgust	0.508
crude	hráolíu	disgust	0.508
resentment	gremju	disgust	0.508
dreadfully	hræðilegt	disgust	0.508
glut	glut	disgust	0.508
polemic	polemic	disgust	0.500
derision	hindrun	disgust	0.500
idolatry	skurðgoðadýrkun	disgust	0.500
taboo	bannorð	disgust	0.500
screaming	öskra	disgust	0.500
banish	banna	disgust	0.500
dirt	óhreinindi	disgust	0.500
goblin	goblin	disgust	0.500
shackle	sjakki	disgust	0.500
bribery	sektir	disgust	0.500
flagrant	flagrant	disgust	0.500
jealousy	öfund	disgust	0.500
impurity	óhreinindi	disgust	0.500
theft	þjófnaður	disgust	0.500
