word	Gujarati-gu	emotion	emotion-intensity-score
proceeding	કાર્યવાહી	anticipation	0.492
eventual	અંતિમ	anticipation	0.492
perspective	પરિપ્રેક્ષ્ય	anticipation	0.492
restorative	પુનઃસ્થાપન	anticipation	0.492
undertaking	બાંયધરી	anticipation	0.492
highest	સૌથી વધુ	anticipation	0.491
duel	દ્વંદ્વયુદ્ધ	anticipation	0.484
unexplained	ન સમજાય તેવા	anticipation	0.484
tremor	ધ્રુજારી	anticipation	0.484
sharpen	શારપન	anticipation	0.484
generosity	ઉદારતા	anticipation	0.484
voluptuous	સંદિગ્ધ	anticipation	0.484
shortly	ટૂંક સમયમાં	anticipation	0.484
vow	પ્રતિજ્ઞા	anticipation	0.484
contagion	સંસર્ગ	anticipation	0.484
letter	પત્ર	anticipation	0.484
happen	થવું	anticipation	0.484
threaten	ધમકી	anticipation	0.484
conjure	નજરબંધી કરવી	anticipation	0.484
sparkle	સ્પાર્કલ	anticipation	0.484
engulf	ઢાંકી દેવું	anticipation	0.484
god	ભગવાન	anticipation	0.484
correspondence	પત્રવ્યવહાર	anticipation	0.484
auspicious	શુભ	anticipation	0.484
princely	રજવાડું	anticipation	0.484
adore	પૂજવું	anticipation	0.477
enroll	નોંધણી	anticipation	0.477
determinate	નિર્ધારિત	anticipation	0.477
predispose	પૂર્વવત્	anticipation	0.477
clue	ચાવી	anticipation	0.477
onset	શરૂ	anticipation	0.477
powerful	શક્તિશાળી	anticipation	0.477
glorify	ભવ્યતા	anticipation	0.477
glow	ધખધખવું	anticipation	0.477
arbitration	આર્બિટ્રેશન	anticipation	0.477
torture	ત્રાસ	anticipation	0.477
gravitate	ગુરુત્વાકર્ષણ કરો	anticipation	0.477
cherish	વળગવું	anticipation	0.477
contemplate	ચિંતન કરવું	anticipation	0.477
submit	સબમિટ કરો	anticipation	0.477
perilous	જોખમી	anticipation	0.477
unification	એકીકરણ	anticipation	0.477
score	સ્કોર	anticipation	0.477
medal	ચંદ્રક	anticipation	0.477
glide	સરવું	anticipation	0.477
recipient	મેળવનાર	anticipation	0.477
accompaniment	સાથ	anticipation	0.477
praiseworthy	પ્રશંસનીય	anticipation	0.473
providing	પૂરી પાડે છે	anticipation	0.469
motion	ગતિ	anticipation	0.469
fete	NO TRANSLATION	anticipation	0.469
cautious	સાવધ	anticipation	0.469
cash	રોકડ	anticipation	0.469
precursor	પુરોગામી	anticipation	0.469
opera	ઑપેરા	anticipation	0.469
elite	ભદ્ર	anticipation	0.469
pry	pry	anticipation	0.469
hire	ભાડે	anticipation	0.469
sweets	મીઠાઈઓ	anticipation	0.469
star	તારો	anticipation	0.469
unsurpassed	યથાવત	anticipation	0.469
successful	સફળ	anticipation	0.469
unknown	અજ્ઞાત	anticipation	0.469
immediately	તરત	anticipation	0.469
starry	સ્ટેરી	anticipation	0.469
production	ઉત્પાદન	anticipation	0.469
football	ફૂટબોલ	anticipation	0.469
completion	સમાપ્તિ	anticipation	0.469
scare	બીક	anticipation	0.469
invoke	બોલાવો	anticipation	0.469
shaky	અસ્થિર	anticipation	0.469
dawn	પરોઢ	anticipation	0.469
creeping	વિસર્પી	anticipation	0.469
cheerfulness	ખુશખુશાલ	anticipation	0.461
soundness	સુગમતા	anticipation	0.461
mail	મેલ	anticipation	0.461
draft	ડ્રાફ્ટ	anticipation	0.461
preliminary	પ્રારંભિક	anticipation	0.461
friendly	મૈત્રીપૂર્ણ	anticipation	0.461
commemorative	સ્મારક	anticipation	0.461
extricate	દૂર કરવું	anticipation	0.461
alive	જીવંત	anticipation	0.461
untold	અસંખ્ય	anticipation	0.461
overture	ઓવરચર	anticipation	0.461
excel	એક્સેલ	anticipation	0.461
plight	દુર્દશા	anticipation	0.461
synchronize	સુમેળ કરો	anticipation	0.461
punt	પેન્ટ	anticipation	0.461
sanctuary	અભયારણ્ય	anticipation	0.461
brilliant	તેજસ્વી	anticipation	0.461
pay	પગાર	anticipation	0.461
shining	ઝળકે	anticipation	0.461
regatta	રેગાટ્ટા	anticipation	0.461
testament	વસિયતનામું	anticipation	0.461
jeopardy	સંકટ	anticipation	0.461
perpetuity	શાશ્વતતા	anticipation	0.453
elegance	લાવણ્ય	anticipation	0.453
career	કારકિર્દી	anticipation	0.453
basketball	બાસ્કેટબોલ	anticipation	0.453
intimately	ગાઢ રીતે	anticipation	0.453
renovate	ફરી નવું બનાવવું	anticipation	0.453
supremacy	સર્વોચ્ચતા	anticipation	0.453
infinity	અનંત	anticipation	0.453
unexpected	અનપેક્ષિત	anticipation	0.453
flinch	ઝબૂકવું	anticipation	0.453
complement	પૂરક	anticipation	0.453
prologue	પ્રસ્તાવના	anticipation	0.453
compliment	NO TRANSLATION	anticipation	0.453
prevention	નિવારણ	anticipation	0.453
improve	સુધારવા	anticipation	0.453
sunset	સૂર્યાસ્ત	anticipation	0.453
inaugural	પ્રારંભિક	anticipation	0.453
rehabilitation	પુનર્વસન	anticipation	0.453
fitting	ફિટિંગ	anticipation	0.445
surround	આસપાસ	anticipation	0.445
share	શેર કરો	anticipation	0.445
epidemic	રોગચાળો	anticipation	0.445
sweet	મીઠી	anticipation	0.445
fain	NO TRANSLATION	anticipation	0.445
concealment	સંતાપ	anticipation	0.445
confidence	આત્મવિશ્વાસ	anticipation	0.445
perfect	સંપૂર્ણ	anticipation	0.445
sun	સૂર્ય	anticipation	0.445
veracity	સચ્ચાઈ	anticipation	0.445
volunteer	સ્વયંસેવક	anticipation	0.445
conjecture	અનુમાન	anticipation	0.445
medical	તબીબી	anticipation	0.438
prepared	તૈયાર	anticipation	0.438
superstitious	અંધશ્રદ્ધાળુ	anticipation	0.438
reconstruction	પુનર્નિર્માણ	anticipation	0.438
tickle	ગલીપચી	anticipation	0.438
faith	વિશ્વાસ	anticipation	0.438
passenger	પેસેન્જર	anticipation	0.438
saint	સંત	anticipation	0.438
respect	આદર	anticipation	0.438
rabid	હડકાયું	anticipation	0.438
reconstruct	પુનર્ગઠન	anticipation	0.438
recombination	પુનઃરચના	anticipation	0.438
devout	શ્રદ્ધાળુ	anticipation	0.438
goodness	દેવતા	anticipation	0.438
angel	દેવદૂત	anticipation	0.438
ferment	ખળભળાટ	anticipation	0.438
plea	અરજી	anticipation	0.438
aloha	અલહા	anticipation	0.438
serial	સીરીયલ	anticipation	0.438
conservation	સંરક્ષણ	anticipation	0.438
serenity	શાંતિ	anticipation	0.430
tabulate	કોષ્ટક	anticipation	0.430
install	ઇન્સ્ટોલ કરો	anticipation	0.430
labyrinth	ભુલભુલામણી	anticipation	0.430
venerable	આદરણીય	anticipation	0.430
perpetuate	શાશ્વત બનાવવું	anticipation	0.430
strategist	પ્રપંચી	anticipation	0.430
unverified	વણચકાસેલ	anticipation	0.430
tribunal	ટ્રિબ્યુનલ	anticipation	0.430
charitable	સખાવતી	anticipation	0.430
luscious	સુલભ	anticipation	0.430
spa	સ્પા	anticipation	0.430
peace	શાંતિ	anticipation	0.430
clap	તાલી	anticipation	0.430
conspirator	કાવતરાખોર	anticipation	0.422
forestall	અગાઉથી	anticipation	0.422
patience	ધીરજ	anticipation	0.422
oasis	ઓસિસ	anticipation	0.422
grin	સ્મિત	anticipation	0.422
revere	પૂજ્યભાવ	anticipation	0.422
worship	પૂજા	anticipation	0.422
vista	વિસ્ટા	anticipation	0.422
laughter	હાસ્ય	anticipation	0.422
volatility	વોલેટિલિટી	anticipation	0.422
adrift	અસહાય	anticipation	0.422
candid	નિખાલસ	anticipation	0.422
edification	સુધારણા	anticipation	0.422
unresolved	અનપેક્ષિત	anticipation	0.422
peaceful	શાંતિપૂર્ણ	anticipation	0.422
recognizable	ઓળખી શકાય તેવું	anticipation	0.422
calls	કોલ્સ	anticipation	0.414
weigh	તોલવું	anticipation	0.414
probation	પ્રોબેશન	anticipation	0.414
proficiency	પ્રાવીણ્ય	anticipation	0.414
morn	સવારે	anticipation	0.414
craps	ક્રેપ્સ	anticipation	0.414
detainee	અટકાયતી	anticipation	0.414
mediate	મધ્યસ્થી	anticipation	0.414
continue	ચાલુ રાખો	anticipation	0.414
astrologer	જ્યોતિષી	anticipation	0.414
punctual	સમયસર	anticipation	0.414
ordination	સમન્વય	anticipation	0.414
pretty	સુંદર	anticipation	0.414
thought	વિચાર્યું	anticipation	0.414
grant	અનુદાન	anticipation	0.414
withstand	ટકી	anticipation	0.414
frisky	frisky	anticipation	0.414
ongoing	ચાલુ	anticipation	0.414
sing	ગાય	anticipation	0.411
long	લાંબા	anticipation	0.406
confession	કબૂલાત	anticipation	0.406
headlight	હેડલાઇટ	anticipation	0.406
prophylactic	પ્રોફીલેક્ટીક	anticipation	0.406
mother	માતા	anticipation	0.406
debenture	ડિબેન્ચર	anticipation	0.406
wizard	વિઝાર્ડ	anticipation	0.406
university	યુનિવર્સિટી	anticipation	0.406
proud	ગર્વ	anticipation	0.406
midwife	મિડવાઇફ	anticipation	0.406
banquet	ભોજન સમારંભ	anticipation	0.406
continuation	ચાલુ રાખવું	anticipation	0.406
navigable	નેવિગેબલ	anticipation	0.406
punished	સજા	anticipation	0.406
chicane	ચિકેન	anticipation	0.406
comfort	આરામ	anticipation	0.406
opponent	પ્રતિસ્પર્ધી	anticipation	0.406
subscribe	સબ્સ્ક્રાઇબ કરો	anticipation	0.406
outdo	આઉટડો	anticipation	0.406
nurture	કુદરત	anticipation	0.406
twinkle	ઝબૂકવું	anticipation	0.406
deal	સોદો	anticipation	0.402
efficient	કાર્યક્ષમ	anticipation	0.398
representing	પ્રતિનિધિત્વ	anticipation	0.398
simmer	સણસણવું	anticipation	0.398
symphony	સિમ્ફની	anticipation	0.398
judiciary	ન્યાયતંત્ર	anticipation	0.398
obliging	ફરજિયાત	anticipation	0.398
saintly	સંતુલિત	anticipation	0.398
vigil	જાગરણ	anticipation	0.398
death	મૃત્યુ	anticipation	0.398
distracting	વિચલિત	anticipation	0.398
mortification	ઉલ્લંઘન	anticipation	0.398
balm	મલમ	anticipation	0.398
guillotine	ગિલોટિન	anticipation	0.398
top	ટોચ	anticipation	0.398
lettered	લખેલું	anticipation	0.398
reliance	નિર્ભરતા	anticipation	0.398
poke	થેલી, કોથળી	anticipation	0.391
unfulfilled	પૂર્ણ થઈ નથી	anticipation	0.391
assurance	ખાતરી	anticipation	0.391
condemnation	નિંદા	anticipation	0.391
undoubted	અસંદિગ્ધ	anticipation	0.391
diplomacy	મુત્સદ્દીગીરી	anticipation	0.391
familiarity	પારિવારિકતા	anticipation	0.391
antidote	મારણ	anticipation	0.391
chuckle	મજાક	anticipation	0.391
objective	હેતુ	anticipation	0.391
maternal	માતૃત્વ	anticipation	0.391
abeyance	સ્થગિતતા	anticipation	0.391
art	કલા	anticipation	0.391
linger	લંબાવું	anticipation	0.391
trust	વિશ્વાસ	anticipation	0.391
depraved	બદનક્ષીભર્યું	anticipation	0.391
sanctify	શુદ્ધ કરવું	anticipation	0.391
inoculation	ઇનોક્યુલેશન	anticipation	0.384
chant	ગીત	anticipation	0.383
banger	બેન્જર	anticipation	0.383
playground	રમતનું મેદાન	anticipation	0.383
failing	નિષ્ફળ	anticipation	0.383
ship	જહાજ	anticipation	0.383
hymn	સ્તોત્ર	anticipation	0.383
simplify	સરળ બનાવવું	anticipation	0.383
ram	રામ	anticipation	0.383
labor	કામદાર	anticipation	0.383
discretion	વિવેકબુદ્ધિ	anticipation	0.383
hap	NO TRANSLATION	anticipation	0.383
good	સારું	anticipation	0.383
scientist	વૈજ્ઞાનિક	anticipation	0.383
undecided	અનિશ્ચિત	anticipation	0.383
humanitarian	માનવતાવાદી	anticipation	0.383
depend	આધાર રાખે છે	anticipation	0.383
dutiful	કર્તવ્યનિષ્ઠ	anticipation	0.383
clock	ઘડિયાળ	anticipation	0.375
sterling	સ્ટર્લિંગ	anticipation	0.375
mountain	પર્વત	anticipation	0.375
savor	સુગંધ	anticipation	0.375
recurrent	વારંવાર	anticipation	0.375
interim	વચગાળાના	anticipation	0.375
navigator	નેવિગેટર	anticipation	0.375
gradual	ક્રમિક	anticipation	0.375
interminable	અનંત	anticipation	0.375
track	ટ્રેક	anticipation	0.375
public	જાહેર	anticipation	0.375
cradle	પારણું	anticipation	0.375
concealed	ગુપ્ત	anticipation	0.367
lesson	પાઠ	anticipation	0.367
instructions	સૂચનો	anticipation	0.367
shiver	કાચ	anticipation	0.367
musical	સંગીતવાદ્યો	anticipation	0.367
towering	જબરદસ્ત	anticipation	0.367
whim	ધૂન	anticipation	0.367
spear	ભાલા	anticipation	0.367
convince	મનાવવા	anticipation	0.367
sonar	સોનાર	anticipation	0.367
abide	પાલન	anticipation	0.367
biennial	દ્વિવાર્ષિક	anticipation	0.367
theology	ધર્મશાસ્ત્ર	anticipation	0.359
offset	ઑફસેટ	anticipation	0.359
atone	પ્રાયશ્ચિત	anticipation	0.359
timidity	કાયરતા	anticipation	0.359
theory	સિદ્ધાંત	anticipation	0.359
undying	વિનાશક	anticipation	0.359
plump	ભરાવદાર	anticipation	0.359
audience	દર્શકો	anticipation	0.357
nobility	ખાનદાની	anticipation	0.352
paragon	પેરાગોન	anticipation	0.352
dietary	આહાર	anticipation	0.352
closure	બંધ	anticipation	0.352
store	દુકાન	anticipation	0.352
localize	સ્થાનીકરણ કરો	anticipation	0.352
cramp	આંચકો	anticipation	0.352
daily	દૈનિક	anticipation	0.352
kindred	સમાન	anticipation	0.352
farm	ફાર્મ	anticipation	0.352
edition	આવૃત્તિ	anticipation	0.352
consecration	સંસ્કાર	anticipation	0.352
archaeology	પુરાતત્વ	anticipation	0.344
mobile	મોબાઇલ	anticipation	0.344
errand	ખેપ	anticipation	0.344
wireless	વાયરલેસ	anticipation	0.344
mutable	પરિવર્તનીય	anticipation	0.344
meditate	ધ્યાન કરો	anticipation	0.344
stripped	તોડવામાં	anticipation	0.344
lessen	ઘટાડવું	anticipation	0.336
unaccountable	બિનજરૂરી	anticipation	0.336
pare	NO TRANSLATION	anticipation	0.336
brotherly	ભાઈચારો	anticipation	0.336
buddy	સાથી	anticipation	0.336
unbeaten	અણનમ	anticipation	0.336
germ	સૂક્ષ્મજીવ	anticipation	0.336
dove	કબૂતર	anticipation	0.328
digress	વિષયાંતર કરવું	anticipation	0.328
ribbon	રિબન	anticipation	0.328
olfactory	ઘ્રાણેન્દ્રિયને લગતું	anticipation	0.328
patient	દર્દી	anticipation	0.328
council	પરિષદ	anticipation	0.328
possess	ધરાવે છે	anticipation	0.328
secular	બિનસાંપ્રદાયિક	anticipation	0.328
chastity	પવિત્રતા	anticipation	0.328
disposed	નિકાલ	anticipation	0.320
regularity	નિયમિતતા	anticipation	0.320
mediator	મધ્યસ્થી	anticipation	0.320
scrutinize	તપાસ કરવી	anticipation	0.320
fancy	ફેન્સી	anticipation	0.320
immature	અપરિપક્વ	anticipation	0.320
infanticide	બાળહત્યા	anticipation	0.320
heft	ઊંચકવું	anticipation	0.320
preservative	પ્રિઝર્વેટિવ	anticipation	0.320
paddle	સાધન વડે	anticipation	0.320
cove	કોવ	anticipation	0.320
denying	નામંજૂર	anticipation	0.312
bugle	બીગલ	anticipation	0.312
unpublished	અપ્રકાશિત	anticipation	0.312
analyst	વિશ્લેષક	anticipation	0.312
grim	ગંભીર	anticipation	0.312
church	ચર્ચ	anticipation	0.312
priesthood	યાજકવર્ગ	anticipation	0.305
mill	મિલ	anticipation	0.305
judicial	અદાલતી	anticipation	0.305
broadside	વ્યાપકતા	anticipation	0.305
tributary	ઉપનદિ	anticipation	0.297
cap	કેપ	anticipation	0.297
thermocouple	થર્મોકોપલ	anticipation	0.297
dismay	નિરાશા	anticipation	0.297
instructor	પ્રશિક્ષક	anticipation	0.297
saliva	લાળ	anticipation	0.297
exhaustion	થાક	anticipation	0.297
bruise	ઉઝરડા	anticipation	0.289
wont	NO TRANSLATION	anticipation	0.289
homeless	બેઘર	anticipation	0.289
visor	મુખવટો	anticipation	0.289
discreet	NO TRANSLATION	anticipation	0.289
network	નેટવર્ક	anticipation	0.289
shackle	હાથકડી	anticipation	0.289
addresses	સરનામાઓ	anticipation	0.289
noncompliance	અસહિષ્ણુતા	anticipation	0.289
cataract	મોતિયા	anticipation	0.289
skewed	સ્ક્યુડ	anticipation	0.281
astronomer	ખગોળશાસ્ત્રી	anticipation	0.281
neighbor	પાડોશી	anticipation	0.281
holiness	પવિત્રતા	anticipation	0.273
devil	શેતાન	anticipation	0.273
cream	ક્રીમ	anticipation	0.273
picket	ધરણાં	anticipation	0.273
latent	સુપ્ત	anticipation	0.273
immaturity	અપરિપક્વતા	anticipation	0.273
sentence	સજા	anticipation	0.273
neighborhood	પડોશી	anticipation	0.266
morals	નૈતિકતા	anticipation	0.266
lull	લોટ	anticipation	0.266
habitual	રીઢો	anticipation	0.266
weight	વજન	anticipation	0.258
bye	બાય	anticipation	0.258
forearm	શસ્ત્રસજ્જ થવું	anticipation	0.250
clown	રંગલો	anticipation	0.250
organ	અંગ	anticipation	0.250
quote	ક્વોટ	anticipation	0.242
commonplace	સામાન્ય	anticipation	0.242
dictatorship	સરમુખત્યારશાહી	anticipation	0.234
board	પાટીયું	anticipation	0.234
white	સફેદ	anticipation	0.234
treadmill	ટ્રેડમિલ	anticipation	0.234
rail	રેલ	anticipation	0.234
sundial	છાયાયંત્ર	anticipation	0.227
tree	વૃક્ષ	anticipation	0.227
paralysis	પક્ષઘાત	anticipation	0.211
worm	કૃમિ	anticipation	0.203
organization	સંસ્થા	anticipation	0.203
cement	સિમેન્ટ	anticipation	0.203
lagging	હાંસલ	anticipation	0.180
neutral	તટસ્થ	anticipation	0.148
cannibalism	નૃવંશવિજ્ઞાન	disgust	0.953
mutilation	અંગછેદન	disgust	0.930
molestation	છેડતી	disgust	0.914
incest	વ્યભિચાર	disgust	0.914
gonorrhea	ગોનોરીઆ	disgust	0.906
rape	બળાત્કાર	disgust	0.906
cannibal	આદમખોર	disgust	0.898
rot	રોટ	disgust	0.891
corpse	શબ	disgust	0.883
massacre	હત્યાકાંડ	disgust	0.883
excrement	વ્રણ	disgust	0.883
slaughter	કતલ	disgust	0.875
barf	બાર્ફ	disgust	0.875
slaughterhouse	કતલખાના	disgust	0.867
rancid	શંકાસ્પદ	disgust	0.859
sewerage	સીવેરેજ	disgust	0.859
incestuous	વ્યભિચારી	disgust	0.859
filth	ગંદાપાણી	disgust	0.859
bigot	બાયોટ	disgust	0.859
infestation	ઉપદ્રવને	disgust	0.852
plague	પ્લેગ	disgust	0.852
bloodthirsty	bloodthirsty	disgust	0.852
holocaust	હોલોકોસ્ટ	disgust	0.852
rotting	રોટિંગ	disgust	0.844
maggot	મેગેટ	disgust	0.844
feces	મળ	disgust	0.844
fecal	ફેકલ	disgust	0.844
murder	હત્યા	disgust	0.839
infanticide	બાળહત્યા	disgust	0.836
homicide	મનુષ્યવધ	disgust	0.836
asshole	ગધેડો	disgust	0.836
enslaved	ગુલામ	disgust	0.836
gore	ગોર	disgust	0.828
perverted	દૂષિત	disgust	0.828
torture	ત્રાસ	disgust	0.828
slaughtering	કતલ	disgust	0.828
excretion	વિસર્જન	disgust	0.828
contaminate	દૂષિત	disgust	0.821
murderer	ખૂની	disgust	0.820
gory	લોહીલુહાણ	disgust	0.820
repugnant	પ્રતિકૂળ	disgust	0.820
desecration	અપવિત્ર	disgust	0.820
grotesque	વિચિત્ર	disgust	0.820
revolting	બળવો	disgust	0.820
diarrhoea	ઝાડા	disgust	0.820
manure	ખાતર	disgust	0.820
terrorist	આતંકવાદી	disgust	0.820
shit	છી	disgust	0.820
pervert	બગાડવું	disgust	0.820
slavery	ગુલામી	disgust	0.812
faeces	મળ	disgust	0.812
sewer	ગટર	disgust	0.812
vomit	ઉલટી	disgust	0.812
manslaughter	માનવવધ	disgust	0.812
dismemberment	વિચ્છેદન	disgust	0.812
cadaver	શરદી	disgust	0.812
hemorrhage	હેમરેજ	disgust	0.805
repulsive	કંટાળાજનક	disgust	0.805
perverse	પ્રતિકૂળ	disgust	0.805
filthy	ગંદું	disgust	0.797
sewage	સીવેજ	disgust	0.797
depravity	દુષ્ટતા	disgust	0.797
diseased	રોગગ્રસ્ત	disgust	0.797
carcass	લાંછન	disgust	0.795
decompose	સડવું	disgust	0.789
vermin	જીવાણુ	disgust	0.789
puke	પ્યુક	disgust	0.789
parasite	પરોપજીવી	disgust	0.789
horrific	ભયાનક	disgust	0.789
gruesome	ભયાનક	disgust	0.789
dung	NO TRANSLATION	disgust	0.789
mutilated	ફાટેલી	disgust	0.789
murderous	ખૂની	disgust	0.789
decayed	ક્ષીણ	disgust	0.789
herpes	હર્પીસ	disgust	0.789
slime	લીંબું	disgust	0.781
flatulence	વાતચીત	disgust	0.781
monstrosity	નિષ્ઠુરતા	disgust	0.781
carnage	હત્યાકાંડ	disgust	0.781
pestilence	મહામારી	disgust	0.781
malaria	મેલેરિયા	disgust	0.781
crap	વાહિયાત	disgust	0.781
toxic	ઝેરી	disgust	0.773
loathsome	ઘૃણાજનક	disgust	0.773
insidious	પ્રપંચી	disgust	0.773
leprosy	રક્તપિત્ત	disgust	0.773
morgue	મોર્ગ્યુ	disgust	0.773
pus	પુ	disgust	0.773
herpesvirus	હર્પીસ વાયરસ	disgust	0.773
whore	વેશ્યા	disgust	0.766
cruel	ક્રૂર	disgust	0.766
repugnance	પ્રત્યાઘાત	disgust	0.766
revulsion	રદ	disgust	0.766
xenophobia	ઝેનોફોબિયા	disgust	0.766
regurgitation	રિલિગ્રેટેશન	disgust	0.766
anthrax	એન્થ્રેક્સ	disgust	0.766
lynch	લિન્ચ	disgust	0.766
dissection	ડિસેક્શન	disgust	0.759
canker	બગાડવું	disgust	0.758
cruelty	ક્રૂરતા	disgust	0.758
perversion	વિકૃતિ	disgust	0.758
evil	દુષ્ટ	disgust	0.758
slum	ઝૂંપડપટ્ટી	disgust	0.758
infectious	ચેપી	disgust	0.758
mucous	શ્વસ્ત	disgust	0.758
phlegm	કફ	disgust	0.758
leeches	લીચી	disgust	0.750
decomposition	વિઘટન	disgust	0.750
sinister	એકદમ વિચિત્ર	disgust	0.750
corrupting	ભ્રષ્ટ	disgust	0.750
demon	રાક્ષસ	disgust	0.742
stinking	દુ: ખી	disgust	0.742
septic	સેપ્ટિક	disgust	0.742
deranged	ઉદ્ધત	disgust	0.742
bile	પિત્ત	disgust	0.742
soiled	કપડા	disgust	0.742
mucus	લાળ	disgust	0.742
abhorrence	દ્વેષ	disgust	0.742
abomination	નફરત	disgust	0.742
sickening	ઘૃણાજનક	disgust	0.742
demonic	શૈતાની	disgust	0.742
foul	ફાઉલ	disgust	0.734
obese	મેદસ્વી	disgust	0.734
sicken	માંદગી	disgust	0.734
degeneracy	અધોગતિ	disgust	0.734
crucifixion	તીવ્ર દુઃખ	disgust	0.734
despicable	ધિક્કારપાત્ર	disgust	0.734
cancer	કેન્સર	disgust	0.734
atrocity	અત્યાચાર	disgust	0.734
terrorism	આતંકવાદ	disgust	0.734
dirty	ગંદા	disgust	0.727
dysentery	મરડો	disgust	0.727
adultery	વ્યભિચાર	disgust	0.727
contamination	દૂષણ	disgust	0.727
bacterium	બેક્ટેરિયમ	disgust	0.727
diabolical	શેતાની	disgust	0.727
morbidity	રોગિષ્ઠતા	disgust	0.727
grisly	ભયંકર રીતે	disgust	0.727
repulsion	ત્રાસ	disgust	0.727
enema	બસ્તિક્રિયા	disgust	0.727
contagion	સંસર્ગ	disgust	0.719
disfigured	ઢંગધડા	disgust	0.719
muck	છાણ	disgust	0.719
lewd	લંપટ	disgust	0.719
garbage	કચરો	disgust	0.719
autopsy	ઓટોપ્સી	disgust	0.719
bowels	આંતરડા	disgust	0.719
gross	કુલ	disgust	0.719
vulgar	અસંસ્કારી	disgust	0.719
barbaric	નિષ્ઠુર	disgust	0.719
disgust	અરુચિ	disgust	0.719
vicious	નીતિભ્રષ્ટ	disgust	0.719
entrails	આંતરડા	disgust	0.719
deterioration	બગાડ	disgust	0.719
pungent	તીવ્ર	disgust	0.719
bloodshed	રક્તપાત	disgust	0.714
violent	હિંસક	disgust	0.711
tyrant	જુલમી	disgust	0.711
poisoned	ઝેર	disgust	0.711
pollute	પ્રદૂષિત	disgust	0.711
wretched	દુ: ખી	disgust	0.711
nausea	ઉબકા	disgust	0.711
mortification	ઉલ્લંઘન	disgust	0.711
gag	બોલતું બંધ કરવું	disgust	0.711
vulgarity	અશિષ્ટતા	disgust	0.703
disgusting	ઘૃણાસ્પદ	disgust	0.703
grope	ઢાંકપિછોડો	disgust	0.703
slut	slut	disgust	0.703
poisoning	ઝેર	disgust	0.703
depraved	બદનક્ષીભર્યું	disgust	0.703
noxious	હાનિકારક	disgust	0.703
porn	પોર્ન	disgust	0.703
nasty	બીભત્સ	disgust	0.703
slimy	પાતળા	disgust	0.703
despotism	આપખુદશાહી	disgust	0.703
nauseate	ઉબકા	disgust	0.703
secretion	સ્ત્રાવ	disgust	0.703
constipation	કબજિયાત	disgust	0.703
hateful	દ્વેષપૂર્ણ	disgust	0.703
grime	ઝીણી દાંડી	disgust	0.703
measles	ઓરી	disgust	0.696
contagious	ચેપી	disgust	0.695
hellish	નર્ક જેવું યાતનામય	disgust	0.695
waste	કચરો	disgust	0.695
suicidal	આત્મઘાતી	disgust	0.695
abuse	ગા ળ	disgust	0.695
hate	નફરત	disgust	0.695
wretch	ઉન્માદ	disgust	0.695
intestinal	આંતરડાના	disgust	0.695
wart	મસો	disgust	0.695
obesity	સ્થૂળતા	disgust	0.695
scum	મદ્યપાન	disgust	0.695
contaminated	દુષિત	disgust	0.688
disease	રોગ	disgust	0.688
rabid	હડકાયું	disgust	0.688
ooze	ઝટકો	disgust	0.688
treason	રાજદ્રોહ	disgust	0.688
heartworm	હાર્ટવોર્મ	disgust	0.688
smut	સ્મટ	disgust	0.688
cholera	કોલેરા	disgust	0.680
deformed	વિકૃિત	disgust	0.680
detest	નિંદા	disgust	0.680
bestial	શ્રેષ્ઠ	disgust	0.680
sickness	માંદગી	disgust	0.680
antichrist	એન્ટિક્રાઇસ્ટ	disgust	0.680
abhorrent	ઘૃણાસ્પદ	disgust	0.680
soulless	સૌમ્ય	disgust	0.680
freakish	અસ્વાભાવિક	disgust	0.680
grimy	ગંદું	disgust	0.680
hatred	તિરસ્કાર	disgust	0.680
pollution	પ્રદૂષણ	disgust	0.680
germ	સૂક્ષ્મજીવ	disgust	0.680
abominate	ધિક્કારવું	disgust	0.680
hell	નરક	disgust	0.680
dilapidated	જર્જરિત	disgust	0.672
dictatorship	સરમુખત્યારશાહી	disgust	0.672
inhuman	અમાનુષી	disgust	0.672
greasy	ચીકણું	disgust	0.672
hideous	કદરૂપું	disgust	0.672
loathful	બેભાન	disgust	0.672
obscene	અશ્લીલ	disgust	0.672
loathing	નિંદા	disgust	0.672
cess	સેસ	disgust	0.670
devil	શેતાન	disgust	0.664
heretic	પાખંડ	disgust	0.664
nauseous	ઊલટી	disgust	0.664
abominable	ઘૃણાસ્પદ	disgust	0.664
deformity	ખોડ	disgust	0.664
deadly	જીવલેણ	disgust	0.664
swine	સ્વાઈન	disgust	0.664
discrimination	ભેદભાવ	disgust	0.664
masochism	મહોત્સવ	disgust	0.664
poisonous	ઝેરી	disgust	0.656
prejudiced	પૂર્વગ્રહવાળું	disgust	0.656
bacteria	બેક્ટેરિયા	disgust	0.656
death	મૃત્યુ	disgust	0.656
poison	ઝેર	disgust	0.656
trash	કચરો	disgust	0.656
abortion	ગર્ભપાત	disgust	0.656
corruption	ભ્રષ્ટાચાર	disgust	0.656
victimized	ભોગ બન્યા	disgust	0.656
oppression	જુલમ	disgust	0.656
goo	ગૂ	disgust	0.656
latrines	લેટરીન્સ	disgust	0.656
horror	હોરર	disgust	0.656
horrible	ભયાનક	disgust	0.656
nefarious	નૈતિક	disgust	0.656
mange	NO TRANSLATION	disgust	0.656
