word	Hindi-hi	emotion	emotion-intensity-score
untold	चुप	anticipation	0.461
overture	प्रस्ताव	anticipation	0.461
excel	एक्सेल	anticipation	0.461
plight	दुर्दशा	anticipation	0.461
synchronize	सिंक्रनाइज़	anticipation	0.461
punt	बाज़ी	anticipation	0.461
sanctuary	अभ्यारण्य	anticipation	0.461
brilliant	प्रतिभाशाली	anticipation	0.461
pay	वेतन	anticipation	0.461
shining	चमकदार	anticipation	0.461
regatta	दौड़ की प्रतियोगिता	anticipation	0.461
testament	वसीयतनामा	anticipation	0.461
jeopardy	ख़तरा	anticipation	0.461
perpetuity	अनंत काल	anticipation	0.453
elegance	लालित्य	anticipation	0.453
career	व्यवसाय	anticipation	0.453
basketball	बास्केटबाल	anticipation	0.453
intimately	परिचित	anticipation	0.453
renovate	अच्छी अवस्था में लाना	anticipation	0.453
supremacy	प्रभुत्व	anticipation	0.453
infinity	अनन्तता	anticipation	0.453
unexpected	अप्रत्याशित	anticipation	0.453
flinch	बच निकलना	anticipation	0.453
complement	पूरक हैं	anticipation	0.453
prologue	प्रस्तावना	anticipation	0.453
compliment	NO TRANSLATION	anticipation	0.453
prevention	निवारण	anticipation	0.453
improve	सुधारें	anticipation	0.453
sunset	सूर्य का अस्त होना	anticipation	0.453
inaugural	उद्घाटन	anticipation	0.453
rehabilitation	पुनर्वास	anticipation	0.453
fitting	फिटिंग	anticipation	0.445
surround	चारों ओर से घेरना	anticipation	0.445
share	शेयर	anticipation	0.445
epidemic	महामारी	anticipation	0.445
sweet	मिठाई	anticipation	0.445
fain	NO TRANSLATION	anticipation	0.445
concealment	आड़	anticipation	0.445
confidence	आत्मविश्वास	anticipation	0.445
perfect	उत्तम	anticipation	0.445
sun	रवि	anticipation	0.445
veracity	सच्चाई	anticipation	0.445
volunteer	स्वयंसेवक	anticipation	0.445
conjecture	अनुमान	anticipation	0.445
medical	मेडिकल	anticipation	0.438
prepared	तैयार	anticipation	0.438
superstitious	वहमी	anticipation	0.438
reconstruction	पुनर्निर्माण	anticipation	0.438
tickle	गुदगुदी	anticipation	0.438
faith	आस्था	anticipation	0.438
passenger	यात्री	anticipation	0.438
saint	संत	anticipation	0.438
respect	आदर करना	anticipation	0.438
rabid	विक्षिप्त	anticipation	0.438
reconstruct	फिर से बनाना	anticipation	0.438
recombination	पुनर्संयोजन	anticipation	0.438
devout	धार्मिक	anticipation	0.438
goodness	भलाई	anticipation	0.438
angel	देवदूत	anticipation	0.438
ferment	विक्षोभ	anticipation	0.438
plea	दलील	anticipation	0.438
aloha	Aloha	anticipation	0.438
serial	धारावाहिक	anticipation	0.438
conservation	संरक्षण	anticipation	0.438
serenity	शांति	anticipation	0.430
tabulate	समतल	anticipation	0.430
install	इंस्टॉल करें	anticipation	0.430
labyrinth	भूलभुलैया	anticipation	0.430
venerable	सम्मानित	anticipation	0.430
perpetuate	यादगार बनाना	anticipation	0.430
strategist	रणनीतिज्ञ	anticipation	0.430
unverified	असत्यापित	anticipation	0.430
tribunal	न्यायाधिकरण	anticipation	0.430
charitable	दानशील	anticipation	0.430
luscious	सुस्वाद	anticipation	0.430
spa	स्पा	anticipation	0.430
peace	शांति	anticipation	0.430
clap	ताली	anticipation	0.430
conspirator	षड्यंत्रकारी	anticipation	0.422
forestall	पहिले से ग्रहण करना	anticipation	0.422
patience	धीरज	anticipation	0.422
oasis	शाद्वल	anticipation	0.422
grin	मुसकान	anticipation	0.422
revere	सम्मान	anticipation	0.422
worship	पूजा	anticipation	0.422
vista	विस्टा	anticipation	0.422
laughter	हंसी	anticipation	0.422
volatility	अस्थिरता	anticipation	0.422
adrift	भटकते हुए	anticipation	0.422
candid	खरा	anticipation	0.422
edification	नसीहत	anticipation	0.422
unresolved	अनसुलझे	anticipation	0.422
peaceful	शांतिपूर्ण	anticipation	0.422
recognizable	पहचानने योग्य	anticipation	0.422
calls	कॉल	anticipation	0.414
weigh	तौलना	anticipation	0.414
probation	परख	anticipation	0.414
proficiency	प्रवीणता	anticipation	0.414
morn	सुबह	anticipation	0.414
craps	क्रेप्स	anticipation	0.414
detainee	रोकनेवाला	anticipation	0.414
mediate	मध्यस्थ	anticipation	0.414
continue	जारी रहना	anticipation	0.414
astrologer	ज्योतिषी	anticipation	0.414
punctual	समयनिष्ठ	anticipation	0.414
ordination	समन्वय	anticipation	0.414
pretty	सुंदर	anticipation	0.414
thought	विचार	anticipation	0.414
grant	अनुदान	anticipation	0.414
withstand	सामना	anticipation	0.414
frisky	प्रफुल्ल	anticipation	0.414
ongoing	चल रही है	anticipation	0.414
sing	गाओ	anticipation	0.411
long	लंबा	anticipation	0.406
confession	इकबालिया बयान	anticipation	0.406
headlight	हेडलाइट	anticipation	0.406
prophylactic	रोगनिरोधी	anticipation	0.406
mother	मां	anticipation	0.406
debenture	ऋणपत्र	anticipation	0.406
wizard	जादूगर	anticipation	0.406
university	विश्वविद्यालय	anticipation	0.406
proud	गर्व	anticipation	0.406
midwife	दाई	anticipation	0.406
banquet	भोज	anticipation	0.406
continuation	विस्तार	anticipation	0.406
navigable	जहाज़-रानी का	anticipation	0.406
punished	दंडित	anticipation	0.406
chicane	झूठा इलज़ाम	anticipation	0.406
comfort	आराम	anticipation	0.406
opponent	प्रतिद्वंद्वी	anticipation	0.406
subscribe	सदस्यता लेने के	anticipation	0.406
outdo	आगे बढ़ना	anticipation	0.406
nurture	पालन ​​- पोषण करना	anticipation	0.406
twinkle	टिमटिमाहट	anticipation	0.406
deal	सौदा	anticipation	0.402
efficient	कुशल	anticipation	0.398
representing	का प्रतिनिधित्व	anticipation	0.398
simmer	उबाल	anticipation	0.398
symphony	स्वर की समता	anticipation	0.398
judiciary	न्यायतंत्र	anticipation	0.398
obliging	ऋणी	anticipation	0.398
saintly	पुण्य	anticipation	0.398
vigil	जलूस	anticipation	0.398
death	मौत	anticipation	0.398
distracting	ध्यान भंग	anticipation	0.398
mortification	वैराग्य	anticipation	0.398
balm	बाम	anticipation	0.398
guillotine	गिलोटिन	anticipation	0.398
top	चोटी	anticipation	0.398
lettered	लिखित	anticipation	0.398
reliance	भरोसा	anticipation	0.398
poke	प्रहार	anticipation	0.391
unfulfilled	अधूरी	anticipation	0.391
assurance	बीमा	anticipation	0.391
condemnation	निंदा	anticipation	0.391
undoubted	निस्संदेह	anticipation	0.391
diplomacy	कूटनीति	anticipation	0.391
familiarity	सुपरिचय	anticipation	0.391
antidote	विषहर औषध	anticipation	0.391
chuckle	कुड़ाकुड़ाना	anticipation	0.391
objective	लक्ष्य	anticipation	0.391
maternal	मम मेरे	anticipation	0.391
abeyance	दुविधा	anticipation	0.391
art	कला	anticipation	0.391
linger	दीर्घ काल तक रहना	anticipation	0.391
trust	भरोसा	anticipation	0.391
depraved	भ्रष्ट	anticipation	0.391
sanctify	पवित्रता	anticipation	0.391
inoculation	टीका	anticipation	0.384
chant	मंत्र	anticipation	0.383
banger	बैंगर	anticipation	0.383
playground	खेल का मैदान	anticipation	0.383
failing	असफलता	anticipation	0.383
ship	समुंद्री जहाज	anticipation	0.383
hymn	भजन	anticipation	0.383
simplify	आसान बनाने में	anticipation	0.383
ram	राम	anticipation	0.383
labor	श्रम	anticipation	0.383
discretion	विवेक	anticipation	0.383
hap	NO TRANSLATION	anticipation	0.383
good	अच्छा	anticipation	0.383
scientist	वैज्ञानिक	anticipation	0.383
undecided	दुविधा में पड़ा हुआ	anticipation	0.383
humanitarian	मानवीय	anticipation	0.383
depend	निर्भर	anticipation	0.383
dutiful	कर्त्तव्य परायण	anticipation	0.383
clock	घड़ी	anticipation	0.375
sterling	वास्तविक	anticipation	0.375
mountain	पर्वत	anticipation	0.375
savor	स्वाद	anticipation	0.375
recurrent	आवर्तक	anticipation	0.375
interim	अन्तरिम	anticipation	0.375
navigator	नाविक	anticipation	0.375
gradual	क्रमिक	anticipation	0.375
interminable	अनंत	anticipation	0.375
track	धावन पथ	anticipation	0.375
public	जनता	anticipation	0.375
cradle	पालना	anticipation	0.375
concealed	गुप्त	anticipation	0.367
lesson	पाठ	anticipation	0.367
instructions	अनुदेश	anticipation	0.367
shiver	कंपकंपी	anticipation	0.367
musical	संगीत	anticipation	0.367
towering	ऊंचा	anticipation	0.367
whim	रंग	anticipation	0.367
spear	भाला	anticipation	0.367
convince	समझाने	anticipation	0.367
sonar	सोनार	anticipation	0.367
abide	रहना	anticipation	0.367
biennial	द्विवाषिक	anticipation	0.367
theology	धर्मशास्र	anticipation	0.359
offset	ओफ़्सेट	anticipation	0.359
atone	मेल करना	anticipation	0.359
timidity	कातरता	anticipation	0.359
theory	सिद्धांत	anticipation	0.359
undying	अमर	anticipation	0.359
plump	मोटा	anticipation	0.359
audience	दर्शक	anticipation	0.357
nobility	कुलीनता	anticipation	0.352
paragon	प्रतिद्वंद्वी	anticipation	0.352
dietary	पथ्य	anticipation	0.352
closure	समापन	anticipation	0.352
store	दुकान	anticipation	0.352
localize	स्थानीय बनाना	anticipation	0.352
cramp	ऐंठन	anticipation	0.352
daily	रोज	anticipation	0.352
kindred	आत्मीय	anticipation	0.352
farm	खेत	anticipation	0.352
edition	संस्करण	anticipation	0.352
consecration	अभिषेक	anticipation	0.352
archaeology	पुरातत्त्व	anticipation	0.344
mobile	मोबाइल	anticipation	0.344
errand	दूतकार्म	anticipation	0.344
wireless	तार रहित	anticipation	0.344
mutable	परिवर्तनशील	anticipation	0.344
meditate	ध्यान	anticipation	0.344
stripped	छीन लिया	anticipation	0.344
lessen	कम	anticipation	0.336
unaccountable	अकथनीय	anticipation	0.336
pare	NO TRANSLATION	anticipation	0.336
brotherly	भाई	anticipation	0.336
buddy	साथी	anticipation	0.336
unbeaten	अजेय	anticipation	0.336
germ	रोगाणु	anticipation	0.336
dove	कबूतर	anticipation	0.328
digress	पीछे हटना	anticipation	0.328
ribbon	फीता	anticipation	0.328
olfactory	सूंघनेवाला	anticipation	0.328
patient	मरीज	anticipation	0.328
council	परिषद	anticipation	0.328
possess	अधिकारी	anticipation	0.328
secular	धर्म निरपेक्ष	anticipation	0.328
chastity	शुद्धता	anticipation	0.328
disposed	उतारू	anticipation	0.320
regularity	नियमितता	anticipation	0.320
mediator	मध्यस्थ	anticipation	0.320
scrutinize	ताकना	anticipation	0.320
fancy	कल्पना	anticipation	0.320
immature	अपरिपक्व	anticipation	0.320
infanticide	भ्रूण हत्या	anticipation	0.320
heft	वज़न	anticipation	0.320
preservative	परिरक्षक	anticipation	0.320
paddle	चप्पू	anticipation	0.320
cove	कोव	anticipation	0.320
denying	इस बात का खंडन	anticipation	0.312
bugle	बिगुल	anticipation	0.312
unpublished	अप्रकाशित	anticipation	0.312
analyst	विश्लेषक	anticipation	0.312
grim	विकट	anticipation	0.312
church	चर्च	anticipation	0.312
priesthood	पुजारी	anticipation	0.305
mill	चक्की	anticipation	0.305
judicial	अदालती	anticipation	0.305
broadside	नाव का पहलू	anticipation	0.305
tributary	सहायक नदी	anticipation	0.297
cap	टोपी	anticipation	0.297
thermocouple	थर्मोकपल	anticipation	0.297
dismay	बेचैनी	anticipation	0.297
instructor	प्रशिक्षक	anticipation	0.297
saliva	लार	anticipation	0.297
exhaustion	थकावट	anticipation	0.297
bruise	चोट	anticipation	0.289
wont	NO TRANSLATION	anticipation	0.289
homeless	बेघर	anticipation	0.289
visor	टोपी का छज्जा	anticipation	0.289
discreet	NO TRANSLATION	anticipation	0.289
network	नेटवर्क	anticipation	0.289
shackle	बेड़ी	anticipation	0.289
addresses	पतों	anticipation	0.289
noncompliance	गैर अनुपालन	anticipation	0.289
cataract	मोतियाबिंद	anticipation	0.289
skewed	विषम	anticipation	0.281
astronomer	खगोल विज्ञानी	anticipation	0.281
neighbor	पड़ोसी	anticipation	0.281
holiness	परम पूज्य	anticipation	0.273
devil	शैतान	anticipation	0.273
cream	मलाई	anticipation	0.273
picket	पहरे पर तैनात करना	anticipation	0.273
latent	अव्यक्त	anticipation	0.273
immaturity	अपरिपक्वता	anticipation	0.273
sentence	वाक्य	anticipation	0.273
neighborhood	अड़ोस - पड़ोस	anticipation	0.266
morals	नैतिकता	anticipation	0.266
lull	शांति काल	anticipation	0.266
habitual	अभ्यस्त	anticipation	0.266
weight	वजन	anticipation	0.258
bye	अलविदा	anticipation	0.258
forearm	बांह की कलाई	anticipation	0.250
clown	विदूषक	anticipation	0.250
organ	अंग	anticipation	0.250
quote	उद्धरण	anticipation	0.242
commonplace	सामान्य	anticipation	0.242
dictatorship	अधिनायकत्व	anticipation	0.234
board	मंडल	anticipation	0.234
white	सफेद	anticipation	0.234
treadmill	ट्रेडमिल	anticipation	0.234
rail	रेल	anticipation	0.234
sundial	धूपघड़ी	anticipation	0.227
tree	पेड़	anticipation	0.227
paralysis	पक्षाघात	anticipation	0.211
worm	कीड़ा	anticipation	0.203
organization	संगठन	anticipation	0.203
cement	सीमेंट	anticipation	0.203
lagging	ठंड	anticipation	0.180
neutral	तटस्थ	anticipation	0.148
cannibalism	नरमांस-भक्षण	disgust	0.953
mutilation	विकृति	disgust	0.930
molestation	छेड़छाड़	disgust	0.914
incest	कौटुम्बिक व्यभिचार	disgust	0.914
gonorrhea	सूजाक	disgust	0.906
rape	बलात्कार	disgust	0.906
cannibal	नरभक्षक	disgust	0.898
rot	सड़ांध	disgust	0.891
corpse	लाश	disgust	0.883
massacre	नरसंहार	disgust	0.883
excrement	मलमूत्र	disgust	0.883
slaughter	वध	disgust	0.875
barf	barf	disgust	0.875
slaughterhouse	क़साईख़ाना	disgust	0.867
rancid	बासी	disgust	0.859
sewerage	मल	disgust	0.859
incestuous	ईन्सेस्त का	disgust	0.859
filth	गंदगी	disgust	0.859
bigot	कट्टर व्यक्रित	disgust	0.859
infestation	संक्रमण	disgust	0.852
plague	प्लेग	disgust	0.852
bloodthirsty	bloodthirsty	disgust	0.852
holocaust	प्रलय	disgust	0.852
rotting	सड़	disgust	0.844
maggot	मन की मौज	disgust	0.844
feces	मल	disgust	0.844
fecal	मल	disgust	0.844
murder	हत्या	disgust	0.839
infanticide	भ्रूण हत्या	disgust	0.836
homicide	मानव हत्या	disgust	0.836
asshole	गधे	disgust	0.836
enslaved	ग़ुलाम बनाया हुआ	disgust	0.836
gore	तिकोना कपड़ा	disgust	0.828
perverted	विकृत	disgust	0.828
torture	अत्याचार	disgust	0.828
slaughtering	नरसंहार	disgust	0.828
excretion	मलत्याग	disgust	0.828
contaminate	दूषित	disgust	0.821
murderer	मार डालनेवाला	disgust	0.820
gory	रक्तमय	disgust	0.820
repugnant	प्रतिकूल	disgust	0.820
desecration	अपवित्रता	disgust	0.820
grotesque	विचित्र	disgust	0.820
revolting	विप्लव करनेवाला	disgust	0.820
diarrhoea	दस्त	disgust	0.820
manure	खाद	disgust	0.820
terrorist	आतंकवादी	disgust	0.820
shit	मल	disgust	0.820
pervert	स्वमतत्यागी	disgust	0.820
slavery	गुलामी	disgust	0.812
faeces	मल	disgust	0.812
sewer	गंदा नाला	disgust	0.812
vomit	उलटी करना	disgust	0.812
manslaughter	हत्या	disgust	0.812
dismemberment	बहिष्कार	disgust	0.812
cadaver	शव	disgust	0.812
hemorrhage	नकसीर	disgust	0.805
repulsive	प्रतिकारक	disgust	0.805
perverse	विकृत	disgust	0.805
filthy	गंदा	disgust	0.797
sewage	मल	disgust	0.797
depravity	भ्रष्टता	disgust	0.797
diseased	रोगी	disgust	0.797
carcass	शव	disgust	0.795
decompose	घुलना	disgust	0.789
vermin	दरिंदा	disgust	0.789
puke	उलटी	disgust	0.789
parasite	परजीवी	disgust	0.789
horrific	भीषण	disgust	0.789
gruesome	भीषण	disgust	0.789
dung	NO TRANSLATION	disgust	0.789
mutilated	विकृत	disgust	0.789
murderous	घातक	disgust	0.789
decayed	सड़ा हुआ	disgust	0.789
herpes	दाद	disgust	0.789
slime	कीचड़	disgust	0.781
flatulence	पेट फूलना	disgust	0.781
monstrosity	कुरूपता	disgust	0.781
carnage	नरसंहार	disgust	0.781
pestilence	ताऊन	disgust	0.781
malaria	मलेरिया	disgust	0.781
crap	बकवास	disgust	0.781
toxic	विषैला	disgust	0.773
loathsome	वीभत्स	disgust	0.773
insidious	कपटी	disgust	0.773
leprosy	कुष्ठ रोग	disgust	0.773
morgue	मुर्दा घर	disgust	0.773
pus	मवाद	disgust	0.773
herpesvirus	दाद	disgust	0.773
whore	वेश्या	disgust	0.766
cruel	निर्दयी	disgust	0.766
repugnance	घृणा	disgust	0.766
revulsion	तबदीली	disgust	0.766
xenophobia	विदेशी लोगों को न पसन्द करना	disgust	0.766
regurgitation	ऊर्ध्वनिक्षेप	disgust	0.766
anthrax	बिसहरिया	disgust	0.766
lynch	वध करना	disgust	0.766
dissection	विच्छेदन	disgust	0.759
canker	नासूर	disgust	0.758
cruelty	क्रूरता	disgust	0.758
perversion	विकृति	disgust	0.758
evil	बुराई	disgust	0.758
slum	गंदी बस्ती	disgust	0.758
infectious	संक्रामक	disgust	0.758
mucous	चिपचिपा	disgust	0.758
phlegm	कफ	disgust	0.758
leeches	जोंक	disgust	0.750
decomposition	सड़न	disgust	0.750
sinister	भयावह	disgust	0.750
corrupting	भ्रष्ट	disgust	0.750
demon	राक्षस	disgust	0.742
stinking	बदबूदार	disgust	0.742
septic	विषाक्त	disgust	0.742
deranged	विक्षिप्त	disgust	0.742
bile	पित्त	disgust	0.742
soiled	गंदे	disgust	0.742
mucus	बलगम	disgust	0.742
abhorrence	घृणा	disgust	0.742
abomination	abomination	disgust	0.742
sickening	कुत्सित	disgust	0.742
demonic	राक्षसी	disgust	0.742
foul	बेईमानी से	disgust	0.734
obese	मोटा	disgust	0.734
sicken	घृणा का अनुभव करना	disgust	0.734
degeneracy	पतन	disgust	0.734
crucifixion	सूली पर चढ़ाये जाने	disgust	0.734
despicable	नाली का कीड़ा	disgust	0.734
cancer	कैंसर	disgust	0.734
atrocity	क्रूरता	disgust	0.734
terrorism	आतंक	disgust	0.734
dirty	गंदा	disgust	0.727
dysentery	पेचिश	disgust	0.727
adultery	व्यभिचार	disgust	0.727
contamination	संदूषण	disgust	0.727
bacterium	जीवाणु	disgust	0.727
diabolical	पैशाचिक	disgust	0.727
morbidity	रोगों की संख्या	disgust	0.727
grisly	भयानक	disgust	0.727
repulsion	घृणा	disgust	0.727
enema	एनीमा	disgust	0.727
contagion	छूत	disgust	0.719
disfigured	विकृत	disgust	0.719
muck	कूड़ा-कर्कट	disgust	0.719
lewd	अशिष्ट	disgust	0.719
garbage	कचरा	disgust	0.719
autopsy	शव परीक्षण	disgust	0.719
bowels	आंत	disgust	0.719
gross	कुल	disgust	0.719
vulgar	अशिष्ट	disgust	0.719
barbaric	असभ्य	disgust	0.719
disgust	घृणा	disgust	0.719
vicious	शातिर	disgust	0.719
entrails	अंतड़ियों	disgust	0.719
deterioration	क्षय	disgust	0.719
pungent	कटु	disgust	0.719
bloodshed	रक्तपात	disgust	0.714
violent	हिंसा करनेवाला	disgust	0.711
tyrant	तानाशाह	disgust	0.711
poisoned	जहर	disgust	0.711
pollute	नापाक किया हुआ	disgust	0.711
wretched	मनहूस	disgust	0.711
nausea	जी मिचलाना	disgust	0.711
mortification	वैराग्य	disgust	0.711
gag	झूठ	disgust	0.711
vulgarity	असभ्यता	disgust	0.703
disgusting	घिनौना	disgust	0.703
grope	अंधे की तरह खोजना	disgust	0.703
slut	फूहड़	disgust	0.703
poisoning	जहर	disgust	0.703
depraved	भ्रष्ट	disgust	0.703
noxious	हानिकारक	disgust	0.703
porn	पॉर्न	disgust	0.703
nasty	बुरा	disgust	0.703
slimy	घिनौना	disgust	0.703
despotism	तानाशाही	disgust	0.703
nauseate	घृणा करना	disgust	0.703
secretion	स्राव	disgust	0.703
constipation	कब्ज	disgust	0.703
hateful	घृणास्पद	disgust	0.703
grime	जमी हुई कीट	disgust	0.703
measles	खसरा	disgust	0.696
contagious	संक्रामक	disgust	0.695
hellish	नारकीय	disgust	0.695
waste	बेकार	disgust	0.695
suicidal	आत्मघात	disgust	0.695
abuse	गाली	disgust	0.695
hate	नफ़रत	disgust	0.695
wretch	नीच	disgust	0.695
intestinal	आंतों	disgust	0.695
wart	मस्सा	disgust	0.695
obesity	मोटापा	disgust	0.695
scum	मैल	disgust	0.695
contaminated	दूषित	disgust	0.688
disease	रोग	disgust	0.688
rabid	विक्षिप्त	disgust	0.688
ooze	रसना	disgust	0.688
treason	राज-द्रोह	disgust	0.688
heartworm	heartworm	disgust	0.688
smut	मैल	disgust	0.688
cholera	हैज़ा	disgust	0.680
deformed	विकृत	disgust	0.680
detest	घृणा करना	disgust	0.680
bestial	वहशी	disgust	0.680
sickness	रोग	disgust	0.680
antichrist	ईसा मसीह का शत्रु	disgust	0.680
abhorrent	घिनौना	disgust	0.680
soulless	संगदिल	disgust	0.680
freakish	झक्की	disgust	0.680
grimy	साँवला	disgust	0.680
hatred	घृणा	disgust	0.680
pollution	प्रदूषण	disgust	0.680
germ	रोगाणु	disgust	0.680
abominate	घृणा करना	disgust	0.680
hell	नरक	disgust	0.680
dilapidated	जीर्ण	disgust	0.672
dictatorship	अधिनायकत्व	disgust	0.672
inhuman	अमानवीय	disgust	0.672
greasy	चिकनी	disgust	0.672
hideous	भयंकर	disgust	0.672
loathful	वीभत्स	disgust	0.672
obscene	गंदा	disgust	0.672
loathing	घृणा	disgust	0.672
cess	उपकर	disgust	0.670
devil	शैतान	disgust	0.664
heretic	विधर्मी	disgust	0.664
nauseous	वमनजनक	disgust	0.664
abominable	घिनौना	disgust	0.664
deformity	कुरूपता	disgust	0.664
deadly	घातक	disgust	0.664
swine	सुअर	disgust	0.664
discrimination	भेदभाव	disgust	0.664
masochism	स्वपीड़न	disgust	0.664
poisonous	विषैला	disgust	0.656
prejudiced	पक्षपातपूर्ण	disgust	0.656
bacteria	जीवाणु	disgust	0.656
death	मौत	disgust	0.656
poison	ज़हर	disgust	0.656
trash	कचरा	disgust	0.656
abortion	गर्भपात	disgust	0.656
corruption	भ्रष्टाचार	disgust	0.656
victimized	सताया हुआ	disgust	0.656
oppression	उत्पीड़न	disgust	0.656
goo	goo	disgust	0.656
latrines	शौचालयों	disgust	0.656
horror	डरावनी	disgust	0.656
horrible	भयंकर	disgust	0.656
nefarious	कुटिल	disgust	0.656
mange	NO TRANSLATION	disgust	0.656
vindictive	प्रतिशोधी	disgust	0.648
outhouse	इमारत का बाज़ू	disgust	0.648
horrid	भयंकर	disgust	0.648
detestation	नक़रत	disgust	0.648
sludge	कीचड़	disgust	0.648
ugly	कुरूप	disgust	0.648
trashy	तुच्छ	disgust	0.648
bitch	कुतिया	disgust	0.648
immoral	अनैतिक	disgust	0.648
malfeasance	दुराचार	disgust	0.641
spew	वमन	disgust	0.641
pimple	फुंसी	disgust	0.641
indecency	अभद्रता	disgust	0.641
unsightly	भद्दा	disgust	0.641
slop	NO TRANSLATION	disgust	0.641
villainous	शरारतपूर्ण	disgust	0.641
cystic	सिस्टिक	disgust	0.641
horrifying	भयानक	disgust	0.641
derogatory	अपमानजनक	disgust	0.641
laxative	रेचक	disgust	0.641
criminality	अपराधिता	disgust	0.641
oppressive	दमनकारी	disgust	0.633
sinful	पापी	disgust	0.633
bigoted	धर्माध	disgust	0.633
doomsday	कयामत का दिन	disgust	0.633
prostitution	वेश्यावृत्ति	disgust	0.633
ulcer	व्रण	disgust	0.633
secrete	छिपाना	disgust	0.633
perpetrator	अपराधी	disgust	0.633
rat	चूहा	disgust	0.633
queasy	कोमल	disgust	0.633
mildew	फफूंदी	disgust	0.633
dastardly	डरपोक	disgust	0.625
disgraceful	शर्मनाक	disgust	0.625
ghastly	भयंकर	disgust	0.625
persecution	उत्पीड़न	disgust	0.625
devilish	शैतानी	disgust	0.625
degrading	अपमानजनक	disgust	0.625
obscenity	बेहूदापन	disgust	0.625
fungus	कुकुरमुत्ता	disgust	0.625
sin	NO TRANSLATION	disgust	0.625
gluttony	लोलुपता	disgust	0.625
stools	दस्त	disgust	0.625
suffering	पीड़ा	disgust	0.625
contemptible	घिनौना	disgust	0.625
cuckold	व्यभिचारी	disgust	0.625
bloated	फूला हुआ	disgust	0.625
aghast	भौचक्का	disgust	0.625
betrayal	विश्वासघात	disgust	0.617
guillotine	गिलोटिन	disgust	0.617
infect	संक्रमित	disgust	0.617
spoil	लूट	disgust	0.617
tetanus	धनुस्तंभ	disgust	0.617
fat	मोटी	disgust	0.617
louse	जूं	disgust	0.617
malicious	दुर्भावनापूर्ण	disgust	0.617
polygamy	बहुविवाह	disgust	0.617
crusty	crusty	disgust	0.617
atrocious	नृशंस	disgust	0.617
deceit	छल	disgust	0.617
termite	दीमक	disgust	0.617
loathe	घृणा करना	disgust	0.617
wench	लड़की	disgust	0.617
dying	मौत	disgust	0.617
sickly	बीमार	disgust	0.617
diaper	डायपर	disgust	0.617
strangle	दबाना	disgust	0.617
drool	लार	disgust	0.609
slander	बदनामी	disgust	0.609
abhor	घृणा करना	disgust	0.609
venomous	विषैला	disgust	0.609
brothel	वेश्यालय	disgust	0.609
ghetto	यहूदी बस्ती	disgust	0.609
violently	बलपूर्वक	disgust	0.609
hostile	शत्रुतापूर्ण	disgust	0.609
sabotage	तोड़-फोड़	disgust	0.609
deform	ख़राब करना	disgust	0.609
bleeding	खून बह रहा है	disgust	0.609
unwashed	मैला	disgust	0.602
lunacy	पागलपन	disgust	0.602
imprisonment	कैद होना	disgust	0.602
infidel	बेवफ़ा	disgust	0.602
deprivation	हानि	disgust	0.602
traitor	गद्दार	disgust	0.602
ugliness	कुरूपता	disgust	0.602
musty	बासी	disgust	0.602
illicit	अवैध	disgust	0.602
swampy	दलदल से भरा	disgust	0.602
poaching	अवैध शिकार	disgust	0.602
hag	डायन	disgust	0.602
butcher	कसाई	disgust	0.594
lunatic	पागल मनुष्य	disgust	0.594
venom	विष	disgust	0.594
repelling	repelling	disgust	0.594
thug	हत्यारा	disgust	0.594
misery	कष्ट	disgust	0.594
toilet	शौचालय	disgust	0.594
slug	काउंटर	disgust	0.594
catastrophe	तबाही	disgust	0.594
epidemic	महामारी	disgust	0.594
gut	आंत	disgust	0.594
intoxicated	नशे में चूर	disgust	0.594
blister	छाला	disgust	0.594
deceitful	छल से	disgust	0.594
hostility	शत्रुता	disgust	0.594
queasiness	नज़ाकत	disgust	0.594
lurid	भयंकर	disgust	0.594
sinner	पाप करनेवाला	disgust	0.594
incubus	ईन्कुबुस	disgust	0.586
lavatory	शौचालय	disgust	0.586
harass	परेशान	disgust	0.586
unclean	अशुद्ध	disgust	0.586
prostitute	रंडी	disgust	0.586
pornography	कामोद्दीपक चित्र	disgust	0.586
dreadful	भयानक	disgust	0.586
deteriorated	बिगड़ी	disgust	0.586
appalling	भय उत्पन्न करनेवाला	disgust	0.586
unfaithful	विश्वासघाती	disgust	0.578
rash	लाल चकत्ते	disgust	0.578
humiliating	अपमानजनक	disgust	0.578
ruinous	खंडहर वाला	disgust	0.578
squeamish	नकचढ़ा	disgust	0.578
offensive	अपमानजनक	disgust	0.578
conspirator	षड्यंत्रकारी	disgust	0.578
larceny	चोरी	disgust	0.578
debauchery	ऐयाशी	disgust	0.578
mangle	वध करना	disgust	0.578
flea	देहिका	disgust	0.578
hypocrite	पाखंडी	disgust	0.578
retard	काम करना	disgust	0.578
fiend	राक्षस	disgust	0.578
sick	बीमार	disgust	0.578
quagmire	दलदल	disgust	0.578
expulsion	निष्कासन	disgust	0.578
treacherous	नमक हराम	disgust	0.570
dogsick	NO TRANSLATION	disgust	0.570
spit	थूक	disgust	0.570
devastating	भयानक	disgust	0.570
bastard	घटिया इंसान	disgust	0.570
messy	गंदा	disgust	0.570
flog	चाबुक से मारना	disgust	0.570
egregious	प्रबल	disgust	0.570
swamp	दलदल	disgust	0.570
oppress	अत्याचार करना	disgust	0.570
despise	घृणा	disgust	0.570
